age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2016,3.35,1.57,5.7772,3.6517,7.8111,1.3609,9.929,38.47,36.881,40.092,35.33,41.503,1.507,1.078,1.9448,0.65905,2.3257
2019,3.54,1.42,6.7157,4.4541,8.8991,2.1328,10.919,41.263,38.123,43.506,35.897,45.068,2.2609,1.4131,2.8667,0.81212,3.2885
2026,4.18,1.64,7.8694,5.8285,9.952,3.9546,12.016,41.239,39.432,43.203,37.805,44.794,2.2545,1.7667,2.7849,1.3274,3.2144
2047,3.59,1.71,4.4538,2.265,7.0745,0.25523,10.168,37.689,35.92,39.846,34.175,42.384,1.296,0.81852,1.8784,0.34713,2.5637
2069,3.61,1.32,4.2234,2.2054,6.2713,0.31771,8.1633,37.681,36.062,39.267,34.531,40.802,1.2939,0.85664,1.722,0.44339,2.1366
2072,3.55,1.33,3.9198,1.9308,5.9196,0.012794,7.977,36.983,35.419,38.683,33.795,40.316,1.1055,0.68304,1.5645,0.24452,2.0054
2078,3.43,1.27,6.3009,3.4529,8.6821,0.95957,10.787,38.966,36.563,40.904,34.499,42.57,1.6407,0.9919,2.1641,0.43463,2.614
2084,3.52,1.62,6.1669,3.9603,8.3473,1.9197,10.364,39.414,37.789,41.023,36.367,42.534,1.7618,1.3231,2.1962,0.93911,2.6043
2117,3.72,1.45,6.6815,4.4237,8.7883,2.5191,10.839,39.735,38.041,41.363,36.589,42.868,1.8485,1.391,2.2881,0.99901,2.6943
2144,3.58,1.62,7.2558,5.0038,9.5895,3.0266,11.91,39.661,37.593,42.067,35.794,44.18,1.8285,1.2702,2.4781,0.78442,3.0485
2213,3.32,1.5,6.5641,4.5595,8.6556,2.8705,10.621,38.782,37.174,40.498,35.613,42.051,1.5912,1.1569,2.0544,0.73549,2.4739
2223,3.43,1.58,8.3162,6.1126,10.578,3.985,12.627,41.167,38.879,43.131,36.861,44.944,2.2352,1.6174,2.7653,1.0726,3.2548
2233,3.74,1.81,7.6985,5.6226,9.9819,3.7095,12.059,40.065,38.206,42.29,36.67,44.364,1.9375,1.4355,2.5384,1.0209,3.0984
2261,3.43,1.61,7.2843,5.2263,9.2205,3.4297,11.111,39.122,37.487,40.655,35.935,42.294,1.6831,1.2415,2.0969,0.82249,2.5393
2296,3.35,1.61,7.3267,5.3259,9.2685,3.5286,11.16,39.084,37.449,40.611,35.928,42.349,1.6726,1.2311,2.0848,0.82062,2.5543
2303,3.22,1.62,7.4466,5.5071,9.3579,3.7167,11.149,39.266,37.68,40.741,36.059,42.471,1.7218,1.2935,2.1202,0.85599,2.5873
2306,3.38,1.65,5.5559,3.2389,8.0691,0.98035,10.52,38.89,37.347,40.574,35.647,42.192,1.6202,1.2037,2.0751,0.74461,2.5118
2326,3.74,1.36,7.3067,4.4053,9.7217,1.7545,11.676,39.251,37.668,40.923,35.875,42.408,1.7179,1.2904,2.1692,0.80622,2.5701
2340,3.23,1.73,6.1588,3.7164,8.8406,1.6122,11.22,40.101,38.43,41.816,36.916,43.348,1.9474,1.496,2.4103,1.0873,2.8239
2358,4.13,1.42,6.8932,4.4443,9.0541,2.137,11.213,40.664,39.072,42.287,37.35,43.91,2.0992,1.6695,2.5376,1.2045,2.9757
2373,3.71,1.66,6.0305,3.5863,8.3841,1.6637,10.546,40.058,38.31,41.645,36.746,43.29,1.9357,1.4637,2.364,1.0415,2.8083
2389,3.91,1.42,4.7526,2.2729,7.2806,-0.073615,9.4768,38.85,35.497,41.358,33.557,43.22,1.6095,0.70408,2.2866,0.18039,2.7893
2434,3.96,1.53,3.9654,1.5966,6.7218,-0.57965,9.1246,36.88,34.808,40.843,33.084,43.009,1.0777,0.51824,2.1475,0.052599,2.7323
2448,3.37,1.19,3.8913,1.9346,6.0047,-0.018342,7.951,38.169,36.054,40.273,34.137,42.162,1.4257,0.85453,1.9938,0.33689,2.5037
