age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2417.1,3.5,0.90847,0.48648,-1.5226,2.4451,-3.4665,4.4029,36.632,34.557,38.402,32.009,39.964,1.0107,0.45031,1.4886,-0.23755,1.9103
2435.6,4.26,0.94153,0.62945,-1.2645,2.603,-2.9893,4.4208,37.028,35.382,38.559,33.941,40.042,1.1176,0.67326,1.531,0.28408,1.9315
2442,4.09,0.97897,-0.67055,-2.8735,1.6143,-4.9536,3.7022,33.797,31.543,36.932,29.843,39.17,0.24531,-0.36327,1.0915,-0.82242,1.6959
2472.9,3.4,0.76104,-1.1767,-3.0498,0.8175,-4.9884,2.7928,34.714,32.472,36.558,30.549,38.349,0.49287,-0.11248,0.99071,-0.63181,1.4742
2488.7,4.1,0.79921,-0.11972,-2.238,1.9013,-4.2517,3.8463,33.694,31.894,35.602,30.287,37.465,0.21737,-0.26855,0.73253,-0.70246,1.2356
2499.4,3.22,0.94428,0.035349,-2.0871,1.9457,-4.2397,3.7473,33.307,31.667,34.907,30.122,36.218,0.11302,-0.32996,0.5448,-0.74698,0.89876
2503,3.31,0.87802,0.96738,-1.1896,3.08,-3.5723,5.0248,37.056,34.105,39.167,31.143,40.877,1.125,0.3283,1.6952,-0.47145,2.1567
2530.1,4.05,0.96834,1.3982,-0.56751,3.4786,-2.7577,5.2422,37.955,36.07,39.668,34.201,41.151,1.3678,0.85902,1.8303,0.35428,2.2307
2530.1,4.05,0.95734,0.96866,-1.13,2.9822,-2.892,4.9764,35.261,33.115,38.558,31.515,40.779,0.64044,0.060977,1.5305,-0.37088,2.1303
2532.1,4.3,1.06906,0.23116,-1.7983,2.294,-3.9293,4.3514,34.869,32.894,36.703,31.06,38.478,0.53465,0.00128,1.0297,-0.49376,1.509
2550.8,3.42,0.95133,0.45434,-1.5228,2.4767,-3.7265,4.3546,35.615,33.999,37.198,32.268,38.67,0.73592,0.29978,1.1635,-0.16758,1.5609
2550.8,3.42,0.95004,-0.22783,-2.2276,1.7897,-4.1951,3.7802,34.393,32.563,36.129,30.845,37.805,0.4062,-0.088049,0.87482,-0.55179,1.3273
2599.5,3.77,0.98558,-0.20008,-2.2133,1.7964,-3.9626,3.6243,34.323,32.596,36.007,30.951,37.513,0.38725,-0.07918,0.84191,-0.52315,1.2485
