age_ka,d18O,MgCa,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,temp,temp_min1,temp_plus1,temp_min2,temp_plus2
2607.4,4.37,0.81,1.3268,0.89879,1.7487,0.47867,2.1764,37.803,36.218,39.365,34.662,40.95,2.5246,0.49617,4.4995,-1.2314,6.3056
2610.9,4.12,1.13,1.214,0.77252,1.6559,0.36895,2.0379,37.385,35.75,39.022,34.255,40.437,2.4469,0.41021,4.5069,-1.3211,6.3043
2612.7,3.89,1.16,0.93303,0.46794,1.4222,0.045987,1.8584,36.345,34.622,38.156,33.059,39.772,2.0386,0.13514,4.2255,-1.7436,5.8533
2615,3.85,1.13,0.69613,0.24758,1.1465,-0.142,1.5398,35.467,33.806,37.135,32.363,38.592,0.98574,-1.1868,3.1555,-3.012,5.1315
2616.6,3.69,1.1,0.36983,-0.065926,0.85784,-0.5466,1.3177,34.259,32.645,36.066,30.864,37.769,0.82719,-1.2099,2.7632,-3.1371,4.8331
2616.6,3.43,1.1,0.27215,-0.15992,0.69368,-0.61241,1.1491,33.897,32.297,35.458,30.621,37.145,1.2249,-0.75435,3.1759,-2.807,5.3964
2618.9,3.71,0.94,0.31051,-0.11804,0.74543,-0.57389,1.1949,34.039,32.452,35.65,30.763,37.314,1.0934,-0.83347,3.1445,-3.1162,5.2301
2621.9,3.24,0.99,0.46426,0.04356,0.90235,-0.42671,1.3115,34.608,33.05,36.231,31.308,37.746,1.296,-0.59853,3.3413,-2.7048,5.2256
2623.6,3.15,1.04,0.51914,0.076694,0.95878,-0.36116,1.351,34.812,33.173,36.44,31.551,37.893,1.5001,-0.49864,3.4991,-2.5639,5.4576
2625.9,3.3,1,0.59501,0.15664,1.0513,-0.28207,1.483,35.093,33.469,36.782,31.844,38.382,1.2167,-0.82963,3.2134,-2.777,5.1664
2628.2,3.39,1.06,0.81041,0.33174,1.2449,-0.11319,1.6619,35.89,34.118,37.5,32.47,39.044,1.6515,-0.54168,3.5014,-2.6041,5.3885
2630.5,3.36,1.05,0.60549,0.14412,1.0871,-0.28825,1.5463,35.131,33.423,36.915,31.821,38.616,0.55201,-1.5233,2.8332,-3.5696,4.8842
2632.8,3.6,1.01,0.83153,0.36284,1.3411,-0.13218,1.7998,35.969,34.233,37.856,32.399,39.555,0.86711,-1.1433,3.003,-3.0987,5.0642
2635.8,3.67,1.07,1.056,0.60527,1.5169,0.1401,1.9332,36.8,35.131,38.507,33.408,40.049,1.4673,-0.57658,3.5452,-2.4494,5.3718
2637.5,3.64,0.91,0.45859,-0.060304,1.0644,-0.49974,1.6695,34.587,32.666,36.831,31.038,39.072,1.0586,-0.88948,3.1786,-3.0045,5.1518
2642.5,3.85,0.95,0.27245,-0.17384,0.75589,-0.59154,1.2048,33.898,32.245,35.688,30.698,37.351,0.79996,-1.0806,2.8773,-3.1335,4.844
2642.5,3.85,1.02,0.43293,-0.026028,0.87166,-0.50119,1.3131,34.492,32.792,36.117,31.033,37.752,2.2842,0.080142,4.5032,-2.3521,6.6829
2645,3.94,1.07,0.66917,0.21817,1.0866,-0.21797,1.4851,35.367,33.697,36.913,32.082,38.389,3.087,1.0202,4.9999,-0.7445,6.795
2654.7,3.43,1.03,0.27248,-0.20052,0.82611,-0.6765,1.3,33.898,32.146,35.949,30.383,37.704,1.4547,-0.58404,3.8245,-2.7735,5.8738
2657.5,3.19,0.96,0.3748,-0.10212,0.83407,-0.55551,1.2601,34.277,32.511,35.978,30.831,37.556,1.3363,-0.66135,3.3668,-2.6681,5.2843
2661,3.09,1.21,0.52508,0.10588,0.96652,-0.35643,1.3869,34.834,33.281,36.469,31.569,38.025,1.7586,-0.23695,3.6867,-2.3077,5.5979
2663.2,3.25,1.2,0.43021,-0.018717,0.86924,-0.46486,1.3276,34.482,32.82,36.108,31.167,37.806,1.4265,-0.64953,3.3625,-2.8006,5.4929
2665.3,2.97,0.99,0.87748,0.33065,1.3899,-0.19121,1.8268,36.139,34.114,38.037,32.181,39.655,0.41279,-1.979,2.6164,-4.1873,4.7387
2665.3,3.24,0.99,0.98342,0.53168,1.435,0.091932,1.8789,36.531,34.858,38.204,33.229,39.848,-0.24938,-2.4484,1.9551,-4.4868,4.1875
2669.5,3.28,1.04,0.98257,0.54345,1.4325,0.12164,1.8799,36.528,34.902,38.194,33.339,39.852,-0.4634,-2.5246,1.5059,-4.4559,3.7344
2671.6,3.36,1.08,1.0246,0.60304,1.4486,0.19633,1.8174,36.684,35.122,38.254,33.616,39.62,-0.079973,-2.04,1.7769,-3.9586,3.4975
2675.8,3.28,1.01,1.0552,0.6439,1.4771,0.21613,1.8582,36.797,35.274,38.359,33.689,39.771,0.37651,-1.552,2.3059,-3.4301,4.2184
2682.9,4.01,1.04,1.038,0.62704,1.486,0.17865,1.9489,36.733,35.211,38.392,33.551,40.107,0.61631,-1.3634,2.6152,-3.351,4.6647
2686.2,4.24,0.8,0.91126,0.49663,1.3762,0.036987,1.8403,36.264,34.728,37.986,33.026,39.705,0.97533,-1.0561,2.9717,-3.1124,4.9916
2687.2,4.26,0.88,0.80362,0.3791,1.2182,-0.043144,1.666,35.865,34.293,37.401,32.729,39.059,-0.58371,-2.7682,1.6444,-4.9026,3.843
2688.6,4.19,0.91,0.77178,0.35397,1.1912,-0.050663,1.6277,35.747,34.2,37.301,32.701,38.918,-1.1154,-3.1129,0.97617,-5.0963,3.1104
2690,4.11,0.95,0.7588,0.33153,1.1702,-0.053969,1.6234,35.699,34.117,37.223,32.689,38.902,-1.3857,-3.3179,0.53208,-5.2859,2.5038
2693.1,4.07,0.97,0.86045,0.45298,1.3015,0.034759,1.7499,36.076,34.567,37.709,33.018,39.37,-0.84965,-2.7897,1.1881,-4.8248,3.2118
2696.1,3.8,1.01,0.59158,0.098648,1.0597,-0.33419,1.6098,35.08,33.254,36.814,31.651,38.851,-0.020143,-1.9303,2.0306,-3.9161,4.1204
2708.2,3.98,0.92,0.24895,-0.21018,0.71737,-0.66112,1.1536,33.811,32.11,35.546,30.44,37.162,-0.021063,-2.1318,2.094,-4.1748,4.104
2712,4.2,0.76,0.29467,-0.17962,0.76732,-0.71781,1.194,33.98,32.224,35.731,30.23,37.311,0.41636,-1.7355,2.4948,-4.1685,4.5952
2713.2,4.22,0.77,0.29869,-0.16817,0.75633,-0.59568,1.1826,33.995,32.266,35.69,30.683,37.269,0.015297,-2.0916,2.1533,-4.1804,4.0712
2717.7,4.19,0.84,0.45952,-0.0012136,0.8847,-0.46366,1.3294,34.591,32.884,36.166,31.172,37.812,0.0074596,-1.9916,1.939,-4.026,3.8116
2717.7,4.23,0.84,0.41194,-0.036697,0.86165,-0.46044,1.3102,34.415,32.753,36.08,31.184,37.741,-0.29611,-2.249,1.8056,-4.2361,3.7315
2728,3.57,0.93,0.53318,0.061729,0.97053,-0.398,1.3946,34.864,33.118,36.483,31.415,38.054,0.10599,-1.9134,2.082,-3.9849,4.2017
2728,3.44,0.93,0.41301,-0.057753,0.84323,-0.47331,1.2733,34.419,32.675,36.012,31.136,37.605,0.14069,-1.8636,2.1289,-3.8604,4.1476
2728,3.56,0.93,0.53235,0.09753,0.99691,-0.38831,1.4054,34.861,33.25,36.581,31.451,38.094,1.1917,-1.032,3.3376,-3.012,5.1217
2742.3,3.41,0.83,0.73904,0.3212,1.1826,-0.095117,1.558,35.626,34.079,37.269,32.537,38.659,2.1051,0.047036,4.176,-1.8474,6.0788
2742.3,3.34,0.83,0.46434,-0.0057319,0.94781,-0.47225,1.4155,34.609,32.868,36.399,31.14,38.131,1.083,-1.0278,3.2655,-3.1532,5.3997
2742.3,3.27,0.83,0.21239,-0.21617,0.64927,-0.64751,1.0792,33.676,32.088,35.294,30.491,36.886,-0.039973,-2.1148,1.9445,-4.0057,3.8906
