mcd,age_ka,d13C,d18O,Notes,
121.35,2616.6,-0.87,3.43,1208 14-2 130-132 RU,0.03
121.44,2618.9,-1.07,3.71,1208 14-2 140-142 U,-0.17
121.56,2621.9,-1.25,3.24,1208 14-3 3-5 U,-0.35
121.63,2623.6,-1.15,3.15,1208 14-3 10-12 U,-0.25
121.72,2625.9,-1.16,3.3,1208 14-3 20-22 U,-0.26
121.82,2628.2,-0.89,3.39,1208 14-3 30-32 U,0.01
121.91,2630.5,-0.9,3.36,1208 14-3 40-42 U,0
122.01,2632.8,-1.15,3.6,1208 14-3 50-52 U,-0.25
122.13,2635.8,-1.26,3.67,1208 14-3 63-65 U,-0.36
122.2,2637.5,-1.13,3.64,1208 14-3 70-72 U,-0.23
122.29,2640,-1.14,3.64,1208 14-3 80-82 U,-0.24
122.39,2642.5,-1.18,3.85,1208 14-3 90-92 U,-0.28
122.48,2645,-1.44,3.94,1208 14-3 100-102 U,-0.54
122.58,2647.6,-1.39,3.94,1208 14-3 110-112 U,-0.49
122.7,2650.8,-1.36,3.72,1208 14-3 123-125 U,-0.46
122.76,2652.5,-1.29,3.46,1208 14-3 130-132 U,-0.39
122.86,2654.7,-1.34,3.43,1208 14-3 140-142,-0.44
122.98,2657.5,-1.02,3.19,1208-14-4 3-5U,-0.12
123.14,2661,-0.81,3.09,1208-14-4 20-22U,0.09
123.24,2663.2,-1.12,3.25,1208-14-4 30-32U,-0.22
123.33,2665.3,-1.36,2.97,1208-14-4 40-42U,-0.46
123.33,2665.3,-1.01,3.24,1208 14-4 40-42 U,-0.11
123.52,2669.5,-1.11,3.28,1208-14-4 60-62U,-0.21
123.61,2671.6,-1.06,3.36,1208-14-4 70-72U,-0.16
123.71,2673.7,-1.07,3.38,1208-14-4 80-82U,-0.17
123.8,2675.8,-0.89,3.28,1208-14-4 90-92U,0.01
123.99,2680,-1.12,3.43,1208 14-4 110-112 U,-0.22
124.18,2682.9,-1.39,4.01,1208-14-4 130-132U,-0.49
124.4,2686.2,-1.43,4.24,1208 14-5 3-5U,-0.53
124.47,2687.2,-1.53,4.26,1208 14-5 10-12U,-0.63
124.56,2688.6,-1.22,4.19,1208 14-5 20-22U,-0.32
124.65,2690,-1.21,4.11,1208 14-5 30-32U,-0.31
124.75,2693.1,-1.15,4.07,1208 14-5 40-42U,-0.25
124.84,2696.1,-1.13,3.8,1208-14-5 50-52U,-0.23
124.94,2699,-0.87,3.9,1208-14-5 60-62U,0.03
125.03,2702,-1.17,3.69,1208 14-5 70-72 U,-0.27
125.22,2706.6,-1.39,3.84,1208-14-5 90-92U,-0.49
125.22,2706.6,-1.39,3.8,1208 14-5 90-92 U,-0.49
125.32,2708.2,-1.48,3.98,1208-14-5 100-102U,-0.58
125.41,2709.9,-1.46,3.99,1208 14-5 110-112 U,-0.56
125.53,2712,-1.4,4.2,1208-14-5 123-125U,-0.5
125.6,2713.2,-1.71,4.22,1208-14-5 130-132U,-0.81
125.67,2714.5,-1.25,4.16,1208 14-5 138-140U,-0.35
125.69,2714.8,-1.11,4.31,1208-14-5 140-142U,-0.21
