mbsf,mcd,Species,d18O,d13C,age_ka
44.45,50.37,UVIG,3.466,-0.313,3219
44.5,50.42,UVIG,3.499,-0.223,3221.7
44.55,50.47,UVIG,3.42,-0.372,3224.2
44.6,50.52,UVIG,3.435,-0.301,3227.1
44.65,50.57,UVIG,3.564,-0.299,3229.9
44.75,50.67,UVIG,3.478,-0.379,3235.7
44.85,50.77,UVIG,3.452,-0.3,3241.1
45.5,51.42,UVIG,3.411,-0.508,3274.9
45.55,51.47,UVIG,3.447,-0.789,3277.3
45.75,51.67,UVIG,3.831,-0.959,3286
45.8,51.72,UVIG,3.728,-0.899,3288.7
45.85,51.77,UVIG,3.835,-1.095,3291.8
45.95,51.87,UVIG,3.489,-0.668,3297.3
46,51.92,UVIG,3.924,-1.007,3300
46.05,51.97,UVIG,3.593,-0.776,3303.1
46.12,52.04,UVIG,3.52,-0.924,3307.3
47.5,53.42,UVIG,3.616,-0.739,3378.1
47.65,53.57,UVIG,3.577,-0.761,3384.7
47.75,53.67,UVIG,3.681,-0.836,3388.7
47.85,53.77,UVIG,3.445,-0.847,3392.7
47.95,53.87,UVIG,3.09,-0.521,3396.5
48.05,53.97,UVIG,3.391,-0.579,3400.5
48.15,54.07,UVIG,3.351,-0.691,3404.3
48.25,54.17,UVIG,3.332,-0.504,3408.1
48.35,54.27,UVIG,3.203,-0.624,3411.9
48.75,54.67,UVIG,3.386,-0.82,3428.1
48.85,54.77,UVIG,3.121,-0.746,3432.1
49.65,55.57,UVIG,3.691,-1.012,3462.6
49.75,55.67,UVIG,3.456,-0.682,3466.6
49.77,55.69,UVIG,3.146,-0.679,3467.2
50.05,55.97,UVIG,3.111,-0.091,3478.1
50.25,56.17,UVIG,3.177,0.078,3486.4
50.35,56.27,UVIG,3.292,-0.032,3490.8
50.45,56.37,UVIG,3.367,-0.258,3495
52.45,57.16,UVIG,3.118,-0.234,3532.4
52.75,57.46,UVIG,3.213,-0.246,3548.9
53.57,58.28,UVIG,3.387,-0.634,3595.6
,,,,,
60.55,66.56,UVIG,3.085,-0.409,
61.15,67.16,UVIG,3.18,-0.334,
61.2,67.21,UVIG,3.185,-0.427,
61.25,67.26,UVIG,3.121,-0.56,
61.3,67.31,UVIG,3.286,-0.284,
61.58,67.59,UVIG,3.271,-0.188,
61.7,67.71,UVIG,3.046,-0.329,
61.75,67.76,UVIG,3.421,-0.33,
