,code,sample,mcd_x,age_ka,LiCa,Bca,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,Uca,mbsf,mcd_y,Species,d18O,d13C,d18Oadj,d13Cadj
28,T7,B5H3_5-7,40.37,2708.4,12.0223,13.91342,2.96903,0.79899,19.8226,60.46249,1.05948,0.11989,2.91202,0.27157,10.68503,36.65,40.37,CWUEL,3.32,-0.53,3.96,-0.53
29,T8,B5H3_25-27,40.57,2719.3,11.74068,14.68762,2.85061,0.76917,23.48185,32.13043,1.02029,0.12475,4.98902,0.83229,5.25665,36.85,40.57,CWUEL,3.54,-0.52,4.18,-0.52
30,T9,B5H3_45-47,40.77,2731.1,11.83991,14.82174,2.86904,0.85932,19.2663,46.57171,0.99279,0.12363,2.8151,0.32543,7.48446,37.05,40.77,CWUEL,2.94,-0.09,3.58,-0.09
31,LP5,B5H4_15-17,41.97,2802.3,11.66374,14.80743,2.80008,0.86309,6.68654,70.57493,1.01326,0.13466,2.7028,0.33348,10.74594,38.25,41.97,CWUEL,3.2,-0.13,3.84,-0.13
32,LP5rep,B5H4_15-18,41.97,2802.3,11.64355,13.5442,2.77462,0.86533,6.74173,71.39629,1.02292,0.1352,2.67931,0.33429,10.53299,38.25,41.97,CWUEL,3.2,-0.13,3.84,-0.13
33,LP4,B5H4_25-27,42.07,2809.6,12.19969,13.65602,2.96595,0.82187,20.72388,60.45612,1.02185,0.11983,2.64451,0.30984,7.41229,38.35,42.07,CWUEL,3.27,-0.08,3.91,-0.08
34,LP3,B5H4_45-47,42.27,2820.5,12.99885,13.27562,2.99891,0.93218,16.77603,129.90277,1.02957,0.13547,2.55463,0.27468,12.86223,38.55,42.27,CWUEL,2.9,0.28,3.54,0.28
35,LP2,B5H4_75-77,42.57,2831.4,11.9441,12.74224,2.85642,0.88805,7.69688,82.38904,1.03431,0.11431,2.53549,0.20131,9.24502,38.85,42.57,CWUEL,2.95,0.24,3.59,0.24
36,LP1,B5H4_95-97,42.77,2839.2,12.00708,14.38486,2.70305,0.8091,5.958,104.69477,1.01068,0.12484,2.90906,0.31424,12.25229,39.05,42.77,CWUEL,3.02,-0.12,3.66,-0.12
37,LP1rep,B5H4_95-97,42.77,2839.2,12.06308,12.77001,2.74538,0.80927,5.99635,103.53517,1.01892,0.13189,2.9271,0.31704,12.34568,39.05,42.77,CWUEL,3.02,-0.12,3.66,-0.12
38,P1,A5H5_107-109,47.63,3067.8,12.54149,15.04312,3.33476,0.99562,22.8782,42.88452,1.04091,0.10467,2.90412,0.2154,11.6138,43.77,47.63,CWUEL,2.84,0.05,3.48,0.05
39,P2,A5H5_125-127,47.81,3078.9,12.78549,14.83293,3.35037,1.0121,19.06278,50.11289,1.01885,0.10635,2.95491,0.18493,15.81671,43.95,47.81,CWUEL,2.83,0.04,3.47,0.04
40,P3,A5H5_140-142,47.96,3088.7,12.99646,14.25706,2.89896,1.10695,13.30013,53.25437,0.99934,0.12149,6.68788,0.15945,20.89034,44.1,47.96,CWUEL,2.76,0.12,3.4,0.12
41,P5,A5H6_25-27,48.31,3109.0,13.39835,12.98198,2.97763,0.92915,5.6086,52.8053,1.00369,0.13234,2.6475,0.22667,28.45405,44.45,48.31,CWUEL,2.96,0.01,3.6,0.01
42,P5rep,A5H6_25-27,48.31,3109.0,13.50237,11.81323,2.91965,0.93647,5.65873,52.61336,1.00181,0.13941,2.62989,0.23047,28.10521,44.45,48.31,CWUEL,2.96,0.01,3.6,0.01
43,P4,A5H6_45-47,48.51,3118.7,12.70405,,3.3299,0.9755,240.02503,47.20155,1.03572,0.11816,2.98204,0.22154,23.04149,44.65,48.51,CWUEL,3.01,0.05,3.65,0.05
