age_ka,d18O,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,d18Ow_IV,d18O_T,Tw
2097,3.513412375,-14.047,4.676,7.072,60.159,7.796,-19.158,-20.498,-52.505,-25.241,0.088,0.196,-0.782
2096,3.576175366,-17.335,5.611,7.669,60.204,7.862,-19.16,-20.497,-52.5,-25.234,0.099,0.247,-0.989
2095,3.634469178,-20.447,7.603,8.727,60.311,7.993,-19.486,-20.652,-52.501,-25.266,0.122,0.282,-1.129
2094,3.665850674,-22.147,9.597,9.599,60.433,8.118,-19.991,-20.886,-52.507,-25.323,0.146,0.29,-1.159
2093,3.697232169,-23.862,10.717,10.036,60.508,8.186,-20.507,-21.121,-52.515,-25.385,0.161,0.306,-1.225
2092,3.773577995,-28.105,11.864,10.454,60.59,8.254,-21.031,-21.352,-52.525,-25.45,0.176,0.367,-1.47
2091,3.854273269,-32.695,14.744,11.418,60.819,8.424,-21.707,-21.644,-52.544,-25.545,0.211,0.413,-1.652
2090,3.870838576,-33.651,17.888,12.391,61.108,8.608,-22.484,-21.976,-52.573,-25.665,0.252,0.389,-1.556
2089,3.857389364,-32.875,18.542,12.589,61.174,8.646,-23.158,-22.259,-52.601,-25.765,0.264,0.363,-1.452
2088,3.878279292,-34.082,18.011,12.428,61.12,8.615,-23.158,-22.259,-52.601,-25.765,0.258,0.39,-1.56
2087,3.941042283,-37.752,18.837,12.678,61.204,8.663,-23.727,-22.49,-52.627,-25.846,0.272,0.439,-1.758
2086,3.987041727,-40.484,21.336,13.429,61.477,8.81,-24.347,-22.749,-52.662,-25.946,0.306,0.451,-1.804
2085,3.973592515,-39.682,23.178,13.988,61.699,8.919,-24.959,-23.009,-52.701,-26.049,0.334,0.41,-1.64
2084,3.960143302,-38.882,22.639,13.823,61.632,8.887,-24.959,-23.009,-52.701,-26.049,0.327,0.404,-1.614
2083,4.044270763,-43.932,22.1,13.66,61.567,8.855,-24.959,-23.009,-52.701,-26.049,0.32,0.494,-1.977
2082,4.129449108,-49.166,25.476,14.698,62,9.057,-25.579,-23.282,-52.75,-26.163,0.368,0.531,-2.125
2081,4.153401445,-50.659,28.894,15.799,62.505,9.267,-26.241,-23.597,-52.814,-26.302,0.421,0.503,-2.012
2080,4.157884516,-50.94,29.853,16.12,62.66,9.326,-26.833,-23.878,-52.878,-26.423,0.44,0.488,-1.951
2079,4.188411037,-52.859,30.032,16.18,62.689,9.338,-27.338,-24.108,-52.935,-26.519,0.448,0.51,-2.042
2078,4.242207886,-56.28,31.251,16.598,62.896,9.414,-27.807,-24.329,-52.995,-26.611,0.47,0.542,-2.168
2077,4.271923903,-58.19,33.392,17.354,63.283,9.551,-28.276,-24.569,-53.065,-26.715,0.507,0.535,-2.14
2076,4.244777653,-56.445,34.569,17.785,63.509,9.628,-28.71,-24.796,-53.137,-26.813,0.53,0.485,-1.94
2075,4.217631404,-54.711,33.494,17.391,63.302,9.558,-28.71,-24.796,-53.137,-26.813,0.513,0.474,-1.897
2074,4.204322059,-53.866,32.415,17.005,63.102,9.488,-28.71,-24.796,-53.137,-26.813,0.498,0.477,-1.906
2073,4.196423723,-53.366,31.886,16.819,63.007,9.455,-28.71,-24.796,-53.137,-26.813,0.49,0.476,-1.905
2072,4.188525387,-52.866,31.571,16.709,62.951,9.435,-28.71,-24.796,-53.137,-26.813,0.486,0.473,-1.891
2071,4.180627051,-52.368,31.256,16.599,62.897,9.415,-28.71,-24.796,-53.137,-26.813,0.481,0.469,-1.878
2070,4.18,-52.329,30.941,16.49,62.842,9.395,-28.71,-24.796,-53.137,-26.813,0.477,0.473,-1.893
2069,4.18,-52.329,30.916,16.482,62.838,9.393,-28.71,-24.796,-53.137,-26.813,0.476,0.474,-1.894
2068,4.18,-52.329,30.916,16.482,62.838,9.393,-28.951,-24.873,-53.169,-26.831,0.477,0.473,-1.892
2067,4.170337068,-51.721,30.916,16.482,62.838,9.393,-29.154,-24.936,-53.197,-26.844,0.478,0.463,-1.851
2066,4.091353708,-46.81,30.53,16.35,62.772,9.369,-29.154,-24.936,-53.197,-26.844,0.472,0.389,-1.557
2065,4.012370348,-42.003,27.367,15.3,62.271,9.172,-29.154,-24.936,-53.197,-26.844,0.428,0.355,-1.419
2064,3.933386988,-37.301,24.195,14.3,61.828,8.98,-29.154,-24.936,-53.197,-26.844,0.385,0.319,-1.275
2063,3.868055026,-33.49,21.03,13.337,61.442,8.792,-29.154,-24.936,-53.197,-26.844,0.343,0.295,-1.181
2062,3.831196125,-31.371,18.432,12.556,61.162,8.64,-29.154,-24.936,-53.197,-26.844,0.309,0.292,-1.168
2061,3.794337224,-29.275,16.981,12.115,61.02,8.555,-29.154,-24.936,-53.197,-26.844,0.291,0.274,-1.095
2060,3.757478322,-27.202,15.545,11.671,60.888,8.471,-29.154,-24.936,-53.197,-26.844,0.272,0.255,-1.021
2059,3.737231346,-26.073,14.128,11.219,60.767,8.388,-29.154,-24.936,-53.197,-26.844,0.254,0.253,-1.013
2058,3.731965789,-25.781,13.359,10.967,60.705,8.343,-29.154,-24.936,-53.197,-26.844,0.244,0.258,-1.031
2057,3.726700231,-25.488,13.16,10.9,60.689,8.331,-29.154,-24.936,-53.197,-26.844,0.242,0.255,-1.02
2056,3.721434674,-25.197,12.962,10.834,60.673,8.32,-29.154,-24.936,-53.197,-26.844,0.239,0.252,-1.009
2055,3.697014699,-23.85,12.764,10.767,60.658,8.308,-29.154,-24.936,-53.197,-26.844,0.237,0.23,-0.922
2054,3.665421355,-22.123,11.856,10.451,60.59,8.254,-29.154,-24.936,-53.197,-26.844,0.225,0.211,-0.842
2053,3.633828012,-20.413,10.701,10.03,60.507,8.185,-29.154,-24.936,-53.197,-26.844,0.21,0.194,-0.776
2052,3.602234668,-18.719,9.574,9.59,60.432,8.117,-29.154,-24.936,-53.197,-26.844,0.195,0.177,-0.709
2051,3.604893113,-18.861,8.479,9.128,60.363,8.049,-29.154,-24.936,-53.197,-26.844,0.181,0.194,-0.777
2050,3.61015867,-19.142,8.57,9.168,60.369,8.054,-27.194,-24.101,-53.112,-26.495,0.162,0.218,-0.872
2049,3.615424227,-19.424,8.751,9.246,60.38,8.066,-25.744,-23.476,-53.038,-26.235,0.154,0.231,-0.924
2048,3.623104031,-19.836,8.932,9.324,60.391,8.077,-24.675,-23.01,-52.974,-26.042,0.151,0.242,-0.967
2047,3.646799039,-21.113,9.199,9.436,60.408,8.093,-23.907,-22.671,-52.919,-25.902,0.152,0.265,-1.061
2046,3.670494047,-22.4,10.034,9.773,60.462,8.145,-23.448,-22.459,-52.873,-25.81,0.16,0.281,-1.123
2045,3.694189055,-23.695,10.885,10.099,60.52,8.196,-23.211,-22.341,-52.836,-25.755,0.169,0.295,-1.18
2044,3.716132049,-24.904,11.752,10.414,60.582,8.248,-23.134,-22.292,-52.805,-25.728,0.179,0.307,-1.227
2043,3.7345615,-25.925,12.566,10.699,60.643,8.296,-23.168,-22.29,-52.782,-25.721,0.189,0.315,-1.26
2042,3.75299095,-26.951,13.258,10.933,60.697,8.337,-23.268,-22.317,-52.763,-25.726,0.198,0.325,-1.298
2041,3.771420401,-27.984,13.957,11.164,60.753,8.378,-23.418,-22.367,-52.749,-25.741,0.208,0.334,-1.335
2040,3.799699703,-29.579,14.662,11.391,60.812,8.419,-23.605,-22.432,-52.74,-25.764,0.217,0.353,-1.411
2039,3.836558605,-31.678,15.753,11.736,60.907,8.483,-23.853,-22.523,-52.735,-25.798,0.231,0.375,-1.501
2038,3.873417506,-33.8,17.192,12.179,61.04,8.567,-24.171,-22.645,-52.737,-25.846,0.25,0.393,-1.573
2037,3.910276407,-35.945,18.645,12.62,61.184,8.652,-24.537,-22.788,-52.745,-25.904,0.27,0.41,-1.641
2036,3.86185291,-33.132,20.108,13.06,61.339,8.738,-24.936,-22.947,-52.759,-25.971,0.291,0.341,-1.364
2035,3.78286955,-28.628,18.187,12.482,61.138,8.625,-24.936,-22.947,-52.759,-25.971,0.268,0.285,-1.138
2034,3.70388619,-24.228,15.102,11.531,60.849,8.445,-24.936,-22.947,-52.759,-25.971,0.233,0.241,-0.964
2033,3.62490283,-19.933,12.11,10.541,60.608,8.269,-24.936,-22.947,-52.759,-25.971,0.199,0.196,-0.784
2032,3.632346755,-20.333,9.262,9.462,60.412,8.097,-24.936,-22.947,-52.759,-25.971,0.166,0.237,-0.946
2031,3.645510648,-21.043,9.522,9.569,60.428,8.113,-24.159,-22.642,-52.732,-25.854,0.16,0.255,-1.021
2030,3.658674542,-21.757,9.988,9.755,60.459,8.142,-23.636,-22.435,-52.709,-25.773,0.162,0.267,-1.069
2029,3.668529252,-22.293,10.458,9.938,60.491,8.17,-23.299,-22.301,-52.691,-25.72,0.165,0.274,-1.094
2028,3.657998137,-21.72,10.814,10.072,60.515,8.192,-23.086,-22.215,-52.676,-25.686,0.168,0.26,-1.039
2027,3.647467023,-21.149,10.434,9.928,60.489,8.169,-23.086,-22.215,-52.676,-25.686,0.164,0.253,-1.013
2026,3.636935908,-20.58,10.057,9.782,60.464,8.146,-23.086,-22.215,-52.676,-25.686,0.16,0.247,-0.987
