depth,d18O_cibs,d13C_cibs
110.73,3.57,-0.34
110.83,3.06,-0.31
110.92,3.11,0.03
111.05,2.95,0.05
111.11,3.18,0.16
111.21,3.01,-0.02
111.31,2.90,0.02
111.40,2.92,0.08
111.50,2.84,-0.09
111.59,2.78,-0.08
111.69,3.02,0.09
111.81,2.83,-0.40
111.88,3.17,-0.04
111.98,2.99,0.10
112.10,2.83,0.06
112.17,2.79,-0.17
112.26,2.80,-0.22
112.36,2.78,-0.06
112.45,2.74,-0.01
112.55,2.70,-0.29
112.67,2.90,-0.19
112.74,2.80,-0.54
112.84,2.89,-0.40
112.93,3.06,-0.39
113.03,3.53,-0.33
113.12,3.10,-0.53
113.25,3.53,-0.54
113.31,3.28,-0.37
113.41,3.55,-0.27
113.53,3.32,-0.51
113.60,3.50,-0.41
113.70,3.26,-0.56
113.79,3.36,-0.45
113.89,3.37,-0.33
113.98,3.10,-0.23
114.08,3.06,-0.19
114.21,2.94,
114.27,2.79,-0.02
114.37,2.74,-0.03
114.46,2.67,-0.18
114.56,2.63,-0.23
114.68,2.77,-0.39
114.75,2.91,-0.40
114.85,2.78,
114.97,3.27,-0.46
115.04,3.38,-0.50
115.13,,
115.23,3.09,
115.32,,
115.42,,
115.52,,-0.09
115.61,3.11,-0.19
115.71,3.18,-0.26
115.80,2.99,-0.33
115.90,2.91,-0.24
115.99,2.71,
116.12,2.61,-0.19
116.19,2.80,-0.25
116.28,2.68,-0.29
116.41,2.95,-0.46
116.47,2.82,-0.33
116.57,2.91,-0.57
116.66,3.07,-0.49
116.78,3.44,-0.71
116.86,3.33,-0.80
116.95,3.46,-0.83
117.05,3.34,-0.64
117.14,3.38,-0.65
117.24,3.40,-0.75
117.33,3.50,-0.64
117.43,3.19,-0.65
117.55,3.37,-0.55
117.62,3.36,-0.59
117.72,3.31,-0.71
117.84,3.57,-0.48
117.91,3.34,-0.65
118.00,3.18,-0.39
118.10,2.88,-0.23
118.20,2.71,-0.30
118.29,2.75,-0.10
118.39,2.52,-0.16
118.43,2.57,0.09
118.53,2.51,-0.15
118.63,2.66,-0.02
118.73,2.90,0.03
118.79,2.87,-0.08
118.89,2.95,-0.02
118.98,2.96,0.02
119.08,2.84,-0.06
119.17,2.79,-0.14
119.30,2.92,-0.04
119.38,2.78,-0.14
119.46,2.58,-0.17
119.55,2.66,0.00
119.65,2.52,
119.74,2.55,0.09
119.86,2.52,0.03
119.93,2.68,
120.04,2.62,-0.16
