depth,d13C_uvi,d18O_uvi
137.5,-1.07,3.28
137.5,-1.27,3.34
137.6,-1.13,3.47
137.78,-1.68,3.63
137.91,-1.43,3.52
137.98,-1.21,3.43
138.09,-0.8,3.43
138.17,-0.92,3.32
138.28,-0.97,3.19
138.36,-0.87,3.33
138.44,-0.82,3.19
138.57,-0.97,3.25
138.64,-0.96,3.26
138.71,-0.93,3.19
138.79,-0.9,3.14
138.92,-0.73,3.14
139.01,-0.98,3.17
139.11,-0.85,3.29
139.2,-0.72,3.25
139.3,-0.9,3.21
139.39,-0.61,3.21
139.47,-0.88,3.32
139.58,-0.81,3.4
139.67,-0.72,3.43
139.77,-0.58,3.4
139.86,-0.72,3.29
139.95,-0.84,3.29
140.05,-0.55,3.31
140.14,-0.95,3.3
140.33,-1,3.24
140.42,-0.91,3.26
140.52,-0.6,3.48
140.8,-1.13,3.5
140.91,-1.05,3.5
140.99,-1.07,3.53
141.1,-1.15,3.45
141.17,-1.23,3.52
141.27,-1.24,3.49
141.34,-1.24,3.68
141.46,-1.37,3.73
141.62,-1.13,3.62
141.83,-1.24,3.23
141.93,-0.79,3.26
142.01,-1.12,3.11
142.11,-1.1,3.06
142.2,-0.97,3
142.43,-0.99,2.91
142.49,-0.87,3.09
142.57,-1,3.27
142.67,-0.91,3.22
143.15,-0.71,3.36
143.24,-0.87,3.41
143.33,-0.71,3.19
143.43,-0.89,3.14
143.55,-0.41,3.08
143.62,-0.78,3.14
143.71,-0.58,3.21
144.16,-0.81,3.04
144.16,-0.59,3
144.18,-0.51,3.39
144.27,-0.89,3.18
144.37,-0.88,3.42
144.55,-0.76,3.59
144.65,-0.55,3.67
144.93,-0.59,3.19
145.02,-0.35,3.44
145.31,-0.84,3.2
145.4,-0.71,3.6
145.59,-0.92,3.7
145.68,-0.76,3.6
145.78,-0.51,3.59
145.97,-0.6,3.6
146.34,-0.91,3.53
146.45,-1.1,3.43
146.53,-1.1,3.53
146.62,-1.12,3.53
146.71,-1.35,3.86
146.81,-1.38,3.84
146.94,-1.5,4.07
147.03,-1.26,3.97
147.32,-1.12,3.49
147.42,-1,3.84
147.49,-1.1,3.87
147.6,-1.03,3.79
147.67,-0.98,3.7
147.79,-0.68,3.33
147.87,-0.78,3.43
147.97,-0.58,3.27
148.16,-0.56,3.48
148.24,-0.91,3.44
148.36,-0.93,3.39
148.43,-0.96,3.44
148.54,-0.84,3.58
148.83,-0.76,3.53
149.58,-1.13,3.53
149.84,-1.19,3.58
