,mcd_x,age_ka,MgCa,FeCa,AlCa,notes,Unnamed: 6,mcd_y,d13C,d18O,Notes,Unnamed: 5
47,121.91,2630.5,1.05,93.0,148.0,1208_14-3 40-42,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),121.91,-0.9,3.36,1208 14-3 40-42 U,0.0
48,122.01,2632.8,1.01,35.0,36.0,1208_14-3 50-52,,122.01,-1.15,3.6,1208 14-3 50-52 U,-0.25
49,122.13,2635.8,1.07,13.0,16.0,1208_14-3 63-65,,122.13,-1.26,3.67,1208 14-3 63-65 U,-0.36
50,122.2,2637.5,0.91,19.0,38.0,1208_14-3 70-72,,122.2,-1.13,3.64,1208 14-3 70-72 U,-0.23
51,122.39,2642.5,0.95,24.0,5.0,1208_14-3 90-92,,122.39,-1.18,3.85,1208 14-3 90-92 U,-0.28
52,122.39,2642.5,1.02,11.0,15.0,1208_14-3 90-92,,122.39,-1.18,3.85,1208 14-3 90-92 U,-0.28
53,122.48,2645.0,1.07,23.0,23.0,1208_14-3 100-102,,122.48,-1.44,3.94,1208 14-3 100-102 U,-0.54
54,122.86,2654.7,1.03,34.0,67.0,1208_14-3 140-142,,122.86,-1.34,3.43,1208 14-3 140-142,-0.44
55,122.98,2657.5,0.96,,79.0,1208_14-4 3-5,,122.98,-1.02,3.19,1208-14-4 3-5U,-0.12
56,123.14,2661.0,1.21,36.0,98.0,1208_14-4 20-22,,123.14,-0.81,3.09,1208-14-4 20-22U,0.09
57,123.24,2663.2,1.2,45.0,67.0,1208_14-4 30-32,,123.24,-1.12,3.25,1208-14-4 30-32U,-0.22
58,123.33,2665.3,0.99,13.0,39.0,1208_14-4 40-42,,123.33,-1.36,2.97,1208-14-4 40-42U,-0.46
59,123.33,2665.3,0.99,13.0,39.0,1208_14-4 40-42,,123.33,-1.01,3.24,1208 14-4 40-42 U,-0.11
60,123.52,2669.5,1.04,31.0,2.0,1208_14-4 60-62,,123.52,-1.11,3.28,1208-14-4 60-62U,-0.21
61,123.61,2671.6,1.08,77.0,118.0,1208_14-4 70-72,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),123.61,-1.06,3.36,1208-14-4 70-72U,-0.16
62,123.8,2675.8,1.01,25.0,34.0,1208_14-4 90-92,,123.8,-0.89,3.28,1208-14-4 90-92U,0.01
63,124.18,2682.9,1.04,101.0,17.0,1208_14-4 130-132,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),124.18,-1.39,4.01,1208-14-4 130-132U,-0.49
64,124.4,2686.2,0.8,12.0,7.0,1208_14-5 3-5,,124.4,-1.43,4.24,1208 14-5 3-5U,-0.53
65,124.47,2687.2,0.88,19.0,25.0,1208_14-5 10-12,,124.47,-1.53,4.26,1208 14-5 10-12U,-0.63
66,124.56,2688.6,0.91,17.0,116.0,1208_14-5 20-22,,124.56,-1.22,4.19,1208 14-5 20-22U,-0.32
67,124.65,2690.0,0.95,12.0,6.0,1208_14-5 30-32,,124.65,-1.21,4.11,1208 14-5 30-32U,-0.31
68,124.75,2693.1,0.97,13.0,15.0,1208_14-5 40-42,,124.75,-1.15,4.07,1208 14-5 40-42U,-0.25
69,124.84,2696.1,1.01,27.0,33.0,1208_14-5 50-52,,124.84,-1.13,3.8,1208-14-5 50-52U,-0.23
70,125.32,2708.2,0.92,13.0,9.0,1208_14-5 100-102,,125.32,-1.48,3.98,1208-14-5 100-102U,-0.58
71,125.53,2712.0,0.76,14.0,3.0,1208_14-5 123-125,,125.53,-1.4,4.2,1208-14-5 123-125U,-0.5
72,125.6,2713.2,0.77,9.0,4.0,1208_14-5 130-132,,125.6,-1.71,4.22,1208-14-5 130-132U,-0.81
73,125.86,2717.7,0.84,79.0,67.0,1208_14-6 8-10,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),125.86,-1.42,4.19,1208 14-6 8-10 U,-0.52
74,125.86,2717.7,0.84,79.0,67.0,1208_14-6 8-10,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),125.86,-1.45,4.23,1208 14-6 8-10U,-0.55
75,126.45,2728.0,0.93,18.0,29.0,1208_14-6 70-72,,126.45,-0.93,3.57,1208 14-6 70-72 U,-0.03
76,126.45,2728.0,0.93,18.0,29.0,1208_14-6 70-72,,126.45,-0.85,3.44,1208 14-6 70-72 U,0.05
77,126.45,2728.0,0.93,18.0,29.0,1208_14-6 70-72,,126.45,-0.98,3.56,1208 14-6 70-72 U R,-0.08
78,126.95,2742.3,0.83,39.0,,1208_14-6 123-125,,126.95,-0.67,3.41,1208 14-6 123-125U,0.23
79,126.95,2742.3,0.83,39.0,,1208_14-6 123-125,,126.95,-0.79,3.34,1208 14-6 123-125 U,0.11
80,126.95,2742.3,0.83,39.0,,1208_14-6 123-125,,126.95,-0.58,3.27,1208 14-6 123-125 U R,0.32
81,127.02,2744.1,1.0,36.0,51.0,1208_14-6 130-132,,127.02,-0.89,3.41,1208 14-6 130-132U,0.01
82,127.02,2744.1,1.0,36.0,51.0,1208_14-6 130-132,,127.02,-0.67,3.37,1208 14-6 130-132 U,0.23
83,127.11,2746.8,0.85,30.0,,1208_14-6 140-142,,127.11,-0.99,3.5,1208 14-6 140-142U,-0.09
84,127.11,2746.8,0.85,30.0,,1208_14-6 140-142,,127.11,-0.75,3.37,1208 14-6 140-142 U,0.15
85,127.11,2746.8,0.85,30.0,,1208_14-6 140-142,,127.11,-0.98,3.56,1208 14-6 140-142 U R,-0.08
86,127.11,2746.8,0.87,38.0,23.0,1208_14-6 140-142,,127.11,-0.99,3.5,1208 14-6 140-142U,-0.09
87,127.11,2746.8,0.87,38.0,23.0,1208_14-6 140-142,,127.11,-0.75,3.37,1208 14-6 140-142 U,0.15
88,127.11,2746.8,0.87,38.0,23.0,1208_14-6 140-142,,127.11,-0.98,3.56,1208 14-6 140-142 U R,-0.08
89,127.3,2752.2,0.92,16.0,23.0,1208_14-7 10-12,,127.3,-1.13,3.67,1208 14-7 10-12U,-0.23
90,127.3,2752.2,0.92,16.0,23.0,1208_14-7 10-12,,127.3,-0.93,3.51,1208 14-7 10-12U,-0.03
91,127.3,2752.2,0.92,16.0,23.0,1208_14-7 10-12,,127.3,-0.72,3.85,1208 14-7 10-12UR,0.18
92,127.4,2755.0,0.85,16.0,24.0,1208_14-7 20-22,,127.4,-1.25,3.7,1208 14-7 20-22U,-0.35
93,127.4,2755.0,0.85,16.0,24.0,1208_14-7 20-22,,127.4,-1.08,3.61,1208 14-7 20-22 U,-0.18
94,127.4,2755.0,0.85,16.0,24.0,1208_14-7 20-22,,127.4,-1.15,3.53,1208 14-7 20-22 U R,-0.25
95,127.4,2755.0,0.85,21.0,25.0,1208_14-7 20-22,,127.4,-1.25,3.7,1208 14-7 20-22U,-0.35
96,127.4,2755.0,0.85,21.0,25.0,1208_14-7 20-22,,127.4,-1.08,3.61,1208 14-7 20-22 U,-0.18
97,127.4,2755.0,0.85,21.0,25.0,1208_14-7 20-22,,127.4,-1.15,3.53,1208 14-7 20-22 U R,-0.25
