,mcd_x,age_ka,MgCa,FeCa,AlCa,notes,Unnamed: 6,mcd_y,d13C,d18O,Notes,Unnamed: 5
193,137.5,3037.1,0.84,22.0,118.0,1208_15-CC 10-12,,137.5,-1.27,3.34,1208 15-CC 10-12 RU,-0.37
194,137.6,3040.0,0.88,17.0,25.0,1208_15-CC 20-22,,137.6,-1.13,3.47,1208 15-CC 20-22U,-0.23
195,137.78,3045.7,1.05,24.0,354.0,1208 16-1 9-11R,,137.78,-1.68,3.63,1208 16-1 9-11U,-0.78
196,137.91,3047.9,1.11,31.0,110.0,1208_16-1 22-24,,137.91,-1.43,3.52,1208 16-1 22-24U,-0.53
197,137.91,3047.9,0.75,20.0,37.0,1208 16-1 22-24R,,137.91,-1.43,3.52,1208 16-1 22-24U,-0.53
198,137.98,3049.4,0.95,16.0,37.0,1208_16-1 30-32,,137.98,-1.21,3.43,1208 16-1 30-32U,-0.31
199,138.17,3052.9,0.8,15.0,35.0,1208_16-1 50-52,,138.17,-0.92,3.32,1208 16-1 50-52U,-0.02
200,138.28,3055.0,0.85,31.0,42.0,1208_16-1 62-64,,138.28,-0.97,3.19,1208 16-1 62-64U,-0.07
201,138.36,3056.4,0.93,29.0,32.0,1208_16-1 70-72,,138.36,-0.87,3.33,1208 16-1 70-72U,0.03
202,138.44,3058.0,0.89,64.0,49.0,1208_16-1 79-80,,138.44,-0.82,3.19,1208 16-1 79-80U,0.08
203,138.57,3061.5,0.9,23.0,28.0,1208_16-1 93-95,,138.57,-0.97,3.25,1208 16-1 93-95U,-0.07
204,138.64,3063.2,0.88,38.0,20.0,1208_16-1 100-102,,138.64,-0.96,3.26,1208 16-1 100-102U,-0.06
205,138.71,3065.1,1.05,20.0,15.0,1208_16-1 108-110,,138.71,-0.93,3.19,1208 16-1 108-110U,-0.03
206,138.79,3067.1,1.12,34.0,46.0,1208_16-1 116-118,,138.79,-0.9,3.14,1208 16-1 116-118U,0.0
207,138.92,3070.5,0.89,25.0,17.0,1208_16-1 130-132,,138.92,-0.73,3.14,1208 16-1 130-132U,0.17
208,139.01,3072.9,1.01,21.0,8.0,1208_16-1 140-142,,139.01,-0.98,3.17,1208 16-1 140-142U,-0.08
209,139.11,3075.4,1.05,25.0,27.0,1208_16-2 0-2,,139.11,-0.85,3.29,1208 16-2 0-2U,0.05
210,139.2,3077.8,0.99,21.0,46.0,1208_16-2 10-12,,139.2,-0.72,3.25,1208 16-2 10-12U,0.18
211,139.3,3080.3,1.02,25.0,29.0,1208_16-2 20-22,,139.3,-0.9,3.21,1208 16-2 20-22U,0.0
212,139.39,3082.7,1.09,22.0,19.0,1208_16-2 30-32,,139.39,-0.61,3.21,1208 16-2 30-32U,0.29
213,139.47,3084.7,0.95,21.0,25.0,1208_16-2 38-40,,139.47,-0.88,3.32,1208 16-2 38-40U,0.02
214,139.58,3087.6,1.05,,148.0,1208_16-2 50-52,,139.58,-0.81,3.4,1208 16-2 50-52 U,0.09
215,139.67,3090.0,0.93,20.0,10.0,1208_16-2 60-62,,139.67,-0.72,3.43,1208 16-2 60-62U,0.18
216,139.86,3095.0,0.93,25.0,18.0,1208_16-2 80-82,,139.86,-0.72,3.29,1208 16-2 80-82U,0.18
217,139.95,3097.5,0.96,40.0,42.0,1208_16-2 90-92,,139.95,-0.84,3.29,1208 16-2 90-92U,0.06
218,140.05,3100.0,0.93,33.0,19.0,1208_16-2 100-102,,140.05,-0.55,3.31,1208 16-2 100-102U,0.35
219,140.14,3102.1,0.96,14.0,57.0,1208_16-2 110-112,,140.14,-0.95,3.3,1208 16-2 110-112U,-0.05
220,140.42,3108.7,0.89,20.0,12.0,1208_16-2 140-142,,140.42,-0.91,3.26,1208 16-2 140-142U,-0.01
221,140.91,3120.0,0.83,16.0,4.0,1208 16_3 42-44,,140.91,-1.05,3.5,1208 16-3 42-44U,-0.15
222,140.99,3122.1,0.8,16.0,4.0,1208 16_3 50-52,,140.99,-1.07,3.53,1208 16-3 50-52U,-0.17
223,141.1,3125.2,0.82,19.0,23.0,1208 16_3 62-64,,141.1,-1.15,3.45,1208 16-3 62-64U,-0.25
224,141.17,3127.2,0.77,13.0,7.0,1208 16_3 70-72,,141.17,-1.23,3.52,1208 16-3 70-72U,-0.33
225,141.27,3129.8,0.68,27.0,34.0,1208 16_3 80-82,,141.27,-1.24,3.49,1208 16-3 80-82U,-0.34
226,141.83,3145.1,0.8,33.0,60.0,1208 16_3 140-142,,141.83,-1.24,3.23,1208 16-3 140-142U,-0.34
227,142.11,3152.7,0.91,23.0,28.0,1208 16_4 20-22,,142.11,-1.1,3.06,1208 16-4 20-22U,-0.2
228,142.2,3154.9,0.85,26.0,43.0,1208 16_4 29-31,,142.2,-0.97,3.0,1208 16-4 29-31U,-0.07
229,142.43,3161.1,0.94,,23.0,1208 16_4 54-56,,142.43,-0.99,2.91,1208 16-4 54-56U,-0.09
230,142.57,3164.8,0.97,43.0,50.0,1208 16_4 69-71,,142.57,-1.0,3.27,1208 16-4 69-71U,-0.1
231,143.71,3199.3,0.84,38.0,73.0,1208_16-5 40-42,,143.71,-0.58,3.21,1208-16-5 40-42U,0.32
232,144.16,3217.5,0.91,16.0,25.0,1208 16-5 88-90,,144.16,-0.81,3.04,1208 16-5 88-90U,0.09
233,144.16,3217.5,0.91,16.0,25.0,1208 16-5 88-90,,144.16,-0.59,3.0,1208 16-5 88-90UR,0.31
234,144.18,3218.2,0.89,52.0,85.0,1208_16-5 90-92,,144.18,-0.51,3.39,1208 16-5 90-92 U,0.39
235,144.27,3221.5,0.83,20.0,21.0,1208_16-5 100-102,,144.27,-0.89,3.18,1208 16-5 100-102 U,0.01
236,144.37,3224.9,0.97,11.0,15.0,1208_16-5 110-112,,144.37,-0.88,3.42,1208 16-5 110-112 U,0.02
237,144.37,3224.9,1.07,20.0,28.0,1208_16-5 110-112,,144.37,-0.88,3.42,1208 16-5 110-112 U,0.02
238,144.55,3231.6,0.79,15.0,20.0,1208_16-5 130-132,,144.55,-0.76,3.59,1208 16-5 130-132 U,0.14
239,145.78,3265.0,0.75,8.0,79.0,1208_16-6 110-112,,145.78,-0.51,3.59,1208 16-6 110-112 U,0.39
240,146.34,3280.0,0.8,21.0,32.0,1208_16-7 20-22,,146.34,-0.91,3.53,1208 16-7 20-22 U,-0.01
241,146.45,3282.6,0.77,32.0,447.0,1208_16-7 32-34,,146.45,-1.1,3.43,1208 16-7 32-34 U,-0.2
242,146.53,3284.4,0.84,14.0,19.0,1208_16-7 40-42,,146.53,-1.1,3.53,1208 16-7 40-42 U,-0.2
243,146.62,3286.7,0.77,17.0,32.0,1208_16-7 50-52,,146.62,-1.12,3.53,1208 16-7 50-52 U,-0.22
244,146.71,3288.9,0.87,18.0,29.0,1208_16-7 60-62,,146.71,-1.35,3.86,1208 16-7 60-62 U,-0.45
245,146.81,3291.1,0.76,11.0,8.0,1208_16-7 70-72,,146.81,-1.38,3.84,1208 16-7 70-72 U,-0.48
246,147.32,3303.4,0.89,19.0,24.0,1208_17-1 13-15,,147.32,-1.12,3.49,1208 17-1 13-15 U,-0.22
247,147.6,3310.0,0.71,15.0,10.0,1208 17-1 42-44,,147.6,-1.03,3.79,1208 17-1 42-44 U,-0.13
248,147.79,3314.2,0.85,34.0,48.0,1208 17-1 63-65,,147.79,-0.68,3.33,1208 17-1 63-65 U,0.22
249,147.87,3315.9,0.81,129.0,78.0,1208 17-1 71-73,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),147.87,-0.78,3.43,1208 17-1 71-73 U,0.12
250,147.87,3315.9,0.79,25.0,23.0,1208 17-1 71-73,,147.87,-0.78,3.43,1208 17-1 71-73 U,0.12
