age_ka,temp,temp_min1,temp_add1,temp_min2,temp_add2,d18O_sw,d18O_sw_min1,d18O_sw_add_1,d18O_sw_min2,d18O_sw_add2
2665.3,1.315,-0.65156,3.3367,-2.5687,5.1433,0.69416,0.25928,1.1677,-0.19726,1.5862
2669.5,1.5535,-0.44396,3.5518,-2.0854,5.3596,0.82098,0.40081,1.2592,0.029179,1.6512
2671.6,1.3152,-0.70992,3.3505,-2.5027,5.1778,0.74747,0.28874,1.1906,-0.11192,1.5836
2675.8,0.4101,-1.907,2.6798,-4.4081,4.7996,1.2248,0.67176,1.7127,0.16358,2.186
2682.9,-0.22933,-2.3957,1.9817,-4.6251,4.0111,1.328,0.86781,1.7679,0.41921,2.2028
2686.2,-0.5011,-2.5319,1.5526,-4.5803,3.7644,1.3275,0.86883,1.7568,0.43666,2.1834
2687.2,-0.030333,-2.1274,2.0304,-3.8422,3.8131,1.3701,0.9204,1.8099,0.54912,2.195
2688.6,0.47036,-1.555,2.3475,-3.4785,3.9624,1.4052,0.95891,1.8234,0.55448,2.1565
2690,0.72794,-1.2318,2.5933,-3.2189,4.1941,1.3933,0.96961,1.8138,0.5694,2.1459
2693.1,0.98567,-0.98985,2.9748,-2.7578,4.976,1.2541,0.81736,1.7178,0.40628,2.0932
2696.1,-0.60442,-2.7238,1.6912,-4.762,3.7907,1.1317,0.70642,1.5777,0.29548,1.9884
2708.2,-1.0338,-3.0739,1.114,-5.0358,3.0148,1.1078,0.68955,1.5589,0.27059,1.962
2712,-1.2987,-3.2862,0.70735,-5.1349,2.6765,1.0983,0.69203,1.5484,0.29495,1.969
2713.2,-0.83903,-2.7596,1.1476,-4.8795,3.072,1.2058,0.78356,1.6283,0.33985,2.0678
2717.7,-0.055458,-2.052,1.9273,-4.1031,4.0652,0.89893,0.39978,1.4302,-0.037125,1.8873
2728,-0.044056,-2.0904,2.0807,-4.1212,4.122,0.58031,0.11378,1.0305,-0.30182,1.4823
2742.3,0.43753,-1.6851,2.4257,-3.7132,4.4101,0.62864,0.1593,1.0713,-0.23467,1.4844
2744.1,-0.054243,-2.0497,2.1071,-3.995,4.0156,0.60776,0.16824,1.0542,-0.18542,1.4698
2746.8,-0.12323,-2.0364,2.0132,-3.865,3.9567,0.74797,0.30601,1.2318,-0.088399,1.6562
2752.2,-0.24197,-2.2918,1.7514,-3.9858,3.9567,0.73974,0.30894,1.1922,-0.086844,1.6706
2755,0.12783,-1.9692,2.0346,-3.7226,4.0826,0.85636,0.40245,1.2996,0.008414,1.7616
2762.3,0.03273,-1.8632,2.0197,-3.5767,4.1198,0.71878,0.2825,1.1697,-0.11825,1.6396
2766.1,1.0665,-1.0886,3.0753,-3.1661,5.3719,0.8542,0.3922,1.2975,-0.058345,1.787
2771,2.1077,0.25054,4.2305,-2.0583,5.8797,1.0627,0.65181,1.5144,0.18894,1.9011
2773.6,0.95556,-1.0246,3.3406,-2.9959,5.4573,0.7872,0.31826,1.2968,-0.096645,1.7569
2776.2,-0.09735,-2.0814,1.8556,-4.3014,3.9304,0.53681,0.10868,0.98793,-0.36302,1.4155
2780,0.096596,-1.8382,2.1273,-3.9363,4.0869,0.59087,0.14996,1.0282,-0.25369,1.4511
2785.4,-0.25361,-2.2841,1.7538,-4.0097,3.766,0.50932,0.081503,0.96755,-0.32243,1.3935
2791.4,0.55417,-1.6802,2.5546,-3.6847,4.6054,0.66839,0.19099,1.0996,-0.23105,1.4912
2795,-0.26154,-2.6448,1.8593,-4.5574,3.9113,0.85103,0.40724,1.2956,-0.0055782,1.702
2799.3,-0.47068,-2.6257,1.6851,-4.4899,3.5258,0.78492,0.34019,1.256,-0.065762,1.6867
2805.4,-0.33711,-2.4215,1.7472,-4.3043,3.6249,0.80689,0.33055,1.2853,-0.12214,1.7351
2813.3,-0.30684,-2.3323,1.6788,-4.3167,3.6433,0.89563,0.40334,1.3521,-0.086872,1.7995
2815.7,0.256,-1.8844,2.1697,-3.9785,4.2154,0.96146,0.51454,1.3879,0.087137,1.8291
2819.1,-0.56451,-2.5499,1.6509,-4.5439,3.8838,0.48903,-0.0082658,1.0603,-0.42994,1.5472
2822.5,0.025839,-2.0922,2.0526,-4.1146,4.0279,0.43685,-0.021122,0.88011,-0.45498,1.302
2832.1,0.17667,-2.0155,2.1776,-4.0194,4.135,0.48032,0.0016129,0.91695,-0.44893,1.312
2834.1,-0.82128,-3.0113,1.132,-5.1623,3.4135,0.3766,-0.072727,0.78107,-0.49429,1.2023
2837,-0.059432,-2.251,2.1035,-4.1222,4.3137,0.68599,0.19136,1.1819,-0.2788,1.6394
2841.7,0.48829,-1.7188,2.6003,-3.4436,4.7156,0.83019,0.37224,1.2935,-0.045405,1.7317
2843.5,0.12948,-1.9674,2.3363,-4.0605,4.4584,0.83877,0.40314,1.2918,-0.037013,1.7553
2845.2,-0.81984,-2.8403,1.2476,-4.7309,3.1255,0.64201,0.2092,1.0766,-0.25382,1.5383
2847.5,-0.48265,-2.5946,1.5434,-4.4538,3.6058,0.79753,0.32485,1.2643,-0.15422,1.7179
2848.8,-0.14588,-2.0993,1.8414,-4.1342,3.7599,0.84852,0.40244,1.2972,-0.0341,1.705
2852.3,-0.022836,-1.951,1.9068,-4.0854,3.8346,0.86686,0.41948,1.3157,-0.013786,1.7293
2854,1.1254,-1.0409,3.216,-2.9845,5.1952,0.899,0.4832,1.3383,0.020257,1.7395
2855.8,0.056789,-2.2272,2.4386,-4.0117,4.613,0.568,0.071781,1.0767,-0.35795,1.5762
2857.5,-0.099303,-2.1559,1.9333,-3.9107,3.7902,0.52191,0.061207,0.94712,-0.34953,1.3803
2860.1,-0.53114,-2.6946,1.5177,-4.4554,3.2914,0.48097,0.021712,0.90212,-0.38403,1.3091
2863.3,-0.78184,-2.8647,1.1711,-4.6058,2.9048,0.38999,-0.049312,0.80538,-0.42965,1.1883
2865,0.033623,-1.9542,2.1432,-4.0211,4.0772,0.46862,0.041697,0.90063,-0.41877,1.3256
