age_ka,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,Dd18O_ice,Dd18O_temp,SeaTemp
4622.00000,7.21100,0.00000,0.00000,54.65400,4.15400,-15.00000,-15.00000,-49.90700,-21.07700,-0.18300,0.02600,-0.10300
4621.00000,8.26900,0.00000,0.00000,54.19400,3.69400,-15.00000,-15.00000,-49.90700,-21.07700,-0.19200,0.01100,-0.04200
4620.00000,9.31700,0.00000,0.00000,49.53100,3.16600,-15.00000,-15.00000,-49.90700,-21.07700,-0.25800,0.05300,-0.21000
4619.00000,10.35500,0.00000,0.00000,48.48300,2.64200,-15.00000,-15.00000,-49.90700,-21.07700,-0.27400,0.04500,-0.18000
4618.00000,11.21700,0.00000,0.00000,47.44500,2.12300,-15.00000,-15.00000,-49.90700,-21.07700,-0.29100,0.04200,-0.16800
4617.00000,11.03000,0.00000,0.00000,46.58300,1.69200,-15.00000,-15.00000,-49.90700,-21.07700,-0.30500,0.06000,-0.24100
4616.00000,10.84300,0.00000,0.00000,46.77000,1.78500,-15.00000,-15.00000,-49.72000,-19.64900,-0.30500,0.06400,-0.25700
4615.00000,10.65600,0.00000,0.00000,46.95700,1.87800,-15.00000,-15.00000,-49.56700,-18.87000,-0.30400,0.06800,-0.27200
4614.00000,10.46800,0.00000,0.00000,47.14400,1.97200,-15.00000,-15.00000,-49.44200,-18.46200,-0.30300,0.07100,-0.28500
4613.00000,10.38000,0.00000,0.00000,47.33200,2.06600,-15.00000,-15.00000,-49.34200,-18.27000,-0.30200,0.07200,-0.28700
4612.00000,10.38000,0.00000,0.00000,47.42000,2.11000,-15.00000,-15.00000,-49.26000,-18.17600,-0.30100,0.07100,-0.28600
4611.00000,10.38000,0.00000,0.00000,47.42000,2.11000,-15.00000,-15.00000,-49.18800,-18.11900,-0.30200,0.07200,-0.29000
4610.00000,10.38000,0.00000,0.00000,47.42000,2.11000,-15.00000,-15.00000,-49.12700,-18.08400,-0.30300,0.07300,-0.29300
4609.00000,10.38000,0.00000,0.00000,47.42000,2.11000,-15.00000,-15.00000,-49.07400,-18.06200,-0.30400,0.07400,-0.29600
4608.00000,9.51000,0.00000,0.00000,47.42000,2.11000,-15.00000,-15.00000,-49.02800,-18.04900,-0.30500,0.09500,-0.37800
4607.00000,8.56000,0.00000,0.00000,48.29000,2.54500,-15.00000,-15.00000,-49.02200,-18.25800,-0.29100,0.10200,-0.41000
4606.00000,7.60100,0.00000,0.00000,49.24000,3.02000,-15.00000,-15.00000,-49.05400,-18.60300,-0.27500,0.10900,-0.43500
4605.00000,6.63500,0.00000,0.00000,50.19900,3.49900,-15.00000,-15.00000,-49.11700,-19.02600,-0.25900,0.11400,-0.45600
4604.00000,5.93700,0.00000,0.00000,54.48300,3.98300,-15.00000,-15.00000,-49.32800,-19.49600,-0.19600,0.06700,-0.26700
4603.00000,5.83900,0.00000,0.00000,54.83200,4.33200,-15.00000,-15.00000,-49.52400,-19.94700,-0.18700,0.06000,-0.23900
4602.00000,5.74200,0.00000,0.00000,54.88000,4.38000,-15.00000,-15.00000,-49.69600,-20.27800,-0.18300,0.05800,-0.23300
4601.00000,5.64400,0.00000,0.00000,54.92900,4.42900,-15.00000,-15.00000,-49.84700,-20.52700,-0.18000,0.05700,-0.22800
4600.00000,5.54600,0.00000,0.00000,54.97800,4.47800,-15.00000,-15.00000,-49.98100,-20.71900,-0.17700,0.05600,-0.22400
4599.00000,5.17100,0.00000,0.00000,55.02700,4.52700,-15.00000,-15.00000,-50.09800,-20.87100,-0.17400,0.06100,-0.24500
4598.00000,4.67900,0.00000,0.00000,55.21500,4.71500,-15.00000,-15.00000,-50.20800,-21.04700,-0.16800,0.06700,-0.26700
4597.00000,4.18500,0.00000,0.00000,55.46100,4.96100,-15.00000,-15.00000,-50.31200,-21.25800,-0.16200,0.07100,-0.28400
