site,hole,core,section,top,bottom,mcd,age_ka,d18O,FeCa,MnCa,AlCa,MgCa,BWT,d18O_sw,RSL
1313,B,12,3,64,66,117.58,2477.80,3.70,0.102,0.385,0.170,2.03,6.74,0.60,-54.74
1313,B,12,3,68,70,117.62,2478.47,3.83,,,,,,,
1313,B,12,3,72,74,117.66,2479.38,4.02,0.062,0.478,0.198,1.66,5.00,0.83,-75.90
1313,B,12,3,76,78,117.70,2480.29,4.40,0.065,0.562,1.390,1.91,6.24,1.28,-116.10
1313,B,12,3,80,82,117.74,2481.20,4.31,0.066,0.487,0.134,1.57,4.51,1.10,-100.03
1313,B,12,3,84,86,117.78,2482.11,4.50,0.054,0.463,0.176,1.57,4.51,1.29,-117.30
1313,B,12,3,88,90,117.82,2483.02,4.60,0.064,0.453,0.116,1.66,5.01,1.42,-128.67
1313,B,12,3,96,98,117.90,2484.89,4.54,0.049,0.424,0.194,1.72,5.30,1.37,-124.55
1313,B,12,3,104,106,117.98,2486.76,4.60,0.049,0.458,0.296,1.82,5.81,1.46,-132.33
1313,B,12,3,112,114,118.06,2488.62,4.46,0.067,0.638,0.195,1.64,4.89,1.27,-115.42
1313,B,12,3,120,122,118.14,2490.49,4.26,0.350,0.707,0.214,2.06,6.89,1.17,-106.32
1313,B,12,3,128,130,118.22,2492.36,,0.125,0.497,0.108,2.31,7.90,,
1313,B,12,3,136,138,118.30,2493.99,3.95,0.055,0.507,0.300,1.88,6.09,0.82,-74.51
1313,B,12,3,144,146,118.38,2495.62,3.82,0.111,0.999,0.286,1.87,6.07,0.69,-62.59
1313,B,12,4,0,2,118.44,2496.79,3.30,0.073,0.466,1.048,2.07,6.95,0.21,-19.33
1313,B,12,4,2,4,118.46,2497.15,3.62,0.076,0.524,0.161,2.15,7.29,0.55,-49.94
1313,B,12,4,8,10,118.52,2498.20,3.24,0.199,0.466,0.202,2.17,7.36,0.18,-16.10
1313,B,12,4,10,12,118.54,2498.56,3.45,,,,,,,
1313,B,12,4,18,20,118.62,2499.97,3.13,0.116,0.509,0.826,2.47,8.51,0.12,-11.32
1313,B,12,4,28,30,118.72,2501.73,3.19,0.159,0.439,1.467,2.38,8.19,0.16,-14.59
1313,B,12,4,30,32,118.74,2502.08,,0.258,0.407,0.121,2.39,8.22,,
1313,B,12,4,32,34,118.76,2502.43,,0.139,0.588,0.121,2.22,7.57,,
1313,B,12,4,34,36,118.78,2502.78,,0.119,0.611,0.104,2.29,7.83,,
1313,B,12,4,38,40,118.82,2503.49,3.19,0.115,0.356,1.042,1.82,5.81,0.05,-4.40
1313,B,12,4,42,44,118.86,2504.19,,0.333,0.629,0.248,2.41,8.29,,
1313,B,12,4,44,46,118.88,2504.55,,0.087,0.406,0.173,1.66,5.04,,
1313,B,12,4,50,52,118.94,2505.60,,0.189,0.565,0.233,2.61,8.98,,
1313,B,12,4,54,56,118.98,2506.31,,0.501,0.458,0.426,2.35,8.07,,
1313,B,12,4,56,58,119.00,2506.66,,0.185,0.476,0.309,2.46,8.47,,
