site,hole,core,section,top,bottom,mcd,age_ka,d18O,FeCa,MnCa,AlCa,MgCa,BWT,d18O_sw,RSL
1313,B,13,1,135,137,125.35,2640.41,3.63,0.100,0.448,0.300,2.12,7.28,0.56,-50.82
1313,B,13,1,140,142,125.40,2641.37,3.79,0.115,0.367,0.173,1.83,6.01,0.66,-59.61
1313,B,13,1,145,147,125.45,2642.32,3.74,0.080,0.362,0.325,2.08,7.11,0.66,-60.03
1313,B,13,2,5,7,125.55,2644.24,3.70,,,,,,,
1313,B,13,2,15,17,125.65,2646.02,3.70,0.084,0.386,0.181,2.00,6.76,0.60,-54.83
1313,B,13,2,25,27,125.76,2647.98,3.73,0.102,0.569,0.554,1.96,6.60,0.63,-56.84
1313,B,13,2,35,37,125.86,2649.77,,0.101,0.417,0.210,2.59,9.06,,
1313,B,13,2,45,47,125.96,2651.63,3.30,0.084,0.419,0.214,2.18,7.55,0.24,-22.06
1313,B,13,2,55,57,126.06,2654.09,2.98,0.069,0.348,0.215,2.81,9.76,0.03,-2.98
1313,B,13,2,65,67,126.16,2656.55,3.15,0.076,0.402,0.235,2.11,7.26,0.08,-7.11
1313,B,13,2,75,77,126.26,2659.01,2.98,0.077,0.460,0.344,2.38,8.33,-0.04,3.52
1313,B,13,2,80,82,126.31,2660.24,3.26,0.086,0.800,,2.40,8.39,0.24,-22.24
1313,B,13,2,85,87,126.36,2661.47,2.86,,,,,,,
1313,B,13,2,90,92,126.41,2662.70,3.14,0.069,0.370,,1.80,5.87,0.00,0.12
1313,B,13,2,95,97,126.46,2663.93,3.07,0.179,0.686,0.765,2.64,9.23,0.10,-8.79
1313,B,13,2,100,102,126.51,2665.16,,0.101,0.847,0.015,2.11,7.27,,
1313,B,13,2,105,107,126.56,2666.39,3.12,0.148,0.457,0.764,2.58,9.03,0.14,-12.43
1313,B,13,2,110,112,126.61,2667.62,3.30,0.095,0.863,,2.13,7.35,0.23,-21.16
1313,B,13,2,115,117,126.66,2668.85,3.10,,,,,,,
1313,B,13,2,120,122,126.71,2670.08,3.24,0.096,0.550,,2.29,7.99,0.20,-18.60
1313,B,13,2,125,127,126.76,2671.31,3.55,,,,,,,
1313,B,13,2,130,132,126.81,2672.54,3.35,0.237,0.499,2.797,3.08,10.59,0.44,-40.43
1313,B,13,2,135,137,126.86,2673.77,3.01,0.142,0.924,0.234,2.28,7.96,-0.03,2.46
1313,B,13,2,145,147,126.96,2676.23,3.08,0.221,0.412,0.182,2.80,9.75,0.13,-12.06
1313,B,13,3,5,7,127.06,2678.70,3.53,,,,,,,
1313,B,13,3,15,17,127.16,2680.81,3.41,0.086,0.355,0.288,2.25,7.83,0.37,-33.31
1313,B,13,3,25,27,127.26,2682.42,3.77,0.198,0.507,0.316,1.95,6.58,0.66,-60.35
1313,B,13,3,30,32,127.31,2683.23,3.68,0.050,0.307,0.206,2.00,6.83,0.59,-53.32
1313,B,13,3,35,37,127.36,2684.04,4.08,0.124,1.048,0.112,2.37,8.30,1.06,-96.38
1313,B,13,3,45,47,127.46,2685.65,3.99,0.099,0.514,0.178,1.98,6.72,0.89,-81.00
1313,B,13,3,55,57,127.56,2687.26,3.92,0.088,0.361,0.297,2.04,7.01,0.84,-75.97
1313,B,13,3,65,67,127.66,2688.88,4.00,0.078,0.349,0.104,1.85,6.12,0.87,-79.16
1313,B,13,3,75,77,127.76,2690.63,3.80,0.055,0.416,0.129,2.12,7.32,0.73,-66.47
1313,B,13,3,85,87,127.86,2692.70,3.70,0.057,0.388,0.165,2.07,7.13,0.62,-56.48
1313,B,13,3,95,97,127.96,2694.76,3.43,0.073,0.446,0.270,2.46,8.63,0.43,-38.78
1313,B,13,3,105,107,128.06,2696.83,3.60,0.068,0.431,0.157,2.34,8.20,0.58,-52.28
1313,B,13,3,115,117,128.16,2698.89,3.60,,,,,,,
1313,B,13,3,125,127,128.26,2700.96,3.50,0.091,0.599,0.320,2.39,8.40,0.48,-44.08
1313,B,13,3,135,137,128.36,2703.02,3.74,0.062,0.377,0.264,2.11,7.32,0.67,-61.01
1313,B,13,3,145,147,128.46,2705.02,3.79,0.132,0.593,0.238,2.24,7.85,0.75,-67.94
1313,B,13,4,0,2,128.51,2705.99,4.06,0.063,0.526,0.207,1.97,6.69,0.96,-87.21
1313,B,13,4,5,7,128.56,2706.95,3.80,0.075,0.433,0.282,2.13,7.39,0.73,-66.79
1313,B,13,4,10,12,128.61,2707.92,4.01,0.120,0.435,0.282,1.51,4.37,0.79,-72.12
1313,B,13,4,15,17,128.66,2708.88,4.05,0.088,0.452,0.372,1.95,6.63,0.95,-86.05
1313,B,13,4,20,22,128.71,2709.85,4.02,0.087,0.630,0.244,1.74,5.60,0.86,-78.62
1313,B,13,4,25,27,128.76,2710.81,3.90,0.073,0.490,0.517,2.12,7.33,0.83,-75.59
1313,B,13,4,30,32,128.81,2711.77,4.08,,,,,,,
1313,B,13,4,35,37,128.86,2712.73,4.23,0.111,0.498,0.361,1.94,6.55,1.12,-102.05
1313,B,13,4,40,42,128.91,2713.70,4.19,0.090,0.339,0.192,1.97,6.73,1.09,-99.21
1313,B,13,4,45,47,128.96,2714.66,4.16,0.088,0.435,0.252,2.23,7.79,1.11,-101.31
1313,B,13,4,50,52,129.01,2715.63,4.24,0.100,0.539,0.307,1.71,5.46,1.08,-98.01
1313,B,13,4,55,57,129.06,2716.59,3.96,0.815,0.538,0.366,1.83,6.06,0.83,-75.26
1313,B,13,4,65,67,129.16,2718.52,3.95,0.051,0.370,0.172,1.46,4.09,0.72,-65.43
1313,B,13,4,75,77,129.26,2720.45,4.09,0.191,0.459,0.274,1.54,4.54,0.88,-80.18
1313,B,13,4,85,87,129.36,2722.38,4.05,0.068,0.478,0.149,1.72,5.52,0.89,-80.98
1313,B,13,4,95,97,129.46,2724.31,3.60,0.153,0.367,0.632,1.87,6.24,0.48,-43.35
1313,B,13,4,105,107,129.56,2726.23,3.90,0.258,0.444,0.225,2.07,7.14,0.82,-74.70
1313,B,13,4,115,117,129.66,2728.16,3.85,0.515,0.596,0.256,2.18,7.61,0.80,-72.34
1313,B,13,4,125,127,129.76,2730.09,3.65,0.325,0.418,0.163,2.21,7.71,0.60,-54.58
1313,B,13,4,135,137,129.86,2732.22,3.53,0.084,0.721,0.441,2.28,8.01,0.50,-45.04
1313,B,13,4,145,147,129.96,2734.53,3.29,0.099,0.575,0.198,2.35,8.25,0.27,-24.31
1313,B,13,5,5,7,130.06,2736.84,3.41,0.086,0.754,0.434,2.07,7.13,0.33,-30.14
1313,B,13,5,15,17,130.16,2739.16,3.05,0.594,0.680,1.762,2.07,7.15,-0.03,2.49
1313,B,13,5,25,27,130.26,2741.47,3.16,,0.450,0.355,2.49,8.76,0.16,-14.84
1313,B,13,5,35,37,130.36,2743.78,3.12,0.081,0.320,0.151,2.04,7.02,0.04,-3.28
1313,B,13,5,37,39,"130,38",2744.24,3.17,0.30,0.52,,2.05,7.05,0.09,-8.30
1313,B,13,5,39,41,"130,4",2744.70,,,,,,,,
1313,B,13,5,41,43,"130,42",2745.17,2.99,,0.43,,1.98,6.78,-0.11,9.76
1313,B,13,5,43,45,"130,44",2745.63,3.12,0.42,1.22,0.46,2.38,8.38,0.11,-9.71
1313,B,13,5,45,47,130.46,2746.09,2.91,0.119,0.363,0.252,2.50,8.82,-0.08,7.64
1313,B,13,5,45,47,"130,46",2746.09,3.08,0.22,0.44,,2.23,7.81,0.03,-2.90
1313,B,13,5,47,49,"130,48",2746.55,,0.27,0.74,,2.09,7.22,,
1313,B,13,5,49,51,"130,5",2747.01,3.16,0.17,0.61,0.20,1.98,6.76,0.06,-5.46
1313,B,13,5,51,53,"130,52",2747.48,,,,,,,,
1313,B,13,5,53,55,"130,54",2748.05,,,,,,,,
1313,B,13,5,55,57,130.56,2748.40,2.62,0.112,0.491,0.186,2.44,8.61,-0.38,34.94
1313,B,13,5,57,59,"130,58",2748.75,,,,,,,,
1313,B,13,5,59,61,"130,6",2749.33,3.08,0.25,0.39,0.29,2.03,6.99,0.00,0.07
1313,B,13,5,60,62,130.61,2749.56,3.12,0.120,0.567,,2.03,6.99,0.03,-3.12
1313,B,13,5,61,63,"130,62",2749.79,3.08,0.17,0.50,,1.99,6.82,-0.02,1.50
1313,B,13,5,65,67,130.66,2750.72,3.03,0.280,0.471,1.653,2.46,8.67,0.03,-2.60
1313,B,13,5,70,72,130.71,2751.96,3.04,0.074,0.437,,2.27,7.97,0.00,-0.31
1313,B,13,5,75,77,130.76,2753.20,3.26,0.172,0.812,,2.51,8.85,0.27,-24.32
1313,B,13,5,80,82,130.81,2754.56,3.23,0.083,0.546,,2.35,8.27,0.21,-18.96
1313,B,13,5,85,87,130.86,2755.91,3.50,,0.468,1.871,3.02,10.47,0.59,-53.51
1313,B,13,5,90,92,130.91,2757.27,3.29,0.097,0.386,,2.11,7.33,0.22,-20.13
1313,B,13,5,95,97,130.96,2758.63,3.46,0.125,0.580,,1.93,6.55,0.35,-32.03
1313,B,13,5,100,102,131.01,2759.99,3.41,0.099,0.388,,2.14,7.45,0.35,-31.61
1313,B,13,5,105,107,131.06,2761.34,3.34,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
