depth,age_ka,d18O,d18O_adj
42.87,1046.9,3.87,4.51
43.17,1053.5,3.21,3.85
43.32,1057.2,3.3,3.94
43.54,1062.5,3.24,3.88
43.71,1066.8,2.5,3.14
43.79,1068.8,2.5,3.14
43.92,1072.1,2.29,2.93
44.07,1075.9,2.35,2.99
44.22,1079.8,2.56,3.2
44.37,1084.2,2.68,3.32
44.67,1092.9,3.05,3.69
44.82,1097.2,3.2,3.84
44.9,1099.5,3.11,3.75
45.04,1103.5,2.95,3.59
45.12,1105.5,3.11,3.75
45.29,1109.1,2.89,3.53
45.4,1111.1,2.79,3.43
45.57,1114.2,3.19,3.83
45.87,1122.1,3.53,4.17
46.02,1126.8,3.99,4.63
46.09,1128.9,3.51,4.15
46.24,1133.6,3.34,3.98
46.41,1138.9,3.19,3.83
46.64,1146.1,3.14,3.78
46.79,1150.6,3.03,3.67
46.92,1154.3,2.76,3.4
47.3,1164.9,2.73,3.37
47.52,1169.9,2.75,3.39
47.67,1172.8,2.77,3.41
47.8,1175.2,2.85,3.49
47.91,1177.2,3.08,3.72
48.04,1179.5,2.67,3.31
48.12,1181,2.72,3.36
48.29,1184.1,2.79,3.43
48.42,1186.4,3.45,4.09
48.46,1187.3,2.9,3.54
48.57,1189.7,3.5,4.14
48.7,1192.6,3.52,4.16
48.72,1193,3.55,4.19
48.87,1196.3,3.79,4.43
49.02,1199.7,3.79,4.43
49.09,1201.2,3.67,4.31
49.17,1203,3.57,4.21
49.32,1206.2,3.58,4.22
49.39,1207.6,3.86,4.5
49.54,1211.1,3.51,4.15
49.62,1213.7,3.42,4.06
49.79,1219.5,3.14,3.78
49.92,1224,2.96,3.6
50.07,1228.8,2.54,3.18
50.22,1233.2,2.47,3.11
50.37,1237.2,2.56,3.2
50.52,1240.6,2.52,3.16
50.82,1246.6,3.72,4.36
50.89,1247.7,3.79,4.43
51.04,1250,3.87,4.51
51.12,1251.1,3.84,4.48
51.21,1252.4,3.76,4.4
51.29,1253.5,3.58,4.22
51.57,1257,3.26,3.9
51.7,1258.5,3.17,3.81
51.87,1260.2,3.11,3.75
52.02,1261.8,3.24,3.88
52.26,1264.3,3.28,3.92
52.4,1266.2,3.18,3.82
52.55,1268.6,3.71,4.35
52.66,1270.2,3.71,4.35
52.7,1270.8,3.6,4.24
52.85,1273.1,3.35,3.99
53,1275.6,3,3.64
53.13,1278,3.01,3.65
53.21,1279.5,2.92,3.56
53.37,1283.1,2.9,3.54
53.62,1291.5,3.3,3.94
53.75,1296.6,3.24,3.88
53.9,1303.2,3.36,4
54.05,1311.8,2.74,3.38
54.2,1318.3,3.41,4.05
54.35,1324.8,3.14,3.78
54.5,1331.2,3.49,4.13
54.65,1337.1,3.62,4.26
54.71,1339.3,3.45,4.09
54.87,1344.8,2.85,3.49
54.97,1347.1,2.93,3.57
55.12,1350.5,2.56,3.2
55.25,1353.5,2.45,3.09
55.4,1356.9,2.73,3.37
55.7,1363,3.07,3.71
55.85,1365.8,3.2,3.84
56,1368.7,3.45,4.09
56.13,1371.2,3.57,4.21
56.37,1375.8,3.55,4.19
56.47,1377.8,3.53,4.17
56.62,1381.1,3.07,3.71
56.75,1384.5,3.11,3.75
56.9,1388.5,2.9,3.54
57.05,1393,2.84,3.48
57.2,1397.9,2.74,3.38
57.35,1402,2.95,3.59
57.5,1406.3,3.41,4.05
57.67,1411.6,3.51,4.15
57.93,1418.9,3.24,3.88
58.03,1421.8,3.46,4.1
58.25,1429,2.98,3.62
58.4,1434.6,2.59,3.23
58.55,1440.4,2.69,3.33
58.7,1445.8,2.84,3.48
59,1453.6,3.4,4.04
59.14,1456.1,3.62,4.26
59.21,1457.5,3.29,3.93
59.37,1460.5,3.74,4.38
59.45,1462.1,3.7,4.34
59.62,1465.3,3.47,4.11
59.9,1470.8,2.92,3.56
60.2,1477.1,2.67,3.31
60.5,1485,2.7,3.34
60.65,1489.1,2.74,3.38
60.87,1495.5,3.63,4.27
60.95,1497.3,3.73,4.37
61.12,1500.9,3.8,4.44
61.25,1503.6,3.58,4.22
61.4,1506.8,3.36,4
61.48,1508.4,3.44,4.08
61.55,1510.2,3.36,4
61.7,1514.3,3,3.64
61.85,1519,2.94,3.58
62,1523.6,3.02,3.66
62.08,1526.1,2.98,3.62
62.38,1533,3.63,4.27
62.71,1539.2,3.78,4.42
62.86,1542.1,3.57,4.21
63.11,1546.8,3.44,4.08
63.22,1548.9,3.27,3.91
63.54,1555,3.28,3.92
63.62,1556.5,3.06,3.7
63.69,1557.8,2.9,3.54
63.86,1561.1,2.8,3.44
63.99,1563.5,2.86,3.5
64.12,1566,2.89,3.53
64.21,1567.7,2.95,3.59
64.36,1570.2,3.33,3.97
64.44,1571.6,3.52,4.16
64.61,1574.2,3.75,4.39
64.74,1576.2,3.7,4.34
64.89,1578.4,3.56,4.2
65.02,1580.6,3.39,4.03
65.19,1583.5,3.3,3.94
65.34,1586.2,3.06,3.7
65.64,1591.9,3.3,3.94
65.71,1593.5,3.26,3.9
65.96,1599.3,2.81,3.45
66.22,1605.5,2.89,3.53
66.39,1609.5,2.88,3.52
66.52,1612.6,3.18,3.82
66.69,1616.6,3.31,3.95
66.84,1620.1,2.98,3.62
66.99,1623.7,3.15,3.79
67.14,1627.2,3.23,3.87
67.2,1628.7,3.15,3.79
67.44,1635.3,2.86,3.5
67.61,1640.3,3.15,3.79
67.74,1643.4,3.3,3.94
68.04,1650.3,3.74,4.38
68.19,1653.1,3.59,4.23
68.49,1659.5,3.68,4.32
68.64,1663.1,3.7,4.34
68.86,1668.1,3.15,3.79
69.09,1672.8,3.09,3.73
69.24,1675.9,2.79,3.43
69.39,1679.1,2.86,3.5
69.54,1682.2,3.1,3.74
69.69,1686.2,2.95,3.59
69.84,1690.7,3.3,3.94
69.99,1695.6,2.97,3.61
70.12,1701.3,3.5,4.14
70.2,1706.3,3.6,4.24
70.36,1716.3,3.1,3.74
70.44,1721.1,2.92,3.56
70.61,1731.2,2.9,3.54
70.72,1737.7,3.08,3.72
70.89,1747.2,3.44,4.08
71.04,1752.5,3.05,3.69
71.19,1755.6,3.1,3.74
71.38,1758.8,2.85,3.49
71.55,1761.4,2.89,3.53
71.71,1763.5,3.22,3.86
72.01,1767.4,3.26,3.9
72.15,1768.9,3.15,3.79
72.31,1770.3,3.43,4.07
72.45,1771.4,3.2,3.84
72.6,1772.7,3.49,4.13
72.71,1773.7,2.62,3.26
72.86,1774.9,2.73,3.37
73.01,1776.4,2.76,3.4
73.23,1779.1,2.9,3.54
73.31,1780.1,2.91,3.55
73.48,1782.4,3.12,3.76
73.76,1786.5,3.35,3.99
74.06,1791.7,3.36,4
74.21,1795.7,3.39,4.03
74.36,1800,3.25,3.89
74.51,1804.6,3,3.64
74.73,1811.3,2.68,3.32
74.81,1814,2.82,3.46
74.98,1821.4,3.05,3.69
75.11,1827.6,2.95,3.59
75.26,1837.1,2.82,3.46
75.41,1844.7,2.94,3.58
75.56,1851,2.81,3.45
75.71,1857.1,3.02,3.66
75.86,1863.2,3.68,4.32
76.01,1869.4,3.23,3.87
76.23,1878.4,2.96,3.6
76.31,1881.6,2.98,3.62
76.48,1888,2.99,3.63
76.61,1892.8,2.82,3.46
76.76,1898.3,2.94,3.58
76.93,1904.1,3.24,3.88
77.06,1908,2.94,3.58
77.23,1912.8,2.92,3.56
77.36,1916.3,2.83,3.47
77.51,1920.2,2.96,3.6
77.73,1925,2.85,3.49
77.81,1926.7,3.05,3.69
78.11,1932.1,2.93,3.57
78.26,1934.8,2.72,3.36
78.41,1937,3.02,3.66
78.56,1939.2,2.82,3.46
78.71,1941.4,3.16,3.8
78.86,1943.6,3.3,3.94
79.01,1945.8,3.43,4.07
79.23,1949,3.5,4.14
79.31,1950.2,3.29,3.93
79.48,1952.7,3.52,4.16
79.76,1957.5,3.29,3.93
79.91,1960.5,3.33,3.97
80.06,1963.5,3.13,3.77
80.11,1964.5,3.05,3.69
80.21,1966.5,3.14,3.78
80.36,1969.5,2.97,3.61
80.49,1972.2,2.93,3.57
80.73,1978.2,2.7,3.34
80.81,1980.2,2.82,3.46
80.98,1984.5,2.65,3.29
81.09,1987.3,2.74,3.38
81.26,1990.8,3.4,4.04
81.41,1993.7,3.49,4.13
81.56,1996.3,3.27,3.91
81.71,1998.7,3.49,4.13
81.86,2001,2.97,3.61
82.01,2003.3,3.31,3.95
82.31,2006.5,2.72,3.36
82.46,2008,2.58,3.22
82.61,2009.4,3.04,3.68
82.7,2010.3,2.82,3.46
83.07,2013.8,3.42,4.06
83.15,2014.5,3.34,3.98
83.32,2016.2,3.33,3.97
83.45,2017.4,3.16,3.8
83.6,2018.8,3.14,3.78
83.77,2020.4,2.88,3.52
83.9,2021.7,3.01,3.65
84.05,2023.3,3,3.64
84.2,2025.3,2.73,3.37
84.35,2027.4,2.66,3.3
84.63,2031.4,2.74,3.38
84.93,2035.7,2.81,3.45
85.1,2038.4,2.95,3.59
85.23,2040.7,3.09,3.73
85.4,2043.6,3.15,3.79
85.57,2046.6,3.15,3.79
85.7,2048.8,3.01,3.65
85.85,2051.4,2.94,3.58
86.07,2055.3,2.93,3.57
86.17,2057,2.91,3.55
86.45,2061.9,3.08,3.72
86.6,2064.5,3.59,4.23
86.75,2067.4,3.41,4.05
86.9,2070.4,3.6,4.24
87.07,2073.7,3.54,4.18
87.2,2076.3,3.42,4.06
87.35,2079.3,3.39,4.03
87.57,2083.8,3.13,3.77
87.63,2085,3.13,3.77
87.82,2088.8,3.03,3.67
87.93,2090.9,2.86,3.5
88.1,2094.2,3.05,3.69
88.27,2097.5,2.97,3.61
88.4,2100.1,3.07,3.71
88.57,2103.6,2.85,3.49
88.7,2106.2,2.69,3.33
88.89,2110.1,2.73,3.37
89.07,2113.8,2.82,3.46
89.15,2115.4,2.73,3.37
89.32,2119.1,3.25,3.89
89.45,2121.9,3.1,3.74
89.75,2129.5,2.65,3.29
89.9,2133.7,2.52,3.16
90.05,2137.9,2.71,3.35
90.2,2142.1,2.9,3.54
90.57,2151.3,3.54,4.18
90.63,2152.8,3.72,4.36
90.93,2158.7,3.49,4.13
91.23,2165.5,3.22,3.86
91.4,2169.6,3.2,3.84
91.57,2174.2,2.9,3.54
91.7,2178.3,2.95,3.59
91.81,2181.8,2.79,3.43
91.95,2186.1,2.75,3.39
92.11,2190.2,2.95,3.59
92.25,2193.1,2.95,3.59
92.41,2196.8,2.98,3.62
92.55,2200.2,3.11,3.75
92.71,2204.1,3.08,3.72
92.85,2208.1,2.74,3.38
92.96,2211.2,2.97,3.61
93.11,2214.9,2.91,3.55
93.33,2219.8,2.9,3.54
93.41,2221.4,2.79,3.43
93.58,2224.4,2.75,3.39
93.71,2226.7,2.88,3.52
94.01,2232,2.54,3.18
94.31,2237.6,2.97,3.61
94.46,2240.4,3.48,4.12
94.61,2243.2,3.06,3.7
94.83,2247.3,3.08,3.72
94.91,2248.9,2.92,3.56
95.08,2252.1,2.67,3.31
95.21,2254.5,2.61,3.25
95.66,2263,2.51,3.15
95.81,2266.4,2.57,3.21
95.96,2269.9,2.94,3.58
96.11,2273.5,2.92,3.56
96.33,2278.6,3.35,3.99
96.43,2281,3.25,3.89
96.58,2284.5,3.22,3.86
97.01,2294.3,2.75,3.39
97.16,2297.7,2.67,3.31
97.31,2301.1,2.6,3.24
97.46,2304.5,2.76,3.4
97.61,2307.8,2.87,3.51
97.83,2312.8,3,3.64
97.91,2314.6,3,3.64
98.21,2321.4,3.13,3.77
98.36,2324.7,2.82,3.46
98.66,2331.6,2.89,3.53
98.96,2338.8,2.68,3.32
99.33,2346.1,2.5,3.14
99.41,2347.7,2.79,3.43
99.58,2351.1,2.86,3.5
99.71,2353.7,3.1,3.74
99.86,2356.6,3.18,3.82
100,2359.5,3.16,3.8
100.31,2365.7,3.07,3.71
100.46,2368.5,2.88,3.52
100.6,2371.6,2.58,3.22
100.82,2376.5,2.63,3.27
100.91,2378.5,2.79,3.43
101.08,2382.2,2.73,3.37
101.2,2384.9,2.77,3.41
101.36,2388.2,3.01,3.65
101.66,2393.5,3.13,3.77
102.39,2406.2,2.91,3.55
102.4,2406.3,3.05,3.69
102.48,2407.7,2.64,3.28
102.7,2411.5,2.71,3.35
102.78,2412.8,2.7,3.34
102.93,2415.8,2.76,3.4
103.08,2419,2.58,3.22
103.23,2422.2,2.74,3.38
103.35,2425,2.89,3.53
103.5,2427.8,3.11,3.75
103.72,2431.6,3.55,4.19
103.8,2432.8,3.74,4.38
103.97,2436.1,3.52,4.16
104.1,2438.5,3.56,4.2
104.4,2444.3,3.29,3.93
104.55,2447.1,3.1,3.74
104.85,2452.7,3.07,3.71
105.22,2461.4,2.62,3.26
105.3,2463.8,2.59,3.23
105.75,2475.5,2.84,3.48
105.9,2478.9,3.35,3.99
106.04,2481.6,3.49,4.13
106.2,2484.6,3.51,4.15
106.5,2490.4,3.39,4.03
106.72,2494.5,3.07,3.71
106.8,2496,3.07,3.71
107.07,2501.4,2.81,3.45
107.25,2505.7,2.64,3.28
107.4,2510.2,3.27,3.91
107.7,2518.3,3.78,4.42
107.85,2521.5,3.67,4.31
107.98,2523.9,3.66,4.3
108.22,2528.8,3.44,4.08
108.29,2530.5,3.52,4.16
108.47,2535.8,3.15,3.79
108.58,2539.2,2.92,3.56
108.75,2544.5,2.71,3.35
109.2,2558.6,2.74,3.38
109.72,2570.1,2.87,3.51
109.8,2571.7,2.97,3.61
109.97,2575,2.73,3.37
110.09,2577.3,2.64,3.28
110.25,2580.4,2.71,3.35
110.55,2586.2,2.59,3.23
110.7,2589,2.69,3.33
110.85,2591.6,2.67,3.31
111,2594.2,2.95,3.59
111.22,2598.1,2.97,3.61
111.3,2599.5,3.38,4.02
111.47,2602.9,3.16,3.8
111.6,2605.8,3.13,3.77
111.75,2609.1,3.08,3.72
111.9,2612.4,3.01,3.65
112.05,2616.5,2.77,3.41
112.26,2622.2,2.62,3.26
112.4,2626.1,2.41,3.05
112.56,2630.4,2.7,3.34
112.7,2634.3,2.74,3.38
112.86,2638.3,3.01,3.65
113,2641.4,3.12,3.76
113.16,2644.9,3.32,3.96
113.46,2652.3,2.83,3.47
113.6,2656.3,2.72,3.36
113.75,2660.5,2.48,3.12
114.18,2672.7,2.49,3.13
114.33,2677,2.73,3.37
114.64,2685.2,3.11,3.75
114.79,2687.8,3.32,3.96
115.09,2693,2.79,3.43
115.31,2696.8,2.98,3.62
115.55,2701.7,2.92,3.56
115.69,2704.7,3.31,3.95
115.84,2708,3.33,3.97
116.13,2714.2,3.46,4.1
116.44,2720.8,3.49,4.13
116.59,2724.8,2.82,3.46
116.89,2733.5,2.78,3.42
117.06,2739,2.75,3.39
117.18,2743.5,2.63,3.27
117.33,2749.6,2.59,3.23
117.46,2755,2.61,3.25
117.78,2767.3,2.52,3.16
117.94,2772.4,2.68,3.32
118.09,2775.6,3.36,4
118.37,2781.2,2.69,3.33
118.55,2785.6,2.57,3.21
118.69,2788.7,2.41,3.05
118.84,2792,2.69,3.33
119.14,2798.6,2.77,3.41
119.29,2801.8,2.95,3.59
119.43,2804.3,3.07,3.71
119.58,2806.9,3.12,3.76
119.8,2812,2.94,3.58
119.88,2814.2,2.97,3.61
120.06,2818.7,2.77,3.41
120.18,2821.5,2.66,3.3
120.49,2829.8,2.48,3.12
120.64,2834.3,2.48,3.12
121.07,2847.4,2.79,3.43
121.31,2854.7,2.89,3.53
121.38,2856.9,2.53,3.17
121.56,2862,2.68,3.32
121.68,2865.3,2.41,3.05
121.83,2868.8,2.54,3.18
121.98,2872.1,2.43,3.07
122.14,2875.6,2.74,3.38
122.43,2881.5,2.61,3.25
122.48,2882.5,2.59,3.23
123.09,2894.2,2.33,2.97
123.2,2896.2,2.54,3.18
123.35,2899,2.17,2.81
123.57,2903.3,2.37,3.01
123.65,2904.8,2.47,3.11
123.82,2908.8,2.5,3.14
123.95,2912.4,2.74,3.38
124.25,2920.7,2.71,3.35
124.4,2924.9,2.76,3.4
124.55,2929,2.19,2.83
124.7,2933,2.89,3.53
125.07,2940.5,2.35,2.99
125.13,2941.7,2.39,3.03
125.32,2945.5,2.21,2.85
125.45,2948,2.16,2.8
125.6,2951,2.17,2.81
125.75,2953.8,2.21,2.85
125.9,2956.5,2.36,3
126.05,2959.9,2.29,2.93
126.2,2963.7,2.39,3.03
126.33,2967.3,2.68,3.32
126.57,2973.1,2.75,3.39
126.65,2974.9,2.67,3.31
126.82,2978.7,2.62,3.26
126.95,2981.6,2.6,3.24
127.1,2984.8,2.42,3.06
127.25,2988.2,2.34,2.98
127.4,2991.6,2.6,3.24
127.57,2995.6,2.53,3.17
127.7,2998.5,2.58,3.22
127.85,3001.9,2.44,3.08
128.07,3008,2.61,3.25
128.15,3010.5,2.59,3.23
128.32,3015.8,2.75,3.39
128.43,3019.1,2.6,3.24
128.6,3023.9,2.66,3.3
128.75,3028.2,2.55,3.19
128.9,3032.2,2.21,2.85
129.05,3035.7,2.44,3.08
129.2,3039.5,2.34,2.98
129.35,3045.1,2.78,3.42
129.57,3053.3,2.58,3.22
129.65,3055.3,2.59,3.23
129.82,3059.6,2.26,2.9
129.95,3062.6,2.45,3.09
130.1,3065.7,2.06,2.7
130.23,3068.5,2,2.64
130.4,3072.1,2.33,2.97
130.7,3078.4,2.36,3
130.83,3081.2,2.19,2.83
131.15,3087.4,2.35,2.99
131.43,3092.9,2.37,3.01
131.62,3096.8,2.31,2.95
131.75,3099.5,2.43,3.07
131.92,3103.5,2.23,2.87
132.07,3107.1,2.38,3.02
132.2,3110.3,2.43,3.07
132.8,3132.5,2.33,2.97
132.95,3139.5,2.5,3.14
133.1,3145.9,2.19,2.83
133.32,3152.4,2.07,2.71
133.57,3158,2.13,2.77
133.7,3160.6,2.18,2.82
133.85,3163.5,2.21,2.85
134.15,3169.4,2.25,2.89
134.3,3172.3,2.24,2.88
134.45,3175.2,2.29,2.93
134.6,3178.1,2.43,3.07
134.82,3182.4,2.02,2.66
134.88,3183.6,2.05,2.69
135.07,3187.3,2.13,2.77
135.18,3189.4,1.98,2.62
135.35,3193.1,2.11,2.75
135.48,3196.1,1.93,2.57
135.65,3200.1,2.03,2.67
135.8,3204.3,2.07,2.71
136.1,3211.6,2.24,2.88
136.32,3217.4,2.02,2.66
136.43,3220,2.19,2.83
136.57,3223.2,2.07,2.71
136.7,3226,2.11,2.75
136.85,3229,2.08,2.72
137,3231.9,2.23,2.87
137.3,3237.4,2.1,2.74
137.82,3246.8,2.22,2.86
137.9,3248.3,2.08,2.72
138.07,3251.7,2.1,2.74
138.2,3255.2,2.47,3.11
138.35,3260.4,2.52,3.16
138.52,3270.7,2.9,3.54
138.65,3281.4,2.77,3.41
138.8,3294.5,3.13,3.77
138.95,3306.2,2.77,3.41
