label,mbsf,mcd,rmcd,age_ka,d18O,d13C,Reference
"138-849C-3H-2,146",22.96,29.2763,13.2351,1042,4.43,-0.29,"Mix et al., 1995"
"138-849D-3H-3,6",25.8,29.5483,13.3929,1052.08,4.19,-0.53,"Mix et al., 1995"
"138-849D-3H-3,16",25.9,29.6483,13.4509,1055.79,4.07,-0.45,"Mix et al., 1995"
"138-849D-3H-3,26",26,29.7483,13.5089,1059.55,3.93,-0.24,"Mix et al., 1995"
"138-849D-3H-3,36",26.1,29.8483,13.5635,1063.26,3.64,-0.13,"Mix et al., 1995"
"138-849D-3H-3,46",26.2,29.9483,13.6177,1066.91,3.5,-0.02,"Mix et al., 1995"
"138-849D-3H-3,56",26.3,30.0483,13.672,1070.61,3.27,0.09,"Mix et al., 1995"
"138-849D-3H-3,66",26.4,30.1483,13.7262,1074.19,3.38,-0.05,"Mix et al., 1995"
"138-849D-3H-3,76",26.5,30.2483,13.7804,1077.77,3.62,0.2,"Mix et al., 1995"
"138-849D-3H-3,86",26.6,30.3483,13.8346,1081.34,3.76,0.03,"Mix et al., 1995"
"138-849D-3H-3,96",26.7,30.4483,13.8888,1084.93,3.73,-0.1,"Mix et al., 1995"
"138-849D-3H-3,106",26.8,30.5483,13.943,1088.49,4.08,-0.16,"Mix et al., 1995"
"138-849D-3H-3,116",26.9,30.6483,13.9972,1092.07,3.66,-0.26,"Mix et al., 1995"
"138-849D-3H-3,126",27,30.7483,14.0514,1095.65,4.26,-0.3,"Mix et al., 1995"
"138-849D-3H-3,136",27.1,30.8483,14.1056,1099.22,4.06,-0.16,"Mix et al., 1995"
"138-849D-3H-3,146",27.2,30.9483,14.1599,1102.8,3.92,0.01,"Mix et al., 1995"
"138-849D-3H-4,16",27.4,31.1483,14.2683,1109.95,4,-0.2,"Mix et al., 1995"
"138-849D-3H-4,26",27.5,31.2483,14.3225,1113.53,4.04,-0.36,"Mix et al., 1995"
"138-849D-3H-4,36",27.6,31.3483,14.3767,1117.1,4.28,-0.44,"Mix et al., 1995"
"138-849D-3H-4,46",27.7,31.4483,14.4309,1120.63,4.18,-0.33,"Mix et al., 1995"
"138-849D-3H-4,56",27.8,31.5483,14.5067,1124.26,4.34,-0.34,"Mix et al., 1995"
"138-849D-3H-4,66",27.9,31.6483,14.6192,1129.07,4.24,-0.29,"Mix et al., 1995"
"138-849D-3H-4,76",28,31.7483,14.7316,1133.89,4.17,-0.39,"Mix et al., 1995"
"138-849D-3H-4,86",28.1,31.8483,14.8032,1138.71,3.96,-0.34,"Mix et al., 1995"
"138-849D-3H-4,96",28.2,31.9483,14.8307,1143.53,3.85,-0.05,"Mix et al., 1995"
"138-849D-3H-4,106",28.3,32.0483,14.8582,1148.35,3.79,-0.29,"Mix et al., 1995"
"138-849D-3H-4,116",28.4,32.1483,14.8857,1153.17,3.95,0.04,"Mix et al., 1995"
"138-849D-3H-4,126",28.5,32.2483,14.9132,1157.99,3.71,0.12,"Mix et al., 1995"
"138-849D-3H-4,136",28.6,32.3483,14.9407,1162.81,3.56,0.12,"Mix et al., 1995"
"138-849D-3H-4,146",28.7,32.4483,14.9682,1167.63,3.55,0.13,"Mix et al., 1995"
"138-849D-3H-5,6",28.8,32.5483,14.9957,1171.06,3.62,0.14,"Mix et al., 1995"
"138-849D-3H-5,16",28.9,32.6483,15.0233,1174.49,3.83,0.16,"Mix et al., 1995"
"138-849D-3H-5,26",29,32.7483,15.0713,1177.92,3.95,0.11,"Mix et al., 1995"
"138-849D-3H-5,36",29.1,32.8483,15.1514,1181.35,3.91,0.19,"Mix et al., 1995"
"138-849D-3H-5,46",29.2,32.9483,15.2315,1184.78,3.95,-0.3,"Mix et al., 1995"
"138-849D-3H-5,56",29.3,33.0483,15.3115,1188.21,4.25,-0.34,"Mix et al., 1995"
"138-849D-3H-5,66",29.4,33.1483,15.3914,1191.64,4.35,-0.31,"Mix et al., 1995"
"138-849D-3H-5,76",29.5,33.2483,15.4615,1195.07,4.49,-0.44,"Mix et al., 1995"
"138-849D-3H-5,86",29.6,33.3483,15.5317,1199.2,4.44,-0.36,"Mix et al., 1995"
"138-849D-3H-5,96",29.7,33.4483,15.6018,1203.33,4.1,-0.42,"Mix et al., 1995"
"138-849D-3H-5,106",29.8,33.5483,15.6719,1207.46,4.2,-0.39,"Mix et al., 1995"
"138-849D-3H-5,116",29.9,33.6483,15.742,1211.58,4.2,-0.41,"Mix et al., 1995"
"138-849D-3H-5,126",30,33.7483,15.7868,1215.71,4.05,-0.17,"Mix et al., 1995"
"138-849D-3H-5,136",30.1,33.8483,15.8191,1219.84,3.8,-0.13,"Mix et al., 1995"
"138-849D-3H-5,146",30.2,33.9483,15.8515,1223.97,3.45,0.26,"Mix et al., 1995"
"138-849D-3H-6,6",30.3,34.0483,15.8839,1228.1,3.6,0.22,"Mix et al., 1995"
"138-849D-3H-6,16",30.4,34.1483,15.9163,1232.23,3.32,0.1,"Mix et al., 1995"
"138-849D-3H-6,26",30.5,34.2483,15.9487,1236.36,3.36,0.15,"Mix et al., 1995"
"138-849D-3H-6,36",30.6,34.3483,15.981,1239.28,3.43,-0.15,"Mix et al., 1995"
"138-849D-3H-6,46",30.7,34.4483,16.0134,1242.21,3.67,-0.48,"Mix et al., 1995"
"138-849D-3H-6,56",30.8,34.5483,16.0458,1245.13,3.91,-0.43,"Mix et al., 1995"
"138-849D-3H-6,66",30.9,34.6483,16.0782,1248.06,4.13,-0.56,"Mix et al., 1995"
"138-849D-3H-6,76",31,34.7483,16.1105,1250.98,4.15,-0.57,"Mix et al., 1995"
"138-849D-3H-6,86",31.1,34.8483,16.1436,1253.91,4.26,-0.59,"Mix et al., 1995"
"138-849D-3H-6,96",31.2,34.9483,16.184,1256.5,4.12,-0.35,"Mix et al., 1995"
"138-849D-3H-6,106",31.3,35.0483,16.2244,1259.08,3.9,-0.52,"Mix et al., 1995"
"138-849D-3H-6,116",31.4,35.1483,16.2648,1261.66,4.18,-0.1,"Mix et al., 1995"
"138-849D-3H-6,126",31.5,35.2483,16.3051,1264.26,4.01,-0.16,"Mix et al., 1995"
"138-849D-3H-6,136",31.6,35.3483,16.3455,1266.85,3.62,-0.3,"Mix et al., 1995"
"138-849D-3H-6,146",31.7,35.4483,16.3859,1269.44,3.69,-0.06,"Mix et al., 1995"
"138-849D-3H-7,6",31.8,35.5483,16.4263,1272.02,3.71,-0.13,"Mix et al., 1995"
"138-849D-3H-7,16",31.9,35.6483,16.4666,1274.61,3.68,0.03,"Mix et al., 1995"
"138-849D-3H-7,26",32,35.7483,16.507,1277.21,3.73,-0.18,"Mix et al., 1995"
"138-849D-3H-7,36",32.1,35.8483,16.5474,1279.79,3.73,-0.03,"Mix et al., 1995"
"138-849D-3H-7,46",32.2,35.9483,16.5878,1282.37,3.78,-0.03,"Mix et al., 1995"
"138-849D-3H-7,56",32.3,36.0483,16.6282,1284.96,3.71,-0.23,"Mix et al., 1995"
"138-849D-3H-7,66",32.4,36.1483,16.6678,1287.55,3.8,-0.22,"Mix et al., 1995"
"138-849D-3H-7,76",32.5,36.2483,16.6998,1290.14,4.195,-0.43,"Mix et al., 1995"
"138-849C-4H-1,6",29.56,36.5546,16.7979,1298.55,4.06,-0.4,"Mix et al., 1995"
"138-849C-4H-1,16",29.66,36.6546,16.8299,1301.3,3.91,-0.08,"Mix et al., 1995"
"138-849C-4H-1,26",29.76,36.7546,16.8619,1304.05,3.96,0.09,"Mix et al., 1995"
"138-849C-4H-1,36",29.86,36.8546,16.8939,1306.79,3.97,-0.01,"Mix et al., 1995"
"138-849C-4H-1,46",29.96,36.9546,16.9259,1309.54,3.82,0.06,"Mix et al., 1995"
"138-849C-4H-1,56",30.06,37.0546,16.9579,1312.29,3.71,0.08,"Mix et al., 1995"
"138-849C-4H-1,66",30.16,37.1546,16.99,1315.03,3.75,-0.25,"Mix et al., 1995"
"138-849C-4H-2,6",30.28,37.2746,17.0284,1318.33,3.8,-0.04,"Mix et al., 1995"
"138-849C-4H-2,16",30.38,37.3746,17.0604,1321.08,4.01,-0.07,"Mix et al., 1995"
"138-849C-4H-2,26",30.48,37.4746,17.1383,1323.82,4.18,-0.16,"Mix et al., 1995"
"138-849C-4H-2,36",30.58,37.5746,17.224,1326.57,4.19,-0.2,"Mix et al., 1995"
"138-849C-4H-2,46",30.68,37.6746,17.3096,1330.15,4.18,-0.46,"Mix et al., 1995"
"138-849C-4H-2,56",30.78,37.7746,17.3953,1333.72,4.07,-0.49,"Mix et al., 1995"
"138-849C-4H-2,66",30.88,37.8746,17.4809,1337.3,3.99,-0.49,"Mix et al., 1995"
"138-849C-4H-2,76",30.98,37.9746,17.5666,1340.87,4.14,-0.48,"Mix et al., 1995"
"138-849C-4H-2,86",31.08,38.0746,17.6522,1344.44,4.04,-0.4,"Mix et al., 1995"
"138-849C-4H-2,96",31.18,38.1746,17.7379,1348.02,4.05,-0.22,"Mix et al., 1995"
"138-849C-4H-2,106",31.28,38.2746,17.8235,1351.59,3.52,0.16,"Mix et al., 1995"
"138-849C-4H-2,116",31.38,38.3746,17.8866,1355.17,3.49,0.15,"Mix et al., 1995"
"138-849C-4H-2,126",31.48,38.4746,17.9284,1358.74,3.41,0.25,"Mix et al., 1995"
"138-849C-4H-2,136",31.58,38.5746,17.9703,1362.89,3.52,0.04,"Mix et al., 1995"
"138-849C-4H-2,146",31.68,38.6746,18.0121,1367.03,3.445,0.03,"Mix et al., 1995"
"138-849C-4H-3,6",31.78,38.7746,18.0539,1371.18,3.67,-0.08,"Mix et al., 1995"
"138-849C-4H-3,16",31.88,38.8746,18.0958,1375.32,4.1,-0.17,"Mix et al., 1995"
"138-849C-4H-3,26",31.98,38.9746,18.1376,1379.47,4.27,-0.28,"Mix et al., 1995"
"138-849D-4H-1,16",32.66,39.06,18.1733,1382.06,4.18,-0.38,"Mix et al., 1995"
"138-849D-4H-1,26",32.76,39.16,18.2152,1385.09,4.06,-0.29,"Mix et al., 1995"
"138-849D-4H-1,36",32.86,39.26,18.257,1388.12,3.99,-0.12,"Mix et al., 1995"
"138-849D-4H-1,46",32.96,39.36,18.2988,1391.16,4.14,-0.32,"Mix et al., 1995"
"138-849D-4H-1,66",33.16,39.56,18.3948,1397.23,3.68,0.2,"Mix et al., 1995"
"138-849D-4H-1,76",33.26,39.66,18.4449,1400.26,3.68,0.14,"Mix et al., 1995"
"138-849D-4H-1,96",33.46,39.86,18.5458,1406.33,3.7,-0.19,"Mix et al., 1995"
"138-849D-4H-1,106",33.56,39.96,18.5963,1409.36,3.74,-0.17,"Mix et al., 1995"
"138-849D-4H-1,116",33.66,40.06,18.6467,1412.4,4.04,-0.32,"Mix et al., 1995"
"138-849D-4H-1,126",33.76,40.16,18.6972,1416.7,3.92,-0.16,"Mix et al., 1995"
"138-849D-4H-1,136",33.86,40.26,18.7503,1421,3.87,-0.04,"Mix et al., 1995"
"138-849D-4H-1,146",33.96,40.36,18.8084,1425.3,3.61,0.21,"Mix et al., 1995"
"138-849D-4H-2,6",34.06,40.46,18.8664,1429.6,3.48,-0.01,"Mix et al., 1995"
"138-849D-4H-2,16",34.16,40.56,18.9245,1433.9,3.505,0.28,"Mix et al., 1995"
"138-849D-4H-2,26",34.26,40.66,18.9825,1438.2,3.28,-0.13,"Mix et al., 1995"
"138-849D-4H-2,36",34.36,40.76,19.0406,1443.61,3.46,-0.27,"Mix et al., 1995"
"138-849D-4H-2,46",34.46,40.86,19.0987,1449.02,3.53,-0.17,"Mix et al., 1995"
"138-849D-4H-2,56",34.56,40.96,19.1567,1454.44,4,-0.37,"Mix et al., 1995"
"138-849D-4H-2,66",34.66,41.06,19.2135,1459.85,4.25,-0.35,"Mix et al., 1995"
"138-849D-4H-2,76",34.76,41.16,19.2636,1465.26,3.4,0.2,"Mix et al., 1995"
"138-849D-4H-2,106",35.06,41.46,19.4141,1481.49,3.5,0.24,"Mix et al., 1995"
"138-849D-4H-2,116",35.16,41.56,19.4642,1485.62,3.41,0.38,"Mix et al., 1995"
"138-849D-4H-2,136",35.36,41.76,19.5645,1493.87,4.11,-0.21,"Mix et al., 1995"
"138-849D-4H-2,146",35.46,41.86,19.6146,1498,4.39,-0.16,"Mix et al., 1995"
"138-849D-4H-3,6",35.56,41.96,19.6652,1502.12,4.28,-0.11,"Mix et al., 1995"
"138-849D-4H-3,16",35.66,42.06,19.7177,1506.25,4.19,-0.29,"Mix et al., 1995"
"138-849D-4H-3,26",35.76,42.16,19.7702,1510.38,4.11,0.01,"Mix et al., 1995"
"138-849D-4H-3,36",35.86,42.26,19.8227,1514.5,3.71,0.29,"Mix et al., 1995"
"138-849D-4H-3,46",35.96,42.36,19.8752,1518.63,3.76,-0.03,"Mix et al., 1995"
"138-849D-4H-3,56",36.06,42.46,19.9277,1522.75,3.69,0.3,"Mix et al., 1995"
"138-849D-4H-3,76",36.26,42.66,20.0327,1529.25,3.91,-0.28,"Mix et al., 1995"
"138-849D-4H-3,86",36.36,42.76,20.0852,1532.5,4.04,-0.31,"Mix et al., 1995"
"138-849D-4H-3,96",36.46,42.86,20.1377,1535.74,4.47,-0.52,"Mix et al., 1995"
"138-849D-4H-3,106",36.56,42.96,20.1901,1538.99,4.23,-0.5,"Mix et al., 1995"
"138-849D-4H-3,116",36.66,43.06,20.2444,1542.24,4.32,-0.32,"Mix et al., 1995"
"138-849D-4H-3,126",36.76,43.16,20.2994,1545.49,4.03,-0.13,"Mix et al., 1995"
"138-849D-4H-3,136",36.86,43.26,20.3544,1548.73,4.08,-0.18,"Mix et al., 1995"
"138-849D-4H-3,146",36.96,43.36,20.4095,1551.99,3.73,-0.2,"Mix et al., 1995"
"138-849D-4H-4,6",37.06,43.46,20.4645,1555.23,3.73,0.07,"Mix et al., 1995"
"138-849D-4H-4,26",37.26,43.66,20.5745,1561.72,3.48,0.18,"Mix et al., 1995"
"138-849D-4H-4,36",37.36,43.76,20.6376,1564.97,3.59,0.09,"Mix et al., 1995"
"138-849D-4H-4,46",37.46,43.86,20.7015,1568.22,3.88,-0.23,"Mix et al., 1995"
"138-849D-4H-4,56",37.56,43.96,20.7655,1571.47,4.09,-0.18,"Mix et al., 1995"
"138-849D-4H-4,66",37.66,44.06,20.8295,1574.71,4.1,-0.33,"Mix et al., 1995"
"138-849D-4H-4,76",37.76,44.16,20.8935,1579.68,4.01,-0.09,"Mix et al., 1995"
"138-849D-4H-4,86",37.86,44.26,20.9575,1584.64,3.74,-0.06,"Mix et al., 1995"
"138-849D-4H-4,96",37.96,44.36,21.0144,1589.54,3.76,-0.45,"Mix et al., 1995"
"138-849D-4H-4,106",38.06,44.46,21.0675,1594.57,3.69,0,"Mix et al., 1995"
"138-849D-4H-4,116",38.16,44.56,21.1206,1599.54,3.56,0.24,"Mix et al., 1995"
"138-849D-4H-4,126",38.26,44.66,21.1736,1604.5,3.35,0.39,"Mix et al., 1995"
"138-849D-4H-4,136",38.36,44.76,21.2267,1609.47,3.38,0.19,"Mix et al., 1995"
"138-849D-4H-4,146",38.46,44.86,21.2798,1614.43,3.34,0.07,"Mix et al., 1995"
"138-849D-4H-5,6",38.56,44.96,21.3329,1619.4,3.68,-0.05,"Mix et al., 1995"
"138-849D-4H-5,16",38.66,45.06,21.3859,1624.36,3.805,0.16,"Mix et al., 1995"
"138-849D-4H-5,26",38.76,45.16,21.439,1629.33,3.93,0.16,"Mix et al., 1995"
"138-849D-4H-5,46",38.96,45.36,21.5451,1635.49,3.53,0.23,"Mix et al., 1995"
"138-849D-4H-5,56",39.06,45.46,21.5909,1638.58,3.56,0.08,"Mix et al., 1995"
"138-849D-4H-5,66",39.16,45.56,21.6367,1641.66,3.66,0.22,"Mix et al., 1995"
"138-849D-4H-5,76",39.26,45.66,21.6825,1644.74,3.88,-0.13,"Mix et al., 1995"
"138-849D-4H-5,86",39.36,45.76,21.7283,1647.82,3.99,-0.11,"Mix et al., 1995"
"138-849D-4H-5,96",39.46,45.86,21.7741,1650.91,4.32,-0.25,"Mix et al., 1995"
"138-849D-4H-5,106",39.56,45.96,21.8199,1653.99,4.46,-0.12,"Mix et al., 1995"
"138-849D-4H-5,116",39.66,46.06,21.8657,1657.85,4.35,-0.21,"Mix et al., 1995"
"138-849D-4H-5,126",39.76,46.16,21.9115,1661.71,4,-0.49,"Mix et al., 1995"
"138-849D-4H-5,136",39.86,46.26,21.9573,1665.58,4.18,-0.18,"Mix et al., 1995"
"138-849D-4H-5,146",39.96,46.36,22.0031,1669.44,4.19,-0.18,"Mix et al., 1995"
"138-849D-4H-6,6",40.06,46.46,22.0489,1673.3,4.06,0.02,"Mix et al., 1995"
"138-849D-4H-6,16",40.16,46.56,22.0968,1677.16,3.91,-0.08,"Mix et al., 1995"
"138-849D-4H-6,26",40.26,46.66,22.1461,1681.02,3.7,-0.04,"Mix et al., 1995"
"138-849D-4H-6,36",40.36,46.76,22.1954,1684.89,3.66,0.13,"Mix et al., 1995"
"138-849D-4H-6,46",40.46,46.86,22.2448,1688.75,3.7,-0.01,"Mix et al., 1995"
"138-849D-4H-6,56",40.56,46.96,22.2941,1692.61,3.88,-0.5,"Mix et al., 1995"
"138-849D-4H-6,66",40.66,47.06,22.3434,1696.47,3.93,-0.25,"Mix et al., 1995"
"138-849D-4H-6,76",40.76,47.16,22.3927,1700.33,3.84,-0.27,"Mix et al., 1995"
"138-849D-4H-6,86",40.86,47.26,22.4421,1704.2,3.7,-0.4,"Mix et al., 1995"
"138-849C-5H-1,36",39.36,47.29,22.4569,1705.35,4.02,-0.6,"Mix et al., 1995"
"138-849C-5H-1,46",39.46,47.39,22.5062,1709.41,3.97,-0.26,"Mix et al., 1995"
"138-849C-5H-1,56",39.56,47.49,22.5555,1713.46,3.6,-0.09,"Mix et al., 1995"
"138-849C-5H-1,66",39.66,47.59,22.6048,1717.51,3.66,-0.17,"Mix et al., 1995"
"138-849C-5H-1,76",39.76,47.69,22.6542,1721.56,3.89,-0.22,"Mix et al., 1995"
"138-849C-5H-1,86",39.86,47.79,22.7035,1725.62,3.8,-0.33,"Mix et al., 1995"
"138-849C-5H-1,96",39.96,47.89,22.7535,1729.67,3.93,-0.32,"Mix et al., 1995"
"138-849C-5H-1,106",40.06,47.99,22.8038,1733.72,3.32,-0.19,"Mix et al., 1995"
"138-849C-5H-1,116",40.16,48.09,22.8541,1737.77,3.41,-0.17,"Mix et al., 1995"
"138-849C-5H-1,126",40.26,48.19,22.9044,1741.83,3.69,-0.3,"Mix et al., 1995"
"138-849C-5H-1,136",40.36,48.29,22.9547,1745.88,3.96,-0.41,"Mix et al., 1995"
"138-849C-5H-1,146",40.46,48.39,23.0051,1750.01,3.77,-0.22,"Mix et al., 1995"
"138-849C-5H-2,6",40.56,48.49,23.0554,1754.14,3.71,-0.27,"Mix et al., 1995"
"138-849C-5H-2,16",40.66,48.59,23.1057,1758.27,3.48,0.16,"Mix et al., 1995"
"138-849C-5H-2,36",40.86,48.79,23.2063,1766.53,3.43,-0.09,"Mix et al., 1995"
"138-849C-5H-2,46",40.96,48.89,23.2566,1769.66,3.51,-0.12,"Mix et al., 1995"
"138-849C-5H-2,56",41.06,48.99,23.307,1772.78,3.48,-0.12,"Mix et al., 1995"
"138-849C-5H-2,66",41.16,49.09,23.3573,1775.9,3.81,-0.34,"Mix et al., 1995"
"138-849C-5H-2,76",41.26,49.19,23.4076,1779.03,3.98,-0.21,"Mix et al., 1995"
"138-849C-5H-2,86",41.36,49.29,23.4468,1782.15,3.86,-0.56,"Mix et al., 1995"
"138-849C-5H-2,96",41.46,49.39,23.4823,1785.27,3.92,-0.43,"Mix et al., 1995"
"138-849C-5H-2,116",41.66,49.59,23.5534,1791.52,4.14,-0.55,"Mix et al., 1995"
"138-849C-5H-2,136",41.86,49.79,23.6245,1799.22,3.94,-0.34,"Mix et al., 1995"
"138-849C-5H-2,146",41.96,49.89,23.6601,1803.07,3.62,-0.05,"Mix et al., 1995"
"138-849C-5H-3,6",42.06,49.99,23.6956,1806.92,3.57,-0.16,"Mix et al., 1995"
"138-849C-5H-3,16",42.16,50.09,23.7312,1810.76,3.43,0.01,"Mix et al., 1995"
"138-849C-5H-3,26",42.26,50.19,23.7667,1814.61,3.55,-0.26,"Mix et al., 1995"
"138-849C-5H-3,36",42.36,50.29,23.8022,1818.46,3.61,-0.2,"Mix et al., 1995"
"138-849C-5H-3,46",42.46,50.39,23.8378,1822.31,3.46,-0.08,"Mix et al., 1995"
"138-849C-5H-3,56",42.56,50.49,23.8733,1826.16,3.37,-0.14,"Mix et al., 1995"
"138-849C-5H-3,66",42.66,50.59,23.9073,1830.01,3.47,-0.32,"Mix et al., 1995"
"138-849C-5H-3,76",42.76,50.69,23.9388,1833.86,3.81,-0.7,"Mix et al., 1995"
"138-849C-5H-3,86",42.86,50.79,23.9703,1837.71,4.01,-0.62,"Mix et al., 1995"
"138-849D-5H-1,76",42.76,50.9033,24.0059,1842.07,4.03,-0.54,"Mix et al., 1995"
"138-849D-5H-1,86",42.86,51.0033,24.0374,1844.81,4.12,-0.63,"Mix et al., 1995"
"138-849D-5H-1,96",42.96,51.1033,24.0689,1847.53,4.09,-0.07,"Mix et al., 1995"
"138-849D-5H-1,106",43.06,51.2033,24.1004,1850.26,3.88,-0.29,"Mix et al., 1995"
"138-849D-5H-1,116",43.16,51.3033,24.1318,1852.99,3.84,-0.14,"Mix et al., 1995"
"138-849D-5H-1,136",43.36,51.5033,24.1948,1858.45,3.49,-0.06,"Mix et al., 1995"
"138-849D-5H-1,145",43.45,51.5933,24.2231,1860.91,3.6,-0.13,"Mix et al., 1995"
"138-849D-5H-2,6",43.56,51.7033,24.2578,1863.91,3.63,-0.05,"Mix et al., 1995"
"138-849D-5H-2,26",43.76,51.9033,24.3207,1869.37,3.86,-0.04,"Mix et al., 1995"
"138-849D-5H-2,36",43.86,52.0033,24.3522,1872.1,4.21,0.06,"Mix et al., 1995"
"138-849D-5H-2,46",43.96,52.1033,24.3859,1874.84,3.74,0.07,"Mix et al., 1995"
"138-849D-5H-2,56",44.06,52.2033,24.4227,1877.57,3.67,-0.05,"Mix et al., 1995"
"138-849D-5H-2,66",44.16,52.3033,24.4594,1880.3,3.85,0.27,"Mix et al., 1995"
"138-849D-5H-2,76",44.26,52.4033,24.4961,1883.03,3.64,0.12,"Mix et al., 1995"
"138-849D-5H-2,86",44.36,52.5033,24.5328,1885.76,3.55,0.02,"Mix et al., 1995"
"138-849D-5H-2,96",44.46,52.6033,24.5695,1888.49,3.58,0.12,"Mix et al., 1995"
"138-849D-5H-2,106",44.56,52.7033,24.6062,1891.22,3.44,0.2,"Mix et al., 1995"
"138-849D-5H-2,116",44.66,52.8033,24.643,1893.95,3.5,-0.27,"Mix et al., 1995"
"138-849D-5H-2,126",44.76,52.9033,24.6797,1896.68,3.66,-0.35,"Mix et al., 1995"
"138-849D-5H-2,136",44.86,53.0033,24.7164,1899.41,3.64,-0.35,"Mix et al., 1995"
"138-849D-5H-2,146",44.96,53.1033,24.7531,1902.14,4.14,-0.35,"Mix et al., 1995"
"138-849D-5H-3,6",45.06,53.2033,24.7898,1904.87,4.23,-0.37,"Mix et al., 1995"
"138-849D-5H-3,16",45.16,53.3033,24.8265,1907.6,4.27,-0.36,"Mix et al., 1995"
"138-849D-5H-3,26",45.26,53.4033,24.8632,1910.23,4.2,-0.36,"Mix et al., 1995"
"138-849D-5H-3,36",45.36,53.5033,24.9,1912.85,4.185,-0.4,"Mix et al., 1995"
"138-849D-5H-3,46",45.46,53.6033,24.9437,1912.85,3.88,-0.61,"Mix et al., 1995"
"138-849D-5H-3,56",45.56,53.7033,24.9942,1915.47,4.05,-0.54,"Mix et al., 1995"
"138-849D-5H-3,66",45.66,53.8033,25.0448,1918.1,3.83,-0.06,"Mix et al., 1995"
"138-849D-5H-3,76",45.76,53.9033,25.0953,1920.72,3.81,-0.01,"Mix et al., 1995"
"138-849D-5H-3,86",45.86,54.0033,25.1458,1923.34,3.7,-0.12,"Mix et al., 1995"
"138-849D-5H-3,96",45.96,54.1033,25.1963,1928.59,3.8,0.12,"Mix et al., 1995"
"138-849D-5H-3,126",46.26,54.4033,25.3479,1936.46,3.5,0.13,"Mix et al., 1995"
"138-849D-5H-4,6",46.56,54.7033,25.4554,1944.33,3.92,-0.71,"Mix et al., 1995"
"138-849D-5H-4,16",46.66,54.8033,25.4846,1946.95,3.95,-0.31,"Mix et al., 1995"
"138-849D-5H-4,26",46.76,54.9033,25.5138,1949.57,4.11,-0.58,"Mix et al., 1995"
"138-849D-5H-4,36",46.86,55.0033,25.543,1951.67,4.09,-0.34,"Mix et al., 1995"
"138-849D-5H-4,46",46.96,55.1033,25.5725,1953.76,3.96,-0.29,"Mix et al., 1995"
"138-849D-5H-4,56",47.06,55.2033,25.6069,1955.85,4.03,-0.41,"Mix et al., 1995"
"138-849D-5H-4,66",47.16,55.3033,25.6412,1957.95,3.98,-0.09,"Mix et al., 1995"
"138-849D-5H-4,76",47.26,55.4033,25.6755,1960.04,3.88,-0.2,"Mix et al., 1995"
"138-849D-5H-4,96",47.46,55.6033,25.7442,1964.23,3.7,-0.08,"Mix et al., 1995"
"138-849D-5H-4,106",47.56,55.7033,25.7785,1966.32,3.64,0.06,"Mix et al., 1995"
"138-849D-5H-4,116",47.66,55.8033,25.8128,1968.41,3.52,0.2,"Mix et al., 1995"
"138-849D-5H-4,126",47.76,55.9033,25.8472,1970.5,3.5,0.24,"Mix et al., 1995"
"138-849D-5H-4,136",47.86,56.0033,25.8815,1972.6,3.48,0.18,"Mix et al., 1995"
"138-849D-5H-4,146",47.96,56.1033,25.9158,1974.69,3.37,0.18,"Mix et al., 1995"
"138-849D-5H-5,6",48.06,56.2033,25.9501,1976.78,3.47,0.11,"Mix et al., 1995"
"138-849D-5H-5,16",48.16,56.3033,25.9845,1978.88,3.33,-0.17,"Mix et al., 1995"
"138-849D-5H-5,26",48.26,56.4033,26.0188,1980.97,3.42,-0.02,"Mix et al., 1995"
"138-849D-5H-5,36",48.36,56.5033,26.0531,1983.06,3.88,-0.31,"Mix et al., 1995"
"138-849D-5H-5,46",48.46,56.6033,26.0875,1985.16,3.57,-0.52,"Mix et al., 1995"
"138-849D-5H-5,56",48.56,56.7033,26.1218,1987.25,3.725,-0.31,"Mix et al., 1995"
"138-849D-5H-5,66",48.66,56.8033,26.1561,1987.25,4,-0.36,"Mix et al., 1995"
"138-849D-5H-5,76",48.76,56.9033,26.1904,1989.34,4.04,-0.09,"Mix et al., 1995"
"138-849D-5H-5,86",48.86,57.0033,26.2573,1991.44,4.04,-0.08,"Mix et al., 1995"
"138-849D-5H-5,96",48.96,57.1033,26.3268,1994.39,3.8,-0.16,"Mix et al., 1995"
"138-849D-5H-5,106",49.06,57.2033,26.3963,1997.35,3.57,-0.38,"Mix et al., 1995"
"138-849D-5H-5,116",49.16,57.3033,26.4658,2003.27,3.77,-0.21,"Mix et al., 1995"
"138-849D-5H-5,126",49.26,57.4033,26.5354,2006.23,3.79,0.05,"Mix et al., 1995"
"138-849D-5H-5,136",49.36,57.5033,26.6049,2009.18,3.54,0.06,"Mix et al., 1995"
"138-849D-5H-5,146",49.46,57.6033,26.6744,2012.14,3.5,0.23,"Mix et al., 1995"
"138-849D-5H-6,6",49.56,57.7033,26.7439,2015.1,3.38,0.18,"Mix et al., 1995"
"138-849D-5H-6,26",49.76,57.9033,26.8829,2021.02,3.4,0.23,"Mix et al., 1995"
"138-849D-5H-6,36",49.86,58.0033,26.9524,2023.97,3.36,0.23,"Mix et al., 1995"
"138-849D-5H-6,46",49.96,58.1033,27.0219,2026.93,3.4,0.37,"Mix et al., 1995"
"138-849D-5H-6,56",50.06,58.2033,27.0915,2029.89,3.6,0.24,"Mix et al., 1995"
