depth,age_ka,mcd,NPS_d18O,NPS_d13C,d18O,d13C,label
27.6,625.6,30.77,2.32,0.26,,,"145-882B-4H-3,120-123"
27.84,629.6,31,2.93,0.21,,,"145-882B-4H-3,144-148"
28.32,652.9,32.2,4.06,-0.07,5.24,-1.28,"145-882A-4H-1,50-54"
28.6,645.2,31.74,3.33,-0.05,4.29,-1.05,"145-882B-4H-4,70-73"
28.62,657.8,32.49,3.92,-0.3,,,"145-882A-4H-1,80-84"
28.85,649.2,31.98,,,,,"145-882B-4H-4,95-98"
28.86,661.8,32.73,4.42,0.06,5.13,-1.07,"145-882A-4H-1,104-108"
29.22,667.6,33.08,3.67,0.07,,,"145-882A-4H-1,140-144"
29.51,672.4,33.37,3.38,-0.47,,,"145-882A-4H-2,19-23"
29.82,677.4,33.67,3.44,-0.4,,,"145-882A-4H-2,50-54"
30.12,682.1,33.96,3.66,-0.05,,,"145-882A-4H-2,80-84"
30.36,685.7,34.2,2.56,0.19,,,"145-882A-4H-2,104-108"
30.72,691,34.55,2.93,0.06,,,"145-882A-4H-2,140-144"
31.01,695.4,34.84,3.3,0.17,4.03,-0.98,"145-882A-4H-3,19-23"
31.32,700,35.14,2.97,0.34,3.75,-0.8,"145-882A-4H-3,50-54"
31.62,704.5,35.44,2.37,0.27,3.76,-0.78,"145-882A-4H-3,80-84"
31.86,708,35.67,2.57,0.19,,,"145-882A-4H-3,104-108"
32.22,713.3,36.02,2.94,0.08,,,"145-882A-4H-3,140-144"
32.51,717.7,36.31,3.16,0.1,4.18,-1.41,"145-882A-4H-4,19-23"
33.12,729.9,36.91,3.8,0.14,3.64,-0.7,"145-882A-4H-4,80-84"
33.36,736.3,37.14,3.28,0.39,4.5,-0.88,"145-882A-4H-4,104-108"
33.72,746.3,37.5,3.15,-0.2,4.39,-1.1,"145-882A-4H-4,140-144"
34.01,754.1,37.78,4.56,-0.36,4.74,-1.13,"145-882A-4H-5,19-23"
34.32,762,38.08,4.03,0.71,,,"145-882A-4H-5,50-54"
34.62,769.3,38.38,7.41,0.87,,,"145-882A-4H-5,80-84"
35.22,781.5,38.97,2.96,-0.1,,,"145-882A-4H-5,140-144"
35.49,786,39.23,2.8,-0.08,3.46,-1.1,"145-882A-4H-6,17-21"
