depth,age_ka,d18O
80.15,1274.4,3.65
80.15,1274.4,3.72
80.15,1274.4,3.69
80.18,1275.08,3.6
80.2,1275.53,3.65
80.23,1276.22,3.72
80.28,1277.24,3.81
80.3,1277.65,3.81
80.33,1278.25,3.78
80.35,1278.66,3.75
80.35,1278.66,3.97
80.38,1279.26,3.74
80.4,1279.67,3.58
80.43,1280.27,3.9
80.45,1280.68,3.97
80.48,1281.29,4.07
80.5,1281.67,4.03
80.53,1282.24,3.96
80.55,1282.61,3.77
80.58,1283.18,3.98
80.6,1283.56,4.11
80.6,1283.56,4.12
80.6,1283.56,4.05
80.63,1284.13,4.03
80.65,1284.51,4.27
80.65,1284.51,4.07
80.65,1284.51,4.15
80.68,1285.08,4.1
80.7,1285.45,3.59
80.73,1286.02,3.9
80.75,1286.4,3.95
80.75,1286.4,4.04
80.78,1286.97,4.46
80.8,1287.35,3.89
80.8,1287.35,4.31
80.8,1287.35,4.03
80.83,1287.85,4.31
80.85,1288.15,3.76
80.88,1288.61,4.33
80.9,1288.93,4.57
80.9,1288.93,4.58
80.9,1288.93,4.47
80.93,1289.5,4.46
80.95,1289.88,4.53
80.95,1289.88,4.41
80.95,1289.88,4.44
80.98,1290.45,4.33
81,1290.83,4.18
81.03,1291.39,4.47
81.08,1292.34,4.3
81.1,1292.72,4.47
81.1,1292.72,4.08
81.13,1293.29,4.25
81.15,1293.66,3.35
81.18,1294.23,4.4
81.2,1294.61,4.45
81.2,1294.61,4.51
81.23,1295.18,4.29
81.25,1295.56,3.55
81.28,1296.13,4.41
81.38,1298.02,4.06
81.4,1298.4,3.25
81.43,1298.97,4.13
81.45,1299.34,3.94
81.45,1299.34,3.93
81.48,1299.91,3.99
81.5,1300.29,4.05
81.5,1300.29,3.9
81.5,1300.29,4.01
81.53,1300.86,4.16
81.55,1301.24,4.35
81.58,1301.81,4.1
81.68,1303.7,4.01
81.7,1304.08,3.78
81.73,1304.65,4.11
81.75,1305.03,3.83
81.75,1305.03,4.01
81.75,1305.03,4.1
81.78,1305.6,4.08
81.8,1305.98,3.91
81.8,1305.98,3.83
81.8,1305.98,4.21
81.83,1306.55,4.09
81.88,1307.49,3.74
81.9,1307.87,3.55
81.93,1308.44,3.94
81.95,1308.82,3.97
81.95,1308.82,3.74
81.95,1308.82,3.86
81.98,1309.39,3.97
82,1309.77,3.86
82.03,1310.33,3.92
82.05,1310.71,3.87
82.05,1310.71,3.73
82.08,1311.28,3.78
82.1,1311.66,3.71
82.1,1311.66,3.77
82.1,1311.66,3.69
82.13,1312.23,3.7
82.15,1312.61,3.71
82.18,1313.17,3.56
82.2,1313.55,3.64
82.23,1314.14,3.63
82.25,1314.55,3.58
82.28,1315.15,3.62
82.3,1315.56,3.58
82.33,1316.17,3.59
82.35,1316.57,3.44
82.35,1316.57,3.57
82.35,1316.57,3.86
82.38,1317.18,3.52
82.4,1317.58,3.48
82.4,1317.58,3.36
82.43,1318.19,3.52
82.45,1318.59,3.53
82.45,1318.59,3.38
82.48,1319.25,3.55
82.5,1319.71,3.94
82.5,1319.71,4
82.53,1320.39,3.62
82.55,1320.84,3.33
82.6,1321.98,3.85
82.75,1325.71,4
82.9,1329.5,3.65
82.9,1329.5,3.7
83.05,1333.28,4.04
83.05,1333.28,4.08
83.2,1337.07,4.3
83.35,1340.86,4.25
83.5,1344.65,3.64
83.65,1348.43,3.3
83.8,1352.22,3.1
83.8,1352.22,3.31
83.95,1356.01,3.37
84.1,1359.8,3.31
84.1,1359.8,3.29
84.25,1363.22,4.21
84.4,1366.63,3.79
84.55,1369.74,3.73
84.55,1369.74,3.9
84.7,1372.77,4.43
84.85,1375.8,3.73
85,1378.74,3.98
85.15,1381.57,3.55
85.3,1384.25,3.64
85.45,1386.52,3.63
85.6,1388.8,3.56
85.75,1391.06,3.76
85.9,1393.34,3.94
86.05,1395.61,4.01
86.2,1397.89,3.53
86.35,1400.25,3.31
86.35,1400.25,3.43
86.5,1403.09,3.26
86.65,1405.93,3.66
86.66,1406.12,4.15
86.81,1408.96,3.5
86.96,1411.81,3.79
87.11,1414.65,3.58
87.26,1417.49,3.55
87.41,1419.96,3.39
87.56,1422.23,3.41
87.71,1424.5,3.5
87.86,1426.78,3.45
88.01,1429.05,3.54
88.16,1431.32,3.38
88.31,1433.6,3.44
88.46,1435.87,3.4
88.61,1438.14,3.42
88.74,1440.11,3.41
88.81,1441.17,3.37
88.96,1443.44,3.42
88.99,1443.9,3.36
89.11,1445.98,3.17
89.14,1446.55,3.65
89.26,1448.82,3.35
89.29,1449.39,3.13
89.41,1451.71,4.15
89.44,1452.32,3.16
89.56,1454.74,4.65
89.59,1455.35,4.53
89.71,1457.78,4.26
89.74,1458.38,4.2
89.86,1460.81,3.59
89.89,1461.41,3.76
90.01,1463.83,3.66
90.04,1464.44,3.65
90.16,1466.8,3.54
90.19,1467.37,3.51
90.34,1470.21,3.49
90.49,1472.86,3.58
90.64,1475.13,3.49
90.79,1477.4,3.09
90.94,1479.68,3.43
91.09,1481.95,3.46
91.24,1484.22,3.5
91.39,1486.5,3.43
91.54,1488.77,3.25
91.69,1491.04,3.7
91.99,1496.16,4.43
92.14,1499,4.37
92.29,1501.84,4.28
92.44,1504.69,4
92.59,1507.53,4.21
92.74,1510.37,4.01
92.89,1513.21,3.76
93.04,1516.05,3.76
93.19,1518.75,3.57
93.34,1521.03,3.51
93.64,1525.57,3.82
93.79,1527.85,3.77
93.94,1530.12,3.93
94.09,1532.39,4.33
94.24,1534.66,4.13
94.39,1536.93,4.12
94.54,1539.21,4.47
94.69,1541.48,3.88
94.84,1543.75,4.39
94.99,1546.03,3.72
95.14,1548.3,3.71
95.29,1550.58,3.8
95.44,1552.85,3.73
95.59,1555.12,3.75
95.74,1557.39,3.7
95.89,1559.66,3.7
96.04,1561.94,3.69
96.19,1564.21,3.75
96.34,1566.48,3.73
96.49,1568.76,3.72
96.64,1571.03,3.8
96.79,1573.3,4.35
96.94,1575.57,4.38
97.19,1580,3.75
97.23,1580.76,3.79
97.24,1580.95,3.74
97.38,1583.6,3.64
97.39,1583.79,3.64
97.54,1586.63,4.02
97.56,1587,3.95
97.64,1588.52,3.35
97.68,1589.28,3.87
97.83,1592.12,4.49
97.98,1594.96,3.69
98.13,1597.8,3.82
98.28,1600.64,3.63
98.43,1603.48,3.58
98.73,1609.16,3.77
98.88,1612.01,3.76
99.03,1614.85,3.8
99.18,1617.69,3.89
99.33,1620.53,3.94
99.45,1622.8,3.86
99.48,1623.37,3.71
99.6,1625.64,3.86
99.63,1626.21,3.99
99.75,1628.12,3.82
99.78,1628.58,3.82
99.9,1630.39,3.59
100.05,1632.67,3.56
100.2,1634.94,3.36
100.35,1637.21,3.67
100.5,1639.49,3.69
100.65,1641.75,3.78
100.8,1644.04,3.81
100.95,1646.3,3.38
101.1,1648.76,3.99
101.25,1651.6,4.17
101.4,1654.44,4.46
101.55,1657.28,4.36
101.7,1660.12,3.84
101.85,1662.96,3.76
102,1665.79,4.11
102.15,1668.63,3.63
102.3,1671.47,3.52
102.45,1674.31,3.47
102.6,1677.16,3.49
102.75,1680,3.6
102.9,1682.84,3.72
103.05,1685.69,3.63
103.2,1688.53,3.67
103.35,1691.37,3.75
103.5,1694.21,3.79
103.65,1697.05,3.77
103.95,1701.18,4.38
104.1,1703,3.98
104.25,1704.77,4.12
104.4,1706.47,4.58
104.55,1708.12,4.21
104.7,1709.64,3.91
104.85,1711.15,3.88
105,1712.66,3.76
105.15,1714.18,3.82
105.3,1715.65,3.77
105.45,1717.01,3.72
105.6,1718.38,3.76
105.75,1719.74,4
105.76,1719.83,3.78
105.9,1721.1,3.86
105.91,1721.2,3.56
106.05,1722.47,3.82
106.06,1722.56,4.17
106.21,1723.92,4.57
106.36,1725.28,4.08
106.51,1726.65,4.14
106.61,1727.56,3.84
106.76,1728.92,3.85
106.91,1730.29,3.69
107.08,1731.83,3.54
107.21,1733.02,3.37
107.51,1735.74,3.54
107.66,1737.1,3.44
107.81,1738.47,3.49
107.96,1739.83,3.85
107.96,1739.83,3.85
108.11,1741.2,3.54
108.26,1742.56,3.69
108.41,1743.92,3.76
108.56,1745.3,3.87
108.71,1746.82,3.94
108.86,1748.34,3.93
109.01,1749.85,3.96
109.31,1752.88,4.07
109.46,1754.39,3.9
109.61,1755.91,4.33
