depth,age_ka,mcd,CaCO3,MAR,label
83.84,2143.4,89.94,0.1,0,"145-882A-9H-6,102-106"
83.87,2144.6,89.97,0,0,"145-882A-9H-6,107-108"
83.99,2149.1,90.08,0.1,0,"145-882A-9H-6,119-121"
84.22,2158.4,90.31,0.8,0.01,"145-882A-9H-6,140-144"
84.4,2173.5,90.77,0.1,0,"145-882B-10H-3,100-102"
84.6,2176.9,90.97,0.1,0,"145-882B-10H-3,120-122"
84.8,2180.3,91.17,0.1,0,"145-882B-10H-3,140-142"
85,2183.7,91.37,5.3,0.17,"145-882B-10H-4,10-12"
85.2,2187.1,91.57,0,0,"145-882B-10H-4,30-32"
85.32,2205,92.57,0.1,0,"145-882A-10H-1,50-54"
85.4,2190.5,91.77,0.1,0,"145-882B-10H-4,50-52"
85.6,2194.2,91.97,0.2,0.01,"145-882B-10H-4,70-72"
85.63,2210.4,92.87,5.5,0.18,"145-882A-10H-1,81-85"
85.8,2197.8,92.17,0.1,0,"145-882B-10H-4,90-92"
85.86,2214.4,93.09,9.9,0.33,"145-882A-10H-1,104-108"
85.91,2215.3,93.14,0.7,0.03,"145-882A-10H-1,111-112"
86,2216.6,93.22,0.1,0,"145-882A-10H-1,120-123"
86.22,2220,93.44,1.5,0.05,"145-882A-10H-1,140-144"
86.4,2222.6,93.61,0.1,0,"145-882A-10H-2,10-12"
86.52,2224.2,93.72,0.1,0,"145-882A-10H-2,20-24"
86.82,2228.7,94.01,0.1,0,"145-882A-10H-2,50-54"
87.12,2233.1,94.3,0.5,0.01,"145-882A-10H-2,80-84"
87.32,2236,94.49,1.2,0.04,"145-882A-10H-2,100-104"
87.5,2238.7,94.67,0.3,0.01,"145-882A-10H-2,120-123"
87.72,2241.9,94.88,3.4,0.13,"145-882A-10H-2,140-144"
87.9,2244.5,95.05,0,0,"145-882A-10H-3,10-13"
88.02,2246.4,95.17,0.1,0.01,"145-882A-10H-3,20-24"
88.32,2250.8,95.46,0.1,0,"145-882A-10H-3,50-54"
88.62,2259,95.74,0.1,0,"145-882A-10H-3,80-84"
88.86,2267.5,95.98,0.1,0,"145-882A-10H-3,104-108"
88.91,2268.9,96.02,0,0,"145-882A-10H-3,111-112"
89,2272,96.11,0.1,0,"145-882A-10H-3,120-123"
89.22,2279.4,96.32,1.7,0.02,"145-882A-10H-3,140-144"
89.4,2285.4,96.49,19.5,0.34,"145-882A-10H-4,10-13"
89.52,2289.6,96.61,28.5,0.6,"145-882A-10H-4,20-24"
89.82,2299.8,96.9,12.9,0.21,"145-882A-10H-4,50-54"
90.12,2310,97.19,3.4,0.04,"145-882A-10H-4,80-84"
90.36,2323.2,97.42,4.5,0.04,"145-882A-10H-4,104-108"
90.5,2331.2,97.55,0.4,0,"145-882A-10H-4,120-123"
90.72,2344,97.76,0.1,0,"145-882A-10H-4,140-144"
90.9,2355,97.94,5.3,0.05,"145-882A-10H-5,10-13"
91.02,2361.8,98.05,9.6,0.11,"145-882A-10H-5,20-24"
91.34,2376,98.36,22.9,0.49,"145-882A-10H-5,52-56"
91.62,2380.8,98.63,0.1,0,"145-882A-10H-5,80-84"
91.85,2384.7,98.85,0,0,"145-882A-10H-5,105-106"
91.86,2384.9,98.86,0.1,0,"145-882A-10H-5,104-108"
92,2387.3,99,0,0,"145-882A-10H-5,120-123"
92.22,2391.1,99.21,0.1,0,"145-882A-10H-5,140-144"
92.4,2394.1,99.38,0,0,"145-882A-10H-6,10-12"
92.52,2396.2,99.5,0.1,0,"145-882A-10H-6,20-24"
92.82,2401.2,99.78,0.1,0,"145-882A-10H-6,50-54"
93.12,2406.4,100.07,0.2,0.01,"145-882A-10H-6,80-84"
93.36,2410.5,100.3,0.1,0,"145-882A-10H-6,104-108"
93.4,2430.3,101.12,7.6,0.16,"145-882B-11H-3,50-53"
93.5,2413.6,100.44,0.1,0,"145-882A-10H-6,120-122"
93.6,2438.4,101.31,0.2,0,"145-882B-11H-3,70-73"
93.72,2418.6,100.65,0.1,0,"145-882A-10H-6,140-144"
93.8,2446.5,101.5,0.1,0,"145-882B-11H-3,90-93"
93.92,2423.1,100.84,0,0,"145-882A-10H-7,12-14"
94.01,2454.8,101.7,0.1,0,"145-882B-11H-3,111-114"
94.2,2462.3,101.88,0.1,0,"145-882B-11H-3,130-133"
94.35,2468.6,102.03,0.1,0,"145-882B-11H-3,145-148"
94.55,2476.5,102.22,0.1,0,"145-882B-11H-4,15-18"
94.75,2484.4,102.41,4.4,0.06,"145-882B-11H-4,35-38"
94.82,2500.9,102.75,3.6,0.04,"145-882A-11H-1,50-54"
94.85,2488.2,102.5,5.3,0.07,"145-882B-11H-4,45-48"
95.12,2516.4,103.05,0.1,0,"145-882A-11H-1,80-84"
95.36,2528.3,103.28,0.1,0,"145-882A-11H-1,104-108"
95.42,2531.4,103.34,0,0,"145-882A-11H-1,112-113"
95.72,2541.8,103.63,0.1,0,"145-882A-11H-1,140-144"
96.02,2551.3,103.92,0.1,0,"145-882A-11H-2,20-24"
96.32,2560.8,104.21,0.2,0,"145-882A-11H-2,50-54"
96.62,2570.2,104.5,0,0,"145-882A-11H-2,80-84"
96.86,2577.7,104.73,0.4,0.01,"145-882A-11H-2,104-108"
97,2581.9,104.87,0,0,"145-882A-11H-2,120-122"
97.22,2587.5,105.08,0.1,0,"145-882A-11H-2,140-144"
97.4,2592.9,105.26,0,0,"145-882A-11H-3,10-12"
97.52,2597.4,105.38,0.1,0,"145-882A-11H-3,20-24"
97.82,2608.2,105.67,0.1,0,"145-882A-11H-3,50-54"
98.12,2619,105.96,0.1,0,"145-882A-11H-3,80-84"
98.36,2626.2,106.19,0.1,0,"145-882A-11H-3,104-108"
98.4,2626.9,106.23,0,0,"145-882A-11H-3,110-111"
98.72,2632.3,106.54,0.1,0,"145-882A-11H-3,140-144"
99.02,2637.3,106.83,0.2,0.01,"145-882A-11H-4,20-24"
99.32,2642.4,107.12,0.1,0,"145-882A-11H-4,50-54"
99.62,2647.4,107.41,2.1,0.07,"145-882A-11H-4,80-84"
99.86,2652.7,107.64,4.5,0.1,"145-882A-11H-4,104-108"
100.24,2665.2,108.01,3.6,0.07,"145-882A-11H-4,142-146"
100.52,2673.5,108.29,5.7,0.14,"145-882A-11H-5,20-24"
100.82,2679,108.58,3.2,0.07,"145-882A-11H-5,50-54"
101.12,2684.4,108.87,0.5,0.01,"145-882A-11H-5,80-84"
101.36,2688.8,109.1,0.1,0,"145-882A-11H-5,104-108"
101.4,2689.5,109.14,0,0,"145-882A-11H-5,110-111"
101.72,2695.4,109.45,3.5,0.11,"145-882A-11H-5,140-144"
102.02,2701,109.74,9,0.27,"145-882A-11H-6,20-24"
102.32,2706.7,110.03,1,0.03,"145-882A-11H-6,50-54"
102.62,2712.3,110.32,0.1,0,"145-882A-11H-6,80-84"
102.86,2717,110.56,0.3,0.01,"145-882A-11H-6,104-108"
102.95,2734.3,111.76,0.4,0.02,"145-882B-12H-3,55-58"
103.22,2723.8,110.91,3.1,0.1,"145-882A-11H-6,140-144"
103.25,2737,112.06,0.1,0.01,"145-882B-12H-3,85-87"
103.52,2729.2,111.2,0.3,0.01,"145-882A-11H-7,20-24"
103.55,2739.7,112.35,1.7,0.07,"145-882B-12H-3,115-117"
103.85,2742.3,112.64,0.1,0,"145-882B-12H-3,145-147"
104.32,2745.2,112.95,0,0,"145-882A-12H-1,50-54"
104.62,2747.8,113.24,0.1,0,"145-882A-12H-1,80-84"
104.86,2749.8,113.46,0.7,0.03,"145-882A-12H-1,104-108"
104.92,2750.4,113.52,0,0,"145-882A-12H-1,112-113"
105.22,2752.9,113.8,0.2,0.01,"145-882A-12H-1,140-144"
105.51,2756,114.08,0.2,0.01,"145-882A-12H-2,19-23"
105.82,2759.1,114.37,0.1,0,"145-882A-12H-2,50-54"
106.12,2762.3,114.66,0.1,0,"145-882A-12H-2,80-84"
106.36,2764.8,114.89,0.2,0.01,"145-882A-12H-2,104-108"
106.72,2768.5,115.23,0.1,0,"145-882A-12H-2,140-144"
107.01,2771.5,115.5,0.1,0,"145-882A-12H-3,19-23"
107.32,2774.6,115.79,0,0,"145-882A-12H-3,50-54"
107.62,2777.8,116.08,0.2,0.01,"145-882A-12H-3,80-84"
107.86,2780.3,116.31,0.3,0.01,"145-882A-12H-3,104-108"
107.93,2781,116.37,0,0,"145-882A-12H-3,113-114"
108.22,2784,116.65,0,0,"145-882A-12H-3,140-144"
108.51,2786.4,116.92,0.1,0,"145-882A-12H-4,19-23"
108.82,2788.6,117.22,0,0,"145-882A-12H-4,50-54"
109.12,2790.7,117.5,0.6,0.03,"145-882A-12H-4,80-84"
109.36,2792.4,117.73,0.5,0.03,"145-882A-12H-4,104-108"
109.72,2795,118.07,0.9,0.04,"145-882A-12H-4,140-144"
110.01,2797.1,118.35,1.3,0.06,"145-882A-12H-5,19-23"
110.32,2799.3,118.64,0.3,0.02,"145-882A-12H-5,50-54"
110.62,2801.4,118.92,0.3,0.01,"145-882A-12H-5,80-84"
110.86,2803.1,119.15,0.9,0.05,"145-882A-12H-5,104-108"
111.22,2805.7,119.49,4.1,0.2,"145-882A-12H-5,140-144"
111.51,2807.8,119.77,0.1,0.01,"145-882A-12H-6,19-23"
111.65,2814.6,120.62,0.1,0,"145-882B-13H-2,125-128"
111.82,2809.9,120.06,0.1,0,"145-882A-12H-6,50-54"
111.95,2817,120.91,0.3,0.01,"145-882B-13H-3,5-8"
112.25,2819.3,121.19,0.1,0,"145-882B-13H-3,35-38"
112.65,2822.5,121.57,0,0,"145-882B-13H-3,65-68"
112.85,2824.1,121.76,0.8,0.03,"145-882B-13H-3,95-98"
113.15,2826.5,122.05,0.1,0,"145-882B-13H-3,125-128"
113.45,2828.8,122.33,5.6,0.24,"145-882B-13H-4,5-8"
113.75,2831.3,122.62,5.5,0.26,"145-882B-13H-4,35-38"
114.05,2833.6,122.9,8.4,0.4,"145-882B-13H-4,65-68"
114.36,2836,123.19,7.3,0.35,"145-882A-13H-1,104-108"
114.43,2836.6,123.26,8.1,0.37,"145-882A-13H-1,113-114"
114.7,2838.8,123.52,9,0.42,"145-882A-13H-1,138-142"
115.02,2841.3,123.83,11.2,0.56,"145-882A-13H-2,20-24"
115.32,2843.8,124.12,1.8,0.07,"145-882A-13H-2,50-54"
115.62,2846.4,124.41,0.3,0.01,"145-882A-13H-2,80-84"
115.86,2848.5,124.64,0.3,0.01,"145-882A-13H-2,104-108"
116.22,2851.8,125,0.1,0,"145-882A-13H-2,140-144"
116.52,2854.5,125.29,0.2,0.01,"145-882A-13H-3,20-24"
116.82,2857.1,125.58,0.1,0,"145-882A-13H-3,50-54"
117.12,2859.8,125.87,0.1,0,"145-882A-13H-3,80-84"
117.36,2861.9,126.1,0.1,0,"145-882A-13H-3,104-108"
117.47,2862.9,126.21,0,0,"145-882A-13H-3,117-118"
117.72,2865.1,126.45,0.1,0,"145-882A-13H-3,140-144"
118.02,2867.8,126.74,0.1,0,"145-882A-13H-4,20-24"
118.32,2870.5,127.03,2.9,0.13,"145-882A-13H-4,50-54"
118.62,2873.2,127.33,12.3,0.55,"145-882A-13H-4,80-84"
118.86,2875.3,127.56,13.5,0.74,"145-882A-13H-4,104-108"
119.22,2878.5,127.91,12.7,0.86,"145-882A-13H-4,140-144"
119.52,2880.8,128.2,8.8,0.52,"145-882A-13H-5,20-24"
119.82,2883.1,128.49,5.2,0.28,"145-882A-13H-5,50-54"
120.12,2885.3,128.78,0.6,0.03,"145-882A-13H-5,80-84"
120.36,2887.2,129.02,0.1,0,"145-882A-13H-5,104-108"
120.41,2887.6,129.06,0,0,"145-882A-13H-5,111-112"
120.72,2890,129.37,0.1,0,"145-882A-13H-5,140-144"
121.02,2892.3,129.66,0.1,0,"145-882A-13H-6,20-24"
121.32,2894.6,129.95,4,0.21,"145-882A-13H-6,50-54"
121.45,2905.7,131.39,19.1,1.5,"145-882B-14H-3,5-8"
121.62,2896.9,130.24,5.3,0.29,"145-882A-13H-6,80-84"
121.75,2907.5,131.68,13.5,1.08,"145-882B-14H-3,35-38"
121.86,2898.7,130.47,4.9,0.25,"145-882A-13H-6,104-108"
122.05,2909.2,131.97,8.2,0.54,"145-882B-14H-3,65-68"
122.22,2901.5,130.82,8.5,0.38,"145-882A-13H-6,140-144"
122.52,2903.7,131.11,14.5,0.79,"145-882A-13H-7,20-24"
122.65,2912.7,132.55,2,0.14,"145-882B-14H-3,125-128"
122.95,2914.4,132.84,0.1,0.01,"145-882B-14H-4,5-8"
123.25,2916.2,133.13,2.9,0.19,"145-882B-14H-4,35-38"
123.55,2917.9,133.41,1.7,0.11,"145-882B-14H-4,65-68"
123.98,2920.4,133.83,1.4,0.11,"145-882B-14H-4,95-98"
124.45,2923.1,134.28,3.7,0.27,"145-882B-14H-5,5-8"
124.82,2924.3,134.49,8,0.49,"145-882A-14H-2,50-54"
125.12,2926.1,134.79,12.8,1.01,"145-882A-14H-2,80-84"
125.36,2927.5,135.02,17.7,1.25,"145-882A-14H-2,104-108"
125.72,2929.7,135.38,17.4,1.38,"145-882A-14H-2,140-144"
126.01,2931.4,135.67,10.3,0.68,"145-882A-14H-3,19-23"
126.32,2933.2,135.97,5.9,0.35,"145-882A-14H-3,50-54"
126.62,2935,136.27,5.1,0.35,"145-882A-14H-3,80-84"
126.86,2936.5,136.51,6.8,0.42,"145-882A-14H-3,104-108"
126.92,2936.8,136.57,5.8,0.41,"145-882A-14H-3,112-113"
127.22,2938.5,136.87,5.3,0.31,"145-882A-14H-3,140-144"
127.51,2940.1,137.15,4.2,0.23,"145-882A-14H-4,19-23"
127.82,2941.8,137.46,2.5,0.16,"145-882A-14H-4,50-54"
128.12,2943.5,137.76,0.9,0.06,"145-882A-14H-4,80-84"
128.36,2944.8,137.99,0.3,0.02,"145-882A-14H-4,104-108"
128.72,2946.8,138.35,0.5,0.04,"145-882A-14H-4,140-144"
129.01,2948.4,138.64,0.4,0.04,"145-882A-14H-5,19-23"
129.32,2950.2,138.95,0.3,0.02,"145-882A-14H-5,50-54"
129.62,2951.8,139.24,0.1,0.01,"145-882A-14H-5,80-84"
129.86,2953.1,139.48,0.3,0.03,"145-882A-14H-5,104-108"
130.22,2955.2,139.84,0.2,0.01,"145-882A-14H-5,140-144"
130.5,2956.7,140.12,0.1,0.01,"145-882A-14H-6,18-22"
130.82,2958.5,140.43,0.8,0.05,"145-882A-14H-6,50-54"
131.13,2960.2,140.74,0.2,0.01,"145-882A-14H-6,81-85"
131.3,2966.7,141.9,38.1,4.18,"145-882B-15H-3,40-43"
131.36,2961.5,140.97,7.6,0.58,"145-882A-14H-6,104-108"
131.6,2968.3,142.19,35,4.05,"145-882B-15H-3,70-73"
131.72,2963.5,141.32,21.8,1.94,"145-882A-14H-6,140-144"
131.9,2969.9,142.47,25.2,2.54,"145-882B-15H-3,100-103"
132,2965,141.6,24.5,2.76,"145-882A-14H-7,18-22"
132.2,2971.5,142.76,30.2,2.99,"145-882B-15H-3,130-133"
132.5,2973.1,143.04,25.5,2.27,"145-882B-15H-4,10-13"
132.8,2974.7,143.33,18,1.6,"145-882B-15H-4,40-43"
133.1,2976.4,143.62,12.7,1.05,"145-882B-15H-4,70-73"
133.12,2977.8,143.87,9.7,0.71,"145-882A-15H-1,80-84"
133.36,2979.3,144.15,7.6,0.59,"145-882A-15H-1,104-108"
133.42,2979.7,144.21,7.2,0.56,"145-882A-15H-1,112-113"
133.72,2981.4,144.51,4.6,0.26,"145-882A-15H-1,140-144"
134.02,2983.3,144.81,7.7,0.47,"145-882A-15H-2,20-24"
134.32,2985.2,145.11,4.2,0.25,"145-882A-15H-2,50-54"
134.62,2987.1,145.41,6.9,0.43,"145-882A-15H-2,80-84"
134.86,2988.6,145.65,17.2,1.32,"145-882A-15H-2,104-108"
135.22,2990.9,146.01,28.8,2.3,"145-882A-15H-2,140-144"
135.52,2992.8,146.31,25.5,1.99,"145-882A-15H-3,20-24"
135.82,2994.7,146.61,26.7,2.19,"145-882A-15H-3,50-54"
136.12,2996.6,146.91,18.3,1.24,"145-882A-15H-3,80-84"
136.36,2998.2,147.15,20.6,1.45,"145-882A-15H-3,104-108"
136.41,2998.5,147.2,21.5,1.64,"145-882A-15H-3,111-112"
136.72,3000.5,147.51,15.5,1.01,"145-882A-15H-3,140-144"
137.02,3002.4,147.81,11.5,0.72,"145-882A-15H-4,20-24"
137.32,3004.3,148.11,8.4,0.57,"145-882A-15H-4,50-54"
137.62,3006.2,148.41,5.7,0.35,"145-882A-15H-4,80-84"
137.86,3007.7,148.65,6.7,0.48,"145-882A-15H-4,104-108"
138.22,3009.8,149.01,6.6,0.43,"145-882A-15H-4,140-144"
138.52,3011.7,149.31,7.2,0.48,"145-882A-15H-5,20-24"
138.82,3013.5,149.61,5.9,0.35,"145-882A-15H-5,50-54"
139.12,3015.3,149.91,7.9,0.55,"145-882A-15H-5,80-84"
139.36,3016.7,150.15,9.2,0.85,"145-882A-15H-5,104-108"
139.42,3017.1,150.21,9.1,0.77,"145-882A-15H-5,112-113"
139.72,3018.9,150.51,5.1,0.31,"145-882A-15H-5,140-144"
140.02,3020.7,150.81,2.7,0.2,"145-882A-15H-6,20-24"
140.32,3022.6,151.11,2.5,0.18,"145-882A-15H-6,50-54"
140.35,3027.4,151.91,1.3,0.07,"145-882B-16H-2,145-148"
140.62,3024.4,151.41,0.5,0.05,"145-882A-15H-6,80-84"
140.86,3025.8,151.65,2.1,0.18,"145-882A-15H-6,104-108"
140.95,3030.8,152.48,0.3,0.02,"145-882B-16H-3,55-58"
141.25,3032.4,152.77,0.2,0.02,"145-882B-16H-3,85-88"
141.55,3034,153.05,0.8,0.06,"145-882B-16H-3,115-118"
141.85,3035.7,153.34,4.6,0.31,"145-882B-16H-3,145-148"
142.15,3037.3,153.62,8.6,0.55,"145-882B-16H-4,25-28"
142.86,3040.2,154.13,7.8,0.57,"145-882A-16H-1,104-108"
142.92,3040.5,154.19,8.8,0.67,"145-882A-16H-1,112-113"
143.22,3042.2,154.49,4.4,0.33,"145-882A-16H-1,140-144"
143.51,3043.8,154.77,5.5,0.37,"145-882A-16H-2,19-23"
143.82,3045.5,155.07,2.1,0.14,"145-882A-16H-2,50-54"
144.12,3047.2,155.37,0.5,0.03,"145-882A-16H-2,80-84"
144.36,3048.5,155.6,0.2,0.01,"145-882A-16H-2,104-108"
144.72,3050.5,155.96,0.1,0,"145-882A-16H-2,140-144"
145.01,3052.1,156.24,0.2,0.01,"145-882A-16H-3,19-23"
145.32,3053.8,156.54,0.3,0.02,"145-882A-16H-3,50-54"
145.62,3055.7,156.84,1.2,0.06,"145-882A-16H-3,80-84"
145.86,3057.1,157.07,1.9,0.11,"145-882A-16H-3,104-108"
145.92,3057.5,157.13,3.6,0.23,"145-882A-16H-3,112-113"
146.22,3059.3,157.42,3.9,0.28,"145-882A-16H-3,140-144"
146.51,3061.2,157.71,1.7,0.1,"145-882A-16H-4,19-23"
147.12,3064.9,158.31,3.2,0.17,"145-882A-16H-4,80-84"
147.36,3066.4,158.54,5.1,0.32,"145-882A-16H-4,104-108"
147.72,3068.6,158.89,4.9,0.34,"145-882A-16H-4,140-144"
148.01,3070.4,159.18,14.9,1.14,"145-882A-16H-5,19-23"
148.32,3072.3,159.48,11.5,0.76,"145-882A-16H-5,50-54"
148.62,3074.1,159.77,18.1,1.08,"145-882A-16H-5,80-84"
148.86,3076,160.01,17,0.74,"145-882A-16H-5,104-108"
148.92,3076.6,160.07,20,0.81,"145-882A-16H-5,112-113"
149.15,3088.1,161.24,22,1.23,"145-882B-17H-2,75-78"
149.22,3079.4,160.36,28.5,1.52,"145-882A-16H-5,140-144"
149.45,3091,161.53,22.6,1.1,"145-882B-17H-2,105-108"
149.51,3082.3,160.65,25.6,1.25,"145-882A-16H-6,19-23"
149.75,3093.8,161.82,23.1,1.25,"145-882B-17H-2,135-136"
149.82,3085.2,160.95,30.3,1.64,"145-882A-16H-6,50-54"
150.05,3096.7,162.11,21.3,1.11,"145-882B-17H-3,15-18"
150.35,3099.5,162.4,22.5,1.14,"145-882B-17H-3,45-48"
150.65,3102.3,162.68,24.2,1.31,"145-882B-17H-3,75-78"
150.95,3105.1,162.97,21.8,0.99,"145-882B-17H-3,105-108"
151.25,3108,163.26,21.9,0.96,"145-882B-17H-3,135-138"
151.55,3110.8,163.55,17.6,0.83,"145-882B-17H-4,15-18"
151.85,3113.7,163.84,18.9,0.87,"145-882B-17H-4,45-48"
152.15,3116.6,164.13,17.4,0.82,"145-882B-17H-4,75-78"
152.45,3119.3,164.41,14.3,0.63,"145-882B-17H-4,105-108"
152.72,3126.5,165.14,11,0.51,"145-882A-17H-1,140-144"
152.75,3122.2,164.7,15,0.63,"145-882B-17H-4,135-138"
153.02,3129.4,165.43,12.1,0.5,"145-882A-17H-2,20-24"
153.05,3125,164.99,11.5,0.58,"145-882B-17H-5,15-18"
153.32,3132.2,165.72,12.4,0.6,"145-882A-17H-2,50-54"
153.62,3135.1,166.01,12.2,0.54,"145-882A-17H-2,80-84"
153.86,3137.3,166.24,6.7,0.31,"145-882A-17H-2,104-108"
154.22,3140.8,166.59,4.4,0.18,"145-882A-17H-2,140-144"
154.52,3143.6,166.88,1.9,0.08,"145-882A-17H-3,20-24"
154.82,3146.4,167.18,2.5,0.13,"145-882A-17H-3,50-54"
155.12,3148.5,167.47,1.3,0.08,"145-882A-17H-3,80-84"
155.36,3150.1,167.7,1.2,0.08,"145-882A-17H-3,104-108"
155.42,3150.5,167.76,1.5,0.09,"145-882A-17H-3,112-113"
155.72,3152.6,168.05,7.6,0.55,"145-882A-17H-3,140-144"
156.02,3154.7,168.34,26.6,1.69,"145-882A-17H-4,20-24"
156.32,3156.7,168.63,19.4,1.3,"145-882A-17H-4,50-54"
156.62,3158.8,168.93,24.7,1.67,"145-882A-17H-4,80-84"
156.86,3160.5,169.16,22.9,1.5,"145-882A-17H-4,104-108"
157.22,3163,169.51,12.7,0.99,"145-882A-17H-4,140-144"
157.52,3165,169.8,21,1.36,"145-882A-17H-5,20-24"
157.82,3167.1,170.09,14.4,0.65,"145-882A-17H-5,50-54"
158.12,3170.1,170.38,18.2,0.76,"145-882A-17H-5,80-84"
158.36,3172.5,170.61,20.9,0.93,"145-882A-17H-5,104-108"
158.42,3173.1,170.67,18.7,0.8,"145-882A-17H-5,112-113"
158.72,3176.1,170.96,12.7,0.51,"145-882A-17H-5,140-144"
159.02,3179.2,171.26,10,0.35,"145-882A-17H-6,20-24"
159.32,3182.2,171.55,6.6,0.23,"145-882A-17H-6,50-54"
159.62,3185.1,171.84,7.1,0.27,"145-882A-17H-6,80-84"
159.86,3187.5,172.07,6.6,0.25,"145-882A-17H-6,104-108"
160.22,3191.1,172.42,14.9,0.58,"145-882A-17H-6,140-144"
160.52,3194.1,172.71,21,0.88,"145-882A-17H-7,20-24"
160.65,3196.9,172.98,21.7,1.09,"145-882B-18H-3,125-128"
160.85,3198.1,173.17,23,1.89,"145-882B-18H-3,145-148"
161.15,3199.8,173.46,19,1.42,"145-882B-18H-4,25-28"
161.45,3201.5,173.74,17.4,1.38,"145-882B-18H-4,55-58"
161.62,3205.7,174.44,16.3,1.33,"145-882A-18H-1,80-84"
161.75,3203.2,174.03,19.4,1.46,"145-882B-18H-4,85-88"
161.86,3207,174.67,19.9,1.49,"145-882A-18H-1,104-108"
161.92,3207.4,174.73,19,1.39,"145-882A-18H-1,112-113"
162.22,3209.1,175.01,16.1,1.3,"145-882A-18H-1,140-144"
162.52,3210.7,175.29,12.8,0.85,"145-882A-18H-2,20-24"
162.82,3212.4,175.57,15,1.19,"145-882A-18H-2,50-54"
163.12,3214.1,175.85,15.1,1.18,"145-882A-18H-2,80-84"
163.36,3215.4,176.08,8.4,0.65,"145-882A-18H-2,104-108"
163.72,3217.5,176.42,6.9,0.54,"145-882A-18H-2,140-144"
164.02,3219.1,176.7,9.6,0.73,"145-882A-18H-3,20-24"
164.32,3220.8,176.98,9.6,0.67,"145-882A-18H-3,50-54"
164.62,3222.5,177.26,9.4,0.72,"145-882A-18H-3,80-84"
164.86,3223.8,177.49,7.9,0.61,"145-882A-18H-3,104-108"
164.92,3224.1,177.54,10.1,0.69,"145-882A-18H-3,112-113"
165.22,3225.9,177.83,13,1.18,"145-882A-18H-3,140-144"
165.52,3227.5,178.11,16,1.25,"145-882A-18H-4,20-24"
165.82,3229.2,178.39,18.5,1.45,"145-882A-18H-4,50-54"
166.12,3230.9,178.67,26.4,2.15,"145-882A-18H-4,80-84"
166.36,3232.7,178.9,29,2.14,"145-882A-18H-4,104-108"
166.72,3235.4,179.24,22.8,1.48,"145-882A-18H-4,140-144"
167.02,3237.6,179.52,8.7,0.47,"145-882A-18H-5,20-24"
167.32,3239.8,179.8,5.8,0.31,"145-882A-18H-5,50-54"
167.62,3242.1,180.08,6.8,0.34,"145-882A-18H-5,80-84"
167.86,3243.9,180.31,11.2,0.59,"145-882A-18H-5,104-108"
167.92,3244.4,180.37,13.2,0.72,"145-882A-18H-5,112-113"
168.22,3246.6,180.65,21.2,1.28,"145-882A-18H-5,140-144"
168.52,3248.8,180.93,26.6,1.73,"145-882A-18H-6,20-24"
168.82,3251.1,181.21,36,2.37,"145-882A-18H-6,50-54"
169.12,3253.1,181.49,37.4,2.98,"145-882A-18H-6,80-84"
169.36,3254.6,181.72,32.9,2.59,"145-882A-18H-6,104-108"
169.72,3256.8,182.06,13.1,0.74,"145-882A-18H-6,140-144"
169.85,3260.3,182.6,7.3,0.49,"145-882B-19H-3,95-98"
170,3258.5,182.32,8.7,0.54,"145-882A-18H-7,18-22"
170.15,3262.1,182.88,6.3,0.4,"145-882B-19H-3,125-128"
170.45,3264,183.17,6.5,0.4,"145-882B-19H-4,5-8"
170.75,3265.9,183.45,4.1,0.28,"145-882B-19H-4,35-38"
171.05,3267.8,183.74,3.3,0.19,"145-882B-19H-4,65-68"
171.35,3269.6,184.02,1.9,0.12,"145-882B-19H-4,95-98"
171.65,3271.5,184.31,2,0.11,"145-882B-19H-4,125-128"
171.95,3273.3,184.59,3,0.18,"145-882B-19H-5,5-8"
172.01,3283.5,185.98,1.8,0.07,"145-882A-19H-2,19-23"
172.25,3275.2,184.88,0.8,0.05,"145-882B-19H-5,35-38"
172.32,3286.2,186.28,0.2,0.01,"145-882A-19H-2,50-54"
172.55,3277,185.16,2.4,0.15,"145-882B-19H-5,65-68"
172.62,3288.7,186.57,1,0.04,"145-882A-19H-2,80-84"
172.85,3278.9,185.45,0.2,0.01,"145-882B-19H-5,95-98"
172.86,3290.7,186.8,1.4,0.06,"145-882A-19H-2,104-108"
173.15,3281.4,185.73,1.5,0.06,"145-882B-19H-5,125-128"
173.22,3293.7,187.15,0.7,0.03,"145-882A-19H-2,140-144"
173.51,3296.1,187.42,1,0.05,"145-882A-19H-3,19-23"
173.82,3298.7,187.72,1.2,0.05,"145-882A-19H-3,50-54"
174.12,3301.3,188.01,1.2,0.06,"145-882A-19H-3,80-84"
174.36,3303.3,188.24,1,0.04,"145-882A-19H-3,104-108"
174.51,3304.6,188.39,1.6,0.07,"145-882A-19H-3,104-108"
174.76,3306.7,188.63,1.8,0.07,"145-882A-19H-3,140-144"
175.01,3308.8,188.87,1.8,0.09,"145-882A-19H-4,19-23"
175.32,3311.4,189.17,1.5,0.07,"145-882A-19H-4,50-54"
175.62,3313.9,189.46,1.6,0.07,"145-882A-19H-4,80-84"
175.86,3315.9,189.69,1.5,0.08,"145-882A-19H-4,104-108"
176.22,3318.6,190.03,2,0.12,"145-882A-19H-4,140-144"
176.51,3320.3,190.31,5.1,0.44,"145-882A-19H-5,19-23"
176.82,3322.1,190.61,14.8,1.31,"145-882A-19H-5,50-54"
177.12,3323.9,190.9,19.8,1.72,"145-882A-19H-5,80-84"
