depth,age_ka,mcd,CaCO3,MAR,label
20.92,444.7,23.91,0,0,"145-882A-3H-2,112-113"
20.93,445.1,23.92,0.1,0,"145-882A-3H-2,113-115"
21.22,455.2,24.2,1.3,0.02,"145-882A-3H-2,140-144"
21.52,462.4,24.5,0.1,0,"145-882A-3H-3,20-24"
21.84,469.8,24.81,0.1,0,"145-882A-3H-3,52-56"
22.12,476.1,25.08,0.1,0,"145-882A-3H-3,80-84"
22.37,479.6,25.33,0,0,"145-882A-3H-3,107-109"
22.42,480.3,25.38,0,0,"145-882A-3H-3,112-113"
22.72,484.2,25.67,0.6,0.02,"145-882A-3H-3,140-144"
23.02,488.3,25.97,5.3,0.25,"145-882A-3H-4,20-24"
23.34,492.6,26.28,12.6,0.45,"145-882A-3H-4,52-56"
23.62,496.2,26.55,9.7,0.38,"145-882A-3H-4,80-84"
23.72,497.3,26.65,7.9,0.35,"145-882A-3H-4,90-91"
23.92,499.6,26.85,7.3,0.3,"145-882A-3H-4,112-113"
23.93,499.7,26.86,8.1,0.36,"145-882A-3H-4,113-116"
24.22,502.8,27.14,11.9,0.6,"145-882A-3H-4,140-144"
24.52,506.1,27.44,19.8,0.48,"145-882A-3H-5,20-24"
24.84,517.6,27.75,18.4,0.26,"145-882A-3H-5,52-56"
25.1,529,28,1.8,0.02,"145-882A-3H-5,78-82"
25.42,543.7,28.32,2.9,0.04,"145-882A-3H-5,112-113"
25.65,559.7,28.87,0.1,0,"145-882B-4H-2,75-78"
25.72,551.7,28.61,0.5,0.01,"145-882A-3H-5,140-144"
25.9,576.5,29.12,6.4,0.04,"145-882B-4H-2,100-104"
26.15,590.8,29.36,0.1,0,"145-882B-4H-2,125-128"
26.35,598.5,29.55,10.6,0.12,"145-882B-4H-2,145-148"
26.6,608.6,29.8,11.4,0.22,"145-882B-4H-3,20-24"
26.85,613,30.04,0.3,0.01,"145-882B-4H-3,45-48"
27.1,617.1,30.28,0.2,0.01,"145-882B-4H-3,70-73"
27.35,621.5,30.53,6.7,0.17,"145-882B-4H-3,95-98"
27.6,625.6,30.77,6,0.14,"145-882B-4H-3,120-123"
27.84,629.6,31,0.9,0.02,"145-882B-4H-3,144-148"
28.1,635,31.25,0.3,0.01,"145-882B-4H-4,20-23"
28.32,652.9,32.2,5.5,0.18,"145-882A-4H-1,50-54"
28.35,640.8,31.5,0.4,0.01,"145-882B-4H-4,45-48"
28.6,645.2,31.74,1.3,0.04,"145-882B-4H-4,70-73"
28.62,657.8,32.49,2.9,0.11,"145-882A-4H-1,80-84"
28.86,661.8,32.73,0.9,0.04,"145-882A-4H-1,104-108"
28.92,662.8,32.79,1.9,0.07,"145-882A-4H-1,112-113"
29.22,667.6,33.08,0.1,0,"145-882A-4H-1,140-144"
29.51,672.4,33.37,0.3,0.01,"145-882A-4H-2,19-23"
29.82,677.4,33.67,0.1,0.01,"145-882A-4H-2,50-54"
30.12,682.1,33.96,0.1,0,"145-882A-4H-2,80-84"
30.36,685.7,34.2,0.1,0,"145-882A-4H-2,104-108"
30.42,686.6,34.26,0,0,"145-882A-4H-2,112-113"
30.72,691,34.55,0.2,0.01,"145-882A-4H-2,140-144"
31.01,695.4,34.84,0.9,0.02,"145-882A-4H-3,19-23"
31.32,700,35.14,16.3,0.62,"145-882A-4H-3,50-54"
31.62,704.5,35.44,23.5,0.7,"145-882A-4H-3,80-84"
31.86,708,35.67,15.3,0.4,"145-882A-4H-3,104-108"
31.92,708.9,35.73,18.7,0.33,"145-882A-4H-3,112-113"
32.22,713.3,36.02,17.5,0.37,"145-882A-4H-3,140-144"
32.51,717.7,36.31,19.9,0.55,"145-882A-4H-4,19-23"
32.82,722.2,36.61,0.1,0,"145-882A-4H-4,50-54"
33.12,729.9,36.91,0.1,0,"145-882A-4H-4,80-84"
33.36,736.3,37.14,2.1,0.04,"145-882A-4H-4,104-108"
