age_ka,Bca,glacial,average
2438.2842,167.498583,1,1
2463.6031,166.1799293,2,1
2806.2400,163.745455,1,1
2827.3170,177.5933308,2,1
2428.9474,165.508404,1,0
2441.5736,169.488762,1,0
2455.7948,165.504873,2,0
2459.3833,167.45012,2,0
2466.0287,163.194558,2,0
2473.2057,168.570166,2,0
2798.1659,164.300458,1,0
2804.4125,171.081571,1,0
2811.1909,159.064079,1,0
2811.1909,160.535712,1,0
2833.1207,180.317489,2,0
2827.0069,178.9151695,2,0
2821.8235,173.547334,2,0
