index,label,label_02,depth,age_ka,d18O_u,BWT,d18O_sw,Ca_ppm,LiCa,MgCa,AlCa,MnCa,FeCa,SrCa
22,KR01_1018A_25X_02_110,"167-1018A-25X-2,110",226.8,1836,3.19,-0.39,-0.93,72.83,10.07,0.86,BDL,34.24,23.47,1.02
24,KR03_1018A_26X_02_35,"167-1018A-26X-2,35",235.65,1908,3.48,3.29,0.39,8.14,15.13,1.23,BDL,12.16,60.95,1.03
27,KR01_1018A_28X_01_36,"167-1018A-28X-1,36",253.36,2052,3.18,1.88,-0.3,16.12,11.09,1.09,52.19,14,69.6,1.13
23,KR02_1018A_28X_04_35,"167-1018A-28X-4,35",257.85,2089,3.82,4.63,1.08,40.38,13.93,1.36,BDL,65.67,111.99,1.02
25,KR04_1018A_28X_05_109,"167-1018A-28X-5,109",260.09,2107,3.7,2.58,0.41,74.25,11.47,1.16,1.82,28.59,72.39,1.04
29,KR03_1018A_29X_02_35,"167-1018A-29X-2,35",264.35,2142,3.72,0.39,-0.18,56.86,9.06,0.94,4,22.57,74.7,1.14
26,KR05_1018A_29X_03_110,"167-1018A-29X-3,110",266.6,2160,3.59,0.59,-0.25,66.8,9.75,0.96,9.92,19.28,53.64,1.01
27,KR06_1018A_29X_03_110,"167-1018A-29X-3,110",266.6,2160,3.59,0.96,-0.15,74.22,10.19,1,18.34,15.16,54.44,0.99
30,KR04_1018A_30X_03_35,"167-1018A-30X-3,35",275.55,2233,3.44,1.69,-0.09,52.67,9.74,1.07,2.76,24.28,59.94,1.14
28,KR07_1018A_30X_04_110,"167-1018A-30X-4,110",277.8,2251,3.36,1.95,-0.1,65,10.55,1.1,2.97,37.55,42.98,1.01
29,KR08_1018A_31X_03_108,"167-1018A-31X-3,108",285.88,2317,2.74,2.2,-0.65,29.84,16.22,1.12,3.27,24.11,39.44,1.04
31,KR05_1018A_31X_04_109,"167-1018A-31X-4,109",287.39,2329,3.13,0.54,-0.72,76.2,9.82,0.95,4.79,15.18,29.03,1.01
53,KR30_1018A_32X_02_40,"167-1018A-32X-2,40",293.4,2378,3.3,-0.27,-0.78,110.48,10.2,0.87,2.78,10.23,25.5,1
30,KR09_1018A_34X_04_35,"167-1018A-34X-4,35",315.55,2542,3.49,-0.59,-0.69,131.37,8.84,0.84,2.2,13.77,39.57,0.97
33,KR07_1018A_34X_05_35,"167-1018A-34X-5,35",317.05,2552,2.81,2.66,-0.46,9.28,10.91,1.17,92.56,36.03,81.44,1.11
35,KR09_1018A_35X_02_106,"167-1018A-35X-2,106",322.86,2595,2.63,2.7,-0.63,24.42,10.29,1.17,10.79,32.81,80.51,1.13
36,KR10_1018A_35X_05_107,"167-1018A-35X-5,107",327.37,2623,3.18,0.4,-0.71,37.11,11.77,0.94,38.87,16.92,80.91,1.15
39,KR11_1018A_36X_01_110,"167-1018A-36X-1,110",331.1,2642,3.43,0.66,-0.39,17.52,8.53,0.97,2.62,17.08,44.55,1.12
40,KR12_1018A_36X_01_110,"167-1018A-36X-1,110",331.1,2642,3.43,0.09,-0.55,54.35,9.5,0.91,3.47,17.6,41.42,1.1
37,KR14_1018A_36X_04_110,"167-1018A-36X-4,110",335.6,2665,3.25,1.02,-0.47,95.45,11.34,1,0.51,25.68,40.54,1.01
41,KR13_1018A_36X_06_35,"167-1018A-36X-6,35",337.85,2677,3.02,0.97,-0.71,25.48,11.2,1,121.49,12.42,194.51,1.11
42,KR14_1018A_37X_01_34,"167-1018A-37X-1,34",340.04,2688,3,1.74,-0.52,64.92,10.8,1.07,5.48,39.26,77.65,1.03
44,KR18_1018A_37X_03_104,"167-1018A-37X-3,104",343.74,2707,3.15,0.01,-0.85,44.05,12.33,0.9,8.05,13.98,42.71,1.11
45,KR19_1018A_37X_04_107,"167-1018A-37X-4,107",345.27,2715,3.03,5.26,0.46,42.85,10.17,1.43,16.7,54.49,72.86,1.16
39,KR18_1018A_37X_05_38,"167-1018A-37X-5,38",346.08,2719,3.04,6.71,0.84,27.26,14.59,1.57,3.19,48.79,68.12,1.03
46,KR20_1018A_37X_05_108,"167-1018A-37X-5,108",346.78,2723,3.4,4.91,0.73,89.05,9.3,1.39,2.74,47.88,55.25,1.02
40,KR19_1018A_38X_06_110,"167-1018A-38X-6,110",358,2879,2.92,2.55,-0.38,59.23,12.8,1.15,15.95,28.06,63.08,1.04
41,KR20_1018A_39X_01_36,"167-1018A-39X-1,36",359.36,2921,2.68,3.77,-0.29,39.22,15.78,1.28,3.13,24.65,63.89,0.97
48,KR22_1018A_39X_03_111,"167-1018A-39X-3,111",363.11,3038,3.04,1.43,-0.57,21.48,11.22,1.04,2.26,24.99,81.69,1.14
42,KR21_1018A_39X_04_35,"167-1018A-39X-4,35",363.85,3061,2.92,1.13,-0.77,56.23,13.2,1.01,9.45,19.74,52.82,1.02
47,KR24_1018A_40X_04_111,"167-1018A-40X-4,111",374.31,3370,2.07,4.79,-0.63,65.02,14.63,1.38,3.1,75.07,135.48,0.97
46,KR23_1018A_41X_01_110,"167-1018A-41X-1,110",379.4,3415,2.67,3.29,-0.43,74.27,15.7,1.23,3.74,44.59,95.13,0.99
48,KR25_1018A_42X_01_35,"167-1018A-42X-1,35",388.25,3494,3.1,0.75,-0.69,60.5,13.66,0.98,3.32,19.48,69.5,1.02
50,KR27_1018A_43X_05_43,"167-1018A-43X-5,43",403.93,3633,2.83,4.77,0.13,83.24,14.45,1.38,3.95,27.54,85.11,0.98
51,KR28_1018A_43X_05_43,"167-1018A-43X-5,43",403.93,3633,2.83,3.33,-0.26,66.22,15.03,1.23,6.89,24.67,85.98,0.99
