Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
S18 0777,ODP1209,A,4,H,4,117,119,32.87,36.54,CWUEL,3.41,-0.53,4.05,-0.53,2530.08212,MIS 100,QG2,11.0117,14.24175,2.8745,0.9628,29.73235,20.93915,1.0004,0.14495,3.2754,0.4393,11.72365,3.2923
S18 0778,ODP1209,A,4,H,4,119.5,121.5,32.895,36.565,CWUEL,3.66,-0.63,4.3,-0.63,2532.08363,MIS 100,QG4,12.4624,12.6824,2.8685,1.0691,5.389,42.7094,1.0246,0.1475,2.6778,0.2165,17.9867,-7.4545
S18 0779,ODP1209,A,4,H,4,126,128,32.96,36.63,CWUEL,3.4,-0.48,4.04,-0.48,2536.30904,MIS 100,,,,,,,,,,,,,
S17 3813,ODP1209,A,4,H,4,143,145,33.13,36.8,CWUEL,2.88,-0.06,3.52,-0.06,2544.98224,,,,,,,,,,,,,,
S17 3797,ODP1209,A,4,H,5,5,7,33.25,36.92,CWUEL,2.78,0.02,3.42,0.02,2550.76438,,QI3,12.35695,13.5507,2.83795,0.95065,8.34625,55.74745,1.033,0.13835,3.0551,0.327,19.6235,-20.66585
,ODP1209,A,4,H,5,8,10,33.28,36.95,CWUEL,3.45,-0.38,4.09,-0.38,2552.06,,T9,11.63843558,14.99646677,2.706177444,0.936785126,6.253565468,43.32655836,1.024248254,0.122521312,3.020269242,0.309942258,13.7379318,10.59830947
,ODP1209,A,4,H,5,12,14,33.32,36.99,CWUEL,3.28,-0.08,3.92,-0.08,2553.74,,S1/S2,11.36983056,16.3986142,2.82554992,0.956449949,6.711626839,47.02565226,1.021705425,0.12789179,3.187405049,0.29742499,14.46110609,10.3888087
S17 3798,ODP1209,A,4,H,5,15,17,33.35,37.02,CWUEL,3.13,-0.25,3.77,-0.25,2554.98979,,B1,11.0501,13.4049,3.0093,0.9808,16.2579,27.8324,1.0169,0.1436,2.7785,0.1842,8.8263,8.5539
,ODP1209,A,4,H,5,18,20,33.38,37.05,CWUEL,2.79,-0.44,3.43,-0.44,2556.26,,S3,11.515524,15.54886872,2.841368974,0.905880153,4.311830634,44.42575903,1.017631934,0.122393223,3.054343223,0.259713007,12.01148564,9.111297678
,ODP1209,A,4,H,5,22,24,33.42,37.09,CWUEL,3.31,-0.26,3.95,-0.26,2557.94,,S4,11.42352374,15.06774976,2.748272353,1.130851859,5.082017677,40.70119482,1.01569657,0.132341291,3.818601255,0.229471058,14.24470513,11.61862546
S17 3799,ODP1209,A,4,H,5,25,27,33.45,37.12,CWUEL,3.1,-0.33,3.74,-0.33,2559.2152,,B2,10.7225,15.8097,3.0299,0.8919,34.4938,33.7204,1.0309,0.1481,3.2274,0.2077,7.8758,14.4363
