age_ka,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
1744.10543,1.68788,0.36894,2.97516,-1.04921,4.28943,0.4279,0.05191,0.80281,-0.37248,1.16615
1747.20537,1.27108,-0.17399,2.60827,-1.50552,4.04335,0.14658,-0.26067,0.63166,-0.64276,1.11292
1752.50557,NaN,-2.05738,4.25607,-3.67155,5.91808,NaN,-0.87038,0.77685,-1.16352,1.23919
1754.4054,1.01549,-0.32192,2.3546,-1.60876,3.78559,0.00389,-0.32557,0.38678,-0.65974,0.74747
1755.60523,1.54805,0.19947,2.99733,-1.03062,4.36737,0.16824,-0.18142,0.54527,-0.52973,0.93909
1757.10517,2.20117,0.70454,3.56667,-0.57815,4.93468,0.13826,-0.26092,0.49512,-0.60137,0.8558
1758.80525,2.46632,0.96222,3.75418,-0.44346,5.04561,0.15991,-0.24295,0.49533,-0.61175,0.84368
1759.40528,2.66561,1.37524,3.98553,-0.12032,5.34188,0.2356,-0.1086,0.58287,-0.46769,0.90041
1761.40551,2.70181,1.42961,4.10676,-0.19183,5.5361,0.25686,-0.09494,0.62495,-0.55441,0.93854
1763.50562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1767.40553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1768.90557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1770.30569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1771.4057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1772.70582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1773.7059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1774.90613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1776.40631,NaN,-1.66876,4.67757,-2.77733,6.2346,NaN,-0.8791,0.81373,-1.16434,1.05873
1779.10655,NaN,-1.89444,4.5787,-2.48712,6.2346,NaN,-0.93957,0.80067,-1.16434,1.05873
1779.40658,1.52326,0.12426,2.86743,-1.08802,4.29504,-0.02855,-0.40789,0.33151,-0.74321,0.70151
1780.10665,2.34743,0.91095,3.73637,-0.42801,4.95009,0.25478,-0.14435,0.64186,-0.54427,1.00945
1781.70677,2.50041,1.12812,3.88058,-0.17062,5.16981,0.37387,0.00304,0.7252,-0.36209,1.07971
1782.4068,2.87593,1.51366,4.25452,0.1841,5.58804,0.5249,0.17122,0.88796,-0.1961,1.23498
1783.60658,1.79818,0.28142,3.41369,-1.22822,4.90851,0.39328,0.00691,0.76493,-0.36831,1.15323
1785.60676,NaN,-2.09155,4.90452,-3.42528,6.35119,NaN,-0.57599,1.12917,-0.88521,1.31495
1786.50663,1.16258,-0.21411,2.54971,-1.7051,3.89313,0.32209,-0.02591,0.68819,-0.41939,1.03235
1787.60669,1.81856,0.44696,3.19165,-0.87325,4.55557,0.52565,0.14773,0.88311,-0.19633,1.28471
1790.50701,NaN,-1.08696,5.43917,-2.29303,6.39888,NaN,-0.18991,1.48941,-0.48503,1.68978
