depth,age_ka,d18O
133.47,2821.85,3.26
133.67,2826.79,3.12
133.76,2829.26,3.21
133.86,2831.73,3.17
133.96,2834.21,3.38
134.06,2836.68,3.28
134.15,2839.15,3.5
134.25,2841.62,3.44
134.35,2844.08,3.46
134.44,2846.52,3.64
134.54,2848.9,3.54
134.64,2851.06,3.48
134.73,2853.22,3.54
134.83,2855.38,3.39
134.93,2857.53,3.32
135.03,2859.69,3.22
135.12,2861.85,3.31
135.22,2864.01,3.13
135.32,2866.17,3.32
135.41,2868.33,3.17
135.51,2870.48,3.28
135.61,2872.64,3.35
135.71,2874.8,3.49
135.8,2876.96,3.52
135.9,2879.12,3.5
136,2881.27,3.44
136.09,2883.43,3.45
136.19,2885.59,3.53
136.29,2887.76,3.31
136.39,2889.93,3.44
136.48,2892.1,3.35
136.58,2894.27,3.35
136.68,2896.54,3.23
136.79,2898.88,3.23
136.89,2901.22,3.11
137,2903.55,3.25
137.1,2905.88,3.32
137.2,2908.21,3.32
137.31,2910.54,3.18
137.41,2912.88,3.3
137.52,2915.22,3.29
137.62,2917.55,3.52
137.73,2919.88,3.47
137.78,2921.09,3.54
137.88,2923.31,3.6
137.98,2925.52,3.59
138.08,2927.71,3.71
138.18,2929.84,3.62
138.28,2931.97,3.46
138.38,2934.1,3.46
138.48,2936.23,3.28
138.58,2938.36,3.2
138.68,2940.5,3.03
138.78,2942.63,3.07
138.88,2944.76,2.94
138.98,2946.89,3.1
139.08,2949.02,2.91
139.18,2951.15,2.9
139.48,2957.54,3.02
139.58,2959.67,3.23
139.78,2963.94,3.08
139.98,2968.2,3.27
140.08,2970.33,3.32
140.18,2972.46,3.3
140.28,2974.58,3.27
140.38,2976.7,3.32
140.48,2978.8,3.32
140.58,2980.8,3.44
140.68,2982.8,3.32
140.78,2984.8,3.25
140.88,2986.8,3.1
140.98,2988.8,3.06
141.08,2990.8,3.07
141.18,2992.8,3.1
141.28,2994.8,3.04
141.38,2996.8,3.33
141.48,2998.8,3.25
141.77,3004.6,3.49
141.89,3006.94,3.42
142.01,3009.32,3.43
142.13,3011.7,3.41
142.24,3014.08,3.47
142.35,3016.21,3.56
142.44,3017.93,3.27
142.52,3019.67,3.43
142.61,3021.42,3.48
142.72,3023.78,3.35
142.84,3026.22,3.33
142.96,3028.66,3.18
143.08,3031.1,3.04
143.2,3033.46,3.1
143.31,3035.69,3.28
143.53,3040.15,3.12
143.64,3042.38,3.08
143.75,3044.61,3.22
143.85,3046.83,3.33
143.96,3049.15,3.23
144.09,3052.18,3.17
144.25,3055.97,3.19
144.4,3059.91,3.05
144.55,3063.59,3.03
144.62,3065.53,3.02
144.7,3067.48,3.11
144.78,3069.42,3.06
144.85,3071.37,3.02
144.93,3073.31,3.03
145.01,3075.25,3.06
145.08,3077.19,2.92
145.16,3079.14,3.03
145.24,3081.08,2.99
145.31,3083.02,3.23
145.39,3084.97,2.95
145.47,3086.92,3.31
145.54,3088.92,3.09
145.62,3090.98,3.08
145.7,3093.38,3.19
145.77,3095.78,3.09
145.85,3098.18,3.1
145.93,3100.58,3.15
146,3102.98,3.17
146.08,3105.39,3.03
146.16,3107.79,3.15
146.24,3110.19,3.08
146.31,3112.59,3.12
146.39,3114.99,3.25
146.47,3117.39,3.25
146.54,3119.79,3.25
146.62,3122.19,3.32
146.7,3124.6,3.37
146.77,3127,3.33
146.85,3129.4,3.35
146.93,3131.8,3.44
147,3134.14,3.07
147.08,3136.13,3.46
147.17,3138.41,3.45
147.27,3140.51,3.37
147.46,3144.72,3.16
147.56,3146.82,2.96
147.65,3148.93,2.87
147.85,3153.14,2.99
147.95,3155.25,3.13
147.98,3156,3.02
148.08,3158.17,3.18
148.18,3160.35,3.04
148.38,3164.7,3.05
148.48,3166.87,3.04
148.58,3169.05,2.96
148.68,3171.22,3.03
148.78,3173.42,2.94
148.88,3175.73,2.93
148.98,3178.11,3
149.08,3180.75,3.02
149.18,3183.39,3.01
149.28,3186.02,2.83
149.38,3188.66,2.92
149.48,3191.3,3.01
149.58,3193.94,2.96
149.68,3196.57,3.02
149.76,3198.68,3.15
149.78,3199.21,2.99
149.86,3201.32,3.03
149.88,3201.85,3.07
149.96,3203.96,3.25
149.98,3204.49,2.93
150.08,3207.12,3.17
150.18,3209.76,3.12
150.26,3211.87,3.05
150.28,3212.4,3.09
150.36,3214.51,3.11
150.38,3215.04,2.89
150.48,3217.67,3.23
150.56,3219.78,3.33
150.58,3220.31,3.16
150.68,3222.94,3.16
150.76,3225.05,3.27
150.78,3225.58,3.1
150.86,3227.69,2.87
150.88,3228.22,3.03
150.98,3230.86,2.97
151.06,3232.97,3.13
151.08,3233.5,3.02
151.18,3236.13,3.22
151.28,3238.77,2.91
151.36,3240.88,3.28
151.38,3241.41,2.96
151.46,3243.51,3.19
151.48,3244.04,3.15
151.56,3246.15,3.26
151.58,3246.68,3.09
151.64,3248.26,3.06
151.68,3249.32,3.03
151.69,3249.58,3.31
151.76,3251.43,3.53
151.78,3251.96,3.09
151.81,3252.75,2.49
151.87,3254.33,3.5
151.88,3254.6,3.27
151.9,3255.12,3.38
151.98,3257.23,3.42
152.08,3259.87,3.1
152.12,3260.92,3.47
152.14,3261.45,3.44
152.18,3262.51,3.31
152.23,3263.83,3.19
152.24,3264.09,3.61
152.28,3265.15,3.17
152.38,3267.78,3.14
152.4,3268.31,3.51
152.44,3269.36,3.52
152.48,3270.42,3.11
152.58,3273.05,3.07
152.64,3274.63,3.41
152.68,3275.69,3.28
152.75,3277.54,3.61
152.78,3278.33,3.24
152.86,3280.44,2.93
152.88,3280.97,3.41
152.98,3283.6,3.33
153.06,3285.71,3.53
153.07,3285.91,3.29
153.08,3286.24,3.37
153.1,3286.77,3.86
153.11,3287.03,3.89
153.15,3288.06,3.99
153.17,3288.59,3.56
153.18,3288.88,3.69
153.23,3290.2,4.13
153.26,3290.99,3.36
153.28,3291.48,3.74
153.33,3292.92,3.74
153.39,3294.29,3.8
153.39,3294.34,4.18
153.5,3296.76,3.77
153.61,3299.16,3.68
153.61,3299.23,3.88
153.72,3301.37,3.64
153.73,3301.59,3.73
153.8,3303.13,3.85
153.83,3303.58,3.62
153.85,3304.07,3.89
153.86,3304.24,3.63
153.93,3305.78,3.55
154,3307.1,3.86
154.02,3307.55,3.76
154.04,3307.99,3.53
154.13,3309.76,3.67
154.15,3310.2,3.46
154.2,3311.14,3.93
154.26,3312.42,3.56
154.29,3312.96,3.85
154.35,3314.19,3.75
154.37,3314.63,3.35
154.42,3315.58,3.72
154.45,3316.17,3.55
154.48,3316.84,3.11
154.49,3317.06,3.58
154.55,3318.21,3.41
154.59,3319.04,3.08
154.62,3319.71,3.04
154.68,3320.81,3.47
154.7,3321.25,2.97
154.73,3321.91,2.94
154.77,3322.65,3.19
154.81,3323.46,2.99
154.83,3323.9,4.28
154.89,3325.01,3.15
154.92,3325.67,2.97
154.97,3326.77,3.27
154.99,3327.09,3.26
155.01,3327.44,3.59
155.03,3327.88,3.04
155.06,3328.54,3.11
155.14,3330.09,3.17
155.22,3331.77,3.45
155.24,3332.13,3.36
155.24,3332.14,3.19
155.27,3332.69,3.32
155.31,3333.61,3.35
155.33,3333.98,3.22
155.4,3335.46,3.39
155.42,3335.87,3.16
155.46,3336.7,3.3
155.51,3337.91,3.15
155.57,3339.15,3.29
155.59,3339.53,3.36
155.63,3340.38,3.5
155.71,3342.27,3.47
155.75,3343.12,3.41
