Leg,Site,Hole,Core,Type,Section,Top,Bottom,Mid Depth,mbsf,age_ka,U_auth,Mn_excess,Ba_excess,Opal_conc,C_37,CaCO3_conc
198,1208,A,14,H,4,49,51,123.7,123.4258979,2667.176641,0.487554157,738.8712732,872.2417393,6.453228459,0.867779567,72.01
198,1208,A,14,H,4,72,74,123.93,123.6432892,2672.037016,0.348980106,744.3261968,740.7576311,4.509371615,1.272141237,75.19
198,1208,A,14,H,4,86,88,124.07,123.7756144,2674.995505,0.474914769,722.8540932,686.9015736,5.268321021,0.906644292,76.23
198,1208,A,14,H,4,92,94,124.13,123.8323251,2676.263428,0.675434721,801.6272937,724.2947649,4.170741635,0.88734884,77.45
198,1208,A,14,H,4,112,114,124.33,124.0213611,2680.293424,0.793010038,677.5357762,760.3534737,7.956145779,1.114454427,69.72
198,1208,A,14,H,4,132,133,124.525,124.2056711,2683.124535,0.43826006,535.6626745,902.4690283,6.792353196,1.031223773,67.88
198,1208,A,14,H,5,5,7,124.76,124.4277883,2686.489947,0.405025535,432.0982129,1214.701369,7.763557442,1.838483609,56.8
198,1208,A,14,H,5,22,24,124.93,124.5884688,2688.910466,0.196822287,415.2073615,1137.156807,8.805642125,1.790471755,53.43
198,1208,A,14,H,5,43,45,125.14,124.7869565,2693.984523,0.504027056,515.9127716,844.095961,6.889707302,1.353509468,64.71
198,1208,A,14,H,5,63,65,125.34,124.9759924,2699.891895,1.107875532,620.7526603,749.9723648,5.418950195,0.778985513,72.16
198,1208,A,14,H,5,84,86,125.55,125.1744802,2705.639394,0.881825349,525.9598634,754.5875813,8.795919793,1.392257208,64.54
198,1208,A,14,H,5,92,94,125.63,125.2500945,2706.927866,0.785088144,469.3634675,779.6462598,5.781457956,1.420753724,64.58
198,1208,A,14,H,5,125,127,125.96,125.5620038,2712.362648,0.169929801,317.5880299,828.2530642,5.77484292,1.862433533,20.82
198,1208,A,14,H,6,4,5,126.245,125.83138,2717.056324,0,211.093762,1323.258295,9.728876116,4.31192526,23.41
198,1208,A,14,H,6,34,36,126.55,126.1196597,2722.079381,0.009189225,242.3583427,1551.768205,10.24838948,2.651288325,24.7
198,1208,A,14,H,6,54,56,126.75,126.3086957,2725.373188,0.055980999,346.5157854,1618.552946,11.94915696,2.160423958,32.82
198,1208,A,14,H,6,83,85,127.04,126.5827977,2731.505621,0.131233816,456.9222247,1542.452872,12.67427506,1.419183232,47.05
