lower95_age,age_ka,upper95_age,depth (mcd),Species,d18O_unadj,d18O,d13C
3248.325359,3256.034024,3265.204678,51.12,CWUEL,2.78,3.42,0.09
3251.116427,3258.559277,3267.331207,51.17,CWUEL,2.91,3.55,0.02
3255.236576,3264.274322,3273.17916,51.27,CWUEL,2.90,3.54,0.16
3259.090909,3269.989367,3277.565125,51.37,CWUEL,2.83,3.47,0.20
3261.616162,3272.913344,3280.090377,51.42,CWUEL,2.89,3.53,0.24
3264.274322,3275.571505,3282.748538,51.47,CWUEL,2.90,3.54,0.24
3270.786816,3280.090377,3287.400319,51.57,CWUEL,2.84,3.48,-0.01
3278.229665,3284.476342,3292.185008,51.67,CWUEL,3.01,3.65,-0.19
3281.95109,3287.400319,3294.71026,51.72,CWUEL,3.07,3.71,-0.04
3284.742158,3290.457204,3297.368421,51.77,CWUEL,3.13,3.77,-0.30
3290.324296,3296.305157,3302.418926,51.87,CWUEL,3.34,3.98,-0.41
3293.38118,3299.362041,3305.209995,51.92,CWUEL,3.25,3.89,-0.27
3296.438065,3302.551834,3308.399787,51.97,CWUEL,3.25,3.89,-0.34
3300.82403,3306.937799,3312.387028,52.04,CWUEL,3.22,3.86,-0.27
3302.81765,3309.330144,3315.576821,52.07,CWUEL,3.12,3.76,-0.26
3308.532695,3315.709729,3323.684211,52.17,CWUEL,2.91,3.55,-0.27
3313.450292,3322.886762,3329.930888,52.27,CWUEL,2.64,3.28,0.00
3315.975545,3326.342371,3332.987772,52.32,CWUEL,2.87,3.51,0.20
3318.500797,3329.399256,3335.380117,52.37,CWUEL,2.71,3.35,0.09
3324.481659,3334.183945,3340.164806,52.47,CWUEL,2.84,3.48,-0.05
3331.12706,3338.702818,3344.550771,52.57,CWUEL,2.89,3.53,-0.09
3333.652313,3340.962254,3347.076023,52.62,CWUEL,2.93,3.57,0.19
3336.177565,3343.354599,3349.33546,52.67,CWUEL,2.88,3.52,-0.07
3341.493886,3348.936736,3353.987241,52.8,CWUEL,2.83,3.47,-0.03
3344.816587,3352.259436,3356.778309,52.87,CWUEL,2.87,3.51,-0.01
3347.208931,3354.253057,3358.904838,52.92,CWUEL,2.97,3.61,0.06
3350.265816,3356.512493,3361.297182,52.97,CWUEL,2.90,3.54,-0.06
3355.183413,3360.632642,3366.081871,53.07,CWUEL,2.88,3.52,0.03
3360.10101,3365.018607,3371.265284,53.17,CWUEL,2.73,3.37,0.04
3362.892079,3367.54386,3374.056353,53.22,CWUEL,2.68,3.32,0.20
3365.550239,3370.20202,3376.98033,53.27,CWUEL,2.76,3.40,0.02
3369.53748,3375.518341,3382.163743,53.37,CWUEL,2.82,3.46,-0.37
3372.195641,3378.30941,3384.954811,53.42,CWUEL,2.87,3.51,-0.28
3374.853801,3381.233386,3387.480064,53.47,CWUEL,2.98,3.62,-0.14
3379.505582,3385.619351,3392.397661,53.57,CWUEL,2.96,3.60,-0.15
3383.891547,3389.7395,3396.650718,53.67,CWUEL,2.87,3.51,-0.18
3388.144604,3393.859649,3400.372142,53.77,CWUEL,2.69,3.33,-0.13
3391.866029,3397.84689,3403.960659,53.87,CWUEL,2.73,3.37,0.04
3395.720362,3401.701223,3407.549176,53.97,CWUEL,2.78,3.42,-0.05
3399.707602,3405.28974,3411.536417,54.07,CWUEL,2.71,3.35,-0.11
3403.694843,3409.011164,3415.257842,54.17,CWUEL,2.72,3.36,0.02
3407.814992,3412.466773,3418.846358,54.27,CWUEL,2.77,3.41,0.06
3412.466773,3416.321106,3422.567783,54.37,CWUEL,2.51,3.15,-0.15
3416.05529,3420.308347,3426.422116,54.47,CWUEL,2.62,3.26,-0.08
3419.643806,3424.428495,3429.877725,54.57,CWUEL,2.63,3.27,-0.12
3423.365231,3428.548644,3432.801701,54.67,CWUEL,2.73,3.37,-0.04
3428.282828,3432.668793,3436.92185,54.77,CWUEL,2.63,3.27,-0.14
3432.668793,3436.523126,3440.510367,54.87,CWUEL,2.53,3.17,0.02
3436.390218,3440.111643,3443.833068,54.97,CWUEL,2.55,3.19,0.05
3440.244551,3443.833068,3447.421584,55.07,CWUEL,2.59,3.23,0.01
3443.833068,3447.554492,3451.408825,55.17,CWUEL,2.64,3.28,0.05
3448.086124,3451.143009,3455.263158,55.27,CWUEL,2.74,3.38,0.20
3451.940457,3454.864434,3458.851675,55.37,CWUEL,2.55,3.19,0.17
3455.528974,3458.718767,3462.573099,55.47,CWUEL,2.66,3.30,0.01
3458.851675,3462.573099,3466.693248,55.57,CWUEL,2.85,3.49,-0.11
3462.706007,3466.161616,3470.414673,55.67,CWUEL,2.82,3.46,0.04
3467.357788,3470.813397,3475.863902,55.8,CWUEL,2.70,3.34,0.38
3469.883041,3473.604466,3479.452419,55.87,CWUEL,2.64,3.28,0.23
3473.604466,3477.32589,3484.1042,55.97,CWUEL,2.53,3.17,0.17
3476.927166,3481.446039,3489.021797,56.07,CWUEL,2.67,3.31,0.25
3480.781499,3485.699096,3493.274854,56.17,CWUEL,2.54,3.18,0.24
3485.034556,3489.952153,3499.654439,56.27,CWUEL,2.64,3.28,0.26
3489.021797,3494.072302,3505.103668,56.37,CWUEL,2.87,3.51,0.17
3493.274854,3498.325359,3510.552897,56.47,CWUEL,2.67,3.31,0.14
3497.395003,3502.179692,3515.204678,56.57,CWUEL,2.75,3.39,0.20
3500.850611,3506.432749,3520.122275,56.67,CWUEL,2.57,3.21,0.16
3504.173312,3511.08453,3524.641148,56.77,CWUEL,2.64,3.28,0.14
3508.426369,3515.470494,3528.894205,56.87,CWUEL,2.73,3.37,0.25
3512.280702,3520.919724,3535.007974,56.98,CWUEL,2.56,3.20,0.10
3516.002127,3525.17278,3539.659755,57.06,CWUEL,2.53,3.17,0.17
3516.400851,3525.970229,3540.05848,57.07,CWUEL,2.41,3.05,0.19
3520.919724,3531.818182,3547.102605,57.16,CWUEL,2.52,3.16,0.25
3521.584264,3532.482722,3547.634237,57.17,CWUEL,2.47,3.11,0.08
3526.634769,3538.064859,3551.621478,57.26,CWUEL,2.42,3.06,0.16
3531.95109,3543.646996,3556.406167,57.36,CWUEL,2.81,3.45,-0.06
3537.267411,3548.697501,3561.988304,57.46,CWUEL,2.86,3.50,0.22
3541.919192,3554.279638,3567.437533,57.56,CWUEL,2.51,3.15,0.02
3546.969697,3559.728868,3572.620946,57.66,CWUEL,2.70,3.34,0.23
3551.887294,3565.311005,3577.139819,57.76,CWUEL,2.52,3.16,0.28
3557.336523,3570.760234,3582.45614,57.86,CWUEL,2.74,3.38,0.28
3562.25412,3577.804359,3588.56991,57.98,CWUEL,2.67,3.31,0.11
3567.038809,3581.7916,3591.626794,58.06,CWUEL,2.58,3.22,0.10
3575.544923,3587.240829,3594.949495,58.16,CWUEL,2.45,3.09,0.14
3588.56991,3595.746943,3598.405104,58.28,CWUEL,2.69,3.33,0.10
3599.468368,3600,3600,58.36,CWUEL,2.66,3.30,-0.18
