lower95_age,age_ka,upper95_age,depth (mcd),Species,d18O_unadj,d18O,d13C
2556.671983,2559.994684,2566.905901,37.05,CWUEL,2.79,3.43,-0.44
2558.133971,2561.190856,2568.367889,37.09,CWUEL,3.31,3.95,-0.26
2559.59596,2562.121212,2569.564062,37.12,CWUEL,3.10,3.74,-0.33
2560.792132,2563.184476,2570.760234,37.15,CWUEL,3.02,3.66,0.01
2562.25412,2564.380649,2572.35513,37.19,CWUEL,3.20,3.84,-0.28
2563.184476,2565.045189,2573.418394,37.21,CWUEL,3.11,3.75,-0.06
2564.513557,2566.108453,2574.747475,37.24,CWUEL,3.32,3.96,-0.20
2566.374269,2567.570441,2576.475279,37.29,CWUEL,2.99,3.63,-0.32
2567.304625,2568.500797,2577.671451,37.32,CWUEL,3.35,3.99,-0.14
2568.367889,2569.69697,2579.13344,37.35,CWUEL,3.25,3.89,-0.16
2569.564062,2571.158958,2580.861244,37.39,CWUEL,3.15,3.79,-0.29
2570.627326,2572.620946,2582.190324,37.42,CWUEL,3.09,3.73,-0.12
2571.69059,2574.082935,2583.386497,37.45,CWUEL,2.96,3.60,0.03
2573.152578,2575.943647,2585.114301,37.49,CWUEL,3.04,3.68,-0.34
2574.215843,2577.671451,2586.310473,37.52,CWUEL,3.18,3.82,-0.11
2575.677831,2580.196704,2587.772461,37.56,CWUEL,3.20,3.84,-0.34
2576.874003,2582.057416,2588.968634,37.59,CWUEL,2.90,3.54,-0.13
2578.335991,2584.316853,2590.031898,37.62,CWUEL,3.08,3.72,-0.15
2579.79798,2586.310473,2590.962254,37.65,CWUEL,2.74,3.38,-0.14
2581.658692,2588.437002,2592.291334,37.69,CWUEL,3.12,3.76,-0.04
2583.253589,2589.89899,2593.487507,37.72,CWUEL,2.84,3.48,-0.06
2585.114301,2591.493886,2594.949495,37.75,CWUEL,3.04,3.68,-0.15
2587.373737,2593.088783,2596.943115,37.79,CWUEL,3.10,3.74,-0.36
2589.23445,2594.284955,2598.405104,37.82,CWUEL,3.22,3.86,-0.46
2591.493886,2595.614035,2600.132908,37.85,CWUEL,3.06,3.70,-0.27
2593.753323,2597.341839,2602.525253,37.89,CWUEL,3.24,3.88,-0.29
2595.215311,2598.936736,2604.253057,37.92,CWUEL,3.13,3.77,-0.30
2596.411483,2600.797448,2605.582137,37.95,CWUEL,3.23,3.87,-0.51
2598.936736,2604.518873,2607.841574,38,CWUEL,3.40,4.04,-0.61
2600,2605.847953,2608.77193,38.02,CWUEL,3.52,4.16,-0.45
2601.594896,2607.841574,2610.632642,38.05,CWUEL,3.40,4.04,-0.48
2603.588517,2609.968102,2612.626263,38.09,CWUEL,3.38,4.02,-0.44
2605.715045,2611.562998,2614.752791,38.12,CWUEL,3.19,3.83,-0.32
2608.10739,2612.759171,2616.480595,38.15,CWUEL,3.40,4.04,-0.48
2609.835194,2613.689527,2618.075492,38.17,CWUEL,3.28,3.92,-0.16
2612.626263,2616.480595,2620.999468,38.22,CWUEL,3.13,3.77,-0.19
2614.088251,2618.474216,2623.258905,38.25,CWUEL,3.39,4.03,-0.34
