depth,age_ka,mcd,bSiO2,opal_acc_rate,Siliciclast_percent,silica_acc_rate,label
85.2,2187.1,91.57,8.6,0.28,56.1,1.86,"145-882B-10H-4,30-32"
85.6,2194.2,91.97,20.3,0.71,36.6,1.28,"145-882B-10H-4,70-72"
85.8,2197.8,92.17,14.5,0.41,31.8,0.9,"145-882B-10H-4,90-92"
85.02,2198.7,92.22,40.7,1.08,14.1,0.38,"145-882A-10H-1,20-24"
85.32,2205,92.57,27.4,0.88,22,0.71,"145-882A-10H-1,50-54"
85.63,2210.4,92.87,29.2,0.93,16.9,0.54,"145-882A-10H-1,81-85"
85.86,2214.4,93.09,28.6,0.96,16.2,0.54,"145-882A-10H-1,104-108"
86.22,2220,93.44,27.3,0.86,18.2,0.57,"145-882A-10H-1,140-144"
86.52,2224.2,93.72,52.6,1.19,8.1,0.18,"145-882A-10H-2,20-24"
86.82,2228.7,94.01,18.9,0.55,17.2,0.51,"145-882A-10H-2,50-54"
87.12,2233.1,94.3,40.9,0.96,13.6,0.32,"145-882A-10H-2,80-84"
87.32,2236,94.49,39,1.19,17.2,0.52,"145-882A-10H-2,100-104"
87.52,2238.9,94.68,36.6,1.27,21.8,0.76,"145-882A-10H-2,120-123"
87.72,2241.9,94.88,36.4,1.37,23.9,0.9,"145-882A-10H-2,140-144"
87.92,2244.8,95.07,15.1,0.59,7.9,0.31,"145-882A-10H-3,10-12"
88.02,2246.4,95.17,17.7,0.7,22.3,0.87,"145-882A-10H-3,20-24"
88.32,2250.8,95.46,10.6,0.31,26.5,0.79,"145-882A-10H-3,50-54"
88.52,2255.9,95.65,8.1,0.14,36,0.63,"145-882A-10H-3,80-84"
88.86,2267.5,95.98,21.9,0.31,24.1,0.34,"145-882A-10H-3,104-108"
89.02,2272.4,96.12,33.3,0.46,15.9,0.22,"145-882A-10H-3,120-123"
89.22,2279.4,96.32,43.9,0.58,9.6,0.13,"145-882A-10H-3,140-144"
89.42,2286.1,96.51,11.7,0.19,27.4,0.44,"145-882A-10H-4,10-13"
89.52,2289.6,96.61,14.2,0.3,19.6,0.41,"145-882A-10H-4,20-24"
89.82,2299.8,96.9,43.2,0.7,15,0.24,"145-882A-10H-4,50-54"
90.12,2310,97.19,25.6,0.27,14.9,0.16,"145-882A-10H-4,80-84"
90.36,2323.2,97.42,28.1,0.25,16.3,0.14,"145-882A-10H-4,104-108"
90.72,2344,97.76,11.3,0.11,28.2,0.28,"145-882A-10H-4,140-144"
91.02,2361.8,98.05,13.2,0.15,20.2,0.22,"145-882A-10H-5,20-24"
91.34,2376,98.36,7.4,0.16,18.8,0.4,"145-882A-10H-5,52-56"
91.62,2380.8,98.63,12.4,0.37,21.7,0.64,"145-882A-10H-5,80-84"
91.86,2384.9,98.86,9.3,0.36,38,1.45,"145-882A-10H-5,104-108"
92.02,2387.5,99.01,8.8,0.32,36.4,1.33,"145-882A-10H-5,120-123"
92.22,2391.1,99.21,16.5,0.56,17.6,0.6,"145-882A-10H-5,140-144"
92.52,2396.2,99.5,10.9,0.41,23.4,0.88,"145-882A-10H-6,20-24"
92.82,2401.2,99.78,11.1,0.38,27.2,0.93,"145-882A-10H-6,50-54"
93.12,2406.4,100.07,7.3,0.25,24.6,0.85,"145-882A-10H-6,80-84"
93.36,2410.5,100.3,5.4,0.2,31.8,1.16,"145-882A-10H-6,104-108"
93.72,2418.6,100.65,9.6,0.27,27.5,0.76,"145-882A-10H-6,140-144"
94.02,2426.2,100.97,14.1,0.3,22.7,0.48,"145-882A-10H-7,20-24"
93.4,2430.3,101.12,9.1,0.17,37.8,0.7,"145-882B-11H-3,50-53"
93.6,2438.4,101.31,8.2,0.11,32.3,0.44,"145-882B-11H-3,70-73"
93.8,2446.5,101.5,7,0.11,48.6,0.77,"145-882B-11H-3,90-93"
94.2,2462.3,101.88,19.7,0.25,19.2,0.25,"145-882B-11H-3,130-133"
94.35,2468.6,102.03,38.8,0.46,13.7,0.16,"145-882B-11H-3,145-148"
94.55,2476.5,102.22,26.8,0.28,19,0.2,"145-882B-11H-4,15-18"
94.75,2484.4,102.41,13.1,0.17,37.2,0.49,"145-882B-11H-4,35-38"
94.85,2488.2,102.5,7.1,0.1,51.8,0.71,"145-882B-11H-4,45-48"
94.82,2500.9,102.75,11.8,0.14,29.7,0.35,"145-882A-11H-1,50-54"
95.12,2516.4,103.05,18.3,0.26,27.4,0.38,"145-882A-11H-1,80-84"
95.36,2528.3,103.28,9.6,0.16,34.9,0.6,"145-882A-11H-1,104-108"
95.72,2541.8,103.63,21.9,0.39,20.1,0.35,"145-882A-11H-1,140-144"
96.02,2551.3,103.92,19.6,0.33,22.1,0.37,"145-882A-11H-2,20-24"
96.32,2560.8,104.21,22.7,0.35,27.1,0.41,"145-882A-11H-2,50-54"
96.62,2570.2,104.5,24.7,0.38,17.2,0.27,"145-882A-11H-2,80-84"
96.86,2577.7,104.73,19.3,0.37,32.1,0.62,"145-882A-11H-2,104-108"
97.22,2587.5,105.08,35,0.53,11.9,0.18,"145-882A-11H-2,140-144"
97.52,2597.4,105.38,37.8,0.52,13.1,0.18,"145-882A-11H-3,20-24"
97.82,2608.2,105.67,27.4,0.42,15.1,0.23,"145-882A-11H-3,50-54"
98.12,2619,105.96,17,0.25,40.7,0.59,"145-882A-11H-3,80-84"
98.36,2626.2,106.19,18.4,0.5,47.7,1.29,"145-882A-11H-3,104-108"
98.72,2632.3,106.54,29.9,1.08,17.4,0.63,"145-882A-11H-3,140-144"
99.02,2637.3,106.83,23.8,0.83,19.8,0.69,"145-882A-11H-4,20-24"
99.32,2642.4,107.12,37.4,1.17,16.4,0.51,"145-882A-11H-4,50-54"
99.62,2647.4,107.41,23.5,0.74,32,1,"145-882A-11H-4,80-84"
99.86,2652.7,107.64,19.2,0.43,34,0.76,"145-882A-11H-4,104-108"
100.24,2665.2,108.01,26.1,0.48,29.2,0.54,"145-882A-11H-4,142-146"
100.52,2673.5,108.29,24.1,0.58,16.8,0.4,"145-882A-11H-5,20-24"
100.82,2679,108.58,32.4,0.71,10.9,0.24,"145-882A-11H-5,50-54"
101.12,2684.4,108.87,28.4,0.77,18.3,0.49,"145-882A-11H-5,80-84"
101.36,2688.8,109.1,31.7,0.88,19,0.53,"145-882A-11H-5,104-108"
101.72,2695.4,109.45,17.1,0.54,39.7,1.25,"145-882A-11H-5,140-144"
102.02,2701,109.74,19.5,0.58,27.7,0.82,"145-882A-11H-6,20-24"
102.32,2706.7,110.03,27.8,0.88,22.5,0.71,"145-882A-11H-6,50-54"
102.62,2712.3,110.32,32.5,0.92,15.5,0.44,"145-882A-11H-6,80-84"
102.86,2717,110.56,36.3,0.99,15.7,0.43,"145-882A-11H-6,104-108"
103.22,2723.8,110.91,27.8,0.87,14.7,0.46,"145-882A-11H-6,140-144"
103.52,2729.2,111.2,32.6,1.56,12.3,0.59,"145-882A-11H-7,20-24"
102.95,2734.3,111.76,62.5,2.61,8.4,0.35,"145-882B-12H-3,55-58"
103.25,2737,112.06,65.4,2.49,6.5,0.25,"145-882B-12H-3,85-87"
103.55,2739.7,112.35,68.2,2.85,5.7,0.24,"145-882B-12H-3,115-117"
103.85,2742.3,112.64,70.9,3.09,8.5,0.37,"145-882B-12H-3,145-147"
104.32,2745.2,112.95,68.8,2.74,3.5,0.14,"145-882A-12H-1,50-54"
104.62,2747.8,113.24,63.4,2.48,3.6,0.14,"145-882A-12H-1,80-84"
104.86,2749.8,113.46,67.5,2.96,7.2,0.32,"145-882A-12H-1,104-108"
105.22,2752.9,113.8,74.1,2.85,2.6,0.1,"145-882A-12H-1,140-144"
105.51,2756,114.08,76.4,2.32,2.5,0.08,"145-882A-12H-2,19-23"
105.82,2759.1,114.37,73.2,2.27,3.3,0.1,"145-882A-12H-2,50-54"
106.12,2762.3,114.66,77.1,2.11,0.8,0.02,"145-882A-12H-2,80-84"
106.36,2764.8,114.89,78.1,2.48,2.3,0.07,"145-882A-12H-2,104-108"
106.72,2768.5,115.23,76.6,2.44,1.6,0.05,"145-882A-12H-2,140-144"
107.01,2771.5,115.5,79.2,2.06,1,0.03,"145-882A-12H-3,19-23"
107.32,2774.6,115.79,72.5,2.08,1.8,0.05,"145-882A-12H-3,50-54"
107.62,2777.8,116.08,77,2.13,3.6,0.1,"145-882A-12H-3,80-84"
107.86,2780.3,116.31,72.1,2.37,2.6,0.08,"145-882A-12H-3,104-108"
108.22,2784,116.65,76.4,2.32,3.7,0.11,"145-882A-12H-3,140-144"
108.51,2786.4,116.92,73.4,3.43,2.3,0.11,"145-882A-12H-4,19-23"
108.82,2788.6,117.22,71.1,3.76,7.6,0.4,"145-882A-12H-4,50-54"
109.12,2790.7,117.5,74.4,3.79,2.3,0.12,"145-882A-12H-4,80-84"
109.36,2792.4,117.73,77.6,4.26,2.4,0.13,"145-882A-12H-4,104-108"
109.72,2795,118.07,72.4,3.67,4.6,0.23,"145-882A-12H-4,140-144"
110.01,2797.1,118.35,67.8,3,11.8,0.52,"145-882A-12H-5,19-23"
110.32,2799.3,118.64,65,3.82,13.3,0.78,"145-882A-12H-5,50-54"
110.62,2801.4,118.92,72.1,3.51,2.8,0.14,"145-882A-12H-5,80-84"
110.86,2803.1,119.15,66,3.73,3.4,0.19,"145-882A-12H-5,104-108"
110.94,2803.7,119.23,76.5,3.63,3.3,0.15,"145-882A-12H-5,112-113"
111.22,2805.7,119.49,68.5,3.32,2.6,0.13,"145-882A-12H-5,140-144"
111.51,2807.8,119.77,67.4,3.1,3.5,0.16,"145-882A-12H-6,19-23"
111.82,2809.9,120.06,66,2.76,2.9,0.12,"145-882A-12H-6,50-54"
112.12,2812.5,120.37,68.1,2.84,5.7,0.24,"145-882A-12H-6,80-84"
111.65,2814.6,120.62,77.2,3.38,5.2,0.23,"145-882B-13H-2,125-128"
111.95,2817,120.91,77.4,3.39,4.3,0.19,"145-882B-13H-3,5-8"
112.25,2819.3,121.19,71.1,3.25,5.9,0.27,"145-882B-13H-3,35-38"
112.65,2822.5,121.57,46.5,2.32,9.3,0.46,"145-882B-13H-3,65-68"
112.85,2824.1,121.76,70.8,2.96,5.9,0.25,"145-882B-13H-3,95-98"
113.15,2826.5,122.05,69.5,2.76,6.8,0.27,"145-882B-13H-3,125-128"
113.45,2828.8,122.33,67.3,2.95,3.4,0.15,"145-882B-13H-4,5-8"
113.75,2831.3,122.62,64.4,3.08,5.1,0.24,"145-882B-13H-4,35-38"
114.05,2833.6,122.9,64.7,3.09,5.3,0.25,"145-882B-13H-4,65-68"
114.12,2833.6,122.9,63.6,2.77,5.4,0.23,"145-882A-13H-1,80-84"
114.36,2836,123.19,64.3,3.07,6.1,0.29,"145-882A-13H-1,104-108"
114.7,2838.8,123.52,60,2.84,2.6,0.12,"145-882A-13H-1,138-142"
115.02,2841.3,123.83,61.7,3.1,4.5,0.22,"145-882A-13H-2,20-24"
115.32,2843.8,124.12,64.9,2.77,5.4,0.23,"145-882A-13H-2,50-54"
115.62,2846.4,124.41,62.1,2.42,2.8,0.11,"145-882A-13H-2,80-84"
115.86,2848.5,124.64,72,2.99,3.9,0.16,"145-882A-13H-2,104-108"
116.22,2851.8,125,64.1,2.95,4.2,0.19,"145-882A-13H-2,140-144"
116.52,2854.5,125.29,61.9,2.66,5.5,0.24,"145-882A-13H-3,20-24"
116.82,2857.1,125.58,69,2.82,5.6,0.23,"145-882A-13H-3,50-54"
117.12,2859.8,125.87,66.4,2.73,4,0.16,"145-882A-13H-3,80-84"
117.36,2861.9,126.1,68.3,2.73,3.4,0.14,"145-882A-13H-3,104-108"
117.72,2865.1,126.45,75,3.11,3.3,0.14,"145-882A-13H-3,140-144"
118.02,2867.8,126.74,85.6,3.32,10.1,0.39,"145-882A-13H-4,20-24"
118.32,2870.5,127.03,67.9,2.94,3.3,0.14,"145-882A-13H-4,50-54"
118.62,2873.2,127.33,56.6,2.53,4.2,0.19,"145-882A-13H-4,80-84"
118.86,2875.3,127.56,49.4,2.71,3.9,0.21,"145-882A-13H-4,104-108"
119.22,2878.5,127.91,50,3.38,5.1,0.34,"145-882A-13H-4,140-144"
119.52,2880.8,128.2,52.1,3.07,3.2,0.19,"145-882A-13H-5,20-24"
119.82,2883.1,128.49,70.8,3.79,4.9,0.26,"145-882A-13H-5,50-54"
120.12,2885.3,128.78,57.5,3.08,4.4,0.23,"145-882A-13H-5,80-84"
120.36,2887.2,129.02,66.4,3.21,5.4,0.26,"145-882A-13H-5,104-108"
120.72,2890,129.37,61.5,3.23,5,0.26,"145-882A-13H-5,140-144"
121.02,2892.3,129.66,58.8,2.9,5.9,0.29,"145-882A-13H-6,20-24"
121.32,2894.6,129.95,55,2.8,5.7,0.29,"145-882A-13H-6,50-54"
121.62,2896.9,130.24,54.6,3.03,5.1,0.28,"145-882A-13H-6,80-84"
121.86,2898.7,130.47,61,3.09,4.7,0.24,"145-882A-13H-6,104-108"
122.22,2901.5,130.82,50.7,2.23,5.3,0.23,"145-882A-13H-6,140-144"
122.52,2903.7,131.11,49.3,2.69,9.9,0.54,"145-882A-13H-7,20-24"
121.45,2905.7,131.39,50,3.94,5.7,0.45,"145-882B-14H-3,5-8"
121.75,2907.5,131.68,54.4,4.36,4.9,0.39,"145-882B-14H-3,35-38"
122.05,2909.2,131.97,64.4,4.27,6.4,0.43,"145-882B-14H-3,65-68"
122.35,2910.9,132.26,70.9,5.1,7,0.5,"145-882B-14H-3,95-98"
122.65,2912.7,132.55,75.6,5.42,6.8,0.49,"145-882B-14H-3,125-128"
122.95,2914.4,132.84,71,4.89,5.6,0.39,"145-882B-14H-4,5-8"
123.25,2916.2,133.13,45.8,3.04,3.4,0.23,"145-882B-14H-4,35-38"
123.55,2917.9,133.41,68.2,4.52,5,0.33,"145-882B-14H-4,65-68"
123.98,2920.4,133.83,69.5,5.57,5.1,0.41,"145-882B-14H-4,95-98"
124.15,2921.3,133.99,57.6,3.82,5.8,0.39,"145-882B-14H-4,125-128"
124.45,2923.1,134.28,68.4,4.92,5.7,0.41,"145-882B-14H-5,5-8"
124.82,2924.3,134.49,70.3,4.29,4,0.24,"145-882A-14H-2,50-54"
125.12,2926.1,134.79,60.3,4.75,4.5,0.36,"145-882A-14H-2,80-84"
125.36,2927.5,135.02,56,3.97,5.8,0.41,"145-882A-14H-2,104-108"
125.72,2929.7,135.38,61.5,4.88,3.4,0.27,"145-882A-14H-2,140-144"
126.01,2931.4,135.67,69.3,4.58,3.1,0.2,"145-882A-14H-3,19-23"
126.32,2933.2,135.97,73.5,4.37,3.3,0.2,"145-882A-14H-3,50-54"
126.62,2935,136.27,73.4,5.01,2.4,0.17,"145-882A-14H-3,80-84"
126.86,2936.5,136.51,71.6,4.53,3.3,0.21,"145-882A-14H-3,104-108"
127.22,2938.5,136.87,75.6,4.46,2.8,0.16,"145-882A-14H-3,140-144"
127.51,2940.1,137.15,73.1,4.04,3.1,0.17,"145-882A-14H-4,19-23"
127.82,2941.8,137.46,75,4.84,3.3,0.21,"145-882A-14H-4,50-54"
128.12,2943.5,137.76,74,4.68,5.7,0.36,"145-882A-14H-4,80-84"
128.36,2944.8,137.99,73.4,5.68,5.5,0.42,"145-882A-14H-4,104-108"
128.72,2946.8,138.35,69.5,5.31,10.5,0.8,"145-882A-14H-4,140-144"
129.01,2948.4,138.64,72.9,5.99,5.2,0.42,"145-882A-14H-5,19-23"
129.32,2950.2,138.95,69.9,4.74,9,0.61,"145-882A-14H-5,50-54"
129.62,2951.8,139.24,58.4,3.98,8,0.54,"145-882A-14H-5,80-84"
129.86,2953.1,139.48,55.2,4.28,16,1.24,"145-882A-14H-5,104-108"
130.22,2955.2,139.84,73.6,4.13,2.8,0.16,"145-882A-14H-5,140-144"
130.5,2956.7,140.12,74,4.85,3.9,0.26,"145-882A-14H-6,18-22"
130.82,2958.5,140.43,70.6,4.97,3.8,0.27,"145-882A-14H-6,50-54"
131.13,2960.2,140.74,79.6,5.22,3.1,0.2,"145-882A-14H-6,81-85"
131.36,2961.5,140.97,65.4,4.98,4.7,0.36,"145-882A-14H-6,104-108"
131.72,2963.5,141.32,43,3.83,4.1,0.36,"145-882A-14H-6,140-144"
132,2965,141.6,46,5.18,7.7,0.87,"145-882A-14H-7,18-22"
131.3,2966.7,141.9,39.3,4.32,5.7,0.62,"145-882B-15H-3,40-43"
131.6,2968.3,142.19,39.9,4.62,1.3,0.15,"145-882B-15H-3,70-73"
131.9,2969.9,142.47,47.9,4.82,6.4,0.65,"145-882B-15H-3,100-103"
132.2,2971.5,142.76,53.7,5.32,7,0.69,"145-882B-15H-3,130-133"
132.5,2973.1,143.04,52.9,4.71,4.4,0.39,"145-882B-15H-4,10-13"
132.8,2974.7,143.33,60.3,5.36,3.7,0.33,"145-882B-15H-4,40-43"
133.1,2976.4,143.62,62.9,5.21,4.1,0.34,"145-882B-15H-4,70-73"
133.12,2977.8,143.87,62.1,4.57,3.9,0.29,"145-882A-15H-1,80-84"
133.36,2979.3,144.15,63.8,4.93,3.4,0.26,"145-882A-15H-1,104-108"
133.72,2981.4,144.51,69,3.93,4.6,0.26,"145-882A-15H-1,140-144"
134.32,2985.2,145.11,67.5,3.91,3,0.17,"145-882A-15H-2,50-54"
134.62,2987.1,145.41,58.8,3.67,5.1,0.32,"145-882A-15H-2,80-84"
134.86,2988.6,145.65,57.4,4.42,3.4,0.26,"145-882A-15H-2,104-108"
135.22,2990.9,146.01,45.6,3.64,3.7,0.29,"145-882A-15H-2,140-144"
135.52,2992.8,146.31,44.3,3.45,6.5,0.51,"145-882A-15H-3,20-24"
135.82,2994.7,146.61,50.8,4.16,3.9,0.32,"145-882A-15H-3,50-54"
136.12,2996.6,146.91,62,4.2,2.7,0.19,"145-882A-15H-3,80-84"
136.36,2998.2,147.15,53.2,3.75,3.3,0.23,"145-882A-15H-3,104-108"
136.72,3000.5,147.51,58.5,3.81,3.9,0.25,"145-882A-15H-3,140-144"
137.02,3002.4,147.81,64.1,4.02,2.8,0.17,"145-882A-15H-4,20-24"
137.32,3004.3,148.11,64.7,4.44,3.1,0.21,"145-882A-15H-4,50-54"
137.62,3006.2,148.41,62.9,3.85,4,0.24,"145-882A-15H-4,80-84"
137.86,3007.7,148.65,66.7,4.81,3.8,0.27,"145-882A-15H-4,104-108"
138.22,3009.8,149.01,62.3,4.1,4.4,0.29,"145-882A-15H-4,140-144"
138.52,3011.7,149.31,62.3,4.16,4.7,0.31,"145-882A-15H-5,20-24"
138.82,3013.5,149.61,62.4,3.71,6,0.36,"145-882A-15H-5,50-54"
139.12,3015.3,149.91,64.4,4.51,4.5,0.32,"145-882A-15H-5,80-84"
139.36,3016.7,150.15,61.3,5.64,5.2,0.48,"145-882A-15H-5,104-108"
139.72,3018.9,150.51,63.1,3.8,5.5,0.33,"145-882A-15H-5,140-144"
140.02,3020.7,150.81,67.5,4.97,8.1,0.6,"145-882A-15H-6,20-24"
140.32,3022.6,151.11,60.6,4.36,13.2,0.95,"145-882A-15H-6,50-54"
140.62,3024.4,151.41,38.9,3.96,15.9,1.62,"145-882A-15H-6,80-84"
140.86,3025.8,151.65,67.4,5.72,4.7,0.4,"145-882A-15H-6,104-108"
140.35,3027.4,151.91,61.3,3.52,3.6,0.21,"145-882B-16H-2,145-148"
140.95,3030.8,152.48,55.5,3.67,4,0.27,"145-882B-16H-3,55-58"
141.25,3032.4,152.77,57.6,3.86,4.3,0.29,"145-882B-16H-3,85-88"
141.85,3035.7,153.34,57.6,3.88,5.2,0.35,"145-882B-16H-3,145-148"
142.15,3037.3,153.62,58.4,3.75,4.5,0.29,"145-882B-16H-4,25-28"
142.62,3038.9,153.9,64.5,4.71,4.9,0.36,"145-882A-16H-1,80-84"
142.86,3040.2,154.13,66,4.82,4,0.29,"145-882A-16H-1,104-108"
143.22,3042.2,154.49,66,5.02,3.7,0.28,"145-882A-16H-1,140-144"
143.51,3043.8,154.77,69.6,4.68,4.5,0.3,"145-882A-16H-2,19-23"
143.82,3045.5,155.07,68.5,4.4,3.5,0.22,"145-882A-16H-2,50-54"
144.12,3047.2,155.37,69,4.43,4.7,0.3,"145-882A-16H-2,80-84"
144.36,3048.5,155.6,74.1,4.54,4.2,0.26,"145-882A-16H-2,104-108"
144.72,3050.5,155.96,73.3,4.71,4,0.26,"145-882A-16H-2,140-144"
145.01,3052.1,156.24,72.4,4.44,4.4,0.27,"145-882A-16H-3,19-23"
145.32,3053.8,156.54,76.2,4.03,3.4,0.18,"145-882A-16H-3,50-54"
145.62,3055.7,156.84,70.9,3.95,3.9,0.22,"145-882A-16H-3,80-84"
145.86,3057.1,157.07,69.5,4.04,4.9,0.29,"145-882A-16H-3,104-108"
146.22,3059.3,157.42,73.3,5.21,4,0.29,"145-882A-16H-3,140-144"
146.51,3061.2,157.71,65.7,3.81,8.2,0.48,"145-882A-16H-4,19-23"
146.82,3063.1,158.01,56.8,3.29,4.8,0.28,"145-882A-16H-4,50-54"
147.12,3064.9,158.31,69,3.81,5,0.28,"145-882A-16H-4,80-84"
147.36,3066.4,158.54,67.7,4.28,3.5,0.22,"145-882A-16H-4,104-108"
147.72,3068.6,158.89,66.7,4.58,4.1,0.28,"145-882A-16H-4,140-144"
148.01,3070.4,159.18,57,4.37,6.7,0.51,"145-882A-16H-5,19-23"
148.32,3072.3,159.48,58.2,3.83,10.3,0.68,"145-882A-16H-5,50-54"
148.62,3074.1,159.77,61.9,3.69,3.6,0.22,"145-882A-16H-5,80-84"
148.86,3076,160.01,56.8,2.25,5.4,0.21,"145-882A-16H-5,104-108"
149.22,3079.4,160.36,46.8,2.49,5,0.27,"145-882A-16H-5,140-144"
149.51,3082.3,160.65,52.2,2.55,4.1,0.2,"145-882A-16H-6,19-23"
149.82,3085.2,160.95,56.6,3.06,5.6,0.3,"145-882A-16H-6,50-54"
149.15,3088.1,161.24,47.5,2.65,3.4,0.19,"145-882B-17H-2,75-78"
149.45,3091,161.53,44.7,2.18,3.4,0.16,"145-882B-17H-2,105-108"
149.75,3093.8,161.82,47.1,2.54,3.6,0.19,"145-882B-17H-2,135-136"
150.05,3096.7,162.11,49.6,2.59,2.7,0.14,"145-882B-17H-3,15-18"
150.65,3102.3,162.68,48.3,2.61,2.8,0.15,"145-882B-17H-3,75-78"
150.95,3105.1,162.97,50.6,2.3,3.8,0.17,"145-882B-17H-3,105-108"
151.25,3108,163.26,50.4,2.21,3.6,0.16,"145-882B-17H-3,135-138"
151.85,3113.7,163.84,50.9,2.36,3.2,0.15,"145-882B-17H-4,45-48"
152.45,3119.3,164.41,54,2.36,3.2,0.14,"145-882B-17H-4,105-108"
152.75,3122.2,164.7,52.7,2.22,3.4,0.14,"145-882B-17H-4,135-138"
153.05,3125,164.99,57.1,2.89,3.6,0.18,"145-882B-17H-5,15-18"
152.72,3126.5,165.14,66.9,3.1,4,0.19,"145-882A-17H-1,140-144"
153.02,3129.4,165.43,67.7,2.77,3.5,0.14,"145-882A-17H-2,20-24"
153.32,3132.2,165.72,66.9,3.25,3.3,0.16,"145-882A-17H-2,50-54"
153.62,3135.1,166.01,62.4,2.75,3.7,0.17,"145-882A-17H-2,80-84"
153.86,3137.3,166.24,68.9,3.25,4.1,0.19,"145-882A-17H-2,104-108"
154.22,3140.8,166.59,49,2.02,2.8,0.11,"145-882A-17H-2,140-144"
154.52,3143.6,166.88,72.9,3.22,4.7,0.21,"145-882A-17H-3,20-24"
154.82,3146.4,167.18,72.5,3.78,3.9,0.2,"145-882A-17H-3,50-54"
155.12,3148.5,167.47,67.5,4.28,4.1,0.26,"145-882A-17H-3,80-84"
155.36,3150.1,167.7,65.4,4.12,4.7,0.3,"145-882A-17H-3,104-108"
155.72,3152.6,168.05,42.5,3.1,37.3,2.72,"145-882A-17H-3,140-144"
156.02,3154.7,168.34,52,3.31,4.3,0.27,"145-882A-17H-4,20-24"
156.32,3156.7,168.63,59.9,4.01,3.5,0.23,"145-882A-17H-4,50-54"
156.62,3158.8,168.93,53.8,3.65,4.3,0.29,"145-882A-17H-4,80-84"
157.22,3163,169.51,35.7,2.8,39.6,3.11,"145-882A-17H-4,140-144"
157.52,3165,169.8,62.4,4.06,2.3,0.15,"145-882A-17H-5,20-24"
157.82,3167.1,170.09,64.9,2.95,2.4,0.11,"145-882A-17H-5,50-54"
158.12,3170.1,170.38,61.4,2.58,2.6,0.11,"145-882A-17H-5,80-84"
158.36,3172.5,170.61,56.6,2.5,6,0.26,"145-882A-17H-5,104-108"
158.72,3176.1,170.96,63.8,2.57,5.5,0.22,"145-882A-17H-5,140-144"
159.02,3179.2,171.26,66.5,2.35,4,0.14,"145-882A-17H-6,20-24"
159.32,3182.2,171.55,67.1,2.37,5.4,0.19,"145-882A-17H-6,50-54"
159.62,3185.1,171.84,67.4,2.62,4.8,0.19,"145-882A-17H-6,80-84"
159.86,3187.5,172.07,39.2,1.47,3.9,0.15,"145-882A-17H-6,104-108"
160.22,3191.1,172.42,58.2,2.27,4.3,0.17,"145-882A-17H-6,140-144"
160.52,3194.1,172.71,59.5,2.48,4.9,0.21,"145-882A-17H-7,20-24"
160.65,3196.9,172.98,47.4,2.37,3.9,0.2,"145-882B-18H-3,125-128"
160.85,3198.1,173.17,49.9,4.12,3.3,0.27,"145-882B-18H-3,145-148"
161.15,3199.8,173.46,50.5,3.8,4,0.3,"145-882B-18H-4,25-28"
161.45,3201.5,173.74,49.6,3.93,4,0.32,"145-882B-18H-4,55-58"
161.75,3203.2,174.03,45.8,3.43,3.9,0.29,"145-882B-18H-4,85-88"
161.62,3205.7,174.44,50.2,4.11,3.4,0.28,"145-882A-18H-1,80-84"
162.22,3209.1,175.01,50.3,4.08,3.4,0.28,"145-882A-18H-1,140-144"
163.12,3214.1,175.85,48.9,3.81,3.4,0.26,"145-882A-18H-2,80-84"
163.72,3217.5,176.42,57.3,4.53,4,0.31,"145-882A-18H-2,140-144"
164.62,3222.5,177.26,56,4.3,4.6,0.35,"145-882A-18H-3,80-84"
165.22,3225.9,177.83,33.2,3,2.5,0.23,"145-882A-18H-3,140-144"
166.12,3230.9,178.67,37.3,3.04,7.7,0.63,"145-882A-18H-4,80-84"
166.72,3235.4,179.24,49.7,3.23,3.4,0.22,"145-882A-18H-4,140-144"
167.62,3242.1,180.08,59.5,2.92,4.3,0.21,"145-882A-18H-5,80-84"
168.22,3246.6,180.65,42,2.55,4.2,0.26,"145-882A-18H-5,140-144"
169.12,3253.1,181.49,34.5,2.75,2.7,0.22,"145-882A-18H-6,80-84"
169.72,3256.8,182.06,54.8,3.11,4.2,0.24,"145-882A-18H-6,140-144"
169.85,3260.3,182.6,52.4,3.53,12.5,0.84,"145-882B-19H-3,95-98"
170.15,3262.1,182.88,52.3,3.31,9,0.57,"145-882B-19H-3,125-128"
170.45,3264,183.17,55.1,3.35,4.4,0.27,"145-882B-19H-4,5-8"
170.75,3265.9,183.45,56.7,3.88,4.8,0.33,"145-882B-19H-4,35-38"
171.05,3267.8,183.74,55.6,3.24,3.5,0.2,"145-882B-19H-4,65-68"
171.35,3269.6,184.02,50,3.05,4.6,0.28,"145-882B-19H-4,95-98"
171.95,3273.3,184.59,52.3,3.05,4.6,0.27,"145-882B-19H-5,5-8"
172.85,3278.9,185.45,66.1,3.03,3.6,0.16,"145-882B-19H-5,95-98"
173.15,3281.4,185.73,59,2.47,3.7,0.16,"145-882B-19H-5,125-128"
172.62,3288.7,186.57,49.3,1.78,2.2,0.08,"145-882A-19H-2,80-84"
173.22,3293.7,187.15,41,1.7,3.2,0.13,"145-882A-19H-2,140-144"
174.12,3301.3,188.01,40.7,1.88,4.4,0.2,"145-882A-19H-3,80-84"
174.76,3306.8,188.64,47.6,1.99,2.1,0.09,"145-882A-19H-3,140-144"
175.62,3313.9,189.46,42.4,1.95,3,0.14,"145-882A-19H-4,80-84"
