index,label,label_02,depth,age_ka,d18O_u,BWT,d18O_sw,Ca_ppm,LiCa,MgCa,AlCa,MnCa,FeCa,SrCa
70,BR28_1014A_24X_2_35,"167-1014A-24X-2,35",209.04,2585,2.53,0.95,-1.21,40.39,9.49,1,4.79,18.81,17.2,1.09
72,BR30_1014A_25X_2_114,"167-1014A-25X-2,114",220.64,2700,2.26,2.66,-1.01,43.66,13.35,1.17,6.19,10.54,23.83,1.08
14,1014A_27X_3_115,"167-1014A-27X-3,115",231.11,2750,2.17,2.52,-1.13,7.24,15.72,1.15,13.97,15.35,98.95,1.08
77,BR33_1014A_27X_5_115,"167-1014A-27X-5,115",234.21,2755,2.26,3.54,-0.77,7.36,17.73,1.25,6.48,15.84,24.98,1.13
79,BR37_1014A_28X_2_115,"167-1014A-28X-2,115",239.95,2780,2.18,3.48,-0.87,10.26,12.78,1.25,13.49,16.01,29.89,1.12
80,BR38_1014A_29X_1_35,"167-1014A-29X-1,35",247.25,2800,2.48,2.09,-0.94,8.06,27.35,1.11,9.88,9.46,42.27,1.15
55,BR39_1014A_29X_3_15,"167-1014A-29X-3,15",250.05,2810,2.19,2.53,-1.11,82.39,12.63,1.15,12.17,8.04,56.94,1.03
16,1014A_30X_5_35,"167-1014A-30X-5,35",256.45,2840,2.2,2.52,-1.11,11.23,18.36,1.15,21.46,14.33,31.49,1.13
83,BR41_1014A_31X_3_113,"167-1014A-31X-3,113",259.59,2860,2.23,2.55,-1.07,33.67,13.96,1.15,9.23,15.16,88.83,1.12
84,BR42_1014A_31X_5_113,"167-1014A-31X-5,113",262.59,2865,2.34,2.29,-1.03,22.66,17.71,1.13,10.16,19.26,27.26,1.15
87,BR43_1014A_32X_1_35,"167-1014A-32X-1,35",266.55,2870,2.07,2.72,-1.18,42.48,12.9,1.17,8.92,16.93,153.72,1.11
49,BR12_1014A_32X_CC_35,"167-1014A-32X-CC,35",272.42,2895,2.18,2.28,-1.19,36.92,14.27,1.13,17.8,17.78,35.77,1.08
45,BR10_1014A_33X_2_114,"167-1014A-33X-2,114",278.44,2920,2.04,3.22,-1.07,49.31,14.58,1.22,14.08,19.26,80.86,1.08
77,BR93_1014A_33X_5_35,"167-1014A-33X-5,35",281.09,2925,2.15,3.34,-0.93,10.43,12.59,1.23,16.36,15.53,162.32,1.08
51,BR141014A_34X_1_115,"167-1014A-34X-1,115",286.65,2930,2.18,2.3,-1.18,52.77,12.53,1.13,14.75,14.15,29.34,1.05
89,BR45_1014A_34X_5_115,"167-1014A-34X-5,115",292.65,2970,2.26,3.61,-0.75,42.86,17.89,1.26,20.68,13.74,88.64,1.12
52,BR15_1014A_35X_1_35,"167-1014A-35X-1,35",295.45,2980,2.64,2.42,-0.69,40.4,11.34,1.14,14.1,11.67,41.38,1.07
90,BR46_1014A_35X_3_113,"167-1014A-35X-3,113",298.53,2990,2.53,1.43,-1.08,16.76,15.38,1.04,10.41,13.85,69.99,1.1
92,BR48_1014A_36X_1_35,"167-1014A-36X-1,35",305.15,3010,2.16,3.97,-0.75,10.17,16.65,1.3,22.44,13.93,,1.11
53,BR16_1014A_36X_3_115,"167-1014A-36X-3,115",307.83,3015,2.4,2.33,-0.96,36.12,13.55,1.13,15.22,38.63,51.1,1.09
93,BR49_1014A_36X_5_115,"167-1014A-36X-5,115",310.63,3030,2.13,2.58,-1.16,62.89,12.03,1.16,11.91,18.38,86.76,1.1
54,BR17_1014A_37X_3_115,"167-1014A-37X-3,115",317.45,3050,2.25,2.37,-1.1,25.65,17.09,1.14,19.53,12.54,30.83,1.08
52,BR75_1014A_38X_2_113,"167-1014A-38X-2,113",326.73,3388,2.09,1.39,-1.53,47.44,8.47,1.04,73.89,22.54,27.37,1.12
53,BR77_1014A_38X_6_112,"167-1014A-38X-6,112",332.72,3633,2.22,1.16,-1.46,77.46,9.11,1.02,3.56,9.89,20.36,1.03
54,BR78_1014A_39X_5_115,"167-1014A-39X-5,115",339.38,3906,2.2,0,-1.8,69.25,10.38,0.9,0.48,13.67,30.98,1.08
55,BR79_1014A_40X_1_32,"167-1014A-40X-1,32",343.72,4084,2.2,2.32,-1.16,49.7,9.95,1.13,4.55,26.53,118.38,1.09
65,BR83_1014A_41X_4_112,"167-1014A-41X-4,112",358.27,4679,1.85,1.32,-1.78,43,14.15,1.03,15.33,17.62,48.13,1.1
66,BR84_1014A_42X_2_32,"167-1014A-42X-2,32",364.42,4930,1.92,2.27,-1.45,19.71,15.23,1.13,20.59,50.18,,1.05
81,BR97_1014A_42X_2_32,"167-1014A-42X-2,32",364.42,4930,1.92,2.09,-1.5,22.67,11.97,1.11,21.12,61.1,62.02,1.07
64,BR82_1014A_40X_7_115,"167-1014A-40-7,115",,,,2.21,,49.04,12.91,1.12,12.56,20.09,72.02,1.09
