,Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
129,,ODP1209,B,5,H,2,118.0,120.0,36.28,40.0,CWUEL,3.31,-0.22,3.95,-0.22,2692.82,,V7,10.87822467,14.94345682,2.63092601,0.93818834,4.453551879,59.45352372,1.000120967,0.14088052,3.293654742,0.553996474,12.82855083,13.24028878
130,S18 0783,ODP1209,B,5,H,2,120.0,122.0,36.3,40.02,CWUEL,3.04,-0.37,3.68,-0.37,2693.53871,,T19,14.9686,16.1796,2.8187,0.9721,16.8993,54.7212,0.9904,0.1288,2.8498,0.3458,13.0477,-3.569
131,,ODP1209,B,5,H,2,122.0,124.0,36.32,40.04,CWUEL,3.22,-0.13,3.86,-0.13,2694.22,,V8,12.2299751,15.92167643,2.742849683,1.114009609,8.280979855,48.54989642,1.00821857,0.113548629,3.386134666,0.294037268,12.92837879,11.59254769
132,S17 3548,ODP1209,B,5,H,2,125.0,127.0,36.35,40.07,CWUEL,3.11,-0.16,3.75,-0.16,2695.31783,,C1,10.303,18.7095,2.8221,0.9073,13.2811,35.7206,1.0058,0.1254,2.9113,0.1874,8.8515,6.9545
133,,ODP1209,B,5,H,2,128.0,130.0,36.38,40.1,CWUEL,3.18,-0.1,3.82,-0.1,2696.32,,V9,11.79622498,16.92921235,2.959548038,1.008096424,12.61377307,57.67566445,1.002641659,0.120134126,3.065290162,0.227263994,11.6399326,12.51025221
134,,ODP1209,B,5,H,2,132.0,134.0,36.42,40.14,CWUEL,3.19,-0.14,3.83,-0.14,2697.68,,T1,12.11101174,15.3296511,2.95830759,0.884654132,11.16739644,63.36553005,1.026005502,0.119425756,3.263235236,0.267052429,13.08963883,13.05790296
135,S17 3549,ODP1209,B,5,H,2,135.0,137.0,36.45,40.17,CWUEL,3.21,-0.05,3.85,-0.05,2698.65368,,C2,11.0513,19.0782,2.9255,0.8497,9.0191,54.1237,1.0233,0.1337,2.5959,0.2072,11.9074,10.8115
136,,ODP1209,B,5,H,2,137.0,139.0,36.47,40.19,CWUEL,3.22,-0.13,3.86,-0.13,2699.433333,,T2,11.59916088,16.82891693,2.967739769,0.947590049,11.87137425,43.20215234,0.991595277,0.117038726,2.95619216,0.188050772,10.77253914,9.455830338
137,S18 0784,ODP1209,B,5,H,2,140.0,142.0,36.51,40.23,CWUEL,3.24,-0.26,3.88,-0.26,2700.87757,,T6,11.7275,14.3284,2.8404,0.8709,23.4214,78.1739,1.0127,0.134,28.9047,0.2513,16.0371,7.8459
138,S17 3550,ODP1209,B,5,H,2,145.0,147.0,36.55,40.27,CWUEL,3.15,-0.33,3.79,-0.33,2702.87908,,C3,10.7908,15.5066,3.216,0.8649,14.8537,31.3814,1.0294,0.1263,2.6389,0.1846,7.5476,9.3646
139,S18 0785,ODP1209,B,5,H,3,2.0,4.0,36.62,40.34,CWUEL,3.35,-0.33,3.99,-0.33,2706.65971,,J1,10.45199259,14.9966491,2.774290974,0.887968877,6.359911442,47.27172096,1.042696248,0.115242489,3.466331486,0.259363755,9.281175056,8.126287591
140,S17 3523,ODP1209,B,5,H,3,5.0,7.0,36.65,40.37,CWUEL,3.32,-0.53,3.96,-0.53,2708.43883,,T7,12.0223,13.9134,2.969,0.799,19.8226,60.4625,1.0595,0.1199,2.912,0.2716,10.685,1.3134
142,S17 3525,ODP1209,B,5,H,3,25.0,27.0,36.85,40.57,CWUEL,3.54,-0.52,4.18,-0.52,2719.33594,,T8,11.7407,14.6876,2.8506,0.7692,23.4819,32.1304,1.0203,0.1247,4.989,0.8323,5.2566,2.664
143,S18 0786,ODP1209,B,5,H,3,30.0,32.0,36.9,40.62,CWUEL,3.59,-0.4,4.23,-0.4,2722.4494,,J2,10.86929848,14.57086504,3.058608628,0.871237751,12.74122334,24.38473196,1.015777421,0.115560772,3.17233043,0.837026989,4.409209267,9.645831702
144,S17 3526,ODP1209,B,5,H,3,35.0,37.0,36.95,40.67,CWUEL,3.31,-0.13,3.95,-0.13,2725.34047,,J3,11.12736692,20.57272071,3.626402248,1.155974677,33.8952435,30.76099717,1.020798276,0.127374094,3.133021816,0.54999724,7.139209912,10.62260307
145,S17 3527,ODP1209,B,5,H,3,45.0,47.0,37.05,40.77,CWUEL,2.94,-0.09,3.58,-0.09,2731.1226,,T9,11.8399,14.8217,2.869,0.8593,19.2663,46.5717,0.9928,0.1236,2.8151,0.3254,7.4845,3.7755
147,,ODP1209,B,5,H,3,60.0,62.0,,40.92,,,,,,2739.62,iNHG,T10,11.9051,15.8064,2.8391,0.8721,11.5146,58.0227,1.0204,0.1281,2.7481,0.2816,9.4252,9.853
148,S17 3529,ODP1209,B,5,H,3,85.0,87.0,37.45,41.17,CWUEL,3.07,-0.19,3.71,-0.19,2756.69744,,A1,11.5799,18.8331,3.2101,0.891,60.8725,32.333,1.0465,0.1183,3.0506,0.1859,3.7419,15.3764
149,S18 0787,ODP1209,B,5,H,3,90.0,92.0,37.5,41.22,CWUEL,2.93,-0.23,3.57,-0.23,2759.8109,,A2,11.6357,15.6856,3.0026,0.8983,15.4886,26.9311,1.0608,0.1054,3.3905,0.2045,3.0732,9.7561
150,S17 3530,ODP1209,B,5,H,3,95.0,97.0,37.55,41.27,CWUEL,3.06,-0.12,3.7,-0.12,2762.47958,,A3,10.965,11.601,2.9334,0.7969,18.0123,23.7051,1.0784,0.1048,2.9631,0.198,2.6352,4.8653
151,S17 3531,ODP1209,B,5,H,3,105.0,107.0,37.65,41.37,CWUEL,2.98,0.1,3.62,0.1,2767.81694,,A4,11.0169,11.692,3.1092,0.8197,13.8106,42.5823,1.0362,0.1192,3.1246,0.2532,6.8884,12.0752
152,S17 3532,ODP1209,B,5,H,3,115.0,117.0,37.75,41.47,CWUEL,2.82,0.08,3.46,0.08,2772.48713,,A5,10.5888,11.5902,2.7863,0.8593,14.3517,66.0442,1.0377,0.1355,3.2163,0.2842,11.896,14.7783
153,S18 0788,ODP1209,B,5,H,3,120.0,122.0,37.8,41.52,CWUEL,2.59,-0.12,3.23,-0.12,2775.15581,,A6,11.4793,11.1925,2.8794,0.8621,8.2525,43.606,1.0326,0.1155,3.9863,0.2281,11.9056,13.5512
154,S17 3533,ODP1209,B,5,H,3,125.0,127.0,37.85,41.57,CWUEL,2.82,-0.08,3.46,-0.08,2777.6021,,A7,11.684,13.7556,2.8564,0.8659,5.5236,36.3596,1.1588,0.1289,4161.1741,0.2069,7.8338,5.8971
155,S17 3534,ODP1209,B,5,H,3,135.0,137.0,37.95,41.67,CWUEL,2.88,0.1,3.52,0.1,2782.71706,,A8,10.65,15.3042,4.0749,1.0478,159.224,52.7112,1.0165,0.1108,3.0683,0.2425,6.8466,38.4343
156,S18 0789,ODP1209,B,5,H,3,141.0,143.0,38.0,41.72,CWUEL,2.88,0.03,3.52,0.03,2785.83052,,A9,11.0536,18.7135,2.9442,0.8308,6.1781,46.6753,1.0235,0.1241,2.6855,0.165,6.5102,13.2303
157,S17 3535,ODP1209,B,5,H,3,145.0,147.0,38.05,41.77,CWUEL,2.98,0.07,3.62,0.07,2788.4992,,A10,10.7211,15.412,2.8315,0.8468,5.6223,58.1232,1.0442,0.1297,2.7171,0.1789,7.1003,9.3045
158,S18 0790,ODP1209,B,5,H,4,0.0,2.0,38.1,41.82,CWUEL,2.94,0.08,3.58,0.08,2792.27983,,A11,10.6173,13.8668,2.8154,0.7719,6.9713,50.1588,1.038,0.1151,2.7414,0.2252,9.3737,10.5388
159,S17 3175,ODP1209,B,5,H,4,5.0,7.0,38.15,41.87,CWUEL,2.97,0.02,3.61,0.02,2795.61568,,A12,10.0618,14.5911,2.859,0.848,8.9586,34.0619,1.0326,0.1164,2.5535,0.1427,5.0213,10.4899
160,S17 3176,ODP1209,B,5,H,4,15.0,17.0,38.25,41.97,CWUEL,3.2,-0.13,3.84,-0.13,2802.28738,,LP5,11.6536,14.1758,2.78735,0.8642,6.7141,70.9856,1.0181,0.13495,2.69105,0.3339,10.63945,12.38435
161,S17 3177,ODP1209,B,5,H,4,25.0,27.0,38.35,42.07,CWUEL,3.27,-0.08,3.91,-0.08,2809.62624,,LP4,12.1997,13.656,2.9659,0.8219,20.7239,60.4561,1.0219,0.1198,2.6445,0.3098,7.4123,-16.0656
163,S17 3179,ODP1209,B,5,H,4,45.0,47.0,38.55,42.27,CWUEL,2.9,0.28,3.54,0.28,2820.52335,,LP3,12.9989,13.2756,2.9989,0.9322,16.776,129.9028,1.0296,0.1355,2.5546,0.2747,12.8622,-82.4964
166,S17 3342,ODP1209,B,5,H,4,75.0,77.0,38.85,42.57,CWUEL,2.95,0.24,3.59,0.24,2831.42045,,LP2,11.9441,12.7422,2.8564,0.8881,7.6969,82.389,1.0343,0.1143,2.5355,0.2013,9.245,-7.4488
168,S17 3344,ODP1209,B,5,H,4,95.0,97.0,39.05,42.77,CWUEL,3.02,-0.12,3.66,-0.12,2839.2041,,LP1,12.0351,13.57745,2.72425,0.8092,5.9772,104.115,1.0148,0.12835,2.9181,0.3156,12.299,2.07485
232,S17 2887,ODP1209,A,5,H,5,107.0,109.0,43.77,47.63,CWUEL,2.84,0.05,3.48,0.05,3067.82093,,P1,12.5415,15.0431,3.3348,0.9956,22.8782,42.8845,1.0409,0.1047,2.9041,0.2154,11.6138,-20.7086
235,S17 2889,ODP1209,A,5,H,5,125.0,127.0,43.95,47.81,CWUEL,2.83,0.04,3.47,0.04,3078.94043,,P2,12.7855,14.8329,3.3504,1.0121,19.0628,50.1129,1.0188,0.1063,2.9549,0.1849,15.8167,-102.828
237,S18 1726,ODP1209,A,5,H,5,140.0,142.0,44.1,47.96,CWUEL,2.76,0.12,3.4,0.12,3088.72559,,P3,12.9965,14.2571,2.899,1.1069,13.3001,53.2544,0.9993,0.1215,6.6879,0.1595,20.8903,-4.5511
242,S17 2763,ODP1209,A,5,H,6,25.0,27.0,44.45,48.31,CWUEL,2.96,0.01,3.6,0.01,3108.96307,,P5,13.45035,12.3976,2.9486,0.9328,5.63365,52.70935,1.00275,0.13585,2.6387,0.2286,28.27965,-5.2763
245,S17 2765,ODP1209,A,5,H,6,45.0,47.0,44.65,48.51,CWUEL,3.01,0.05,3.65,0.05,3118.74822,,P4,12.704,21.8967,3.3299,0.9755,240.025,47.2015,1.0357,0.1182,2.982,0.2215,23.0415,-80.7102
