depth,age_ka,label,d18O,d18O_cibs,d13C_u,d13C_cibs
363.85,3061,"167-1018A-39X-4,35",2.92,2.92,-0.77,-0.35
364.62,3085,"167-1018A-39X-4,112",3.09,,-0.3,
365.36,3108,"167-1018A-39X-5,36",2.84,2.62,-1.1,-0.02
366.07,3130,"167-1018A-39X-5,107",2.77,2.77,-0.76,0.01
366.89,3155,"167-1018A-39X-6,39",2.83,,-0.45,
367.61,3178,"167-1018A-39X-6,111",2.69,,-1.31,
368.36,3201,"167-1018A-40X-7,36",2.76,2.17,-1.22,-0.31
369.03,3222,"167-1018A-40X-1,33",3.14,,-0.34,
369.79,3245,"167-1018A-40X-1,109",2.24,,-1.05,
370.56,3269,"167-1018A-40X-2,36",2.95,2.84,-0.55,-0.39
371.29,3292,"167-1018A-40X-2,109",,2.67,,-0.03
372.04,3315,"167-1018A-40X-3,34",2.18,2.78,-0.73,-0.23
372.79,3339,"167-1018A-40X-3,109",1.97,2.59,-0.46,-0.13
373.56,3363,"167-1018A-40X-4,36",2.8,2.46,-0.4,-0.47
374.31,3370,"167-1018A-40X-4,111",2.07,2.69,-0.47,-0.12
375.08,3377,"167-1018A-40X-5,38",2.1,2.79,-0.7,-0.14
375.72,3382,"167-1018A-40X-5,102",2.96,,-0.52,
376.57,3390,"167-1018A-40X-6,37",2.82,2.81,-0.4,-0.42
377.3,3396,"167-1018A-40X-6,110",2.85,,-1.22,
378.05,3403,"167-1018A-41X-7,35",1.81,,-0.17,
378.67,3408,"167-1018A-41X-1,37",2.91,2.81,-0.75,-0.53
379.4,3415,"167-1018A-41X-1,110",2.67,2.58,-0.15,-0.29
380.15,3422,"167-1018A-41X-2,35",2.6,2.66,-0.18,-0.35
380.91,3428,"167-1018A-41X-2,111",2.35,2.42,-0.54,-0.23
381.63,3435,"167-1018A-41X-3,33",2.47,2.53,-0.37,-0.34
382.41,3442,"167-1018A-41X-3,111",2.35,2.92,-0.68,-0.38
383.15,3448,"167-1018A-41X-4,35",2.85,2.79,-0.89,-0.62
383.91,3455,"167-1018A-41X-4,111",3.05,2.87,-0.74,-0.61
384.65,3462,"167-1018A-41X-5,35",2.37,2.38,-0.33,0.05
385.42,3468,"167-1018A-41X-5,112",2.25,,-0.79,
386.15,3475,"167-1018A-41X-6,35",2.78,,-0.33,
386.94,3482,"167-1018A-41X-6,114",2.56,2.35,-0.23,0.07
387.65,3488,"167-1018A-42X-7,35",2.68,2.59,-0.6,0.07
388.25,3494,"167-1018A-42X-1,35",3.1,2.88,-0.38,-0.25
389,3500,"167-1018A-42X-1,110",2.8,2.71,-0.29,-0.29
389.74,3507,"167-1018A-42X-2,34",2.86,2.78,-0.57,-0.04
390.47,3513,"167-1018A-42X-2,107",,2.72,,-0.21
391.29,3521,"167-1018A-42X-3,39",2.61,2.78,-0.91,-0.34
392.02,3527,"167-1018A-42X-3,112",2.11,,-1.09,
392.73,3533,"167-1018A-42X-4,33",3.04,,-0.82,
393.51,3540,"167-1018A-42X-4,111",2.17,2.31,-0.46,-0.16
394.24,3547,"167-1018A-42X-5,34",2.56,3.09,-1.07,-0.58
394.97,3553,"167-1018A-42X-5,107",3.23,3.08,-0.49,-0.55
395.75,3560,"167-1018A-42X-6,35",2.84,,-0.7,
396.48,3567,"167-1018A-42X-6,108",2.68,2.69,-0.43,-0.54
397.27,3574,"167-1018A-43X-7,37",2.75,,-0.49,
397.84,3579,"167-1018A-43X-1,34",2.95,2.83,-0.33,-0.52
398.77,3587,"167-1018A-43X-1,127",2.6,2.73,-0.73,-0.29
399.33,3592,"167-1018A-43X-2,33",2.88,,-0.54,
400.14,3599,"167-1018A-43X-2,114",2.47,,-0.62,
400.85,3605,"167-1018A-43X-3,35",2.61,2.53,-0.43,-0.14
401.77,3614,"167-1018A-43X-3,127",2.63,,-0.19,
402.43,3620,"167-1018A-43X-4,43",2.62,2.61,-0.73,-0.3
403.13,3626,"167-1018A-43X-4,113",2.68,,-0.4,
403.93,3633,"167-1018A-43X-5,43",2.83,2.69,-0.15,-0.08
404.61,3639,"167-1018A-43X-5,111",2.37,,-0.19,
405.37,3646,"167-1018A-43X-6,37",2.63,2.62,-0.23,-0.15
406.07,3652,"167-1018A-43X-6,107",2.75,,-0.32,
406.89,3659,"167-1018A-44X-7,39",2.76,2.92,-0.24,-0.3
407.41,3664,"167-1018A-44X-1,41",2.81,2.82,-1.16,-0.69
408.1,3670,"167-1018A-44X-1,110",2.97,2.87,-0.92,-0.84
408.93,3677,"167-1018A-44X-2,43",2.92,,-1.25,
409.52,3683,"167-1018A-44X-2,102",2.96,2.83,-1.04,-1.07
410.43,3691,"167-1018A-44X-3,43",2.91,2.82,-0.87,-0.59
411.13,3697,"167-1018A-44X-3,113",2.41,2.97,-0.76,-0.88
412.05,3705,"167-1018A-44X-4,55",2.5,2.17,-0.57,-0.15
412.47,3709,"167-1018A-44X-4,97",2.46,2.15,-0.36,-0.37
413.4,3717,"167-1018A-44X-5,40",2.1,2.67,-0.22,-0.15
414.09,3723,"167-1018A-44X-5,109",2.4,2.64,-0.18,-0.6
414.87,3730,"167-1018A-44X-6,37",2.74,2.47,-0.51,-0.05
415.69,3737,"167-1018A-44X-6,119",2.68,2.6,-0.49,-0.3
416.1,3741,"167-1018A-45X-7,10",2.69,2.54,-0.27,0
417.03,3749,"167-1018A-45X-1,33",2.71,,-0.23,
417.82,3756,"167-1018A-45X-1,112",2.09,2.53,-0.02,-0.24
418.55,3763,"167-1018A-45X-2,35",2.65,,-0.68,
419.28,3769,"167-1018A-45X-2,108",2.61,,-0.29,
420.07,3776,"167-1018A-45X-3,37",2.53,2.44,-0.45,-0.25
420.88,3783,"167-1018A-45X-3,118",2.81,2.72,-0.42,-0.23
421.6,3790,"167-1018A-45X-4,40",2.72,2.66,-0.46,-0.29
422.32,3796,"167-1018A-45X-4,112",2.73,2.63,-0.24,0
423.04,3803,"167-1018A-45X-5,34",2.58,2.66,-0.48,-0.4
423.75,3809,"167-1018A-45X-5,105",2.95,2.74,-1.01,-0.61
424.67,3817,"167-1018A-45X-6,47",2.53,,-1.27,
425.35,3823,"167-1018A-45X-6,115",3.25,3.36,-1.12,-0.64
426.08,3830,"167-1018A-45X-7,38",3.15,3.1,-0.62,-0.64
