depth,age_ka,label,d18O,d18O_cibs,d13C_u,d13C_cibs
83.85,1410,"167-1014A-11X-1,35",2.63,,-0.24,
86.85,1440,"167-1014A-11X-3,35",3.28,,-0.51,
89.85,1480,"167-1014A-11X-5,35",2.7,,-0.18,
93.44,1510,"167-1014A-12X-1,34",2.52,2.54,-0.57,-0.31
95.25,1530,"167-1014A-12X-2,113",3.16,3.15,-0.54,-0.54
96.75,1550,"167-1014A-12X-3,113",2.77,2.66,-0.43,-0.41
98.15,1560,"167-1014A-12X-4,113",2.98,,-0.65,
99.65,1570,"167-1014A-12X-5,113",3.02,3.27,-0.76,-0.64
101.15,1575,"167-1014A-12X-6,115",2.47,,-0.22,
103.13,1600,"167-1014A-13X-1,33",3.07,3.32,-0.46,-0.41
104.63,1615,"167-1014A-13X-2,33",2.77,2.73,-0.5,-0.55
106.13,1630,"167-1014A-13X-3,33",2.98,,-0.55,
109.15,1660,"167-1014A-13X-5,35",2.98,,-0.47,
110.63,1680,"167-1014A-13X-6,33",2.38,,-0.25,
113.54,1690,"167-1014A-14X-1,114",3.23,,-0.53,
115.04,1710,"167-1014A-14X-2,114",2.64,,-0.12,
116.4,1720,"167-1014A-14X-3,114",3.19,3.53,-0.45,-0.17
119.4,1750,"167-1014A-14X-5,114",2.85,,-0.37,
124.84,1800,"167-1014A-15X-3,114",2.82,,-0.4,
126.34,1815,"167-1014A-15X-4,114",2.95,3.07,-0.61,-0.56
127.84,1830,"167-1014A-15X-5,114",2.49,,-0.55,
129.34,1848,"167-1014A-15X-6,114",2.77,,-0.52,
130.84,1860,"167-1014A-15X-7,114",3.03,3.01,-0.63,-0.69
134.03,1890,"167-1014A-16X-3,35",2.96,2.89,-0.56,-0.4
135.53,1910,"167-1014A-16X-4,35",2.5,,-0.3,
137.03,1930,"167-1014A-16X-5,35",2.71,2.77,-0.33,-0.38
140.03,1940,"167-1014A-16X-7,35",2.69,3.17,-0.19,0.1
142.35,1970,"167-1014A-17X-1,115",2.96,,-0.49,
143.85,1982,"167-1014A-17X-2,115",2.7,,-0.14,
145.35,1990,"167-1014A-17X-3,115",2.87,,-0.46,
146.85,2018,"167-1014A-17X-4,115",2.55,2.63,0.05,0.25
148.35,2020,"167-1014A-17X-5,115",2.49,,-0.23,
149.85,2050,"167-1014A-17X-6,115",2.65,2.9,-0.24,0
151.76,2065,"167-1014A-18X-2,35",2.37,,-0.12,
153.26,2080,"167-1014A-18X-3,35",2.7,2.77,-0.21,-0.08
154.76,2081,"167-1014A-18X-4,35",2.7,,-0.21,
156.26,2110,"167-1014A-18X-5,35",2.64,2.78,-0.32,-0.24
157.76,2112,"167-1014A-18X-6,35",2.97,,-0.63,
158.88,2130,"167-1014A-18X-7,35",3.14,2.57,-0.63,-0.79
161.52,2143,"167-1014A-19X-1,112",2.45,,-0.28,
163.02,2160,"167-1014A-19X-2,112",2.42,,-0.21,
164.53,2174,"167-1014A-19X-3,113",2.69,,-0.51,
166.03,2190,"167-1014A-19X-4,113",2.47,3.09,-0.29,-0.65
167.53,2205,"167-1014A-19X-5,113",2.74,,-0.36,
169.03,2220,"167-1014A-19X-6,113",2.6,,-0.29,
170.34,2235,"167-1014A-20X-1,34",2.25,,-0.51,
171.85,2250,"167-1014A-20X-2,35",2.48,2.52,-0.38,-0.44
173.35,2265,"167-1014A-20X-3,35",2.13,,-0.25,
174.68,2280,"167-1014A-20X-4,37",2.46,,-0.44,
175.76,2290,"167-1014A-20X-5,35",2.24,,-0.48,
177.11,2300,"167-1014A-20X-CC,35",2.44,,-0.38,
180.47,2315,"167-1014A-21X-2,35",2.14,,-0.18,
181.97,2330,"167-1014A-21X-3,35",2.7,,-0.28,
183.47,2355,"167-1014A-21X-4,35",2.13,,-0.35,
184.98,2380,"167-1014A-21X-5,36",2.49,,-0.31,
186.47,2395,"167-1014A-21X-6,35",2.64,,-0.4,
189.55,2410,"167-1014A-22X-1,35",2.66,,-0.3,
191.05,2425,"167-1014A-22X-2,35",2.62,,-0.37,
192.38,2440,"167-1014A-22X-3,25",2.4,,-0.22,
194.39,2470,"167-1014A-22X-5,35",2.78,,-0.55,
199.15,2500,"167-1014A-23X-1,35",2.96,2.82,-0.73,-0.6
200.36,2515,"167-1014A-23X-2,115",3.14,,-0.58,
