Age_Ma_PLIOVAR,age_ka,temp_min2,temp_min1,temp,temp_plus1,temp_plus2,SST
2.617,2616.626,16.75223892,17.6439248,19.04650784,20.43807771,21.34266453,19.04650784
2.619,2618.938,17.11809278,18.03713091,19.43343553,20.82760204,21.77443726,19.43343553
2.622,2621.943,17.21152292,18.14508491,19.53690195,20.95495552,21.84776868,19.53690195
2.624,2623.561,17.56722753,18.47025203,19.872743,21.26992681,22.17923522,19.872743
2.626,2625.873,17.22949967,18.14368053,19.52512485,20.90966294,21.84419057,19.52512485
2.628,2628.184,16.8179614,17.72700096,19.11800392,20.50176891,21.41207146,19.11800392
2.63,2630.496,16.34231632,17.26435118,18.65972924,20.06123775,21.00310849,18.65972924
2.633,2632.807,17.51505356,18.41027272,19.79162179,21.19495841,22.08168506,19.79162179
2.636,2635.813,15.55526133,16.46542084,17.85331051,19.24518294,20.15707924,17.85331051
2.638,2637.5,15.20050872,16.12574403,17.49558077,18.90097132,19.82658196,17.49558077
2.64,2639.956,16.34001623,17.24690611,18.63048136,20.0298123,20.94556431,18.63048136
2.642,2642.488,16.12568323,17.03489973,18.43707123,19.85073262,20.74447922,18.43707123
2.645,2645.019,16.6949999,17.61077416,19.00158808,20.38478435,21.3212357,19.00158808
2.648,2647.551,16.85516575,17.75931834,19.17100894,20.56941198,21.48522383,19.17100894
2.651,2650.842,16.65034373,17.57959851,18.96981423,20.36444129,21.29187706,18.96981423
2.653,2652.5,17.3298181,18.25768117,19.65745363,21.05475303,21.97892143,19.65745363
2.655,2654.709,17.0149201,17.9174715,19.33120482,20.73505911,21.66380606,19.33120482
2.657,2657.456,17.12008698,18.04000511,19.44466753,20.83456548,21.74446621,19.44466753
2.659,2658.935,17.09956769,18.00682081,19.39857657,20.80414221,21.71746383,19.39857657
2.661,2661.048,17.52152986,18.43734775,19.81086633,21.21085772,22.13352083,19.81086633
2.663,2663.162,17.40330768,18.29818765,19.70432805,21.09930979,22.02684065,19.70432805
2.665,2665.275,18.36653969,19.27761783,20.68233914,22.09806072,22.99980334,20.68233914
2.667,2667.388,18.44155041,19.35270733,20.73706662,22.13865707,23.03666454,20.73706662
2.67,2669.501,18.54469074,19.45047298,20.85103289,22.26170942,23.20987685,20.85103289
2.672,2671.614,18.46339258,19.37385431,20.80170841,22.20074134,23.13585193,20.80170841
2.674,2673.728,18.48119629,19.37944769,20.77862149,22.17877919,23.10244493,20.77862149
2.676,2675.841,17.8152305,18.72630717,20.11025047,21.52937352,22.46230081,20.11025047
2.678,2677.954,17.38805851,18.30530773,19.68269353,21.08806389,22.00982575,19.68269353
2.68,2679.591,16.8955011,17.80759304,19.19114002,20.58718142,21.51220901,19.19114002
2.68,2680,17.1557535,18.07757751,19.48297082,20.87212328,21.77077298,19.48297082
2.681,2680.88,16.95467601,17.85574826,19.2427157,20.63585371,21.56219382,19.2427157
2.682,2681.907,17.48548942,18.40196772,19.7822609,21.20648759,22.14169143,19.7822609
2.683,2682.91,16.89051511,17.81523169,19.19445667,20.57911054,21.51760066,19.19445667
2.684,2684.199,17.01293932,17.90762124,19.30353333,20.72147263,21.63364046,19.30353333
2.684,2684.342,17.17078765,18.08172886,19.46610058,20.88665275,21.83384104,19.46610058
2.686,2686.204,17.25089158,18.1731503,19.55373228,20.96428547,21.87785773,19.55373228
2.686,2686.49,16.75667394,17.65670755,19.04533504,20.46112044,21.37823286,19.04533504
2.687,2687.206,17.84626129,18.76194599,20.16315345,21.56300204,22.48003733,20.16315345
2.688,2687.922,17.92457824,18.85640004,20.24274964,21.64315913,22.58334174,20.24274964
2.689,2688.638,17.64193311,18.52586696,19.94134121,21.34433471,22.25476493,19.94134121
2.689,2689.319,16.81229738,17.72683341,19.11461023,20.4921829,21.42906254,19.11461023
2.69,2690,17.38349417,18.29467761,19.68225602,21.0845842,21.97924803,19.68225602
2.692,2691.549,16.82908776,17.73270524,19.13252967,20.54701984,21.4463525,19.13252967
2.693,2693.098,17.28590323,18.19330294,19.60050286,20.99661513,21.89889027,19.60050286
2.695,2694.575,16.74541867,17.63956824,19.04059513,20.43494864,21.36878196,19.04059513
2.696,2696.052,17.55504339,18.48681114,19.87787856,21.28215768,22.20367141,19.87787856
2.698,2697.529,16.98425825,17.90732576,19.31141745,20.70717426,21.63127274,19.31141745
2.699,2699.006,17.34388148,18.23265778,19.64781445,21.02586023,21.93456293,19.64781445
2.7,2700.483,16.44493447,17.3456392,18.74502071,20.1369106,21.07302346,18.74502071
2.702,2701.959,17.44160752,18.33940411,19.73196195,21.13023692,22.08922761,19.73196195
2.703,2703.48,16.58442062,17.51632006,18.90350805,20.30750445,21.19709091,18.90350805
2.705,2705,16.28766922,17.22008393,18.606724,20.01934541,20.940824,18.606724
2.706,2705.799,15.89659829,16.78994834,18.18723786,19.58303721,20.52159599,18.18723786
2.707,2706.598,16.46720132,17.37739807,18.77530547,20.18973756,21.10460634,18.77530547
2.707,2707.422,15.39296864,16.30981033,17.68728916,19.06990892,20.01455077,17.68728916
2.708,2708.245,15.93064008,16.84890948,18.21237216,19.61024405,20.53712796,18.21237216
2.709,2709.069,16.1791486,17.08783293,18.48633973,19.88142379,20.78789297,18.48633973
2.71,2709.892,16.52994551,17.43319613,18.8341638,20.23527178,21.17761988,18.8341638
2.711,2710.716,16.38920502,17.29220102,18.68862985,20.07307066,21.00023757,18.68862985
2.712,2712.033,16.31536329,17.2381591,18.63438703,20.02651961,20.95307829,18.63438703
2.712,2712.363,15.67895288,16.58466842,17.98034568,19.37515659,20.30144416,17.98034568
2.713,2713.186,15.49537767,16.41475312,17.79654975,19.17837303,20.09377869,17.79654975
2.714,2714.01,15.40220962,16.3206992,17.72206093,19.09635688,20.00121263,17.72206093
2.715,2714.833,15.61100807,16.51743867,17.89404375,19.27813396,20.20920498,17.89404375
2.716,2715.656,15.42406051,16.33340503,17.71337073,19.09572068,19.99632267,17.71337073
2.717,2716.974,15.94894432,16.83454389,18.20667334,19.62161953,20.52173588,18.20667334
2.717,2717.303,15.69545097,16.61961899,18.01332654,19.41143604,20.31057854,18.01332654
2.718,2718.127,16.52451462,17.4280297,18.82616181,20.23630752,21.13842152,18.82616181
2.719,2718.95,16.28727775,17.19771156,18.5879891,19.96965123,20.89572647,18.5879891
2.72,2719.774,16.77986106,17.69430385,19.07771259,20.49798488,21.41307743,19.07771259
2.721,2720.597,16.57537146,17.50594235,18.88514815,20.28001776,21.21304374,18.88514815
2.721,2721.421,16.95973819,17.87073615,19.26378168,20.66400112,21.56360214,19.26378168
2.722,2722.244,16.64384573,17.57707022,18.94119453,20.34806539,21.26524968,18.94119453
2.723,2723.068,17.03865927,17.94997858,19.32397809,20.72127069,21.63716622,19.32397809
2.724,2723.891,16.50897408,17.4117246,18.80478039,20.21237077,21.10916494,18.80478039
2.725,2724.714,17.60977691,18.51769797,19.90093899,21.29852934,22.22349346,19.90093899
2.726,2725.538,17.32926279,18.24714464,19.62780047,21.01052999,21.93656627,19.62780047
2.726,2726.361,18.86430899,19.80283147,21.20564183,22.61886598,23.56147118,21.20564183
2.727,2727.181,17.59075006,18.50586592,19.90390861,21.3165368,22.23081659,19.90390861
2.728,2728,18.44126752,19.37126769,20.77934618,22.18385775,23.10746797,20.77934618
2.729,2729.35,17.89129033,18.82877261,20.23087267,21.6538268,22.57398621,20.23087267
2.731,2730.7,18.71227498,19.64502251,21.02504142,22.41495227,23.34974371,21.02504142
2.732,2732.043,18.42025524,19.31634469,20.73536454,22.15321322,23.08502201,20.73536454
2.733,2733.386,18.95633888,19.87786323,21.28138694,22.71250945,23.65250037,21.28138694
2.735,2734.729,18.68207236,19.58999183,21.00134252,22.39856094,23.31942654,21.00134252
2.736,2736.072,18.99547695,19.92273729,21.31616824,22.76557783,23.7351458,21.31616824
2.737,2737.415,19.47376671,20.39925752,21.79546238,23.22547116,24.18467877,21.79546238
2.739,2738.759,19.18740411,20.10304136,21.50519095,22.92525697,23.88587532,21.50519095
2.74,2740.102,18.93407928,19.85819022,21.26887915,22.67704385,23.62803861,21.26887915
2.742,2742.251,18.74621902,19.66137034,21.05196278,22.46380173,23.38881617,21.05196278
2.743,2742.788,18.12059251,19.02681812,20.4149733,21.80987817,22.74645969,20.4149733
2.744,2744.131,18.86996334,19.77774357,21.18356677,22.56905997,23.52647734,21.18356677
2.745,2745.474,19.93248698,20.86234434,22.27898985,23.74390459,24.8102011,22.27898985
2.747,2746.818,19.04011833,19.94567872,21.34673935,22.75371513,23.71539844,21.34673935
2.748,2748.161,18.39070921,19.28559762,20.68988313,22.11628948,23.05837155,20.68988313
2.75,2750.31,19.13096812,20.03860329,21.43427906,22.85239829,23.7983393,21.43427906
2.751,2750.847,18.3852096,19.30451389,20.70985858,22.12205086,23.03703441,20.70985858
2.752,2752.19,19.27749674,20.1955378,21.60287758,23.01131448,23.99090148,21.60287758
2.754,2753.595,18.51687927,19.41752843,20.82273387,22.25077422,23.1925699,20.82273387
2.755,2755,19.12906659,20.04433315,21.44267113,22.86920047,23.817644,21.44267113
2.757,2756.789,19.0553306,19.95770419,21.35777449,22.77001312,23.73811399,21.35777449
2.759,2758.578,18.6599249,19.59744699,20.99807316,22.40209008,23.3210559,20.99807316
2.76,2760.454,18.45867117,19.37752245,20.78932387,22.2185999,23.15233385,20.78932387
2.762,2762.329,19.36537038,20.29403941,21.71836892,23.14067486,24.11492426,21.71836892
2.764,2764.204,18.19536128,19.12977933,20.52351216,21.94244277,22.87861875,20.52351216
2.766,2766.08,19.14703917,20.08454985,21.47467283,22.88142259,23.84545007,21.47467283
2.768,2767.955,18.73892709,19.62602005,21.02718347,22.42881552,23.37474596,21.02718347
2.771,2770.956,19.75849174,20.66992941,22.06364315,23.50595227,24.55980729,22.06364315
2.772,2771.706,18.84332342,19.77741904,21.18615853,22.61331312,23.55511602,21.18615853
2.774,2773.581,19.08523134,19.99867111,21.38744181,22.82159282,23.78230625,21.38744181
2.775,2775.456,19.00610598,19.92503146,21.30159036,22.72378817,23.64414191,21.30159036
2.792,2791.901,18.78937066,19.70987377,21.11272833,22.51409255,23.45765119,21.11272833
2.792,2792.344,18.16926979,19.08103217,20.47242033,21.88189522,22.83770256,20.47242033
2.795,2795,18.72938788,19.62232283,21.03195577,22.43832946,23.40238281,21.03195577
2.797,2796.775,17.97345541,18.86779804,20.29368153,21.68826568,22.60864455,20.29368153
2.799,2799.26,18.68877413,19.61459687,21.01864791,22.41399883,23.36355447,21.01864791
2.8,2800.282,17.87821554,18.80701473,20.18108387,21.58580314,22.5052492,20.18108387
2.802,2801.986,18.73000373,19.62207051,21.00873493,22.43507486,23.37741279,21.00873493
2.804,2803.689,18.37677039,19.30105242,20.68331762,22.07145855,23.02544436,20.68331762
