age_ka,SST,temp_min2,temp_min1,temp,temp_plus1,temp_plus2
7.3,16.5,13.78015,14.72239,16.15871,17.5951,18.53477
7.6,16.5,13.75453,14.70443,16.12145,17.55288,18.5088
7.9,16.5,13.77299,14.71945,16.14109,17.57238,18.52403
8.167,16.6,13.85318,14.80473,16.23669,17.6863,18.62262
8.4,16.8,14.07495,15.01107,16.44063,17.88876,18.81727
8.733,16.6,13.88718,14.80369,16.24045,17.6505,18.58527
9.033,16.1,13.37504,14.30669,15.74876,17.16983,18.11735
9.33,16.1,13.3591,14.28471,15.72251,17.15255,18.11043
9.622,16.2,13.5175,14.44215,15.8509,17.27621,18.19369
9.83,16.5,13.75893,14.70854,16.11969,17.56011,18.49045
10.13,16.3,13.60906,14.52862,15.95875,17.36829,18.33296
10.427,16.3,13.57785,14.50797,15.93935,17.3821,18.31375
10.77,15.6,12.88818,13.81115,15.2344,16.66199,17.592
11.46,15.7,12.97499,13.88886,15.34508,16.7581,17.68124
12.109,15.9,13.17414,14.11858,15.55438,16.95784,17.89003
12.655,16,13.25618,14.19535,15.62927,17.07602,18.01667
13.26,15.2,12.48513,13.40569,14.8439,16.24389,17.17682
13.855,15.3,12.5496,13.4912,14.92686,16.35538,17.28152
14.46,16.2,13.50244,14.40586,15.83239,17.25879,18.1985
15.06,16.7,13.97831,14.92595,16.34694,17.78711,18.73464
15.655,16.4,13.67744,14.61987,16.05177,17.46947,18.39967
16.26,16.2,13.48259,14.4112,15.84572,17.27995,18.21263
16.858,17.3,14.61144,15.54579,16.96449,18.39345,19.34447
17.437,17.1,14.38376,15.32352,16.74979,18.18268,19.15335
17.96,16.8,14.07759,15.01715,16.43275,17.86554,18.79647
18.55,16.1,13.39742,14.32559,15.73569,17.17443,18.12909
19.067,16.1,13.37294,14.28847,15.72295,17.16435,18.12016
19.65,15.3,12.5961,13.49935,14.92528,16.34733,17.29885
20.1,15.4,12.66035,13.59315,15.01876,16.443,17.39279
20.66,14.8,12.09316,13.01106,14.41753,15.86259,16.78634
21.256,14.8,12.04628,12.98957,14.40381,15.83433,16.76451
21.76,14.8,12.04561,12.97501,14.41391,15.84652,16.78281
22.36,13.4,10.67154,11.5955,13.00261,14.43156,15.34523
22.96,13.2,10.46525,11.38037,12.78991,14.21074,15.1597
23.556,12.3,9.593603,10.48862,11.89328,13.31412,14.24848
24.13,12.4,9.630994,10.57388,11.99387,13.41004,14.32417
25.427,12,9.249945,10.16839,11.57564,13.00201,13.93541
26.83,12.2,9.444077,10.37161,11.78764,13.21477,14.148
28.13,13,10.27811,11.1758,12.59419,14.00652,14.92475
29.435,13.1,10.34233,11.27949,12.68535,14.13718,15.06312
30.785,12.8,10.06322,10.98624,12.38815,13.80574,14.73056
32.127,12.4,9.656157,10.58272,11.98911,13.40418,14.32988
33.53,12.7,9.963203,10.87859,12.29686,13.70075,14.6199
34.84,12.8,10.05067,10.97668,12.41069,13.81953,14.75759
36.23,13.5,10.7308,11.67254,13.09489,14.49959,15.43144
37.53,13.6,10.8974,11.79485,13.206,14.64076,15.56156
38.83,13.8,11.06699,11.99055,13.3942,14.81234,15.75254
40.13,13.9,11.1528,12.07084,13.52155,14.9533,15.89616
41.44,13.5,10.7537,11.66795,13.10093,14.52555,15.45603
42.789,13,10.24576,11.17575,12.61016,14.03833,14.96172
43.59,12.9,10.18628,11.08749,12.50951,13.93135,14.86561
44.5,13.7,11.00741,11.9144,13.32459,14.75033,15.69085
45.51,13.5,10.76188,11.70675,13.10367,14.51339,15.44266
46.61,14.3,11.58192,12.51871,13.93879,15.33318,16.25665
47.7,14.3,11.5759,12.49367,13.92038,15.32279,16.27503
48.782,13.7,10.93813,11.87641,13.29074,14.71596,15.67886
49.691,13.9,11.14791,12.08695,13.52103,14.93612,15.86709
50.683,13.9,11.15363,12.09973,13.50571,14.91849,15.86167
51.745,13.5,10.77328,11.68414,13.0935,14.50925,15.45945
53.383,13.3,10.55551,11.48988,12.90191,14.34092,15.28019
55.583,13.1,10.34385,11.2691,12.67228,14.12105,15.04446
57.75,13,10.22471,11.16158,12.58397,14.01979,14.94561
59.22,12.9,10.17335,11.08926,12.50913,13.93728,14.88347
60.3,13.2,10.46372,11.38447,12.81062,14.22587,15.1447
61.425,13,10.25306,11.20914,12.62174,14.04471,14.9734
62.417,12.8,10.06089,10.96402,12.37325,13.80376,14.72244
63,13.6,10.86541,11.79289,13.20122,14.63025,15.58004
63.8,14.1,11.34222,12.27757,13.70143,15.1436,16.0668
64.443,15.2,12.44616,13.40378,14.82928,16.25727,17.1973
64.825,14.6,11.8557,12.78853,14.21887,15.6471,16.57194
67.039,14.8,12.05973,12.9859,14.42465,15.83764,16.76737
69.408,14.3,11.56247,12.49101,13.90895,15.33327,16.23762
70.78,14.7,11.97146,12.89458,14.3209,15.75176,16.66669
71.589,14.8,12.04591,12.97256,14.40338,15.85135,16.77151
72.389,15.2,12.48967,13.40818,14.81616,16.26059,17.19873
73.189,15.8,13.08431,14.00995,15.4124,16.83345,17.77037
