age_ka,SST,C37
1661.54,7.94,1.1
1667.06,7.42,1.03
1671.96,8.31,0.67
1677.61,8.97,1.25
1681.97,9.44,1.32
1686.63,9.29,0.74
1690.69,13.37,4.12
1694.14,15.15,2.4
1702.33,15.59,3.84
1710.07,12.92,0.52
1714.38,12.97,3.84
1721.24,15.37,1.41
1727.46,15.9,5.36
1733.89,13.77,3.28
1738.85,18.18,1.26
1740.69,16.29,1.85
1742.34,11.71,5.57
1744,13.05,4.31
1745.84,15.8,4.38
1747.49,14.87,4.85
1749.33,15.41,4.53
1751.36,13.71,5.78
1752.64,15.5,4.22
1754.48,13.96,5.63
1756.14,15.17,4.1
1758.71,13.63,6.11
1762.09,9.42,7.61
1768.36,13,3.27
1775.32,12.23,3.13
1781.59,11.57,5.78
1788.55,10.09,6.85
1794.82,13.55,2.94
1800.34,12.79,3.85
1806.17,11.73,5.47
1825.91,10.9,8.04
1843.56,13.52,1.83
1873.63,13.17,5.19
1898.79,13.59,3.84
1917.8,14.86,6.71
1934.75,13.04,2.33
1947.67,15.04,1.86
1955.51,10,3.49
1962.01,16.91,5.58
1968.5,9.28,4.96
1974.55,12.36,2.85
1981.4,11.67,3.62
1991.14,14.01,3.87
1999.2,11.64,3.78
2007.27,14.69,4.76
2017.16,16.68,3.59
2029.2,13.39,5.14
2042.54,12.54,4.49
2054.18,17.1,3.36
2063.23,15.6,4.25
2066.66,14.03,2.99
2078.2,12.71,2.72
2092.84,15.21,2.08
2107.02,11.53,5.72
2121.2,12.51,3.07
2134.47,17.31,1.3
2143.4,15.74,2.64
2158.42,14.74,4.27
2173.54,16.38,4.52
2176.94,15.76,3.22
2180.33,13.48,2.07
2183.72,13.24,1.49
2187.12,9.58,6.01
2190.54,9.47,3.17
2194.15,12.65,2.67
2197.76,12.7,1.88
2201.38,15.88,3.84
2210.4,12.66,3.44
2228.66,13.32,4
2241.93,14.67,2.61
2250.78,9.74,7.5
2259.02,10.06,6.45
2267.45,11.96,5.03
2299.76,12.42,2.86
2344.03,9.7,8.63
2380.76,13.26,4.41
2384.85,10.19,9.24
2391.08,12.83,4.31
2396.24,12,3.96
2406.38,14.64,3.98
2410.47,18.56,1.25
2418.58,16.91,3.62
2424.97,18.7,0.88
2430.28,15.98,5.58
2438.36,16.89,5.42
2446.45,14.43,5.34
2454.83,12.95,5.26
2462.33,12.35,7.58
2476.5,12.6,2.05
2484.42,15.4,3.23
2488.17,13.46,4.25
2499.34,10.8,1.53
2514.34,13.46,6.97
2526.24,15.04,5.2
2540.52,13.34,5.45
2549.99,9.97,8.91
2559.45,14.24,3.64
2568.91,12.75,2.83
2576.74,12.65,1.81
2586.44,8.83,8.13
2595.86,8.72,4.15
2606.69,9.4,5.22
2617.53,12.53,3.86
2625.52,13.56,3.8
2631.6,13.19,5.54
2636.63,13.24,3.77
2641.67,16.19,2.08
2646.7,13.3,2.41
2651.69,12.69,1.79
2664.55,17.47,1.19
2672.75,17.44,1.5
2678.22,15.23,2.75
2683.69,16.96,1.82
2688.02,15.23,2.58
2694.62,14.09,1.78
2700.25,14.16,2.83
2705.88,17.29,1.47
2711.71,13.1,3.51
2716.18,14.35,3.46
2722.98,15.98,1.79
2728.61,8.65,7.08
2734.11,8.49,9.62
2736.85,7.77,8.63
2739.49,6.64,8.04
2742.14,6.76,7.03
2744.79,8.88,4.93
2747.43,9.97,3.68
2749.53,9.78,3.68
2752.64,8.95,3.41
2755.62,7.78,3.48
2758.68,7.38,3.62
2761.85,6.76,3.53
2764.36,6.89,3.54
2768.07,7.17,3.42
2771.13,7.51,3.2
2774.3,7.12,3.12
2777.35,7.33,2.91
2779.87,7.6,3.08
2783.58,7.67,2.68
2786.13,8.43,2.65
2788.3,7.95,2.42
2790.41,8.93,2.01
2792.13,8.64,2.02
2794.68,8.97,1.93
2796.86,8.75,2.3
2798.96,8.45,2.12
2801.14,8.36,2.58
2802.79,8.43,3.01
2805.42,8.21,3.4
2807.52,8.86,3.62
2811.08,10.04,5.34
2814.42,12.47,3.82
2817.25,12.53,4.58
2819.17,11.98,3.13
2821.58,10.96,2.67
2823.92,13.15,2.96
2826.33,10.95,2.63
2829.17,10.83,3.51
2831.08,9.83,3.86
2833.42,10.42,3.43
2835.67,9.89,3.72
2838.58,11.19,3.05
2841,12.55,2.38
2843.42,10.44,3.79
2846.02,11.98,3.03
2848.23,10.99,4.76
2851.44,10.15,6.11
2854.11,12.47,5.73
2856.77,12.8,4.85
2859.44,12.9,5.77
2861.55,11.07,6.24
2864.77,11.74,3.64
2867.43,10.76,3.88
2870.19,12.4,3.91
2872.85,10.13,3.48
2874.97,12,4.55
2878.16,11.26,2.98
2880.45,14.25,2.83
2882.74,11.18,3.62
2885.11,12.02,4.55
2886.92,11.15,5.23
2889.68,15.57,2.23
2891.97,11.4,5.45
2894.26,10.71,3.93
2896.55,12.3,3.89
2898.37,10.4,4.77
2901.13,10.76,3.57
2903.42,10.5,4.6
2905.96,9.12,4.6
2907.34,9.64,4.44
2909.08,9.87,4.47
2910.82,9.14,4.24
2912.56,9.18,5.19
2914.61,8.14,6.09
2916.05,7.72,5.62
2917.79,7.96,5.72
2919.47,8.79,5.45
2921.27,9.74,4.6
2923.37,10.6,2.53
2924.09,11.53,3.38
2925.89,11.41,3.27
2927.27,12.51,2.79
2929.44,12.2,3.9
2931.24,12.28,2.71
2932.98,12.67,4.42
2934.78,10.95,5.34
2936.22,10.78,4.94
2938.29,10.92,7.07
2939.91,10.79,6.94
2941.6,11.39,4.93
2943.28,11.14,4.2
2944.62,11.79,4.35
2946.58,12.66,4.97
2948.27,12.14,4.6
2949.95,12.9,4.64
2951.57,12.63,6.01
2954.94,11.86,7.39
2956.62,8.83,7.36
2958.24,10.76,5.82
2959.92,11.16,4.85
2961.27,11.7,6.63
2963.23,11.61,3.99
2964.91,13.82,3.8
2966.59,12.65,3.75
2968.22,12.56,4.19
2969.85,11.45,4.57
2971.42,11.7,3.7
2973.04,13.34,3.15
2974.61,11.94,4.18
2976.24,11.73,3.61
2979.09,10.34,6.54
2981.13,10.05,7.41
2983.03,9,6.02
2984.94,9.8,6.81
2986.85,10.98,6.48
2988.37,10.89,5.82
2990.66,10.95,4.9
2992.57,11.4,4.64
2994.48,11.84,3.38
2996.38,12.17,3.44
2997.91,11.12,3.13
3000.2,10.55,3.61
3002.1,9.86,4.44
3004.01,9.3,4.86
3005.92,9.06,8.06
3007.42,10.38,7.98
3009.6,9.66,7.8
3011.42,8.9,7.92
3013.23,11.06,5.97
3015.05,10.29,5.28
3016.5,10.4,3.66
3018.68,10.88,5.28
3020.5,12.34,4.32
3022.31,12.18,4.47
3024.13,11.85,5.09
3025.58,12.59,5.09
3040.16,11.8,3.41
3207.02,11.71,2.48
3223.84,11.18,2.5
3243.89,13.27,3.3
3278.15,7.42,8.42
3303.25,9.38,5.13
3325.28,11.99,3.11
3358.79,11.67,4.06
3394.78,13.21,2.98
3416.12,15.6,2.25
3444.67,14.25,2.04
3470.38,14.11,1.09
3491.63,13.93,1.4
3564.01,12.43,2.03
3583.84,12.29,1.37
3600.11,12.7,1.37
3623.04,14.06,0.74
3638.88,10.07,2.28
