age_ka,SST,temp_min2,temp_min1,temp,temp_plus1,temp_plus2
3402.01,24.8,21.83305081,22.75880062,24.29470337,26.08199542,27.54855056
3403.91,24.9,21.9261355,22.88567356,24.42078962,26.21803943,27.72470789
3405.8,25,22.03123012,22.96411092,24.52041893,26.39133437,27.94452681
3407.68,25.4,22.459229,23.43429056,25.03066255,27.02944803,28.827923
3409.56,25.3,22.37150755,23.33359383,24.91237575,26.88877516,28.63966503
3411.32,25.5,22.55658124,23.54650185,25.16633362,27.20721386,28.97107581
3413,25.6,22.70848931,23.68179631,25.33055766,27.42088926,29.2139881
3414.63,25.1,22.13952977,23.11490047,24.66628521,26.55715541,28.17999827
3416.16,24.8,21.816879,22.76631378,24.31545197,26.09200769,27.58679926
3419.17,24.2,21.18253185,22.12026549,23.59131559,25.21466158,26.49337687
3420.68,24.2,21.16230307,22.11288581,23.57243685,25.20981173,26.49039579
3422.18,24,20.99555017,21.91706317,23.35637642,24.9612019,26.17968403
3423.69,24,20.9621984,21.90259554,23.3691423,24.98812375,26.20164407
3425.19,24.5,21.5084562,22.44378319,23.92926453,25.62092655,27.02386504
3426.7,24.2,21.16610206,22.10397533,23.5916723,25.22515747,26.48756401
3428.21,24.7,21.68884136,22.65400259,24.17478,25.93590236,27.41576347
3429.71,24.8,21.80687252,22.75368088,24.28128029,26.07085807,27.5379792
3431.21,25.1,22.13308002,23.09064174,24.64344021,26.50657194,28.14893238
3432.72,25.2,22.25255946,23.20924802,24.79879328,26.73840372,28.3794063
3434.31,25.3,22.34221088,23.32768612,24.90878985,26.89794535,28.62926758
3435.97,25.2,22.2439474,23.22926463,24.81459339,26.72378373,28.37027451
3437.63,25.4,22.47052265,23.46795382,25.04459854,27.05572612,28.76126386
3439.42,24.8,21.83637775,22.78892768,24.31812824,26.12204097,27.62729812
3441.25,24.7,21.70092036,22.64641586,24.17746076,25.92177635,27.34799299
3443.08,24.7,21.73648385,22.67217803,24.15965021,25.90951882,27.39075611
3444.99,24.6,21.59632533,22.54005019,24.05492979,25.81216266,27.26133088
3446.93,24.8,21.79918472,22.74853165,24.27225663,26.04705366,27.55517521
3448.89,25.8,22.92229892,23.8964189,25.58675768,27.79774381,29.75831757
3450.84,26.1,23.23574099,24.24750736,26.0417612,28.33120414,30.38074422
3453.02,26.1,23.2290349,24.24240937,26.03465678,28.37063902,30.37331778
3455.41,26.4,23.53053867,24.58375478,26.44540393,28.91723061,30.98358053
3457.85,26.4,23.58956918,24.61153763,26.44601041,28.91224942,30.90749462
3460.29,26.4,23.62988405,24.63787415,26.47240939,28.9950054,31.07579259
3462.73,26,23.13460662,24.11656633,25.85222108,28.13554656,30.05963947
3465.17,25.9,22.99609221,24.01152818,25.72230785,27.97162897,30.01546676
3469.71,26.1,23.24861777,24.24715171,26.0351974,28.35223257,30.31926947
3471.68,26.1,23.25831009,24.27191519,26.0173779,28.32707694,30.3392305
3473.63,26.1,23.25223628,24.26211703,26.02711617,28.34813129,30.40633154
3477.53,26.3,23.47557975,24.49482492,26.32207923,28.70736482,30.71275563
3479.48,25.8,22.91934757,23.91505157,25.59315866,27.79074432,29.72836616
3481.43,25.7,22.81962621,23.79187927,25.46830675,27.5792114,29.43690299
3483.19,26,23.12997252,24.15854598,25.86837497,28.20134452,30.1502356
3483.38,26.2,23.33293948,24.36773453,26.15276942,28.53315303,30.56086659
3485.14,25.7,22.8019927,23.77276477,25.4314095,27.5529311,29.42194106
3485.34,26.2,23.35958613,24.35897439,26.16014139,28.5524894,30.58706
3487.29,25.9,22.98888645,24.00837164,25.71585969,27.95325292,29.88444049
3489.05,25,22.04159195,23.00866943,24.53764082,26.35837994,27.96068193
3489.24,25.5,22.55109419,23.54102855,25.19837605,27.26313278,29.03039886
3490.99,25,22.04733365,22.9857518,24.55569203,26.39973549,27.98472023
3491.38,24.8,21.82926157,22.77888138,24.2909877,26.07494086,27.53718409
3492.94,26.1,23.26036134,24.2618829,26.02433288,28.36680736,30.33711706
3493.33,24.8,21.80530517,22.75291483,24.28577006,26.07205921,27.55759079
3493.92,26.1,23.23627196,24.25098808,26.03165755,28.33310009,30.33387133
3495.09,26.2,23.36550003,24.36107363,26.1646774,28.50119435,30.53868592
3496.66,26.4,23.56565814,24.59958036,26.45604524,28.91825608,30.93250209
3498.45,26.2,23.36514495,24.37261191,26.15750552,28.52920853,30.59970191
3501.06,26.5,23.72257346,24.74338267,26.59003342,29.11312614,31.09767949
