age_ka,d13C,d18O
2347.6000,,-0.9900
2349.7000,,-0.6900
2352.5000,,-0.3300
2354.0000,,-0.5900
2356.3000,,-0.7600
2359.3000,,0.2700
2361.0000,,
2363.3000,,
2365.6000,,
2368.6000,,-0.9000
2370.2000,,-1.4900
2372.5000,,
2376.5000,,-1.3900
2380.5000,,-0.5000
2384.4000,,
2388.4000,,-0.4700
2392.5000,,-0.7300
2397.0000,,-1.3800
2399.4000,,-0.2400
2402.9000,,0.4600
2407.5000,,
2409.1000,,
2411.4000,,
2413.7000,,0.4100
2416.0000,,0.4800
2418.3000,,0.5600
2421.3000,,0.1400
2422.9000,,0.2200
2425.2000,,-0.6100
2427.5000,,-1.1300
2429.4000,,0.1800
2431.3000,,0.0600
2433.7000,,-1.0300
2435.0000,,-0.1700
2436.9000,,-0.2800
2439.3000,,-0.6900
2440.6000,,0.1300
2442.5000,,-0.7700
2444.4000,,-0.6100
2446.3000,,-0.8800
2448.1000,,-0.0300
2450.0000,,-0.4000
2455.2000,,0.2500
2457.5000,,
2461.2000,,
2464.9000,,
2468.7000,,-1.0200
2473.5000,,-1.7800
2476.1000,,-1.0200
2480.0000,,-0.5100
2481.6000,,-1.0900
2482.5000,,-0.5300
2483.7000,,-0.6700
2485.0000,,-0.2600
2486.2000,,0.0600
2487.5000,,0.3400
2488.8000,,0.5600
2490.0000,,
2491.3000,,
2492.5000,,-0.2600
2494.8000,,-0.3800
2497.0000,,-0.1900
2499.9000,,0.1700
2501.5000,,-0.2800
2503.7000,,-0.2900
2506.6000,,-0.7700
2508.1000,,-1.0100
2510.4000,,-0.4900
2512.5000,,-0.8200
2514.8000,,-0.4800
2516.2000,,-0.8000
2518.1000,,-0.2500
2519.9000,,-0.7000
2521.7000,,-0.5000
2523.5000,,-0.5000
2525.4000,,-0.5400
2527.2000,,
2529.6000,,-0.2200
2530.9000,,-0.1200
2532.7000,,0.0500
2535.1000,,-0.6100
2536.3000,,-0.9100
2538.2000,,0.3800
2540.0000,,-0.3000
2542.2000,,-1.4200
2544.5000,,-1.5200
2546.8000,,-1.1400
2547.9000,,
2550.1000,,-1.2900
2552.5000,,-1.2900
2555.1000,,-1.4200
2556.9000,,-1.0500
2559.4000,,0.1800
2561.9000,,-1.4100
2564.4000,,-0.6200
2567.0000,,-0.1800
2570.2000,,-0.6200
2572.5000,,-1.2200
2574.6000,,-1.4200
2577.1000,,
2579.7000,,-0.9900
2582.3000,,-1.6800
2585.6000,,0.0700
2587.4000,,-0.8300
2590.4000,,
2593.3000,,-0.6200
2595.0000,,-0.3700
2596.8000,,-0.3200
2598.6000,,0.0800
2600.9000,,-0.2600
2602.1000,,
2603.9000,,-1.0500
2605.6000,,
2607.4000,,-1.0600
2609.2000,,-0.2200
2610.9000,,0.0300
2612.7000,,-0.9000
2615.0000,,-0.6100
2616.6000,,-1.5700
2618.9000,,-1.0700
2621.9000,,-1.7100
2623.6000,,
2625.9000,,-1.0000
2628.2000,,0.0100
2630.5000,,
2632.8000,,
2635.8000,,-0.3700
2637.5000,,0.3100
2640.0000,,-0.3800
2642.5000,,-0.2400
2645.0000,,-0.7800
2647.6000,,0.3300
2650.8000,,0.0400
2652.5000,,
2654.7000,,
2657.5000,,-0.5600
2658.9000,,
2661.0000,,-0.8600
2663.2000,,0.0900
2665.3000,,-0.5400
2667.4000,,-0.5700
2669.5000,,-0.9800
2671.6000,,-0.8500
2673.7000,,
2675.8000,,-0.2700
2678.0000,,-0.3900
2680.0000,,-0.6000
2681.9000,,-0.9800
2682.9000,,-0.5400
2684.3000,,-0.3200
2686.2000,,
2687.2000,,0.3200
2688.6000,,0.1300
2690.0000,,-0.1900
2693.1000,,-0.3500
2696.1000,,0.2600
2699.0000,,-0.0600
2702.0000,,-0.2000
2705.0000,,-0.9300
2706.6000,,-0.4300
2708.2000,,-0.1600
2709.9000,,-0.1900
2712.0000,,-0.0200
2713.2000,,
2714.8000,,-0.4300
2717.0000,,-0.1900
2718.1000,,-0.2100
2719.8000,,-0.1700
2721.4000,,-0.4200
2723.1000,,
2724.7000,,-1.0400
2726.4000,,
2728.0000,,-0.3000
2730.7000,,0.2500
2733.4000,,-0.1300
2736.1000,,-1.1600
2738.8000,,0.1100
2742.3000,,
2744.1000,,
2746.8000,,
2750.3000,,-0.5000
2752.2000,,
2755.0000,,-0.4700
2758.6000,,-1.1000
2762.3000,,-0.1200
2766.1000,,
2771.0000,,-0.3100
2773.6000,,-0.0200
2776.2000,,0.2600
2780.0000,,
2785.4000,,-0.6500
2791.4000,,0.1600
2795.0000,,0.2500
2799.3000,,0.0300
2802.0000,,-0.4600
2805.4000,,-0.0500
2808.8000,,-1.0300
2813.3000,,-0.5800
2815.7000,,-0.6400
2819.1000,,-0.9000
2822.5000,,
2825.4000,,
2828.3000,,
2832.1000,,
2834.1000,,-0.0400
2837.0000,,0.4000
2840.0000,,-0.5000
2841.7000,,
2843.5000,,-0.2200
2845.2000,,
2847.5000,,-0.9800
2848.8000,,-1.4800
2850.5000,,
2852.3000,,-0.9600
2854.0000,,-0.0900
2855.8000,,-0.7400
2857.5000,,-0.1500
2860.1000,,-0.8900
2863.3000,,-0.2900
2865.0000,,-1.0300
2867.5000,,-1.3100
2870.0000,,0.2500
2872.5000,,-0.4000
2874.5000,,-0.4100
2877.5000,,-0.1500
2879.6000,,-1.0200
2881.8000,,-0.2900
2884.4000,,-0.9800
2886.1000,,-0.6000
2888.2000,,-1.2200
2890.4000,,-0.7700
2892.5000,,-0.6200
2894.3000,,-1.0000
2896.5000,,-1.3900
2897.7000,,-1.3700
2899.5000,,-0.3000
2901.2000,,-0.7900
2903.0000,,
2904.7000,,-0.2700
2906.4000,,-1.1400
2908.2000,,-1.3200
2910.0000,,-0.9600
2913.6000,,-1.1700
2917.4000,,-1.1500
2921.1000,,-1.0800
2924.9000,,-1.0200
2928.7000,,-0.1000
2932.4000,,-0.8600
2937.5000,,-0.8000
2938.9000,,-1.3400
2941.1000,,-0.5600
2943.3000,,-1.4500
2945.4000,,-0.9400
2947.2000,,
2949.8000,,-0.4000
2951.9000,,
2954.1000,,-1.1900
2956.3000,,-1.4100
2958.4000,,-0.3700
2960.6000,,-0.2300
2962.7000,,-1.1200
2965.0000,,-0.5300
2967.8000,,-0.2000
2971.7000,,-0.7500
2973.7000,,0.1200
2976.7000,,-0.8900
2979.7000,,0.2500
2982.5000,,
2985.5000,,-0.5600
2988.4000,,-0.0600
2991.3000,,-0.6100
2994.2000,,-0.4700
2997.1000,,0.1000
3000.0000,,-0.5500
3012.0920,1.2540,-1.1200
3023.6440,0.8610,-0.3430
3051.5210,1.3940,-1.4080
3052.1130,1.1850,-1.1740
3069.8590,0.5810,-0.6670
3085.5350,0.9960,-0.7530
3095.8870,0.6640,-0.7320
3112.7460,1.2030,-0.5860
3125.7010,0.6640,-0.5520
3134.9390,0.4010,-1.1440
3147.8730,0.8450,-0.8710
3244.9060,1.6730,-2.1310
3260.3770,0.9600,-0.7020
3281.2640,1.7890,-1.3500
3302.9250,0.8860,-0.6120
3318.3960,0.8390,-0.6910
3351.5830,0.9790,-0.7780
3367.9170,0.3650,0.9480
3395.0420,0.7790,-0.9670
3455.4170,0.2880,-0.3520
3467.9580,0.7570,-0.1180
3511.4170,0.7520,0.1710
3555.1670,1.0340,-0.6040
3638.2690,1.2950,-0.7110
3659.9740,0.9920,-0.3720
3675.9680,1.6780,-1.2910
3733.0880,0.9990,-0.3440
3752.5080,1.3420,-0.8710
3774.2140,1.5980,-1.3420
3818.7670,1.1600,-0.6090
3821.4330,0.6360,-0.1450
3826.7640,0.5490,-0.5260
3833.6190,0.6260,-0.8780
3836.6650,0.7300,-1.6750
3841.2350,0.8220,-0.9150
3845.4230,0.5820,0.1320
3847.3270,0.3040,0.2400
3849.2310,0.7690,-1.0920
3859.5130,1.2830,-1.3990
3883.1220,1.1450,-0.6450
3886.9300,0.8600,-0.1050
3890.7380,1.1960,-1.1420
3894.9270,1.2790,-1.0240
3901.7820,1.2320,-1.6580
3904.4470,1.4040,-1.9820
3909.3980,0.6870,-1.9070
3917.0140,1.2410,-1.7960
3925.0100,0.8370,-0.6820
3928.8180,1.2140,-0.9720
3933.3880,0.8540,-0.2300
3940.6230,0.8890,0.0300
3948.2390,1.1810,-0.7250
3952.4280,0.7100,-0.4310
3955.4740,1.0800,-0.9540
3958.5210,0.8020,-1.6740
3959.2820,1.2520,-1.4550
3961.1860,0.9660,-1.6410
3962.3290,0.6660,0.3510
3966.1370,1.3540,-0.7200
3969.9450,1.3140,-1.1010
3988.2230,1.4700,-1.4560
3993.1730,1.0790,-0.7500
3997.7430,1.4310,-1.5110
4000.7890,1.3190,-1.4850
4037.7270,1.0220,-0.6350
4075.4260,1.0520,-1.0840
4083.8030,1.3360,-1.3200
4113.1250,1.1970,-1.4390
4132.1650,0.8800,-0.0680
4151.9660,0.9430,-0.5610
4195.0520,1.0160,-0.6630
4208.9340,1.0640,-0.8060
4216.1520,0.9080,-1.5600
4230.5900,0.6990,-0.4110
4251.1350,1.1330,-1.8990
4278.8990,1.2870,-1.2180
4286.1180,1.2880,-1.7450
4292.2260,1.2800,-1.0870
4315.6570,1.0210,-0.4680
4331.6340,0.4260,-0.2590
4339.6230,1.3330,-0.7570
4348.2500,1.0650,-0.9510
4387.5530,2.1890,-2.0690
4435.4830,1.2440,-0.6920
4444.1110,1.3540,-0.9240
4451.4600,0.9980,-0.4070
4459.7680,0.7360,-1.0050
4483.4140,0.8450,-0.7370
4537.4410,1.0880,-0.5510
4549.1360,0.9850,-0.5760
4619.3050,1.0060,-0.7750
4865.7230,1.1050,-1.7060
4890.3930,0.5440,-0.7970
4892.0750,1.0580,-1.1730
4901.5750,1.0830,-0.9860
