Leg ,Hole,Sample ID,Depth (mbsf),Age (Ma),age_ka,Species,d13C,d18O,,,,,,,,
198,1209A,"6H-4, 140-140",52.11,3.306,3306.447,Gs. ruber,0.61,-0.47,,,,,,,,
198,1209A,"6H-5, 17-19",52.36,3.331,3330.935,Gs. ruber,0.96,-0.15,,,,,,,,
198,1209A,"6H-5, 60-62",52.81,3.352,3351.972,Gs. ruber,0.92,0.19,,,,,,,,
198,1209A,"6H-5, 105-107",53.26,3.373,3373.009,Gs. ruber,0.32,0.38,,,,,,,,
198,1209A,"6H-6, 15-17",53.86,3.401,3401.058,Gs. ruber,0.81,0.18,,,,,,,,
198,1209A,"6H-6, 27-29",53.97,3.406,3406.200,Gs. ruber,1.31,0.18,,,,,,,,
198,1209A,"6H-6, 45-47",54.16,3.415,3415.083,Gs. obliquus,1.05,-0.28,,,,,,,,
198,1209A,"6H-6, 60-62",54.31,3.422,3422.095,Both,0.68,-0.55,,,,,,,,
198,1209A,"6H-6, 77-79",54.47,3.430,3429.575,Both,0.50,0.03,,,,,,,,
198,1209A,"6H-6, 105-107",54.76,3.443,3443.132,Gs. ruber,0.82,0.09,,,,,,,,
198,1209A,"6H-6, 127-129",54.97,3.453,3452.949,Both,0.36,0.14,,,,,,,,
198,1209A,"6H-6, 145-147",55.16,3.462,3461.831,Gs. ruber,1.06,0.00,,,,,,,,
198,1209A,"6H-7, 27-29",55.47,3.476,3476.323,Gs. ruber,0.34,0.64,,,,,,,,
198,1209A,"6H-7, 45-47",55.66,3.485,3485.206,Both,0.55,-0.04,,,,,,,,
198,1209A,"6H-7, 60-62",55.81,3.492,3492.218,Both,0.48,0.08,,,,,,,,
198,1209A,"7H-1, 15-17",55.86,3.495,3494.555,Both,0.06,0.39,,,,,,,,
198,1209A,"7H-1, 27-29",55.97,3.500,3499.698,Gs. obliquus,1.34,-0.86,,,,,,,,
198,1209A,"7H-1, 45-47",56.16,3.509,3508.580,Both,0.32,0.58,,,,,,,,
198,1209A,"7H-1, 60-62",56.31,3.516,3515.592,Both,0.51,0.04,,,,,,,,
