Leg ,Hole,Sample ID,Depth (mbsf),Age (Ma),age_ka,Species,d13C,d18O,,,,,,,,
198,1207A,"5H-5, 127-129",40.57,2.495,2494.938,Gs. ruber,1.11,-0.10,"Supplemental File 1. Stable isotope measurements from ODP Leg 198 Hole 1207A. Values listed here include the averages of replicate samples (if Gs. ruber and Gs. obliquus were run in the same sample, we also averaged those values and indicated so with 'Both' under Species).",,,,,,,
198,1207A,"5H-5, 145-147",40.76,2.501,2501.325,Gs. ruber,1.810,-0.920,,,,,,,,
198,1207A,"5H-6, 27-29",41.07,2.512,2511.747,Gs. ruber,1.19,-0.16,,,,,,,,
198,1207A,"5H-6, 52-54",41.33,2.520,2520.488,Gs. ruber,1.109,-0.484,,,,,,,,
198,1207A,"5H-6, 77-79",41.57,2.545,2545.000,Gs. ruber,1.112,0.301,,,,,,,,
198,1207A,"5H-6, 127-129",42.07,2.545,2545.365,Gs. ruber,0.849,0.098,,,,,,,,
198,1207A,"5H-6, 145-147",42.26,2.552,2551.752,Gs. ruber,1.578,-0.795,,,,,,,,
198,1207A,"5H-7, 27-29",42.57,2.562,2562.174,Gs. ruber,1.387,-0.476,,,,,,,,
198,1207A,"6H-1, 2-4",42.83,2.571,2570.915,Gs. ruber,1.477,-0.539,,,,,,,,
198,1207A,"6H-1, 20-22",43.01,2.577,2576.966,Gs. ruber,1.667,-1.099,,,,,,,,
198,1207A,"6H-1, 39-41",43.2,2.585,2584.654,Gs. ruber,1.318,-0.580,,,,,,,,
198,1207A,"6H-1, 60-62",43.41,2.596,2595.616,Gs. ruber,1.241,-0.618,,,,,,,,
198,1207A,"6H-1, 77-79",43.58,2.604,2604.490,Gs. ruber,1.150,-0.145,,,,,,,,
198,1207A,"6H-1, 127-129",44.07,2.630,2630.067,Gs. ruber,1.000,-0.480,,,,,,,,
198,1207A,"6H-1, 145-147",44.26,2.640,2639.985,Gs. ruber,1.344,-0.475,,,,,,,,
198,1207A,"6H-2, 5-7",44.36,2.645,2645.205,Gs. ruber,1.279,-0.498,,,,,,,,
198,1207A,"6H-2, 27-29",44.57,2.656,2656.167,Gs. ruber,1.318,-0.264,,,,,,,,
