depth_m,age_ka,d18O,ship_depth,coretop,core_recov,notes
123.61,2671.6,-0.85,123.9,118.7,105.8,14 4 70-72cm
123.71,2673.7,-999,124,118.7,105.8,14 4 80-82cm
123.8,2675.8,-0.27,124.1,118.7,105.8,14 4 90-92cm
123.9,2678,-0.39,124.2,118.7,105.8,14 4 100-102cm
123.99,2680,-0.6,124.3,118.7,105.8,14 4 110-112cm
124.12,2681.9,-0.98,124.43,118.7,105.8,14 4 123-125cm
124.18,2682.9,-0.54,124.5,118.7,105.8,14 4 130-132cm
124.28,2684.3,-0.32,124.6,118.7,105.8,14 4 140-142cm
124.4,2686.2,-999,124.73,118.7,105.8,14 5 3-5cm
124.47,2687.2,0.32,124.8,118.7,105.8,14 5 10-12cm
124.56,2688.6,0.13,124.9,118.7,105.8,14 5 20-22cm
124.65,2690,-0.19,125,118.7,105.8,14 5 30-32cm
124.75,2693.1,-0.35,125.1,118.7,105.8,14 5 40-42cm
124.84,2696.1,0.26,125.2,118.7,105.8,14 5 50-52cm
124.94,2699,-0.06,125.3,118.7,105.8,14 5 60-62cm
125.03,2702,-0.2,125.4,118.7,105.8,14 5 70-72cm
125.13,2705,-0.93,125.5,118.7,105.8,14 5 80-82cm
125.22,2706.6,-0.43,125.6,118.7,105.8,14 5 90-92cm
125.32,2708.2,-0.16,125.7,118.7,105.8,14 5 100-102cm
125.41,2709.9,-0.19,125.8,118.7,105.8,14 5 110-112cm
125.53,2712,-0.02,125.93,118.7,105.8,14 5 123-125cm
125.6,2713.2,-999,126,118.7,105.8,14 5 130-132cm
125.69,2714.8,-0.43,126.1,118.7,105.8,14 5 140-142cm
125.82,2717,-0.19,126.23,118.7,105.8,14 6 3-5cm
125.88,2718.1,-0.21,126.3,118.7,105.8,14 6 10-12cm
125.98,2719.8,-0.17,126.4,118.7,105.8,14 6 20-22cm
126.07,2721.4,-0.42,126.5,118.7,105.8,14 6 30-32cm
126.17,2723.1,-999,126.6,118.7,105.8,14 6 40-42cm
126.26,2724.7,-1.04,126.7,118.7,105.8,14 6 50-52cm
126.36,2726.4,-999,126.8,118.7,105.8,14 6 60-62cm
126.45,2728,-0.3,126.9,118.7,105.8,14 6 70-72cm
126.54,2730.7,0.25,127,118.7,105.8,14 6 80-82cm
126.64,2733.4,-0.13,127.1,118.7,105.8,14 6 90-92cm
126.73,2736.1,-1.16,127.2,118.7,105.8,14 6 100-102cm
126.83,2738.8,0.11,127.3,118.7,105.8,14 6 110-112cm
126.95,2742.3,-999,127.43,118.7,105.8,14 6 123-125cm
127.02,2744.1,,127.5,118.7,105.8,14 6 130-132cm
127.11,2746.8,,127.6,118.7,105.8,14 6 140-142cm
127.23,2750.3,-0.5,127.73,118.7,105.8,14 7 3-5cm
127.3,2752.2,-999,127.8,118.7,105.8,14 7 10-12cm
127.4,2755,-0.47,127.9,118.7,105.8,14 7 20-22cm
127.49,2758.6,-1.1,128,118.7,105.8,14 7 30-32cm
127.58,2762.3,-0.12,128.1,118.7,105.8,14 7 40-42cm
127.68,2766.1,-999,128.2,118.7,105.8,14 7 50-52cm
127.8,2771,-0.31,128.33,118.7,105.8,14 7 63-65cm
127.87,2773.6,-0.02,128.4,118.7,105.8,14 7 70-72cm
127.93,2776.2,0.26,128.47,118.7,105.8,14 CC 0-2cm
128.03,2780,-999,128.57,118.7,105.8,14 CC 10-12cm
128.12,2785.4,-0.65,128.67,118.7,105.8,14 CC 20-22cm
128.23,2791.4,0.16,128.23,128.2,105.8,15 1 3-5cm
128.29,2795,0.25,128.3,128.2,105.8,15 1 10-12cm
128.41,2799.3,0.03,128.42,128.2,105.8,15 1 22-24cm
128.48,2802,-0.46,128.5,128.2,105.8,15 1 30-32cm
128.58,2805.4,-0.05,128.6,128.2,105.8,15 1 40-42cm
128.67,2808.8,-1.03,128.7,128.2,105.8,15 1 50-52cm
128.8,2813.3,-0.58,128.83,128.2,105.8,15 1 63-65cm
128.86,2815.7,-0.64,128.9,128.2,105.8,15 1 70-72cm
128.96,2819.1,-0.9,129,128.2,105.8,15 1 80-82cm
129.05,2822.5,-999,129.1,128.2,105.8,15 1 90-92cm
129.15,2825.4,-999,129.2,128.2,105.8,15 1 100-102cm
129.24,2828.3,-999,129.3,128.2,105.8,15 1 110-112cm
129.36,2832.1,-999,129.43,128.2,105.8,15 1 123-125cm
129.43,2834.1,-0.04,129.5,128.2,105.8,15 1 130-132cm
129.52,2837,0.4,129.6,128.2,105.8,15 1 140-142cm
129.62,2840,-0.5,129.7,128.2,105.8,15 2 0-2cm
129.71,2841.7,-999,129.8,128.2,105.8,15 2 10-12cm
129.81,2843.5,-0.22,129.9,128.2,105.8,15 2 20-22cm
129.9,2845.2,-999,130,128.2,105.8,15 2 30-32cm
130.02,2847.5,-0.98,130.13,128.2,105.8,15 2 43-45cm
130.09,2848.8,-1.48,130.2,128.2,105.8,15 2 50-52cm
130.18,2850.5,-999,130.3,128.2,105.8,15 2 60-62cm
130.28,2852.3,-0.96,130.4,128.2,105.8,15 2 70-72cm
130.37,2854,-0.09,130.5,128.2,105.8,15 2 80-82cm
130.47,2855.8,-0.74,130.6,128.2,105.8,15 2 90-92cm
130.56,2857.5,-0.15,130.7,128.2,105.8,15 2 100-102cm
130.66,2860.1,-0.89,130.8,128.2,105.8,15 2 110-112cm
130.78,2863.3,-0.29,130.93,128.2,105.8,15 2 123-125cm
130.85,2865,-1.03,131,128.2,105.8,15 2 130-132cm
130.94,2867.5,-1.31,131.1,128.2,105.8,15 2 140-142cm
131.04,2870,0.25,131.2,128.2,105.8,15 3 0-2cm
131.13,2872.5,-0.4,131.3,128.2,105.8,15 3 10-12cm
131.21,2874.5,-0.41,131.38,128.2,105.8,15 3 18-20cm
131.32,2877.5,-0.15,131.5,128.2,105.8,15 3 30-32cm
131.41,2879.6,-1.02,131.6,128.2,105.8,15 3 40-42cm
131.51,2881.8,-0.29,131.7,128.2,105.8,15 3 50-52cm
131.62,2884.4,-0.98,131.82,128.2,105.8,15 3 62-64cm
131.7,2886.1,-0.6,131.9,128.2,105.8,15 3 70-72cm
131.79,2888.2,-1.22,132,128.2,105.8,15 3 80-82cm
131.89,2890.4,-0.77,132.1,128.2,105.8,15 3 90-92cm
131.98,2892.5,-0.62,132.2,128.2,105.8,15 3 100-102cm
132.08,2894.3,-1,132.3,128.2,105.8,15 3 110-112cm
132.2,2896.5,-1.39,132.43,128.2,105.8,15 3 123-125cm
132.26,2897.7,-1.37,132.5,128.2,105.8,15 3 130-132cm
132.36,2899.5,-0.3,132.6,128.2,105.8,15 3 140-142cm
132.45,2901.2,-0.79,132.7,128.2,105.8,15 4 0-2cm
132.55,2903,-999,132.8,128.2,105.8,15 4 10-12cm
132.64,2904.7,-0.27,132.9,128.2,105.8,15 4 20-22cm
132.74,2906.4,-1.14,133,128.2,105.8,15 4 30-32cm
132.83,2908.2,-1.32,133.1,128.2,105.8,15 4 40-42cm
132.93,2910,-0.96,133.2,128.2,105.8,15 4 50-52cm
133.02,2913.6,-1.17,133.3,128.2,105.8,15 4 60-62cm
133.11,2917.4,-1.15,133.4,128.2,105.8,15 4 70-72cm
133.21,2921.1,-1.08,133.5,128.2,105.8,15 4 80-82cm
133.3,2924.9,-1.02,133.6,128.2,105.8,15 4 90-92cm
133.4,2928.7,-0.1,133.7,128.2,105.8,15 4 100-102cm
133.49,2932.4,-0.86,133.8,128.2,105.8,15 4 110-112cm
133.62,2937.5,-0.8,133.93,128.2,105.8,15 4 123-125cm
133.68,2938.9,-1.34,134,128.2,105.8,15 4 130-132cm
133.78,2941.1,-0.56,134.1,128.2,105.8,15 4 140-142cm
133.87,2943.3,-1.45,134.2,128.2,105.8,15 5 0-2cm
133.97,2945.4,-0.94,134.3,128.2,105.8,15 5 10-12cm
134.04,2947.2,-999,134.38,128.2,105.8,15 5 18-20cm
134.15,2949.8,-0.4,134.5,128.2,105.8,15 5 30-32cm
134.25,2951.9,-999,134.6,128.2,105.8,15 5 40-42cm
134.34,2954.1,-1.19,134.7,128.2,105.8,15 5 50-52cm
134.44,2956.3,-1.41,134.8,128.2,105.8,15 5 60-62cm
134.53,2958.4,-0.37,134.9,128.2,105.8,15 5 70-72cm
134.63,2960.6,-0.23,135,128.2,105.8,15 5 80-82cm
134.72,2962.7,-1.12,135.1,128.2,105.8,15 5 90-92cm
134.82,2965,-0.53,135.2,128.2,105.8,15 5 100-102cm
134.91,2967.8,-0.2,135.3,128.2,105.8,15 5 110-112cm
135.03,2971.7,-0.75,135.43,128.2,105.8,15 5 123-125cm
135.1,2973.7,0.12,135.5,128.2,105.8,15 5 130-132cm
135.19,2976.7,-0.89,135.6,128.2,105.8,15 5 140-142cm
135.29,2979.7,0.25,135.7,128.2,105.8,15 6 0-2cm
135.38,2982.5,-999,135.8,128.2,105.8,15 6 10-12cm
135.48,2985.5,-0.56,135.9,128.2,105.8,15 6 20-22cm
135.57,2988.4,-0.06,136,128.2,105.8,15 6 30-32cm
135.67,2991.3,-0.61,136.1,128.2,105.8,15 6 40-42cm
135.76,2994.2,-0.47,136.2,128.2,105.8,15 6 50-52cm
135.86,2997.1,0.1,136.3,128.2,105.8,15 6 60-62cm
135.95,3000,-0.55,136.4,128.2,105.8,15 6 70-72cm
