depth_m,age_ka,d18O,ship_depth,coretop,core_recov,notes
94.85,2003.6,-0.49,95.1,90.2,105.4,11 4 40-42cm
94.94,2006.4,-0.38,95.2,90.2,105.4,11 4 50-52cm
95.04,2009.2,-0.87,95.3,90.2,105.4,11 4 60-62cm
95.13,2012,-0.03,95.4,90.2,105.4,11 4 70-72cm
95.23,2014.8,-0.89,95.5,90.2,105.4,11 4 80-82cm
95.32,2017.5,-1.5,95.6,90.2,105.4,11 4 90-92cm
95.42,2019.3,0.13,95.7,90.2,105.4,11 4 100-102cm
95.51,2020.9,-0.33,95.8,90.2,105.4,11 4 110-112cm
95.64,2023.2,-0.13,95.93,90.2,105.4,11 4 123-125cm
95.7,2024.3,0.19,96,90.2,105.4,11 4 130-132cm
95.8,2026,-0.25,96.1,90.2,105.4,11 4 140-142cm
95.92,2028.2,0.23,96.23,90.2,105.4,11 5 3-5cm
95.99,2029.4,-0.77,96.3,90.2,105.4,11 5 10-12cm
96.08,2031.1,-0.03,96.4,90.2,105.4,11 5 20-22cm
96.18,2032.8,0.35,96.5,90.2,105.4,11 5 30-32cm
96.27,2034.5,-1.03,96.6,90.2,105.4,11 5 40-42cm
96.37,2036.2,0.16,96.7,90.2,105.4,11 5 50-52cm
96.46,2037.9,0,96.8,90.2,105.4,11 5 60-62cm
96.56,2039.6,-1.08,96.9,90.2,105.4,11 5 70-72cm
96.68,2041.8,-0.61,97.03,90.2,105.4,11 5 83-85cm
96.75,2043,-0.75,97.1,90.2,105.4,11 5 90-92cm
96.84,2044.7,-0.4,97.2,90.2,105.4,11 5 100-102cm
96.94,2046.4,-0.13,97.3,90.2,105.4,11 5 110-112cm
97.06,2048.6,-0.16,97.43,90.2,105.4,11 5 123-125cm
97.13,2049.7,-0.26,97.5,90.2,105.4,11 5 130-132cm
97.22,2051.4,-0.38,97.6,90.2,105.4,11 5 140-142cm
97.34,2053.6,-0.47,97.73,90.2,105.4,11 6 3-5cm
97.41,2054.8,-0.7,97.8,90.2,105.4,11 6 10-12cm
97.51,2056.5,-1.17,97.9,90.2,105.4,11 6 20-22cm
97.6,2058.2,-1.32,98,90.2,105.4,11 6 30-32cm
97.7,2060,0.01,98.1,90.2,105.4,11 6 40-42cm
97.79,2061.7,-0.3,98.2,90.2,105.4,11 6 50-52cm
97.89,2063.6,0.37,98.3,90.2,105.4,11 6 60-62cm
97.98,2065.4,-1.03,98.4,90.2,105.4,11 6 70-72cm
