
Leg,Site,H,Core,T,Sec,Top (cm),Depth (mbsf),Magnetic Suscept.,Corrected Suscept.
198,1208,A,  1,H,  1,     5.0,       0.050,           28.800,             28.80,
198,1208,A,  1,H,  1,     7.5,       0.075,           29.800,             29.79,
198,1208,A,  1,H,  1,    10.0,       0.100,           29.800,             29.79,
198,1208,A,  1,H,  1,    12.5,       0.125,           30.000,             29.99,
198,1208,A,  1,H,  1,    15.0,       0.150,           30.000,             29.99,
198,1208,A,  1,H,  1,    17.5,       0.175,           30.600,             30.58,
198,1208,A,  1,H,  1,    20.0,       0.200,           31.800,             31.78,
198,1208,A,  1,H,  1,    22.5,       0.225,           34.400,             34.38,
198,1208,A,  1,H,  1,    25.0,       0.250,           35.800,             35.78,
198,1208,A,  1,H,  1,    27.5,       0.275,           34.800,             34.77,
198,1208,A,  1,H,  1,    30.0,       0.300,           33.000,             32.97,
198,1208,A,  1,H,  1,    32.5,       0.325,           32.400,             32.37,
198,1208,A,  1,H,  1,    35.0,       0.350,           31.200,             31.17,
198,1208,A,  1,H,  1,    37.5,       0.375,           28.600,             28.56,
198,1208,A,  1,H,  1,    40.0,       0.400,           24.200,             24.16,
198,1208,A,  1,H,  1,    42.5,       0.425,           20.200,             20.16,
198,1208,A,  1,H,  1,    45.0,       0.450,           16.400,             16.35,
198,1208,A,  1,H,  1,    47.5,       0.475,           14.000,             13.95,
198,1208,A,  1,H,  1,    50.0,       0.500,           13.600,             13.55,
198,1208,A,  1,H,  1,    52.5,       0.525,           13.800,             13.75,
198,1208,A,  1,H,  1,    55.0,       0.550,           14.200,             14.14,
198,1208,A,  1,H,  1,    57.5,       0.575,           15.200,             15.14,
198,1208,A,  1,H,  1,    60.0,       0.600,           16.000,             15.94,
198,1208,A,  1,H,  1,    62.5,       0.625,           17.400,             17.33,
198,1208,A,  1,H,  1,    65.0,       0.650,           18.800,             18.72,
198,1208,A,  1,H,  1,    67.5,       0.675,           19.400,             19.32,
198,1208,A,  1,H,  1,    70.0,       0.700,           20.000,             19.91,
198,1208,A,  1,H,  1,    72.5,       0.725,           20.400,             20.30,
198,1208,A,  1,H,  1,    75.0,       0.750,           21.000,             20.90,
198,1208,A,  1,H,  1,    77.5,       0.775,           21.000,             20.89,
198,1208,A,  1,H,  1,    80.0,       0.800,           21.200,             21.08,
198,1208,A,  1,H,  1,    82.5,       0.825,           20.800,             20.67,
198,1208,A,  1,H,  1,    85.0,       0.850,           21.000,             20.87,
198,1208,A,  1,H,  1,    87.5,       0.875,           21.000,             20.86,
198,1208,A,  1,H,  1,    90.0,       0.900,           20.800,             20.65,
198,1208,A,  1,H,  1,    92.5,       0.925,           21.400,             21.25,
198,1208,A,  1,H,  1,    95.0,       0.950,           21.400,             21.24,
198,1208,A,  1,H,  1,    97.5,       0.975,           21.200,             21.03,
198,1208,A,  1,H,  1,   100.0,       1.000,           21.800,             21.63,
198,1208,A,  1,H,  1,   102.5,       1.025,           21.600,             21.42,
198,1208,A,  1,H,  1,   105.0,       1.050,           23.400,             23.21,
198,1208,A,  1,H,  1,   107.5,       1.075,           24.400,             24.20,
198,1208,A,  1,H,  1,   110.0,       1.100,           23.600,             23.40,
198,1208,A,  1,H,  1,   112.5,       1.125,           23.800,             23.59,
198,1208,A,  1,H,  1,   115.0,       1.150,           23.400,             23.18,
198,1208,A,  1,H,  1,   117.5,       1.175,           22.800,             22.58,
198,1208,A,  1,H,  1,   120.0,       1.200,           23.000,             22.77,
198,1208,A,  1,H,  1,   122.5,       1.225,           23.600,             23.36,
198,1208,A,  1,H,  1,   125.0,       1.250,           24.200,             23.96,
198,1208,A,  1,H,  1,   127.5,       1.275,           25.000,             24.75,
198,1208,A,  1,H,  1,   130.0,       1.300,           26.000,             25.74,
198,1208,A,  1,H,  1,   132.5,       1.325,           24.800,             24.54,
198,1208,A,  1,H,  1,   135.0,       1.350,           25.600,             25.33,
198,1208,A,  1,H,  1,   137.5,       1.375,           21.200,             20.92,
198,1208,A,  1,H,  1,   140.0,       1.400,           22.000,             21.71,
198,1208,A,  1,H,  1,   142.5,       1.425,           22.200,             21.91,
198,1208,A,  1,H,  2,     5.0,       1.550,           24.000,             24.01,
198,1208,A,  1,H,  2,     7.5,       1.575,           26.000,             26.02,
198,1208,A,  1,H,  2,    10.0,       1.600,           27.400,             27.43,
198,1208,A,  1,H,  2,    12.5,       1.625,           27.800,             27.84,
198,1208,A,  1,H,  2,    15.0,       1.650,           27.800,             27.85,
198,1208,A,  1,H,  2,    17.5,       1.675,           28.000,             28.06,
198,1208,A,  1,H,  2,    20.0,       1.700,           28.000,             28.07,
