age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2016,3.35,1.57,8.081,7.0381,9.1383,5.7788,9.9446,44.099,42.661,45.316,40.97,46.26,2.0048,1.7892,2.1873,1.5355,2.3291
2019,3.54,1.42,7.3999,6.4866,8.252,5.6529,9.0644,46.802,43.986,48.355,41.742,49.513,2.4104,1.9879,2.6433,1.6513,2.8169
2026,4.18,1.64,8.3382,7.0942,9.3367,6.0186,10.162,46.26,44.906,47.725,43.484,49.141,2.329,2.1259,2.5487,1.9127,2.7611
2047,3.59,1.71,7.3885,6.2149,8.5037,4.9767,9.5719,43.476,41.732,45.156,39.913,46.763,1.9114,1.6499,2.1634,1.377,2.4045
2069,3.61,1.32,7.255,6.1583,8.1873,5.0419,9.0314,43.485,41.974,44.756,40.323,45.94,1.9128,1.6861,2.1034,1.4384,2.281
2072,3.55,1.33,7.2676,6.1396,8.2292,4.8558,9.1008,42.81,41.251,44.318,39.578,45.546,1.8115,1.5777,2.0377,1.3267,2.222
2078,3.43,1.27,8.2536,6.9824,9.2341,5.4808,10.116,44.433,42.347,45.9,40.25,47.025,2.055,1.742,2.2749,1.4275,2.4437
2084,3.52,1.62,7.8512,6.7902,8.8631,5.6728,9.7958,44.936,43.574,46.092,42.177,47.153,2.1304,1.9261,2.3038,1.7165,2.4629
2117,3.72,1.45,8.2051,7.1418,9.041,5.9834,9.894,45.148,43.796,46.267,42.416,47.219,2.1622,1.9593,2.3301,1.7525,2.4729
2144,3.58,1.62,8.6439,7.7697,9.4499,6.7793,10.187,44.882,43.249,46.788,41.584,48.235,2.1223,1.8774,2.4082,1.6276,2.6252
2213,3.32,1.5,8.6048,7.6903,9.4484,6.7386,10.144,44.172,42.848,45.457,41.397,46.515,2.0158,1.8171,2.2085,1.5995,2.3673
2223,3.43,1.58,8.736,7.9044,9.5349,7.0039,10.273,46.208,44.295,47.443,42.643,48.602,2.3212,2.0343,2.5065,1.7864,2.6803
2233,3.74,1.81,8.7364,7.8715,9.5426,7.0074,10.341,45.263,43.802,46.947,42.215,48.243,2.1795,1.9603,2.432,1.7222,2.6264
2261,3.43,1.61,9.0399,8.1238,9.8532,7.088,10.567,44.383,43.108,45.575,41.511,46.556,2.0474,1.8563,2.2262,1.6166,2.3734
2296,3.35,1.61,9.1316,8.2362,9.9321,7.2344,10.634,44.375,43.061,45.565,41.487,46.566,2.0462,1.8491,2.2247,1.6131,2.3749
2303,3.22,1.62,9.1423,8.2465,9.9199,7.2718,10.602,44.497,43.255,45.672,41.477,46.607,2.0646,1.8783,2.2408,1.6116,2.381
2306,3.38,1.65,7.6127,6.2502,9.1735,4.8105,10.248,44.448,43.003,45.722,41.283,46.814,2.0571,1.8405,2.2483,1.5824,2.4121
2326,3.74,1.36,9.1083,6.8739,10.212,5.2869,10.953,44.459,43.132,45.583,41.525,46.69,2.0588,1.8598,2.2274,1.6187,2.3936
2340,3.23,1.73,7.0399,5.7194,9.6933,4.6117,10.776,45.539,44.057,46.962,42.587,48.282,2.2209,1.9985,2.4343,1.7781,2.6323
2358,4.13,1.42,7.8224,6.2991,8.8972,5.074,9.724,45.969,44.743,47.12,43.235,48.233,2.2853,2.1014,2.458,1.8752,2.6249
2373,3.71,1.66,7.3477,6.1893,8.4974,5.1044,9.5517,45.457,44.123,46.762,42.558,47.814,2.2086,2.0085,2.4043,1.7738,2.5621
2389,3.91,1.42,7.1114,6.0343,8.0344,4.8862,8.8001,44.519,41.375,46.721,39.134,47.959,2.0678,1.5962,2.3982,1.2601,2.5839
2434,3.96,1.53,7.1001,5.9711,8.0031,4.7852,8.8017,42.777,40.625,46.321,38.62,47.718,1.8065,1.4837,2.3381,1.183,2.5477
2448,3.37,1.19,6.5938,5.4527,7.5802,4.2865,8.4316,44.002,41.803,45.74,39.624,47.148,1.9903,1.6605,2.251,1.3336,2.4622
2480,4.02,1.36,6.5538,5.416,7.4964,4.2429,8.3254,44.162,42.379,45.652,40.547,47.023,2.0143,1.7469,2.2377,1.4721,2.4434
