age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2417.1,3.5,0.90847,5.2184,3.3165,6.8051,0.96777,8.0931,40.153,38.422,41.603,36.298,42.787,1.9613,1.4938,2.3527,0.92039,2.6724
2435.6,4.26,0.94153,5.2188,3.422,6.804,1.3912,7.9948,40.495,39.119,41.752,37.464,42.837,2.0536,1.6821,2.3931,1.2354,2.6859
2442,4.09,0.97897,4.7954,2.5526,6.6407,-0.51105,8.072,38.099,35.874,40.547,33.334,42.212,1.4067,0.80605,2.0676,0.12006,2.5172
2472.9,3.4,0.76104,3.9642,1.6171,5.8753,-1.1999,7.5822,38.553,36.504,40.301,34.123,41.684,1.5294,0.97605,2.0013,0.33317,2.3746
2488.7,4.1,0.79921,5.659,3.3101,7.4957,0.30182,8.8674,38.127,36.521,39.549,34.59,40.968,1.4143,0.9807,1.7982,0.45926,2.1814
2499.4,3.22,0.94428,5.9284,3.8607,7.6063,1.367,8.8677,37.843,36.325,39.181,34.453,40.332,1.3377,0.92766,1.6988,0.42241,2.0096
2503,3.31,0.87802,5.5593,3.729,7.1362,1.501,8.4154,40.421,38.163,42.072,35.729,43.17,2.0336,1.4239,2.4794,0.76676,2.7759
2530.1,4.05,0.96834,5.5731,3.7901,7.1296,1.6199,8.3263,41.127,39.589,42.439,37.636,43.387,2.2242,1.8089,2.5786,1.2817,2.8346
2530.1,4.05,0.95734,6.0655,4.2282,7.5746,1.8576,8.9608,39.316,37.527,41.564,35.56,43.078,1.7353,1.2524,2.3423,0.72123,2.751
2532.1,4.3,1.06906,5.654,3.649,7.2438,0.75047,8.6429,39.024,37.199,40.485,34.91,41.625,1.6564,1.1637,2.0509,0.54577,2.3588
2550.8,3.42,0.95133,5.6907,3.8795,7.229,1.598,8.5298,39.663,38.226,40.839,36.52,41.96,1.829,1.4409,2.1465,0.98038,2.4492
2550.8,3.42,0.95004,5.2622,3.1703,6.9178,0.07665,8.265,38.627,36.835,40.068,34.354,41.284,1.5492,1.0655,1.9384,0.39558,2.2666
2599.5,3.77,0.98558,5.304,3.171,6.9676,0.12846,8.3545,38.595,36.824,39.938,34.457,41.176,1.5408,1.0625,1.9032,0.42343,2.2376
2599.5,3.77,1.01049,5.6271,3.7745,7.2309,1.4196,8.476,39.363,37.89,40.702,35.725,41.741,1.7481,1.3503,2.1097,0.76583,2.3901
2609.7,3.83,0.93475,5.6826,3.8254,7.209,1.3758,8.4117,39.894,38.352,41.086,36.495,41.993,1.8913,1.475,2.2132,0.97375,2.4581
2623,3.46,0.8363,5.434,3.5261,7.0226,1.0495,8.2951,39.747,38.186,40.95,36.34,41.937,1.8518,1.4302,2.1766,0.93178,2.443
2628.8,3.66,0.89792,5.6009,3.6327,7.1518,1.0625,8.4342,39.243,37.854,40.526,35.83,41.552,1.7156,1.3407,2.062,0.7942,2.3391
2635.3,3.79,0.9658,5.4742,3.4797,7.1072,1.0835,8.3933,39.128,37.644,40.382,35.563,41.481,1.6846,1.284,2.0232,0.72203,2.32
2635.3,3.79,0.97897,6.5555,4.4496,8.2082,1.8982,9.4146,39.955,38.443,41.213,36.398,42.183,1.9078,1.4997,2.2475,0.94759,2.5093
2642.8,3.9,0.97429,5.3003,2.9692,7.3956,0.31181,8.8706,39.703,38.079,40.969,36.131,41.909,1.8397,1.4014,2.1817,0.87527,2.4353
2646.6,3.87,0.92583,6.411,4.0151,8.0094,1.4298,9.2631,41.051,39.136,42.369,36.963,43.46,2.2038,1.6866,2.5596,1.0999,2.8542
2646.6,3.87,0.93717,6.3839,4.4905,7.8073,2.3115,9.0894,40.036,38.32,41.756,36.461,43.052,1.9297,1.4663,2.3941,0.96446,2.7441
2654.6,3.65,0.94451,4.6368,2.2085,6.5629,-0.51635,8.0664,39.025,37.337,40.423,35.247,41.488,1.6566,1.2011,2.0343,0.63663,2.3218
2659.5,3.75,0.89476,3.6153,1.2426,5.4954,-2.2351,6.8682,39.129,37.356,40.646,34.517,41.747,1.6847,1.2061,2.0945,0.43949,2.3917
2671.1,3.69,1.13829,4.6914,2.3485,6.6588,-1.1805,8.1248,38.751,36.989,40.221,34.72,41.339,1.5829,1.107,1.9796,0.4944,2.2816
2681.8,3.99,0.85294,5.0969,3.0657,6.8633,0.32215,8.2377,38.808,37.228,40.158,35.08,41.27,1.5981,1.1716,1.9627,0.59156,2.263
2688.4,4.06,1.19627,4.4958,2.5159,6.1992,-0.40273,7.7172,39.036,37.47,40.327,35.178,41.456,1.6596,1.237,2.0083,0.61819,2.3132
