age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2610.9,4.12,1.13,6.9431,5.3452,8.2293,3.3797,9.5244,40.806,39.511,41.862,38.049,42.903,2.1375,1.7879,2.4227,1.3933,2.7038
2612.7,3.89,1.16,7.1251,5.3595,8.5049,3.5165,9.6441,40.188,38.835,41.337,37.243,42.412,1.9707,1.6054,2.2809,1.1755,2.5713
2615,3.85,1.13,6.2432,4.1966,7.9721,1.821,9.1134,39.551,38.009,40.771,36.29,41.641,1.7987,1.3824,2.1283,0.91817,2.3631
2616.6,3.69,1.1,6.3819,4.4615,7.9823,2.485,9.3269,38.619,37.145,39.867,35.554,41.213,1.5471,1.1491,1.8842,0.71954,2.2475
2616.6,3.43,1.1,7.0893,5.2277,8.5431,3.1488,9.9868,38.403,36.94,39.506,35.213,40.619,1.4887,1.0937,1.7866,0.62747,2.0872
2618.9,3.71,0.94,7.0215,5.0063,8.5302,3.1436,9.6761,38.576,37.012,39.82,35.491,40.709,1.5355,1.1134,1.8715,0.70261,2.1113
2621.9,3.24,0.99,7.061,5.1574,8.5073,3.1744,9.6597,39.045,37.541,40.219,35.893,41.072,1.6621,1.2559,1.979,0.81103,2.2094
2623.6,3.15,1.04,7.0807,5.34,8.5046,3.2458,9.6548,39.108,37.708,40.281,36.207,41.129,1.679,1.3012,1.9958,0.8959,2.2247
2625.9,3.3,1,6.5624,4.8392,8.0976,2.6189,9.2486,39.291,37.819,40.467,36.352,41.444,1.7286,1.3311,2.0461,0.93492,2.31
2628.2,3.39,1.06,6.6371,5.0111,8.0733,2.957,9.2335,39.82,38.44,40.957,36.886,41.84,1.8714,1.4988,2.1784,1.0794,2.4168
2630.5,3.36,1.05,5.9684,3.9769,7.644,1.3344,8.7534,39.246,37.655,40.589,35.74,41.536,1.7164,1.287,2.079,0.76982,2.3348
2632.8,3.6,1.01,5.9162,4.0808,7.375,1.882,8.6661,39.854,38.242,41.183,36.483,42.218,1.8806,1.4452,2.2395,0.97034,2.5188
2635.8,3.67,1.07,6.1774,4.4564,7.596,2.2297,8.8498,40.392,39.042,41.591,37.257,42.627,2.026,1.6613,2.3494,1.1794,2.6293
2637.5,3.64,0.91,6.6063,4.8482,8.1216,2.3921,9.3206,38.942,37.334,40.465,35.266,41.899,1.6342,1.2002,2.0456,0.64179,2.4326
2642.5,3.85,0.95,6.6585,4.7909,8.1647,2.2123,9.3206,38.398,36.89,39.654,34.804,40.681,1.4874,1.0804,1.8267,0.51699,2.1038
2642.5,3.85,1.02,8.073,6.1018,9.5705,3.3872,10.745,38.9,37.553,40.051,35.591,40.998,1.6231,1.2593,1.9337,0.72956,2.1896
2645,3.94,1.07,8.374,6.9595,9.6951,5.1555,10.763,39.473,38.303,40.523,37.034,41.35,1.7778,1.4618,2.0611,1.1191,2.2846
2654.7,3.43,1.03,7.4466,5.6162,8.9726,3.3994,10.216,38.526,36.947,39.914,35.324,41.043,1.5221,1.0956,1.8966,0.65743,2.2015
