,mcd_x,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged,mcd_y,d18O,d13C
87,1975.5,479,1.23,,C. wuellerstorfi,0.47,1.23,,,
88,1990.5,488,1.21,,C. wuellerstorfi,0.33,1.21,,,
89,2006.5,495,1.24,,C. wuellerstorfi,0.53,1.24,,,
90,2021.5,508,1.28,,C. wuellerstorfi,0.8,1.28,,,
91,2051.5,528,1.39,,C. wuellerstorfi,1.53,1.39,,,
92,2066.5,534,1.4,1.24,O. umbonatus,0.53,1.24,,,
93,2096.5,547,1.31,,C. wuellerstorfi,1.0,1.31,,,
94,2125.5,559,1.25,,C. wuellerstorfi,0.6,1.25,,,
95,2140.5,570,1.24,,C. wuellerstorfi,0.53,1.24,,,
96,2155.5,576,1.31,,C. wuellerstorfi,1.0,1.31,,,
97,2170.5,584,1.45,,C. wuellerstorfi,1.93,1.45,,,
98,2183.5,589,1.65,1.49,O. umbonatus,2.2,1.49,,,
99,2186.5,589,1.55,,C. wuellerstorfi,2.6,1.55,,,
100,2213.5,598,1.58,,C. wuellerstorfi,2.8,1.58,,,
101,2213.5,598,1.72,1.56,O. umbonatus,2.67,1.56,,,
102,2215.5,598,1.47,,C. wuellerstorfi,2.07,1.47,,,
103,2215.5,598,1.65,1.49,O. umbonatus,2.2,1.49,,,
104,2228.5,601,1.42,1.26,O. umbonatus,0.67,1.26,,,
105,2230.5,602,1.44,,C. wuellerstorfi,1.87,1.44,,,
106,2230.5,602,1.77,1.61,O. umbonatus,3.0,1.61,,,
107,2238.5,603,1.64,,C. wuellerstorfi,3.2,1.64,,,
108,2243.5,604,1.36,,C. wuellerstorfi,1.33,1.36,,,
109,2259.5,606,1.34,,C. wuellerstorfi,1.2,1.34,,,
110,2259.5,606,1.54,1.38,O. umbonatus,1.47,1.38,,,
111,2274.5,608,1.41,,C. wuellerstorfi,1.67,1.41,,,
112,2274.5,608,1.67,1.51,O. umbonatus,2.33,1.51,,,
113,2304.5,610,1.77,,C. wuellerstorfi,4.07,1.77,,,
114,2320.5,611,1.55,,C. wuellerstorfi,2.6,1.55,,,
115,2335.5,612,1.43,,C. wuellerstorfi,1.8,1.43,,,
116,2350.5,614,1.52,,C. wuellerstorfi,2.4,1.52,,,
117,2364.0,615,1.52,,C. wuellerstorfi,2.4,1.52,,,
118,2380.0,616,1.3,,C. wuellerstorfi,0.93,1.3,,,
119,2410.0,618,1.84,,C. wuellerstorfi,4.53,1.84,,,
120,2423.0,620,1.63,,C. wuellerstorfi,3.13,1.63,,,
121,2469.0,625,1.66,,C. wuellerstorfi,3.33,1.66,,,
122,2483.0,627,1.32,,C. wuellerstorfi,1.07,1.32,,,
123,2514.0,631,1.38,1.22,O. umbonatus,0.4,1.22,,,
124,2529.0,633,1.46,1.3,O. umbonatus,0.93,1.3,,,
125,2559.0,637,1.12,,C. wuellerstorfi,-0.27,1.12,,,
126,2591.0,643,1.15,,C. wuellerstorfi,-0.07,1.15,,,
127,2606.0,645,1.11,,C. wuellerstorfi,-0.33,1.11,,,
128,2620.0,649,1.24,,C. wuellerstorfi,0.53,1.24,,,
129,2620.0,649,1.42,1.26,O. umbonatus,0.67,1.26,,,
130,2664.0,658,1.02,,C. wuellerstorfi,-0.93,1.02,,,
131,2664.0,658,1.5,1.34,O. umbonatus,1.2,1.34,,,
132,2679.0,661,1.09,,C. wuellerstorfi,-0.47,1.09,,,
133,2711.0,670,1.32,1.16,O. umbonatus,0.0,1.16,,,
134,2725.0,675,1.11,,C. wuellerstorfi,-0.33,1.11,,,
135,2725.0,675,1.4,1.24,O. umbonatus,0.53,1.24,,,
136,2754.0,682,1.22,,C. wuellerstorfi,0.4,1.22,,,
137,2754.0,682,1.47,1.31,O. umbonatus,1.0,1.31,,,
138,2769.0,685,1.25,,C. wuellerstorfi,0.6,1.25,,,
139,2769.0,685,1.45,1.29,O. umbonatus,0.87,1.29,,,
140,2784.0,688,1.33,,C. wuellerstorfi,1.13,1.33,,,
141,2799.0,691,1.53,,C. wuellerstorfi,2.47,1.53,,,
142,2814.0,695,1.56,,C. wuellerstorfi,2.67,1.56,,,
143,2829.0,697,1.69,,C. wuellerstorfi,3.53,1.69,,,
144,2858.0,703,1.43,,C. wuellerstorfi,1.8,1.43,,,
145,2873.0,707,1.71,,C. wuellerstorfi,3.67,1.71,,,
146,2888.0,710,1.16,,C. wuellerstorfi,0.0,1.16,,,
147,2904.0,715,1.17,,C. wuellerstorfi,0.07,1.17,,,
148,2904.0,715,1.32,1.16,O. umbonatus,0.0,1.16,,,
149,2920.0,718,1.22,,C. wuellerstorfi,0.4,1.22,,,
150,2949.0,724,1.27,,C. wuellerstorfi,0.73,1.27,,,
