mcd,age_ka,d13C_uvi,d18O_uvi,Notes
121.06,2610.9,-1.44,4.12,1208 14-2 100-102 U
121.16,2612.7,-1.47,3.89,1208 14-2 110-112 U
121.28,2615,-1.26,3.85,1208 14-2 123-125 U
121.35,2616.6,-1.11,3.69,1208 14-2 130-132 U
121.35,2616.6,-0.87,3.43,1208 14-2 130-132 RU
121.44,2618.9,-1.07,3.71,1208 14-2 140-142 U
121.56,2621.9,-1.25,3.24,1208 14-3 3-5 U
121.63,2623.6,-1.15,3.15,1208 14-3 10-12 U
121.72,2625.9,-1.16,3.3,1208 14-3 20-22 U
121.82,2628.2,-0.89,3.39,1208 14-3 30-32 U
121.91,2630.5,-0.9,3.36,1208 14-3 40-42 U
122.01,2632.8,-1.15,3.6,1208 14-3 50-52 U
122.13,2635.8,-1.26,3.67,1208 14-3 63-65 U
122.2,2637.5,-1.13,3.64,1208 14-3 70-72 U
122.29,2640,-1.14,3.64,1208 14-3 80-82 U
122.39,2642.5,-1.18,3.85,1208 14-3 90-92 U
122.48,2645,-1.44,3.94,1208 14-3 100-102 U
122.58,2647.6,-1.39,3.94,1208 14-3 110-112 U
122.7,2650.8,-1.36,3.72,1208 14-3 123-125 U
122.76,2652.5,-1.29,3.46,1208 14-3 130-132 U
122.86,2654.7,-1.34,3.43,1208 14-3 140-142
122.98,2657.5,-1.02,3.19,1208-14-4 3-5U
123.14,2661,-0.81,3.09,1208-14-4 20-22U
123.24,2663.2,-1.12,3.25,1208-14-4 30-32U
123.33,2665.3,-1.36,2.97,1208-14-4 40-42U
123.33,2665.3,-1.01,3.24,1208 14-4 40-42 U
123.52,2669.5,-1.11,3.28,1208-14-4 60-62U
123.61,2671.6,-1.06,3.36,1208-14-4 70-72U
123.71,2673.7,-1.07,3.38,1208-14-4 80-82U
123.8,2675.8,-0.89,3.28,1208-14-4 90-92U
123.99,2680,-1.12,3.43,1208 14-4 110-112 U
124.18,2682.9,-1.39,4.01,1208-14-4 130-132U
124.4,2686.2,-1.43,4.24,1208 14-5 3-5U
124.47,2687.2,-1.53,4.26,1208 14-5 10-12U
124.56,2688.6,-1.22,4.19,1208 14-5 20-22U
124.65,2690,-1.21,4.11,1208 14-5 30-32U
124.75,2693.1,-1.15,4.07,1208 14-5 40-42U
124.84,2696.1,-1.13,3.8,1208-14-5 50-52U
124.94,2699,-0.87,3.9,1208-14-5 60-62U
125.03,2702,-1.17,3.69,1208 14-5 70-72 U
125.22,2706.6,-1.39,3.84,1208-14-5 90-92U
125.22,2706.6,-1.39,3.8,1208 14-5 90-92 U
125.32,2708.2,-1.48,3.98,1208-14-5 100-102U
125.41,2709.9,-1.46,3.99,1208 14-5 110-112 U
125.53,2712,-1.4,4.2,1208-14-5 123-125U
125.6,2713.2,-1.71,4.22,1208-14-5 130-132U
125.67,2714.5,-1.25,4.16,1208 14-5 138-140U
125.69,2714.8,-1.11,4.31,1208-14-5 140-142U
125.86,2717.7,-1.42,4.19,1208 14-6 8-10 U
125.86,2717.7,-1.45,4.23,1208 14-6 8-10U
125.88,2718.1,-1.29,4.24,1208 14-6 10-12U
125.98,2719.8,-1.29,4.17,1208 14-6 20-22U
126,2720.1,-1.08,4.05,1208 14-6 22-24U
126.05,2721.1,-1.29,3.94,1208 14-6 28-30U
126.05,2721.1,-1.12,3.97,1208 14-6 28-30UR
126.07,2721.4,-1.14,3.96,1208 14-6 30-32 U
126.15,2722.7,-0.96,4.12,1208 14-6 38-40U
126.17,2723.1,-1.24,3.85,1208 14-6 40-42 U
126.19,2723.4,-1.14,3.98,1208 14-6 42-44U
126.26,2724.7,-0.94,3.62,1208 14-6 50-52 U
126.28,2725,-1.2,3.94,1208 14-6 52-54U
126.28,2725,-0.86,3.89,1208 14-6 52-54UR
126.34,2726,-1.07,4,1208 14-6 58-60U
126.34,2726,-0.81,3.78,1208 14-6 58-60UR
126.43,2727.6,-0.84,3.78,1208 14-6 68-70U
126.43,2727.6,-1.08,3.63,1208 14-6 68-70UR
126.45,2728,-0.93,3.57,1208 14-6 70-72 U
126.45,2728,-0.85,3.44,1208 14-6 70-72 U
126.45,2728,-0.98,3.56,1208 14-6 70-72 U R
126.52,2730.1,-0.99,3.44,1208 14-6 78-80UR
126.52,2730.1,-0.85,3.31,1208 14-6 78-80U
126.73,2736.1,-0.83,3.53,1208 14-6 100-102 U
126.95,2742.3,-0.67,3.41,1208 14-6 123-125U
126.95,2742.3,-0.79,3.34,1208 14-6 123-125 U
126.95,2742.3,-0.58,3.27,1208 14-6 123-125 U R
127.02,2744.1,-0.89,3.41,1208 14-6 130-132U
127.02,2744.1,-0.67,3.37,1208 14-6 130-132 U
127.11,2746.8,-0.99,3.5,1208 14-6 140-142U
127.11,2746.8,-0.75,3.37,1208 14-6 140-142 U
127.11,2746.8,-0.98,3.56,1208 14-6 140-142 U R
127.23,2750.3,-1.16,3.66,1208 14-7 3-5U
127.23,2750.3,-1.13,3.39,1208 14-7 3-5 U
127.23,2750.3,-0.85,3.19,1208 14-7 3-5 U R
127.3,2752.2,-1.13,3.67,1208 14-7 10-12U
127.3,2752.2,-0.93,3.51,1208 14-7 10-12U
127.3,2752.2,-0.72,3.85,1208 14-7 10-12UR
127.4,2755,-1.25,3.7,1208 14-7 20-22U
127.4,2755,-1.08,3.61,1208 14-7 20-22 U
127.4,2755,-1.15,3.53,1208 14-7 20-22 U R
127.58,2762.3,-1.11,3.83,1208 14-7 40-42U
127.58,2762.3,-0.96,3.71,1208 14-7 40-42 U
127.58,2762.3,-0.98,3.59,1208 14-7 40-42UR
127.68,2766.1,-0.8,3.64,1208 14-7 50-52U
127.68,2766.1,-0.74,3.29,1208 14-7 50-52 U
127.8,2771,-1.02,3.65,1208 14-7 63-65U
127.8,2771,-0.78,3.28,1208 14-7 63-65 U
127.87,2773.6,-0.65,3.55,1208 14-7 70-72U
127.87,2773.6,-0.51,3.33,1208 14-7 70-72 U
127.87,2773.6,-0.76,3.48,1208 14-7 70-72 U R
127.93,2776.2,-0.57,3.49,1208 14-CC 0-2U
127.93,2776.2,-0.65,3.29,1208 14-CC 0-2 U
128.03,2780,-0.52,3.42,1208 14-CC 10-12U
128.03,2780,-0.79,3.38,1208 14-CC 10-12U
128.12,2785.4,-0.81,3.35,1208 14-CC 20-22U
128.12,2785.4,-0.6,3.46,1208 14-CC 20-22U
128.23,2791.4,-0.78,3.42,1208 15-1 3-5 U
128.23,2791.4,-0.79,3.39,1208 15-1 3-5U
128.29,2795,-0.86,3.34,1208 15-1 10-12 U
128.29,2795,-1.09,3.39,1208 15-1 10-12U
128.41,2799.3,-1.05,3.95,1208 15-1 22-24 U
128.58,2805.4,-0.92,3.63,1208 15-1 40-42 U
128.8,2813.3,-0.95,3.39,1208 15-1 63-65 U
128.8,2813.3,-0.87,3.78,1208 15-1 63-65U
128.86,2815.7,-1.01,3.88,1208 15-1 70-72 U
128.96,2819.1,-0.78,3.78,1208 15-1 80-82 U
128.96,2819.1,-0.87,3.6,1208 15-1 80-82U
129.05,2822.5,-0.66,3.33,1208 15-1 90-92 U
129.36,2832.1,-0.81,3.22,1208 15-1 123-125 U
129.36,2832.1,-0.83,3.18,1208 15-1 123-125U
129.43,2834.1,-0.5,3.3,1208 15-1 130-132 U
129.43,2834.1,-0.49,3.33,1208 15-1 130-132U
129.52,2837,-0.71,3.42,1208 15-1 140-142U
129.71,2841.7,-0.74,3.54,1208 15-2 10-12
129.81,2843.5,-0.75,3.57,1208 15-2 20-22
129.81,2843.5,-0.88,3.59,1208 15-2 20-22
129.9,2845.2,-1.04,3.68,1208 15-2 30-32U
130.02,2847.5,-0.8,3.62,1208 15-2 43-45
130.09,2848.8,-1.11,3.78,1208 15-2 50-52
130.28,2852.3,-0.81,3.67,1208 15-2 70-72
130.37,2854,-0.89,3.74,1208 15-2 80-82
130.47,2855.8,-0.84,3.39,1208 15-2 90-92
130.56,2857.5,-0.77,3.39,1208 15-2 100-102
130.66,2860.1,-0.61,3.36,1208 15-2 110-112
130.78,2863.3,-0.59,3.45,1208 15-2 123-125
130.85,2865,-0.75,3.35,1208 15-2 130-132 U
