mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged
7399.5,1790.4,1.64,1.48,O. umbonatus,2.13,1.48
7414.5,1795,1.42,1.26,O. umbonatus,0.67,1.26
7429.5,1798.2,1.35,1.19,O. umbonatus,0.2,1.19
7444.5,1803.8,1.86,,C. wuellerstorfi,4.67,1.86
7459.5,1807.3,1.66,,C. wuellerstorfi,3.33,1.66
7473.5,1812.7,1.71,,C. wuellerstorfi,3.67,1.71
7473.5,1812.7,1.56,1.4,O. umbonatus,1.6,1.4
7488.5,1817,1.67,,C. wuellerstorfi,3.4,1.67
7519.5,1833,1.42,,C. wuellerstorfi,1.73,1.42
7534.5,1843.1,1.6,,C. wuellerstorfi,2.93,1.6
7549.5,1848.2,1.55,,C. wuellerstorfi,2.6,1.55
7549.5,1848.2,1.65,1.49,O. umbonatus,2.2,1.49
7564.5,1856.1,1.41,,C. wuellerstorfi,1.67,1.41
7564.5,1856.1,1.61,1.45,O. umbonatus,1.93,1.45
7579.5,1860.6,1.58,1.42,O. umbonatus,1.73,1.42
7594.5,1868.2,1.25,,C. wuellerstorfi,0.6,1.25
7594.5,1868.2,1.45,1.29,O. umbonatus,0.87,1.29
7608.5,1872.2,1.66,,C. wuellerstorfi,3.33,1.66
7624.5,1880.5,1.62,,C. wuellerstorfi,3.07,1.62
7624.5,1880.5,2.25,2.09,O. umbonatus,6.2,2.09
7639.5,1884.9,1.58,,C. wuellerstorfi,2.8,1.58
7639.5,1884.9,1.87,1.71,O. umbonatus,3.67,1.71
7653.5,1891.3,1.66,,C. wuellerstorfi,3.33,1.66
7653.5,1891.3,1.78,1.62,O. umbonatus,3.07,1.62
7670.5,1896.7,1.58,,C. wuellerstorfi,2.8,1.58
7684.5,1902.3,1.71,,C. wuellerstorfi,3.67,1.71
7699.5,1906,1.63,,C. wuellerstorfi,3.13,1.63
7714.5,1911.5,1.85,,C. wuellerstorfi,4.6,1.85
7729.5,1914.6,1.59,,C. wuellerstorfi,2.87,1.59
7789.5,1928.2,1.96,,C. wuellerstorfi,5.33,1.96
7804.5,1931.8,2.27,2.11,O. umbonatus,6.33,2.11
7834.5,1936.8,2.05,,C. wuellerstorfi,5.93,2.05
7864.5,1941.2,1.96,,C. wuellerstorfi,5.33,1.96
7894.5,1945.4,1.67,,C. wuellerstorfi,3.4,1.67
7894.5,1945.4,1.61,1.45,O. umbonatus,1.93,1.45
7909.5,1947,1.72,,C. wuellerstorfi,3.73,1.72
7909.5,1947,1.61,1.45,O. umbonatus,1.93,1.45
7924.5,1949.8,1.44,1.28,O. umbonatus,0.8,1.28
7939.5,1951.4,1.48,,C. wuellerstorfi,2.13,1.48
7939.5,1951.4,1.36,1.2,O. umbonatus,0.27,1.2
7954.5,1954.5,1.53,,C. wuellerstorfi,2.47,1.53
7954.5,1954.5,1.41,1.25,O. umbonatus,0.6,1.25
7969.5,1956.4,1.96,,C. wuellerstorfi,5.33,1.96
7969.5,1956.4,1.75,1.59,O. umbonatus,2.87,1.59
7984.5,1960,1.36,,C. wuellerstorfi,1.33,1.36
7984.5,1960,1.7,1.54,O. umbonatus,2.53,1.54
7999.5,1962.2,1.4,,C. wuellerstorfi,1.6,1.4
7999.5,1962.2,1.46,1.3,O. umbonatus,0.93,1.3
8014.5,1966,1.49,,C. wuellerstorfi,2.2,1.49
8014.5,1966,1.79,1.63,O. umbonatus,3.13,1.63
8029.5,1968.2,1.46,,C. wuellerstorfi,2,1.46
8029.5,1968.2,1.68,1.52,O. umbonatus,2.4,1.52
8044.5,1972.2,1.53,,C. wuellerstorfi,2.47,1.53
8044.5,1972.2,1.81,1.65,O. umbonatus,3.27,1.65
8059.5,1974.9,1.61,,C. wuellerstorfi,3,1.61
8059.5,1974.9,2.06,1.9,O. umbonatus,4.93,1.9
8074.5,1979.8,1.58,,C. wuellerstorfi,2.8,1.58
8104.5,1987,1.86,1.7,O. umbonatus,3.6,1.7
8119.5,1989.5,1.44,1.28,O. umbonatus,0.8,1.28
8134.5,1993.1,1.37,,C. wuellerstorfi,1.4,1.37
8134.5,1993.1,1.82,1.66,O. umbonatus,3.33,1.66
8149.5,1995.1,1.36,,C. wuellerstorfi,1.33,1.36
8179.7,2000.1,1.22,,C. wuellerstorfi,0.4,1.22
8263.5,2010,1.62,,C. wuellerstorfi,3.07,1.62
8293.5,2012.9,1.64,,C. wuellerstorfi,3.2,1.64
8309.5,2014.1,1.62,1.46,O. umbonatus,2,1.46
8338.5,2016.7,1.5,,C. wuellerstorfi,2.27,1.5
8338.5,2016.7,1.79,1.63,O. umbonatus,3.13,1.63
8354.5,2018.6,1.46,,C. wuellerstorfi,2,1.46
8368.5,2019.6,1.42,,C. wuellerstorfi,1.73,1.42
8383.5,2021.4,1.3,,C. wuellerstorfi,0.93,1.3
8398.5,2022.5,1.66,,C. wuellerstorfi,3.33,1.66
8413.5,2024.9,1.62,,C. wuellerstorfi,3.07,1.62
8428.5,2026.4,1.64,,C. wuellerstorfi,3.2,1.64
8441.5,2028.6,1.8,,C. wuellerstorfi,4.27,1.8
8488.5,2035,1.56,,C. wuellerstorfi,2.67,1.56
8503.5,2037.9,1.76,,C. wuellerstorfi,4,1.76
8518.5,2039.8,1.87,,C. wuellerstorfi,4.73,1.87
8548.5,2044.9,1.55,,C. wuellerstorfi,2.6,1.55
8563.5,2048.3,1.71,,C. wuellerstorfi,3.67,1.71
8578.5,2050.2,1.7,,C. wuellerstorfi,3.6,1.7
8668.5,2065.9,1.79,,C. wuellerstorfi,4.2,1.79
8668.5,2065.9,1.68,1.52,O. umbonatus,2.4,1.52
8683.5,2069.7,1.32,,C. wuellerstorfi,1.07,1.32
8683.5,2069.7,1.5,1.34,O. umbonatus,1.2,1.34
8698.5,2072,1.48,,C. wuellerstorfi,2.13,1.48
8698.5,2072,1.34,1.18,O. umbonatus,0.13,1.18
8713.5,2075.7,1.34,,C. wuellerstorfi,1.2,1.34
8713.5,2075.7,1.23,1.07,O. umbonatus,-0.6,1.07
8729.5,2078.2,1.34,,C. wuellerstorfi,1.2,1.34
8729.5,2078.2,1.36,1.2,O. umbonatus,0.27,1.2
8743.5,2081.7,1.42,1.26,O. umbonatus,0.67,1.26
8758.5,2084,1.53,,C. wuellerstorfi,2.47,1.53
8758.5,2084,1.86,1.7,O. umbonatus,3.6,1.7
8773.5,2087.6,1.53,,C. wuellerstorfi,2.47,1.53
8773.5,2087.6,1.71,1.55,O. umbonatus,2.6,1.55
8786.5,2089.3,1.59,,C. wuellerstorfi,2.87,1.59
8786.5,2089.3,1.61,1.45,O. umbonatus,1.93,1.45
8818.5,2095.6,1.54,,C. wuellerstorfi,2.53,1.54
8848.5,2101.7,1.55,,C. wuellerstorfi,2.6,1.55
8863.5,2105.5,1.43,,C. wuellerstorfi,1.8,1.43
8878.5,2107.9,1.67,,C. wuellerstorfi,3.4,1.67
8893.5,2111.7,1.4,,C. wuellerstorfi,1.6,1.4
8908.5,2114,1.64,,C. wuellerstorfi,3.2,1.64
8923.5,2118,1.61,1.45,O. umbonatus,1.93,1.45
8938.5,2120.4,1.63,,C. wuellerstorfi,3.13,1.63
8938.5,2120.4,1.66,1.5,O. umbonatus,2.27,1.5
8998.5,2135.8,1.48,,C. wuellerstorfi,2.13,1.48
9027.5,2143.4,1.55,,C. wuellerstorfi,2.6,1.55
9027.5,2143.4,1.84,1.68,O. umbonatus,3.47,1.68
9043.5,2148.7,1.53,1.37,O. umbonatus,1.4,1.37
9058.5,2151.5,1.45,1.29,O. umbonatus,0.87,1.29
9103.5,2161.8,1.51,1.35,O. umbonatus,1.27,1.35
9118.5,2164.3,1.44,,C. wuellerstorfi,1.87,1.44
9118.5,2164.3,1.45,1.29,O. umbonatus,0.87,1.29
9290.5,2210,1.52,,C. wuellerstorfi,2.4,1.52
9304.5,2214.4,1.5,,C. wuellerstorfi,2.27,1.5
9334.5,2220.9,1.41,,C. wuellerstorfi,1.67,1.41
9351,2223.5,1.58,,C. wuellerstorfi,2.8,1.58
9364.5,2226.3,1.61,,C. wuellerstorfi,3,1.61
9379,2228.1,1.56,,C. wuellerstorfi,2.67,1.56
9394.5,2231.4,1.68,,C. wuellerstorfi,3.47,1.68
9394.5,2231.4,1.93,1.77,O. umbonatus,4.07,1.77
9407.5,2233,1.81,,C. wuellerstorfi,4.33,1.81
9424.5,2237.3,1.46,,C. wuellerstorfi,2,1.46
9452.5,2242.2,1.36,,C. wuellerstorfi,1.33,1.36
9452.5,2242.2,1.38,1.22,O. umbonatus,0.4,1.22
9514.5,2254.1,1.73,,C. wuellerstorfi,3.8,1.73
9514.5,2254.1,1.94,1.78,O. umbonatus,4.13,1.78
9557.5,2261.1,1.61,,C. wuellerstorfi,3,1.61
9574.5,2266.1,1.54,,C. wuellerstorfi,2.53,1.54
9604.5,2273.2,1.61,,C. wuellerstorfi,3,1.61
9634.5,2279.9,1.67,1.51,O. umbonatus,2.33,1.51
9649.5,2282.5,1.5,1.34,O. umbonatus,1.2,1.34
9664.5,2286.9,1.3,,C. wuellerstorfi,0.93,1.3
9664.5,2286.9,1.48,1.32,O. umbonatus,1.07,1.32
9680,2289.7,1.43,1.27,O. umbonatus,0.73,1.27
9694.5,2293.8,1.59,,C. wuellerstorfi,2.87,1.59
9694.5,2293.8,1.78,1.62,O. umbonatus,3.07,1.62
9709.5,2296.3,1.77,1.61,O. umbonatus,3,1.61
9724.5,2300.5,1.67,,C. wuellerstorfi,3.4,1.67
9724.5,2300.5,1.88,1.72,O. umbonatus,3.73,1.72
9739.5,2303,1.78,1.62,O. umbonatus,3.07,1.62
9754.5,2307.3,1.65,,C. wuellerstorfi,3.27,1.65
9769.5,2309.8,1.64,,C. wuellerstorfi,3.2,1.64
9799.5,2316.5,1.55,1.39,O. umbonatus,1.53,1.39
9814.5,2320.8,1.48,,C. wuellerstorfi,2.13,1.48
9829.5,2323.3,1.82,1.66,O. umbonatus,3.33,1.66
9844.5,2327.9,1.36,,C. wuellerstorfi,1.33,1.36
9874.5,2334.8,1.48,1.32,O. umbonatus,1.07,1.32
9904.5,2341.2,1.74,,C. wuellerstorfi,3.87,1.74
9904.5,2341.2,1.87,1.71,O. umbonatus,3.67,1.71
9919,2343.3,1.75,1.59,O. umbonatus,2.87,1.59
9932.5,2346.5,1.56,,C. wuellerstorfi,2.67,1.56
9932.5,2346.5,1.8,1.64,O. umbonatus,3.2,1.64
9949.5,2349.4,1.85,1.69,O. umbonatus,3.53,1.69
9977.5,2354.6,1.53,,C. wuellerstorfi,2.47,1.53
9977.5,2354.6,1.48,1.32,O. umbonatus,1.07,1.32
9994.5,2359.1,1.58,1.42,O. umbonatus,1.73,1.42
10009.5,2361.3,1.48,1.32,O. umbonatus,1.07,1.32
10024.5,2365,1.41,1.25,O. umbonatus,0.6,1.25
10039,2367.1,1.61,1.45,O. umbonatus,1.93,1.45
10054.5,2371.1,1.56,,C. wuellerstorfi,2.67,1.56
10054.5,2371.1,1.77,1.61,O. umbonatus,3,1.61
10068.5,2373.3,1.82,1.66,O. umbonatus,3.33,1.66
10085.5,2376.4,1.6,,C. wuellerstorfi,2.93,1.6
10085.5,2376.4,1.76,1.6,O. umbonatus,2.93,1.6
10099.5,2380.2,1.43,,C. wuellerstorfi,1.8,1.43
10099.5,2380.2,1.87,1.71,O. umbonatus,3.67,1.71
10114,2384.2,1.76,1.6,O. umbonatus,2.93,1.6
10129.5,2386.7,1.53,,C. wuellerstorfi,2.47,1.53
10129.5,2386.7,1.88,1.72,O. umbonatus,3.73,1.72
10144.5,2390.4,1.42,,C. wuellerstorfi,1.73,1.42
10161,2392.8,1.68,1.52,O. umbonatus,2.4,1.52
10174.5,2395.7,1.52,,C. wuellerstorfi,2.4,1.52
10174.5,2395.7,1.75,1.59,O. umbonatus,2.87,1.59
10328.5,2423.2,1.47,,C. wuellerstorfi,2.07,1.47
10343.5,2427.1,1.48,,C. wuellerstorfi,2.13,1.48
10343.5,2427.1,2.08,1.92,O. umbonatus,5.07,1.92
10358.5,2429,1.4,1.24,O. umbonatus,0.53,1.24
10373.5,2432.3,1.49,1.33,O. umbonatus,1.13,1.33
10388.5,2434.2,1.69,1.53,O. umbonatus,2.47,1.53
10403.5,2437.8,1.55,1.39,O. umbonatus,1.53,1.39
10418.5,2440,1.35,1.19,O. umbonatus,0.2,1.19
10433.5,2443.6,1.41,1.25,O. umbonatus,0.6,1.25
10448.5,2445.7,1.56,1.4,O. umbonatus,1.6,1.4
10463.5,2449.2,1.35,1.19,O. umbonatus,0.2,1.19
10478.5,2451.3,1.47,1.31,O. umbonatus,1,1.31
10493.5,2455.5,1.73,,C. wuellerstorfi,3.8,1.73
10538.5,2465.7,1.54,,C. wuellerstorfi,2.53,1.54
10553.5,2470.6,1.62,,C. wuellerstorfi,3.07,1.62
10568.5,2473.5,1.85,,C. wuellerstorfi,4.6,1.85
10583.5,2477.9,1.35,,C. wuellerstorfi,1.27,1.35
10598.5,2480.3,1.36,,C. wuellerstorfi,1.33,1.36
10613.5,2483.9,2.01,1.85,O. umbonatus,4.6,1.85
10628.5,2486.1,1.44,1.28,O. umbonatus,0.8,1.28
10643.5,2489.6,1.46,,C. wuellerstorfi,2,1.46
10658.5,2491.8,1.62,1.46,O. umbonatus,2,1.46
10733.5,2509,1.92,,C. wuellerstorfi,5.07,1.92
10748.5,2512.2,1.45,1.29,O. umbonatus,0.87,1.29
10763.5,2517.1,1.51,1.35,O. umbonatus,1.27,1.35
10778.5,2519.8,1.2,,C. wuellerstorfi,0.27,1.2
10778.5,2519.8,1.48,1.32,O. umbonatus,1.07,1.32
10793.5,2523.6,1.5,1.34,O. umbonatus,1.2,1.34
10808.5,2525.9,1.52,1.36,O. umbonatus,1.33,1.36
10826.5,2529.2,1.52,1.36,O. umbonatus,1.33,1.36
10838.5,2532.8,1.51,1.35,O. umbonatus,1.27,1.35
10853.5,2538.6,1.57,,C. wuellerstorfi,2.73,1.57
10868.5,2542.1,1.71,,C. wuellerstorfi,3.67,1.71
10868.5,2542.1,1.96,1.8,O. umbonatus,4.27,1.8
10883.5,2548.3,1.7,,C. wuellerstorfi,3.6,1.7
10883.5,2548.3,1.95,1.79,O. umbonatus,4.2,1.79
10913.5,2557.3,1.53,,C. wuellerstorfi,2.47,1.53
10913.5,2557.3,1.94,1.78,O. umbonatus,4.13,1.78
10928.5,2560.3,1.34,,C. wuellerstorfi,1.2,1.34
10946.5,2564.2,1.61,,C. wuellerstorfi,3,1.61
10946.5,2564.2,1.76,1.6,O. umbonatus,2.93,1.6
10958.5,2567.1,1.71,,C. wuellerstorfi,3.67,1.71
11003.5,2576.7,1.68,,C. wuellerstorfi,3.47,1.68
11018.5,2578.9,1.43,,C. wuellerstorfi,1.8,1.43
11033.5,2582.6,1.89,1.73,O. umbonatus,3.8,1.73
11048.5,2584.8,1.54,,C. wuellerstorfi,2.53,1.54
11048.5,2584.8,1.82,1.66,O. umbonatus,3.33,1.66
11063.5,2588.3,1.8,,C. wuellerstorfi,4.27,1.8
11063.5,2588.3,1.98,1.82,O. umbonatus,4.4,1.82
11080.5,2591,1.51,,C. wuellerstorfi,2.33,1.51
11080.5,2591,1.88,1.72,O. umbonatus,3.73,1.72
11093.5,2593.6,1.62,,C. wuellerstorfi,3.07,1.62
11093.5,2593.6,2.07,1.91,O. umbonatus,5,1.91
11108.5,2595.5,1.59,,C. wuellerstorfi,2.87,1.59
11141.5,2602.1,1.5,,C. wuellerstorfi,2.27,1.5
11175.5,2608.4,1.51,1.35,O. umbonatus,1.27,1.35
11188.8,2611.8,2.08,1.92,O. umbonatus,5.07,1.92
11202.1,2616.2,1.39,,C. wuellerstorfi,1.53,1.39
11202.1,2616.2,1.67,1.51,O. umbonatus,2.33,1.51
11394,2667,1.59,1.43,O. umbonatus,1.8,1.43
11444.5,2680.8,1.42,,C. wuellerstorfi,1.73,1.42
11444.5,2680.8,1.57,1.41,O. umbonatus,1.67,1.41
11458.6,2683.5,1.46,,C. wuellerstorfi,2,1.46
11458.6,2683.5,1.65,1.49,O. umbonatus,2.2,1.49
11487.8,2688.9,1.56,,C. wuellerstorfi,2.67,1.56
11487.8,2688.9,1.79,1.63,O. umbonatus,3.13,1.63
11526.3,2695.4,1.43,,C. wuellerstorfi,1.8,1.43
11526.3,2695.4,1.66,1.5,O. umbonatus,2.27,1.5
11538.2,2697.9,1.54,1.38,O. umbonatus,1.47,1.38
11551.5,2701.2,1.41,1.25,O. umbonatus,0.6,1.25
11565.6,2703.3,1.38,1.22,O. umbonatus,0.4,1.22
11608.1,2712.8,1.54,1.38,O. umbonatus,1.47,1.38
11620.5,2715.9,1.48,1.32,O. umbonatus,1.07,1.32
11633.8,2719.1,1.51,1.35,O. umbonatus,1.27,1.35
11646.1,2720.9,1.67,1.51,O. umbonatus,2.33,1.51
11658.5,2724.2,1.92,1.76,O. umbonatus,4,1.76
11670,2728,2.09,1.93,O. umbonatus,5.13,1.93
11683.3,2732.7,2.2,2.04,O. umbonatus,5.87,2.04
11698.3,2736.1,2.2,2.04,O. umbonatus,5.87,2.04
11706.3,2738.1,1.96,1.8,O. umbonatus,4.27,1.8
11721.3,2745.2,1.97,1.81,O. umbonatus,4.33,1.81
11737.3,2750.5,2.09,1.93,O. umbonatus,5.13,1.93
11790.3,2771.3,1.94,1.78,O. umbonatus,4.13,1.78
11804.5,2775.2,1.66,,C. wuellerstorfi,3.33,1.66
11817.3,2776.9,2.03,1.87,O. umbonatus,4.73,1.87
11831,2780.3,1.53,,C. wuellerstorfi,2.47,1.53
11831,2780.3,1.84,1.68,O. umbonatus,3.47,1.68
11844.3,2783.7,1.53,,C. wuellerstorfi,2.47,1.53
11844.3,2783.7,1.59,1.43,O. umbonatus,1.8,1.43
11857.6,2785.8,1.66,,C. wuellerstorfi,3.33,1.66
11857.6,2785.8,1.52,1.36,O. umbonatus,1.33,1.36
11870.8,2789.4,1.44,,C. wuellerstorfi,1.87,1.44
11870.8,2789.4,1.64,1.48,O. umbonatus,2.13,1.48
11885,2793,1.74,1.58,O. umbonatus,2.8,1.58
11900,2795.5,1.81,,C. wuellerstorfi,4.33,1.81
11941.6,2804.2,1.74,,C. wuellerstorfi,3.87,1.74
11955.8,2806,1.73,,C. wuellerstorfi,3.8,1.73
12002.6,2818.3,2.26,2.1,O. umbonatus,6.27,2.1
12015.9,2820.4,1.57,,C. wuellerstorfi,2.73,1.57
12015.9,2820.4,1.97,1.81,O. umbonatus,4.33,1.81
12103.5,2847.3,1.49,,C. wuellerstorfi,2.2,1.49
12148.5,2859.5,1.58,,C. wuellerstorfi,2.8,1.58
12148.5,2859.5,1.66,1.5,O. umbonatus,2.27,1.5
12163.5,2864.8,1.69,,C. wuellerstorfi,3.53,1.69
12163.5,2864.8,1.58,1.42,O. umbonatus,1.73,1.42
12179,2867.7,1.44,,C. wuellerstorfi,1.87,1.44
12179,2867.7,1.7,1.54,O. umbonatus,2.53,1.54
12193.5,2871.7,1.96,,C. wuellerstorfi,5.33,1.96
12208.5,2874.2,1.91,1.75,O. umbonatus,3.93,1.75
12223.5,2878.3,1.55,,C. wuellerstorfi,2.6,1.55
12314,2895.9,1.57,,C. wuellerstorfi,2.73,1.57
12332,2898.8,1.61,,C. wuellerstorfi,3,1.61
12350,2901.9,2.19,2.03,O. umbonatus,5.8,2.03
12369.5,2905.8,1.91,1.75,O. umbonatus,3.93,1.75
12384,2910.4,1.85,,C. wuellerstorfi,4.6,1.85
12419,2918.9,1.6,,C. wuellerstorfi,2.93,1.6
12435,2922.4,1.61,,C. wuellerstorfi,3,1.61
12449,2926.9,1.58,,C. wuellerstorfi,2.8,1.58
12466,2931,1.85,1.69,O. umbonatus,3.53,1.69
12482,2935.7,1.65,,C. wuellerstorfi,3.27,1.65
12482,2935.7,1.74,1.58,O. umbonatus,2.8,1.58
12497,2938,1.82,,C. wuellerstorfi,4.4,1.82
12510,2941.1,1.59,,C. wuellerstorfi,2.87,1.59
12524,2944.5,1.98,,C. wuellerstorfi,5.47,1.98
12539,2946.8,1.86,,C. wuellerstorfi,4.67,1.86
12539,2946.8,2.07,1.91,O. umbonatus,5,1.91
12554,2950.3,2.15,,C. wuellerstorfi,6.6,2.15
12568,2952.2,2.14,,C. wuellerstorfi,6.53,2.14
12579,2954.3,2.06,,C. wuellerstorfi,6,2.06
12579,2954.3,2.03,1.87,O. umbonatus,4.73,1.87
12592,2957.4,1.87,,C. wuellerstorfi,4.73,1.87
12592,2957.4,2.14,1.98,O. umbonatus,5.47,1.98
12616,2961.9,2.28,2.12,O. umbonatus,6.4,2.12
12645,2969,1.9,,C. wuellerstorfi,4.93,1.9
12660,2973.8,1.81,,C. wuellerstorfi,4.33,1.81
12676,2976.6,1.69,,C. wuellerstorfi,3.53,1.69
12676,2976.6,2.25,2.09,O. umbonatus,6.2,2.09
12697,2981.3,1.81,1.65,O. umbonatus,3.27,1.65
12714,2986.3,1.94,,C. wuellerstorfi,5.2,1.94
12728,2988.6,2.02,1.86,O. umbonatus,4.67,1.86
12741.5,2992.3,2.05,1.89,O. umbonatus,4.87,1.89
12764,2997.8,1.8,,C. wuellerstorfi,4.27,1.8
12764,2997.8,1.74,1.58,O. umbonatus,2.8,1.58
12780,3000.8,1.95,1.79,O. umbonatus,4.2,1.79
12795,3005.6,1.79,,C. wuellerstorfi,4.2,1.79
12795,3005.6,2.2,2.04,O. umbonatus,5.87,2.04
12810,3009,1.9,,C. wuellerstorfi,4.93,1.9
12810,3009,1.75,1.59,O. umbonatus,2.87,1.59
12826,3013,1.88,,C. wuellerstorfi,4.8,1.88
12826,3013,1.53,1.37,O. umbonatus,1.4,1.37
12855,3023.5,1.56,,C. wuellerstorfi,2.67,1.56
12869,3026.3,1.58,,C. wuellerstorfi,2.8,1.58
12869,3026.3,1.93,1.77,O. umbonatus,4.07,1.77
12883,3030.9,1.81,,C. wuellerstorfi,4.33,1.81
12914,3038.9,1.72,,C. wuellerstorfi,3.73,1.72
12932,3043,1.86,,C. wuellerstorfi,4.67,1.86
12946,3045.5,1.57,,C. wuellerstorfi,2.73,1.57
12946,3045.5,1.85,1.69,O. umbonatus,3.53,1.69
12960,3049.8,1.59,,C. wuellerstorfi,2.87,1.59
12960,3049.8,1.94,1.78,O. umbonatus,4.13,1.78
12977,3053.2,1.93,,C. wuellerstorfi,5.13,1.93
12977,3053.2,1.67,1.51,O. umbonatus,2.33,1.51
12989,3056.1,2.01,,C. wuellerstorfi,5.67,2.01
13007,3059.6,1.71,,C. wuellerstorfi,3.67,1.71
13020,3063.1,1.69,,C. wuellerstorfi,3.53,1.69
13036,3065.8,1.9,,C. wuellerstorfi,4.93,1.9
13036,3065.8,1.94,1.78,O. umbonatus,4.13,1.78
13051,3070.4,1.91,,C. wuellerstorfi,5,1.91
13066,3073.3,1.91,1.75,O. umbonatus,3.93,1.75
13085,3080.3,1.87,,C. wuellerstorfi,4.73,1.87
13085,3080.3,2.15,1.99,O. umbonatus,5.53,1.99
13111,3086.1,2.13,1.97,O. umbonatus,5.4,1.97
13126,3088.8,1.93,,C. wuellerstorfi,5.13,1.93
13146,3093.4,1.84,,C. wuellerstorfi,4.53,1.84
13146,3093.4,1.98,1.82,O. umbonatus,4.4,1.82
13188,3106.4,2.08,,C. wuellerstorfi,6.13,2.08
13294,3146,1.81,,C. wuellerstorfi,4.33,1.81
13294,3146,1.74,1.58,O. umbonatus,2.8,1.58
13299,3146.6,1.86,,C. wuellerstorfi,4.67,1.86
13299,3146.6,2.35,2.19,O. umbonatus,6.87,2.19
13312,3149.9,2,,C. wuellerstorfi,5.6,2
13312,3149.9,2.33,2.17,O. umbonatus,6.73,2.17
13335,3153.4,2.26,2.1,O. umbonatus,6.27,2.1
13351,3155.8,1.86,,C. wuellerstorfi,4.67,1.86
13351,3155.8,1.92,1.76,O. umbonatus,4,1.76
