,age_ka,d18O,MgCa
0,1761.0,2.915,
1,1762.3333333333333,2.91,
2,1764.3333333333333,2.966666666666667,
3,1766.6666666666667,2.986666666666667,
4,1768.3333333333333,3.016666666666667,
5,1770.6666666666667,3.1133333333333333,
6,1772.3333333333333,3.01,
7,1774.6666666666667,2.8333333333333335,
8,1776.3333333333333,2.66,
9,1778.3333333333333,2.89,
10,1780.3333333333333,3.11,
11,1783.6666666666667,3.3033333333333332,
12,1787.0,3.31,
13,1790.6666666666667,3.453333333333333,
14,1794.0,3.4299999999999997,
15,1797.3333333333333,3.3966666666666665,
16,1800.0,3.1766666666666663,
17,1802.0,3.0233333333333334,
18,1804.0,2.92,
19,1806.0,2.9766666666666666,
20,1807.6666666666667,3.003333333333334,
21,1809.6666666666667,2.9233333333333333,
22,1811.6666666666667,2.823333333333333,
23,1814.0,2.823333333333333,
24,1816.0,2.9266666666666663,
25,1817.6666666666667,3.0066666666666664,
26,1819.3333333333333,3.046666666666667,
27,1820.6666666666667,3.04,
28,1822.3333333333333,2.965,
29,1823.6666666666667,3.045,
30,1825.0,3.02,
31,1826.3333333333333,3.0533333333333332,
32,1828.0,2.9266666666666663,
33,1830.0,2.93,
34,1832.0,2.9766666666666666,
35,1834.0,3.0866666666666664,
36,1836.0,3.0033333333333334,
37,1838.0,2.8966666666666665,
38,1840.0,2.6999999999999997,
39,1842.0,2.6966666666666668,
40,1843.6666666666667,2.7133333333333334,
41,1845.3333333333333,2.83,
42,1847.0,2.89,
43,1849.3333333333333,2.8699999999999997,
44,1851.6666666666667,2.9333333333333336,
45,1854.6666666666667,2.93,
46,1857.3333333333333,3.0700000000000003,
47,1860.6666666666667,3.1733333333333333,
48,1863.3333333333333,3.366666666666667,
49,1866.3333333333333,3.4633333333333334,
50,1869.3333333333333,3.3333333333333335,
51,1874.0,3.223333333333333,
52,1879.3333333333333,3.1999999999999997,
53,1884.6666666666667,3.266666666666667,
54,1890.6666666666667,3.33,
55,1895.3333333333333,3.35,
56,1899.3333333333333,3.3699999999999997,
57,1901.3333333333333,3.3899999999999997,
58,1903.3333333333333,3.2800000000000002,
59,1905.6666666666667,3.1950000000000003,
60,1907.6666666666667,3.1833333333333336,
61,1910.6666666666667,3.0533333333333332,
62,1915.3333333333333,3.0066666666666664,
63,1920.6666666666667,2.9166666666666665,
64,1926.0,2.8433333333333337,
65,1931.0,2.776666666666667,
66,1936.3333333333333,2.86,
67,1941.3333333333333,3.08,
68,1945.0,3.3433333333333333,
69,1948.0,3.3866666666666667,
70,1950.6666666666667,3.435,
71,1953.6666666666667,3.2649999999999997,
72,1956.3333333333333,3.3449999999999998,
73,1959.0,3.2399999999999998,
74,1961.3333333333333,3.1799999999999997,
75,1964.3333333333333,2.9899999999999998,
76,1967.3333333333333,2.9566666666666666,
77,1970.0,2.9233333333333333,
78,1972.3333333333333,2.89,
79,1975.0,2.876666666666667,
80,1978.0,2.7900000000000005,
81,1981.0,2.78,
82,1984.0,2.65,
83,1986.6666666666667,2.723333333333333,
84,1989.6666666666667,2.783333333333333,
85,1992.3333333333333,2.8966666666666665,
86,1995.3333333333333,2.9466666666666668,
87,1998.0,3.073333333333333,
88,2001.0,3.26,
89,2003.6666666666667,3.2733333333333334,
90,2006.3333333333333,3.2066666666666666,
91,2009.0,3.143333333333333,
92,2012.0,3.0866666666666664,
93,2015.0,2.9499999999999997,
94,2017.3333333333333,2.8200000000000003,
95,2019.3333333333333,2.795,
96,2021.0,2.93,
97,2022.6666666666667,2.93,
98,2024.3333333333333,2.875,
99,2026.0,2.875,
100,2027.6666666666667,2.813333333333333,
101,2029.3333333333333,2.7733333333333334,
102,2031.0,2.703333333333333,
103,2033.0,2.8000000000000003,
104,2034.6666666666667,2.8600000000000003,
105,2036.3333333333333,3.02,
106,2038.0,3.1500000000000004,
107,2040.0,3.18,
108,2041.6666666666667,3.2533333333333334,
109,2043.3333333333333,3.2466666666666666,
110,2044.6666666666667,3.106666666666667,
111,2046.6666666666667,2.9499999999999997,
112,2048.3333333333335,2.8533333333333335,
113,2050.0,2.9033333333333338,
114,2051.6666666666665,2.9066666666666667,
115,2053.3333333333335,2.9333333333333336,
116,2055.3333333333335,2.9766666666666666,
117,2056.6666666666665,3.0999999999999996,
118,2058.3333333333335,3.1533333333333338,
119,2060.0,3.2566666666666664,
120,2062.0,3.3866666666666667,
121,2063.6666666666665,3.3533333333333335,
122,2065.3333333333335,3.3533333333333335,
123,2067.0,3.22,
124,2069.0,3.276666666666667,
125,2071.0,3.31,
126,2073.0,3.4266666666666663,
127,2074.6666666666665,3.4466666666666668,
128,2076.3333333333335,3.3533333333333335,
129,2078.0,3.22,
130,2080.3333333333335,3.1933333333333334,
131,2083.3333333333335,3.203333333333333,
132,2086.6666666666665,3.17,
133,2090.0,3.133333333333333,
134,2093.0,3.073333333333333,
135,2096.3333333333335,3.01,
136,2099.6666666666665,3.02,
137,2102.3333333333335,3.063333333333334,
138,2104.6666666666665,3.1966666666666668,
139,2107.0,3.14,
140,2110.0,3.16,
141,2112.6666666666665,3.1799999999999997,
142,2115.3333333333335,3.22,
143,2117.3333333333335,3.15,
144,2119.6666666666665,3.1300000000000003,
145,2121.6666666666665,3.116666666666667,
146,2124.6666666666665,3.0033333333333334,
147,2127.3333333333335,2.763333333333333,
148,2130.3333333333335,2.5966666666666667,
149,2133.0,2.5500000000000003,
150,2136.0,2.6199999999999997,
151,2139.0,2.6433333333333335,
152,2142.3333333333335,2.9066666666666663,
153,2145.0,3.08,
154,2147.3333333333335,3.34,
