mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT
2259.5,606.1,1.54,1.38,O. umbonatus,1.47
2274.5,608,1.41,,C. wuellerstorfi,1.67
2274.5,608,1.67,1.51,O. umbonatus,2.33
2304.5,610.4,1.77,,C. wuellerstorfi,4.07
2320.5,611.5,1.55,,C. wuellerstorfi,2.60
2335.5,612.4,1.43,,C. wuellerstorfi,1.80
2350.5,614.1,1.52,,C. wuellerstorfi,2.40
2364.0,615.4,1.52,,C. wuellerstorfi,2.40
2380.0,616.4,1.30,,C. wuellerstorfi,0.93
2410.0,618.9,1.84,,C. wuellerstorfi,4.53
2423.0,620.4,1.63,,C. wuellerstorfi,3.13
2469.0,625.3,1.66,,C. wuellerstorfi,3.33
2483.0,627.5,1.32,,C. wuellerstorfi,1.07
2514.0,631.7,1.38,1.22,O. umbonatus,0.40
2529.0,633.4,1.46,1.30,O. umbonatus,0.93
2559.0,637.8,1.12,,C. wuellerstorfi,-0.27
2591.0,643.7,1.15,,C. wuellerstorfi,-0.07
2606.0,645.8,1.11,,C. wuellerstorfi,-0.33
2620.0,649,1.24,,C. wuellerstorfi,0.53
2620.0,649,1.42,1.26,O. umbonatus,0.67
2664.0,658.4,1.02,,C. wuellerstorfi,-0.93
2664.0,658.4,1.50,1.34,O. umbonatus,1.20
2679.0,661.1,1.09,,C. wuellerstorfi,-0.47
2711.0,670.7,1.32,1.16,O. umbonatus,0.00
2725.0,675.8,1.11,,C. wuellerstorfi,-0.33
2725.0,675.8,1.40,1.24,O. umbonatus,0.53
2754.0,682.8,1.22,,C. wuellerstorfi,0.40
2754.0,682.8,1.47,1.31,O. umbonatus,1.00
2769.0,685.1,1.25,,C. wuellerstorfi,0.60
2769.0,685.1,1.45,1.29,O. umbonatus,0.87
2784.0,688.9,1.33,,C. wuellerstorfi,1.13
2799.0,691.2,1.53,,C. wuellerstorfi,2.47
2814.0,695,1.56,,C. wuellerstorfi,2.67
2829.0,697.4,1.69,,C. wuellerstorfi,3.53
2858.0,703.2,1.43,,C. wuellerstorfi,1.80
2873.0,707.9,1.71,,C. wuellerstorfi,3.67
2888.0,710.7,1.16,,C. wuellerstorfi,0.00
2904.0,715.7,1.17,,C. wuellerstorfi,0.07
2904.0,715.7,1.32,1.16,O. umbonatus,0.00
2920.0,718.6,1.22,,C. wuellerstorfi,0.40
2949.0,724.3,1.27,,C. wuellerstorfi,0.73
2964.5,728.6,1.44,,C. wuellerstorfi,1.87
2980.0,731.2,1.50,,C. wuellerstorfi,2.27
2995.0,735.3,1.50,,C. wuellerstorfi,2.27
3010.0,737.8,1.39,,C. wuellerstorfi,1.53
3025.0,741.8,1.44,,C. wuellerstorfi,1.87
3056.0,746.2,1.10,,C. wuellerstorfi,-0.40
3056.0,746.2,1.24,1.08,O. umbonatus,-0.53
3085.0,754.4,1.15,,C. wuellerstorfi,-0.07
3085.0,754.4,1.35,1.19,O. umbonatus,0.20
3099.0,757.2,1.22,,C. wuellerstorfi,0.40
3114.0,763.2,1.19,,C. wuellerstorfi,0.20
3258.8,802.1,1.43,1.27,O. umbonatus,0.73
3273.8,806.4,1.17,,C. wuellerstorfi,0.07
3303.9,813.5,1.21,,C. wuellerstorfi,0.33
3333.9,822.8,1.30,,C. wuellerstorfi,0.93
3348.9,826.8,1.29,,C. wuellerstorfi,0.87
3363.9,834.5,1.49,,C. wuellerstorfi,2.20
3393.9,846.6,1.54,1.38,O. umbonatus,1.47
3408.9,850.8,1.26,,C. wuellerstorfi,0.67
3444.9,864.1,1.43,1.27,O. umbonatus,0.73
3469.9,869.2,1.65,,C. wuellerstorfi,3.27
3484.9,874.1,1.25,,C. wuellerstorfi,0.60
3514.9,881.9,1.26,,C. wuellerstorfi,0.67
3544.0,889.2,1.06,,C. wuellerstorfi,-0.67
3604.0,903.1,1.64,,C. wuellerstorfi,3.20
3634.0,908.6,1.35,,C. wuellerstorfi,1.27
3634.0,908.6,1.53,1.37,O. umbonatus,1.40
3664.0,913.8,1.45,,C. wuellerstorfi,1.93
3679.0,915.9,1.24,,C. wuellerstorfi,0.53
3724.0,925.4,1.09,,C. wuellerstorfi,-0.47
3739.0,927.8,1.07,,C. wuellerstorfi,-0.60
3755.0,931,1.14,,C. wuellerstorfi,-0.13
3755.0,931,1.34,1.18,O. umbonatus,0.13
3770.0,935.8,1.29,,C. wuellerstorfi,0.87
3785.1,938.3,1.14,,C. wuellerstorfi,-0.13
3785.1,938.3,1.40,1.24,O. umbonatus,0.53
3800.1,942.2,1.62,1.46,O. umbonatus,2.00
3815.1,944.5,1.44,,C. wuellerstorfi,1.87
