mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT
8014.5,1966,1.79,1.63,O. umbonatus,3.13
8029.5,1968.2,1.46,,C. wuellerstorfi,2.00
8029.5,1968.2,1.68,1.52,O. umbonatus,2.40
8044.5,1972.2,1.53,,C. wuellerstorfi,2.47
8044.5,1972.2,1.81,1.65,O. umbonatus,3.27
8059.5,1974.9,1.61,,C. wuellerstorfi,3.00
8059.5,1974.9,2.06,1.90,O. umbonatus,4.93
8074.5,1979.8,1.58,,C. wuellerstorfi,2.80
8104.5,1987,1.86,1.70,O. umbonatus,3.60
8119.5,1989.5,1.44,1.28,O. umbonatus,0.80
8134.5,1993.1,1.37,,C. wuellerstorfi,1.40
8134.5,1993.1,1.82,1.66,O. umbonatus,3.33
8149.5,1995.1,1.36,,C. wuellerstorfi,1.33
8179.7,2000.1,1.22,,C. wuellerstorfi,0.40
8263.5,2010,1.62,,C. wuellerstorfi,3.07
8293.5,2012.9,1.64,,C. wuellerstorfi,3.20
8309.5,2014.1,1.62,1.46,O. umbonatus,2.00
8338.5,2016.7,1.50,,C. wuellerstorfi,2.27
8338.5,2016.7,1.79,1.63,O. umbonatus,3.13
8354.5,2018.6,1.46,,C. wuellerstorfi,2.00
8368.5,2019.6,1.42,,C. wuellerstorfi,1.73
8383.5,2021.4,1.30,,C. wuellerstorfi,0.93
8398.5,2022.5,1.66,,C. wuellerstorfi,3.33
8413.5,2024.9,1.62,,C. wuellerstorfi,3.07
8428.5,2026.4,1.64,,C. wuellerstorfi,3.20
8441.5,2028.6,1.80,,C. wuellerstorfi,4.27
8488.5,2035,1.56,,C. wuellerstorfi,2.67
8503.5,2037.9,1.76,,C. wuellerstorfi,4.00
8518.5,2039.8,1.87,,C. wuellerstorfi,4.73
8548.5,2044.9,1.55,,C. wuellerstorfi,2.60
8563.5,2048.3,1.71,,C. wuellerstorfi,3.67
8578.5,2050.2,1.70,,C. wuellerstorfi,3.60
8668.5,2065.9,1.79,,C. wuellerstorfi,4.20
8668.5,2065.9,1.68,1.52,O. umbonatus,2.40
8683.5,2069.7,1.32,,C. wuellerstorfi,1.07
8683.5,2069.7,1.50,1.34,O. umbonatus,1.20
8698.5,2072,1.48,,C. wuellerstorfi,2.13
8698.5,2072,1.34,1.18,O. umbonatus,0.13
8713.5,2075.7,1.34,,C. wuellerstorfi,1.20
8713.5,2075.7,1.23,1.07,O. umbonatus,-0.60
8729.5,2078.2,1.34,,C. wuellerstorfi,1.20
8729.5,2078.2,1.36,1.20,O. umbonatus,0.27
8743.5,2081.7,1.42,1.26,O. umbonatus,0.67
8758.5,2084,1.53,,C. wuellerstorfi,2.47
8758.5,2084,1.86,1.70,O. umbonatus,3.60
8773.5,2087.6,1.53,,C. wuellerstorfi,2.47
8773.5,2087.6,1.71,1.55,O. umbonatus,2.60
8786.5,2089.3,1.59,,C. wuellerstorfi,2.87
8786.5,2089.3,1.61,1.45,O. umbonatus,1.93
8818.5,2095.6,1.54,,C. wuellerstorfi,2.53
8848.5,2101.7,1.55,,C. wuellerstorfi,2.60
8863.5,2105.5,1.43,,C. wuellerstorfi,1.80
8878.5,2107.9,1.67,,C. wuellerstorfi,3.40
8893.5,2111.7,1.40,,C. wuellerstorfi,1.60
8908.5,2114,1.64,,C. wuellerstorfi,3.20
8923.5,2118,1.61,1.45,O. umbonatus,1.93
8938.5,2120.4,1.63,,C. wuellerstorfi,3.13
8938.5,2120.4,1.66,1.50,O. umbonatus,2.27
8998.5,2135.8,1.48,,C. wuellerstorfi,2.13
9027.5,2143.4,1.55,,C. wuellerstorfi,2.60
9027.5,2143.4,1.84,1.68,O. umbonatus,3.47
9043.5,2148.7,1.53,1.37,O. umbonatus,1.40
9058.5,2151.5,1.45,1.29,O. umbonatus,0.87
9103.5,2161.8,1.51,1.35,O. umbonatus,1.27
9118.5,2164.3,1.44,,C. wuellerstorfi,1.87
9118.5,2164.3,1.45,1.29,O. umbonatus,0.87
9290.5,2210,1.52,,C. wuellerstorfi,2.40
9304.5,2214.4,1.50,,C. wuellerstorfi,2.27
9334.5,2220.9,1.41,,C. wuellerstorfi,1.67
9351.0,2223.5,1.58,,C. wuellerstorfi,2.80
9364.5,2226.3,1.61,,C. wuellerstorfi,3.00
9379.0,2228.1,1.56,,C. wuellerstorfi,2.67
9394.5,2231.4,1.68,,C. wuellerstorfi,3.47
9394.5,2231.4,1.93,1.77,O. umbonatus,4.07
9407.5,2233,1.81,,C. wuellerstorfi,4.33
9424.5,2237.3,1.46,,C. wuellerstorfi,2.00
9452.5,2242.2,1.36,,C. wuellerstorfi,1.33
9452.5,2242.2,1.38,1.22,O. umbonatus,0.40
9514.5,2254.1,1.73,,C. wuellerstorfi,3.80
9514.5,2254.1,1.94,1.78,O. umbonatus,4.13
9557.5,2261.1,1.61,,C. wuellerstorfi,3.00
9574.5,2266.1,1.54,,C. wuellerstorfi,2.53
9604.5,2273.2,1.61,,C. wuellerstorfi,3.00
9634.5,2279.9,1.67,1.51,O. umbonatus,2.33
9649.5,2282.5,1.50,1.34,O. umbonatus,1.20
9664.5,2286.9,1.30,,C. wuellerstorfi,0.93
9664.5,2286.9,1.48,1.32,O. umbonatus,1.07
9680.0,2289.7,1.43,1.27,O. umbonatus,0.73
9694.5,2293.8,1.59,,C. wuellerstorfi,2.87
9694.5,2293.8,1.78,1.62,O. umbonatus,3.07
9709.5,2296.3,1.77,1.61,O. umbonatus,3.00
9724.5,2300.5,1.67,,C. wuellerstorfi,3.40
9724.5,2300.5,1.88,1.72,O. umbonatus,3.73
9739.5,2303,1.78,1.62,O. umbonatus,3.07
9754.5,2307.3,1.65,,C. wuellerstorfi,3.27
9769.5,2309.8,1.64,,C. wuellerstorfi,3.20
9799.5,2316.5,1.55,1.39,O. umbonatus,1.53
9814.5,2320.8,1.48,,C. wuellerstorfi,2.13
9829.5,2323.3,1.82,1.66,O. umbonatus,3.33
9844.5,2327.9,1.36,,C. wuellerstorfi,1.33
9874.5,2334.8,1.48,1.32,O. umbonatus,1.07
9904.5,2341.2,1.74,,C. wuellerstorfi,3.87
9904.5,2341.2,1.87,1.71,O. umbonatus,3.67
9919.0,2343.3,1.75,1.59,O. umbonatus,2.87
9932.5,2346.5,1.56,,C. wuellerstorfi,2.67
9932.5,2346.5,1.80,1.64,O. umbonatus,3.20
9949.5,2349.4,1.85,1.69,O. umbonatus,3.53
9977.5,2354.6,1.53,,C. wuellerstorfi,2.47
9977.5,2354.6,1.48,1.32,O. umbonatus,1.07
9994.5,2359.1,1.58,1.42,O. umbonatus,1.73
10009.5,2361.3,1.48,1.32,O. umbonatus,1.07
10024.5,2365,1.41,1.25,O. umbonatus,0.60
10039.0,2367.1,1.61,1.45,O. umbonatus,1.93
10054.5,2371.1,1.56,,C. wuellerstorfi,2.67
10054.5,2371.1,1.77,1.61,O. umbonatus,3.00
10068.5,2373.3,1.82,1.66,O. umbonatus,3.33
10085.5,2376.4,1.60,,C. wuellerstorfi,2.93
10085.5,2376.4,1.76,1.60,O. umbonatus,2.93
10099.5,2380.2,1.43,,C. wuellerstorfi,1.80
10099.5,2380.2,1.87,1.71,O. umbonatus,3.67
10114.0,2384.2,1.76,1.60,O. umbonatus,2.93
10129.5,2386.7,1.53,,C. wuellerstorfi,2.47
10129.5,2386.7,1.88,1.72,O. umbonatus,3.73
10144.5,2390.4,1.42,,C. wuellerstorfi,1.73
10161.0,2392.8,1.68,1.52,O. umbonatus,2.40
10174.5,2395.7,1.52,,C. wuellerstorfi,2.40
10174.5,2395.7,1.75,1.59,O. umbonatus,2.87
10328.5,2423.2,1.47,,C. wuellerstorfi,2.07
10343.5,2427.1,1.48,,C. wuellerstorfi,2.13
10343.5,2427.1,2.08,1.92,O. umbonatus,5.07
10358.5,2429,1.40,1.24,O. umbonatus,0.53
10373.5,2432.3,1.49,1.33,O. umbonatus,1.13
10388.5,2434.2,1.69,1.53,O. umbonatus,2.47
10403.5,2437.8,1.55,1.39,O. umbonatus,1.53
10418.5,2440,1.35,1.19,O. umbonatus,0.20
10433.5,2443.6,1.41,1.25,O. umbonatus,0.60
10448.5,2445.7,1.56,1.40,O. umbonatus,1.60
10463.5,2449.2,1.35,1.19,O. umbonatus,0.20
10478.5,2451.3,1.47,1.31,O. umbonatus,1.00
10493.5,2455.5,1.73,,C. wuellerstorfi,3.80
10538.5,2465.7,1.54,,C. wuellerstorfi,2.53
10553.5,2470.6,1.62,,C. wuellerstorfi,3.07
10568.5,2473.5,1.85,,C. wuellerstorfi,4.60
10583.5,2477.9,1.35,,C. wuellerstorfi,1.27
10598.5,2480.3,1.36,,C. wuellerstorfi,1.33
10613.5,2483.9,2.01,1.85,O. umbonatus,4.60
10628.5,2486.1,1.44,1.28,O. umbonatus,0.80
10643.5,2489.6,1.46,,C. wuellerstorfi,2.00
10658.5,2491.8,1.62,1.46,O. umbonatus,2.00
10733.5,2509,1.92,,C. wuellerstorfi,5.07
10748.5,2512.2,1.45,1.29,O. umbonatus,0.87
10763.5,2517.1,1.51,1.35,O. umbonatus,1.27
10778.5,2519.8,1.20,,C. wuellerstorfi,0.27
10778.5,2519.8,1.48,1.32,O. umbonatus,1.07
10793.5,2523.6,1.50,1.34,O. umbonatus,1.20
10808.5,2525.9,1.52,1.36,O. umbonatus,1.33
10826.5,2529.2,1.52,1.36,O. umbonatus,1.33
10838.5,2532.8,1.51,1.35,O. umbonatus,1.27
10853.5,2538.6,1.57,,C. wuellerstorfi,2.73
10868.5,2542.1,1.71,,C. wuellerstorfi,3.67
10868.5,2542.1,1.96,1.80,O. umbonatus,4.27
10883.5,2548.3,1.70,,C. wuellerstorfi,3.60
10883.5,2548.3,1.95,1.79,O. umbonatus,4.20
10913.5,2557.3,1.53,,C. wuellerstorfi,2.47
10913.5,2557.3,1.94,1.78,O. umbonatus,4.13
10928.5,2560.3,1.34,,C. wuellerstorfi,1.20
10946.5,2564.2,1.61,,C. wuellerstorfi,3.00
10946.5,2564.2,1.76,1.60,O. umbonatus,2.93
10958.5,2567.1,1.71,,C. wuellerstorfi,3.67
11003.5,2576.7,1.68,,C. wuellerstorfi,3.47
11018.5,2578.9,1.43,,C. wuellerstorfi,1.80
11033.5,2582.6,1.89,1.73,O. umbonatus,3.80
11048.5,2584.8,1.54,,C. wuellerstorfi,2.53
11048.5,2584.8,1.82,1.66,O. umbonatus,3.33
11063.5,2588.3,1.80,,C. wuellerstorfi,4.27
11063.5,2588.3,1.98,1.82,O. umbonatus,4.40
11080.5,2591,1.51,,C. wuellerstorfi,2.33
11080.5,2591,1.88,1.72,O. umbonatus,3.73
11093.5,2593.6,1.62,,C. wuellerstorfi,3.07
11093.5,2593.6,2.07,1.91,O. umbonatus,5.00
11108.5,2595.5,1.59,,C. wuellerstorfi,2.87
11141.5,2602.1,1.50,,C. wuellerstorfi,2.27
11175.5,2608.4,1.51,1.35,O. umbonatus,1.27
11188.8,2611.8,2.08,1.92,O. umbonatus,5.07
11202.1,2616.2,1.39,,C. wuellerstorfi,1.53
11202.1,2616.2,1.67,1.51,O. umbonatus,2.33
11394.0,2667,1.59,1.43,O. umbonatus,1.80
11444.5,2680.8,1.42,,C. wuellerstorfi,1.73
11444.5,2680.8,1.57,1.41,O. umbonatus,1.67
11458.6,2683.5,1.46,,C. wuellerstorfi,2.00
11458.6,2683.5,1.65,1.49,O. umbonatus,2.20
11487.8,2688.9,1.56,,C. wuellerstorfi,2.67
11487.8,2688.9,1.79,1.63,O. umbonatus,3.13
11526.3,2695.4,1.43,,C. wuellerstorfi,1.80
11526.3,2695.4,1.66,1.50,O. umbonatus,2.27
11538.2,2697.9,1.54,1.38,O. umbonatus,1.47
11551.5,2701.2,1.41,1.25,O. umbonatus,0.60
11565.6,2703.3,1.38,1.22,O. umbonatus,0.40
11608.1,2712.8,1.54,1.38,O. umbonatus,1.47
11620.5,2715.9,1.48,1.32,O. umbonatus,1.07
11633.8,2719.1,1.51,1.35,O. umbonatus,1.27
11646.1,2720.9,1.67,1.51,O. umbonatus,2.33
11658.5,2724.2,1.92,1.76,O. umbonatus,4.00
11670.0,2728,2.09,1.93,O. umbonatus,5.13
11683.3,2732.7,2.20,2.04,O. umbonatus,5.87
11698.3,2736.1,2.20,2.04,O. umbonatus,5.87
11706.3,2738.1,1.96,1.80,O. umbonatus,4.27
11721.3,2745.2,1.97,1.81,O. umbonatus,4.33
11737.3,2750.5,2.09,1.93,O. umbonatus,5.13
11790.3,2771.3,1.94,1.78,O. umbonatus,4.13
11804.5,2775.2,1.66,,C. wuellerstorfi,3.33
11817.3,2776.9,2.03,1.87,O. umbonatus,4.73
11831.0,2780.3,1.53,,C. wuellerstorfi,2.47
11831.0,2780.3,1.84,1.68,O. umbonatus,3.47
11844.3,2783.7,1.53,,C. wuellerstorfi,2.47
11844.3,2783.7,1.59,1.43,O. umbonatus,1.80
11857.6,2785.8,1.66,,C. wuellerstorfi,3.33
11857.6,2785.8,1.52,1.36,O. umbonatus,1.33
11870.8,2789.4,1.44,,C. wuellerstorfi,1.87
11870.8,2789.4,1.64,1.48,O. umbonatus,2.13
11885.0,2793,1.74,1.58,O. umbonatus,2.80
11900.0,2795.5,1.81,,C. wuellerstorfi,4.33
11941.6,2804.2,1.74,,C. wuellerstorfi,3.87
11955.8,2806,1.73,,C. wuellerstorfi,3.80
12002.6,2818.3,2.26,2.10,O. umbonatus,6.27
12015.9,2820.4,1.57,,C. wuellerstorfi,2.73
12015.9,2820.4,1.97,1.81,O. umbonatus,4.33
12103.5,2847.3,1.49,,C. wuellerstorfi,2.20
12148.5,2859.5,1.58,,C. wuellerstorfi,2.80
12148.5,2859.5,1.66,1.50,O. umbonatus,2.27
12163.5,2864.8,1.69,,C. wuellerstorfi,3.53
12163.5,2864.8,1.58,1.42,O. umbonatus,1.73
12179.0,2867.7,1.44,,C. wuellerstorfi,1.87
12179.0,2867.7,1.70,1.54,O. umbonatus,2.53
12193.5,2871.7,1.96,,C. wuellerstorfi,5.33
12208.5,2874.2,1.91,1.75,O. umbonatus,3.93
12223.5,2878.3,1.55,,C. wuellerstorfi,2.60
12314.0,2895.9,1.57,,C. wuellerstorfi,2.73
12332.0,2898.8,1.61,,C. wuellerstorfi,3.00
12350.0,2901.9,2.19,2.03,O. umbonatus,5.80
12369.5,2905.8,1.91,1.75,O. umbonatus,3.93
12384.0,2910.4,1.85,,C. wuellerstorfi,4.60
12419.0,2918.9,1.60,,C. wuellerstorfi,2.93
12435.0,2922.4,1.61,,C. wuellerstorfi,3.00
12449.0,2926.9,1.58,,C. wuellerstorfi,2.80
12466.0,2931,1.85,1.69,O. umbonatus,3.53
12482.0,2935.7,1.65,,C. wuellerstorfi,3.27
12482.0,2935.7,1.74,1.58,O. umbonatus,2.80
12497.0,2938,1.82,,C. wuellerstorfi,4.40
12510.0,2941.1,1.59,,C. wuellerstorfi,2.87
12524.0,2944.5,1.98,,C. wuellerstorfi,5.47
12539.0,2946.8,1.86,,C. wuellerstorfi,4.67
12539.0,2946.8,2.07,1.91,O. umbonatus,5.00
12554.0,2950.3,2.15,,C. wuellerstorfi,6.60
12568.0,2952.2,2.14,,C. wuellerstorfi,6.53
12579.0,2954.3,2.06,,C. wuellerstorfi,6.00
12579.0,2954.3,2.03,1.87,O. umbonatus,4.73
12592.0,2957.4,1.87,,C. wuellerstorfi,4.73
12592.0,2957.4,2.14,1.98,O. umbonatus,5.47
12616.0,2961.9,2.28,2.12,O. umbonatus,6.40
12645.0,2969,1.90,,C. wuellerstorfi,4.93
12660.0,2973.8,1.81,,C. wuellerstorfi,4.33
12676.0,2976.6,1.69,,C. wuellerstorfi,3.53
12676.0,2976.6,2.25,2.09,O. umbonatus,6.20
12697.0,2981.3,1.81,1.65,O. umbonatus,3.27
12714.0,2986.3,1.94,,C. wuellerstorfi,5.20
12728.0,2988.6,2.02,1.86,O. umbonatus,4.67
12741.5,2992.3,2.05,1.89,O. umbonatus,4.87
12764.0,2997.8,1.80,,C. wuellerstorfi,4.27
12764.0,2997.8,1.74,1.58,O. umbonatus,2.80
12780.0,3000.8,1.95,1.79,O. umbonatus,4.20
12795.0,3005.6,1.79,,C. wuellerstorfi,4.20
12795.0,3005.6,2.20,2.04,O. umbonatus,5.87
12810.0,3009,1.90,,C. wuellerstorfi,4.93
12810.0,3009,1.75,1.59,O. umbonatus,2.87
12826.0,3013,1.88,,C. wuellerstorfi,4.80
12826.0,3013,1.53,1.37,O. umbonatus,1.40
12855.0,3023.5,1.56,,C. wuellerstorfi,2.67
12869.0,3026.3,1.58,,C. wuellerstorfi,2.80
12869.0,3026.3,1.93,1.77,O. umbonatus,4.07
12883.0,3030.9,1.81,,C. wuellerstorfi,4.33
12914.0,3038.9,1.72,,C. wuellerstorfi,3.73
12932.0,3043,1.86,,C. wuellerstorfi,4.67
12946.0,3045.5,1.57,,C. wuellerstorfi,2.73
12946.0,3045.5,1.85,1.69,O. umbonatus,3.53
12960.0,3049.8,1.59,,C. wuellerstorfi,2.87
12960.0,3049.8,1.94,1.78,O. umbonatus,4.13
12977.0,3053.2,1.93,,C. wuellerstorfi,5.13
12977.0,3053.2,1.67,1.51,O. umbonatus,2.33
12989.0,3056.1,2.01,,C. wuellerstorfi,5.67
13007.0,3059.6,1.71,,C. wuellerstorfi,3.67
13020.0,3063.1,1.69,,C. wuellerstorfi,3.53
13036.0,3065.8,1.90,,C. wuellerstorfi,4.93
13036.0,3065.8,1.94,1.78,O. umbonatus,4.13
13051.0,3070.4,1.91,,C. wuellerstorfi,5.00
13066.0,3073.3,1.91,1.75,O. umbonatus,3.93
13085.0,3080.3,1.87,,C. wuellerstorfi,4.73
13085.0,3080.3,2.15,1.99,O. umbonatus,5.53
13111.0,3086.1,2.13,1.97,O. umbonatus,5.40
13126.0,3088.8,1.93,,C. wuellerstorfi,5.13
13146.0,3093.4,1.84,,C. wuellerstorfi,4.53
13146.0,3093.4,1.98,1.82,O. umbonatus,4.40
13188.0,3106.4,2.08,,C. wuellerstorfi,6.13
13294.0,3146,1.81,,C. wuellerstorfi,4.33
13294.0,3146,1.74,1.58,O. umbonatus,2.80
13299.0,3146.6,1.86,,C. wuellerstorfi,4.67
13299.0,3146.6,2.35,2.19,O. umbonatus,6.87
13312.0,3149.9,2.00,,C. wuellerstorfi,5.60
13312.0,3149.9,2.33,2.17,O. umbonatus,6.73
13335.0,3153.4,2.26,2.10,O. umbonatus,6.27
13351.0,3155.8,1.86,,C. wuellerstorfi,4.67
13351.0,3155.8,1.92,1.76,O. umbonatus,4.00
