age_ka,site,hole,core,section,top,bottom,e_Nd,FeCa,MnCa,MgCa,BWT,BWT_U1313,del_BWT,NCW
2481.03,849,C,7,1,128,130,,0.08,1.03,1.22,2.32,4.83,2.51,96.52
2481.93,849,C,7,1,131,133,,0.03,0.88,1.18,2,4.51,2.51,96.39
2482.82,849,C,7,1,133,135,,0.05,0.86,1.24,2.42,4.9,2.48,95.57
2484.15,849,C,7,1,136,138,,0.05,0.96,1.12,1.58,5.19,3.61,100
2485.04,849,C,7,1,138,140,,0.05,0.87,1.26,2.56,5.34,2.78,100
2487.22,849,C,7,1,143,145,,0.06,1.01,1.26,2.55,5.58,3.03,100
2488.51,849,C,7,1,146,148,,0.07,1.01,1.35,3.21,4.94,1.73,66.54
2489.79,849,C,7,1,148,150,,0.08,0.93,1.33,3.08,6.14,3.06,100
2491.05,849,C,7,2,1,3,,0.05,0.93,1.12,1.54,7.19,5.66,100
2491.88,849,C,7,2,3,5,,0.11,0.9,1.26,2.57,7.64,5.07,100
2492.71,849,C,7,2,5,7,,0.07,0.97,1.59,4.63,7.51,2.88,100
2493.11,849,C,7,2,7,9,,0.06,1.02,1.62,4.8,7.07,2.27,87.33
2494.33,849,C,7,2,9,11,,0.05,1.15,1.26,2.6,6.09,3.49,100
2495.13,849,C,7,2,11,13,,0.09,1.06,1.24,2.48,6.08,3.59,100
2495.93,849,C,7,2,13,15,,0.08,1.03,1.12,1.58,6.3,4.72,100
2496.72,849,C,7,2,15,17,,0.12,1.06,1.31,2.94,6.9,3.96,100
2499.48,849,D,7,1,23,25,,0.07,1.58,1.4,3.52,8.19,4.67,100
2501.05,849,D,7,1,28,30,,0.04,1.13,1.41,3.61,8.31,4.7,100
2501.84,849,D,7,1,31,33,,0.06,0.92,1.24,2.44,8.2,5.76,100
2503.42,849,D,7,1,33,35,,0.07,0.94,1.1,1.43,6.01,4.58,100
2504.22,849,D,7,1,36,38,,0.14,0.88,1.39,3.49,8.02,4.53,100
2505.02,849,D,7,1,38,39,,0.02,0.88,1.23,2.39,6.8,4.41,100
2505.83,849,D,7,1,40,42,,,,1.62,4.82,8.69,3.87,100
2507.06,849,D,7,1,42,44,,0.07,1.11,1.22,2.3,7.9,5.6,100
2508.30,849,D,7,1,46,47,,0.1,0.74,1.1,1.4,7.98,6.58,100
2509.15,849,D,7,1,47,49,,0.04,0.76,1.3,2.9,8.55,5.65,100
2510.00,849,D,7,1,50,52,,0.03,0.74,1,0.56,6.05,5.49,100
2511.30,849,D,7,1,52,54,,0.01,0.79,1.65,4.99,6.25,1.26,48.31
