mcd_x,age_ka,MgCa,FeCa,AlCa,d18O_unadj,d13C,mcd_y,age_ma,d18O
,2653,,,,2.81,-0.41,127.71,2.6525,3.45
122.86,2654,1.03,34,67,,,,,
,2655,,,,2.72,-0.21,127.81,2.654708723,3.36
122.98,2657,0.96,,79,2.6,-0.05,127.94,2.657455892,3.24
123.05,2658,1.04,19,4,,,,,
,2659,,,,2.57,0.09,128.01,2.658935136,3.21
123.14,2661,1.21,36,98,2.52,0.08,128.11,2.661048342,3.16
123.24,2663,1.2,45,67,2.59,-0.14,128.21,2.663161549,3.23
123.33,2665,0.99,13,39,2.59,0,128.31,2.665274755,3.23
123.43,2667,0.91,18,46,2.74,0,128.41,2.667387962,3.38
123.52,2669,1.04,31,2,,,,,
,2670,,,,2.66,-0.1,128.51,2.669501168,3.3
123.61,2671,1.08,77,118,,,,,
,2672,,,,2.56,0.06,128.61,2.671614374,3.2
,2674,,,,2.75,-0.27,128.71,2.673727581,3.39
123.8,2675,1.01,25,34,,,,,
,2676,,,,2.83,-0.32,128.81,2.675840787,3.47
,2678,,,,3.1,-0.11,128.91,2.677953994,3.74
,2680,,,,2.87,-0.4,129.01,2.68,3.51
124.12,2681,1.01,27,40,,,,,
124.18,2682,1.04,101,17,3.04,-0.48,129.14,2.681907258,3.68
,2683,,,,3.1,-0.33,129.21,2.682909721,3.74
124.28,2684,0.86,19,30,,-0.35,129.31,2.684341811,
124.4,2686,0.8,12,7,3.31,-0.34,129.44,2.686203529,3.95
124.47,2687,0.88,19,25,3.34,-0.36,129.51,2.687205992,3.98
124.56,2688,0.91,17,116,,,,,
,2689,,,,3.24,-0.45,129.61,2.688638082,3.88
124.65,2690,0.95,12,6,3.2,-0.5,129.71,2.69,3.84
124.75,2693,0.97,13,15,3,-0.26,129.81,2.693098417,3.64
124.84,2696,1.01,27,33,3.13,-0.43,129.91,2.696052103,3.77
,2699,,,,3.01,-0.1,130.01,2.699005789,3.65
,2702,,,,3,-0.16,130.11,2.701959475,3.64
125.13,2705,1.11,17,29,3.16,-0.19,130.21,2.705,3.8
,2707,,,,3.14,-0.45,130.31,2.706598485,3.78
125.32,2708,0.92,13,9,3.16,-0.44,130.41,2.708245389,3.8
,2710,,,,2.82,-0.59,130.51,2.709892292,3.46
125.53,2712,0.76,14,3,3.2,-0.48,130.64,2.712033267,3.84
125.6,2713,0.77,9,4,3.18,-0.5,130.71,2.7131861,3.82
,2715,,,,2.99,-0.41,130.81,2.714833004,3.63
125.82,2717,0.86,18,116,3.15,-0.42,130.94,2.716973979,3.79
125.86,2717,0.84,79,67,3.15,-0.42,130.94,2.716973979,3.79
,2718,,,,3.22,-0.38,131.01,2.718126812,3.86
,2720,,,,2.96,-0.23,131.11,2.719773715,3.6
,2721,,,,3.12,-0.47,131.21,2.721420619,3.76
,2723,,,,3.09,-0.16,131.31,2.723067523,3.73
,2725,,,,3.1,-0.34,131.41,2.724714427,3.74
,2726,,,,,,131.51,2.726361331,
126.45,2728,0.93,18,29,2.86,0.02,131.61,2.728,3.5
,2731,,,,2.69,0.1,131.71,2.730699731,3.33
126.64,2733,1.01,18,46,2.6,0.13,131.81,2.733386031,3.24
,2736,,,,2.6,-0.08,131.91,2.736072331,3.24
,2739,,,,2.51,-0.08,132.01,2.738758631,3.15
126.95,2742,0.83,39,,2.37,-0.06,132.14,2.742250821,3.01
127.02,2744,1,36,51,2.49,-0.03,132.21,2.744131231,3.13
127.11,2746,0.85,30,,,,,,
127.11,2746,0.87,38,23,,,,,
,2747,,,,2.4,-0.29,132.31,2.746817531,3.04
,2750,,,,2.6,-0.2,132.44,2.75030972,3.24
127.3,2752,0.92,16,23,2.36,-0.42,132.51,2.75219013,3
127.4,2755,0.85,16,24,2.5,-0.44,132.61,2.755,3.14
127.4,2755,0.85,21,25,2.5,-0.44,132.61,2.755,3.14
,2759,,,,2.74,-0.25,132.71,2.75857818,3.38
127.58,2762,0.93,14,527,2.61,-0.19,132.81,2.762328892,3.25
127.68,2766,0.9,67,59,2.52,-0.2,132.91,2.766079605,3.16
127.8,2771,1.05,20,107,2.59,-0.03,133.04,2.770955532,3.23
127.87,2773,1.13,16,19,,,,,
,2774,,,,2.68,0.19,133.11,2.77358103,3.32
127.93,2776,0.95,25,,2.73,0.18,133.18,2.776206529,3.37
128.03,2780,0.87,21,25,2.61,0,133.28,2.78,3.25
128.12,2785,0.94,27,29,,,,,
,2786,,,,2.62,0.14,133.38,2.785606427,3.26
128.23,2791,0.86,23,23,,,,,
,2792,,,,2.77,0.07,133.49,2.791901323,3.41
128.29,2795,1.01,18,26,2.73,0.02,133.56,2.795,3.37
128.41,2799,0.8,16,32,2.9,-0.41,133.68,2.799260122,3.54
,2802,,,,,-0.35,133.76,2.801985728,
128.58,2805,0.88,12,43,,,133.86,2.805392735,
