mcd_te,mcd_d18O,age_ka,MgCa,FeCa,AlCa,d13C_uvi,d18O_uvi,Notes,notes
,136.80,3018.00,,,,-1.12,3.68,1208 15-7 10-12U,
,136.90,3020.00,,,,-1.30,3.74,1208 15-7 20-22U,
,136.90,3020.00,,,,-1.32,3.50,1208 15-7 20-22 U,
,136.99,3023.00,,,,-1.28,3.65,1208 15-7 30-32U,
137.08,137.08,3025.00,0.89,,44.00,-1.35,3.53,1208 15-7 40-42U,1208 15-7 40-42
137.18,137.18,3027.00,0.88,12.00,10.00,-1.33,3.48,1208 15-7 50-52U,1208_15-7 50-52
137.18,137.18,3027.00,0.88,12.00,10.00,-1.26,3.50,1208 15-7 50-52 RU,1208_15-7 50-52
137.27,137.27,3030.00,0.80,28.00,42.00,-1.19,3.43,1208 15-7 60-62U,1208_15-7 60-62
137.37,,3033.00,0.80,13.00,11.00,-1.11,3.24,,1208_15-7 70-72
137.41,137.41,3034.00,0.78,18.00,28.00,-1.02,3.04,1208 15-CC 0-2U,1208_15-CC 0-2
137.50,137.50,3037.00,0.84,22.00,118.00,-1.07,3.28,1208 15-CC 10-12U,1208_15-CC 10-12
137.50,137.50,3037.00,0.84,22.00,118.00,-1.27,3.34,1208 15-CC 10-12 RU,1208_15-CC 10-12
137.60,137.60,3040.00,0.88,17.00,25.00,-1.13,3.47,1208 15-CC 20-22U,1208_15-CC 20-22
137.75,137.78,3045.00,1.01,15.00,33.00,-1.68,3.63,1208 16-1 9-11U,1208_16-1 5-7
137.78,137.78,3045.00,1.05,24.00,354.00,-1.68,3.63,1208 16-1 9-11U,1208 16-1 9-11R
137.91,137.91,3047.00,1.11,31.00,110.00,-1.43,3.52,1208 16-1 22-24U,1208_16-1 22-24
137.91,137.91,3047.00,0.75,20.00,37.00,-1.43,3.52,1208 16-1 22-24U,1208 16-1 22-24R
137.98,137.98,3049.00,0.95,16.00,37.00,-1.21,3.43,1208 16-1 30-32U,1208_16-1 30-32
,138.09,3051.00,,,,-0.80,3.43,1208 16-1 42-44U,
138.17,138.17,3052.00,0.80,15.00,35.00,-0.92,3.32,1208 16-1 50-52U,1208_16-1 50-52
138.28,138.28,3055.00,0.85,31.00,42.00,-0.97,3.19,1208 16-1 62-64U,1208_16-1 62-64
138.36,138.36,3056.00,0.93,29.00,32.00,-0.87,3.33,1208 16-1 70-72U,1208_16-1 70-72
138.44,138.44,3058.00,0.89,64.00,49.00,-0.82,3.19,1208 16-1 79-80U,1208_16-1 79-80
138.57,138.57,3061.00,0.90,23.00,28.00,-0.97,3.25,1208 16-1 93-95U,1208_16-1 93-95
138.64,138.64,3063.00,0.88,38.00,20.00,-0.96,3.26,1208 16-1 100-102U,1208_16-1 100-102
138.71,138.71,3065.00,1.05,20.00,15.00,-0.93,3.19,1208 16-1 108-110U,1208_16-1 108-110
138.79,138.79,3067.00,1.12,34.00,46.00,-0.90,3.14,1208 16-1 116-118U,1208_16-1 116-118
138.92,138.92,3070.00,0.89,25.00,17.00,-0.73,3.14,1208 16-1 130-132U,1208_16-1 130-132
139.01,139.01,3072.00,1.01,21.00,8.00,-0.98,3.17,1208 16-1 140-142U,1208_16-1 140-142
139.11,139.11,3075.00,1.05,25.00,27.00,-0.85,3.29,1208 16-2 0-2U,1208_16-2 0-2
139.20,139.20,3077.00,0.99,21.00,46.00,-0.72,3.25,1208 16-2 10-12U,1208_16-2 10-12
139.30,139.30,3080.00,1.02,25.00,29.00,-0.90,3.21,1208 16-2 20-22U,1208_16-2 20-22
139.39,139.39,3082.00,1.09,22.00,19.00,-0.61,3.21,1208 16-2 30-32U,1208_16-2 30-32
139.47,139.47,3084.00,0.95,21.00,25.00,-0.88,3.32,1208 16-2 38-40U,1208_16-2 38-40
139.58,139.58,3087.00,1.05,,148.00,-0.81,3.40,1208 16-2 50-52 U,1208_16-2 50-52
139.67,139.67,3090.00,0.93,20.00,10.00,-0.72,3.43,1208 16-2 60-62U,1208_16-2 60-62
,139.77,3092.00,,,,-0.58,3.40,1208 16-2 70-72U,
139.86,139.86,3095.00,0.93,25.00,18.00,-0.72,3.29,1208 16-2 80-82U,1208_16-2 80-82
139.95,139.95,3097.00,0.96,40.00,42.00,-0.84,3.29,1208 16-2 90-92U,1208_16-2 90-92
140.05,140.05,3100.00,0.93,33.00,19.00,-0.55,3.31,1208 16-2 100-102U,1208_16-2 100-102
140.14,140.14,3102.00,0.96,14.00,57.00,-0.95,3.30,1208 16-2 110-112U,1208_16-2 110-112
140.29,140.29,3105.00,0.89,28.00,36.00,-1.00,3.24,1208_16-2 122-132,1208_16-2 122-132
140.42,140.42,3108.00,0.89,20.00,12.00,-0.91,3.26,1208 16-2 140-142U,1208_16-2 140-142
140.58,140.58,3111.50,0.76,13.00,10.00,-0.60,3.48,1208 16-3 0-14U,1208 16-3 0-14
140.79,140.79,3116.50,0.79,22.00,12.00,-1.13,3.50,1208 16-3 27-32U,1208 16-3 27-32
140.91,140.91,3120.00,0.83,16.00,4.00,-1.05,3.50,1208 16-3 42-44U,1208 16_3 42-44
140.99,140.99,3122.00,0.80,16.00,4.00,-1.07,3.53,1208 16-3 50-52U,1208 16_3 50-52
141.10,141.10,3125.00,0.82,19.00,23.00,-1.15,3.45,1208 16-3 62-64U,1208 16_3 62-64
141.17,141.17,3127.00,0.77,13.00,7.00,-1.23,3.52,1208 16-3 70-72U,1208 16_3 70-72
141.27,141.27,3129.00,0.68,27.00,34.00,-1.24,3.49,1208 16-3 80-82U,1208 16_3 80-82
,141.34,3131.00,,,,-1.24,3.68,1208 16-3 88-90U,
,141.46,3134.00,,,,-1.37,3.73,1208 16-3 100-102U,
,141.62,3139.00,,,,-1.13,3.62,1208 16-3 117-119U,
141.83,141.83,3145.00,0.80,33.00,60.00,-1.24,3.23,1208 16-3 140-142U,1208 16_3 140-142
,141.93,3147.00,,,,-0.79,3.26,1208 16-4 0-2U,
,142.01,3150.00,,,,-1.12,3.11,1208 16-4 9-11U,
142.11,142.11,3152.00,0.91,23.00,28.00,-1.10,3.06,1208 16-4 20-22U,1208 16_4 20-22
142.20,142.20,3154.00,0.85,26.00,43.00,-0.97,3.00,1208 16-4 29-31U,1208 16_4 29-31
142.43,142.43,3161.00,0.94,,23.00,-0.99,2.91,1208 16-4 54-56U,1208 16_4 54-56
,142.49,3162.00,,,,-0.87,3.09,1208 16-4 60-62U,
142.57,142.57,3164.00,0.97,43.00,50.00,-1.00,3.27,1208 16-4 69-71U,1208 16_4 69-71
142.72,142.72,3168.50,0.90,38.00,52.00,-0.91,3.22,1208 16-4 79-92U,1208 16_4 79-92
,143.15,3178.00,,,,-0.71,3.36,1208 16-4 130-132U,
,143.24,3180.00,,,,-0.87,3.41,1208 16-4 140-142U,
143.34,143.34,3183.50,0.79,15.00,29.00,-0.71,3.19,1208-16-5 0-4U,1208 16-5 0-4
143.46,143.46,3188.00,0.88,13.00,41.00,-0.89,3.14,1208 16-5 10-17 U,1208 16-5 10-17
,143.55,3192.00,,,,-0.41,3.08,1208 16-5 23-25 U,
143.66,143.64,3196.00,0.68,10.00,6.00,-0.78,3.14,1208 16-5 30-34 U,1208 16-5 30-34
143.71,143.71,3199.00,0.84,38.00,73.00,-0.58,3.21,1208-16-5 40-42U,1208_16-5 40-42
143.90,,3207.00,0.91,58.00,114.00,-0.70,3.13,,1208_16-5 60-62
144.16,144.16,3217.00,0.91,16.00,25.00,-0.81,3.04,1208 16-5 88-90U,1208 16-5 88-90
144.16,144.16,3217.00,0.91,16.00,25.00,-0.59,3.00,1208 16-5 88-90UR,1208 16-5 88-90
144.18,144.18,3218.00,0.89,52.00,85.00,-0.51,3.39,1208 16-5 90-92 U,1208_16-5 90-92
144.27,144.27,3221.00,0.83,20.00,21.00,-0.89,3.18,1208 16-5 100-102 U,1208_16-5 100-102
144.37,144.37,3224.00,0.97,11.00,15.00,-0.88,3.42,1208 16-5 110-112 U,1208_16-5 110-112
144.37,144.37,3224.00,1.07,20.00,28.00,-0.88,3.42,1208 16-5 110-112 U,1208_16-5 110-112
144.48,,3228.00,0.91,20.00,104.00,-0.82,3.51,,1208_16-5 122-124
144.55,144.55,3231.00,0.79,15.00,20.00,-0.76,3.59,1208 16-5 130-132 U,1208_16-5 130-132
,144.65,3235.00,,,,-0.55,3.67,1208 16-5 140-142 U,
,144.93,3242.00,,,,-0.59,3.19,1208 16-6 20-22 U,
,145.02,3245.00,,,,-0.35,3.44,1208 16-6 30-32 U,
145.26,145.26,3251.00,0.88,64.00,102.00,-0.84,3.20,1208 16-6 50-62 U,1208_16-6 50-62
145.45,145.45,3256.00,0.79,18.00,191.00,-0.71,3.60,1208 16-6 70-82 U,1208_16-6 70-82
,145.59,3260.00,,,,-0.92,3.70,1208 16-6 90-92 U,
,145.68,3262.00,,,,-0.76,3.60,1208 16-6 100-102 U,
145.78,145.78,3265.00,0.75,8.00,79.00,-0.51,3.59,1208 16-6 110-112 U,1208_16-6 110-112
146.11,146.11,3273.50,0.84,18.00,33.00,-0.60,3.60,1208 16-6 131-133 U,1208_16-7 10-12
146.34,146.34,3280.00,0.80,21.00,32.00,-0.91,3.53,1208 16-7 20-22 U,1208_16-7 20-22
146.45,146.45,3282.00,0.77,32.00,447.00,-1.10,3.43,1208 16-7 32-34 U,1208_16-7 32-34
146.53,146.53,3284.00,0.84,14.00,19.00,-1.10,3.53,1208 16-7 40-42 U,1208_16-7 40-42
146.62,146.62,3286.00,0.77,17.00,32.00,-1.12,3.53,1208 16-7 50-52 U,1208_16-7 50-52
146.71,146.71,3288.00,0.87,18.00,29.00,-1.35,3.86,1208 16-7 60-62 U,1208_16-7 60-62
146.81,146.81,3291.00,0.76,11.00,8.00,-1.38,3.84,1208 16-7 70-72 U,1208_16-7 70-72
,146.94,3294.00,,,,-1.50,4.07,1208 16-CC 0-2 U,
,147.03,3296.00,,,,-1.26,3.97,1208 16-CC 10-12 U,
147.32,147.32,3303.00,0.89,19.00,24.00,-1.12,3.49,1208 17-1 13-15 U,1208_17-1 13-15
,147.42,3305.00,,,,-1.00,3.84,1208 17-1 23-25 U,
,147.49,3307.00,,,,-1.10,3.87,1208 17-1 31-33 U,
147.60,147.60,3310.00,0.71,15.00,10.00,-1.03,3.79,1208 17-1 42-44 U,1208 17-1 42-44
,147.67,3311.00,,,,-0.98,3.70,1208 17-1 50-52 U,
147.79,147.79,3314.00,0.85,34.00,48.00,-0.68,3.33,1208 17-1 63-65 U,1208 17-1 63-65
147.87,147.87,3315.00,0.81,129.00,78.00,-0.78,3.43,1208 17-1 71-73 U,1208 17-1 71-73
147.87,147.87,3315.00,0.79,25.00,23.00,-0.78,3.43,1208 17-1 71-73 U,1208 17-1 71-73
,147.97,3318.00,,,,-0.58,3.27,1208 17-1 82-84 U,
,148.16,3322.00,,,,-0.56,3.48,1208 17-1 102-104 U,
,148.24,3323.00,,,,-0.91,3.44,1208 17-1 110-112 U,
,148.36,3326.00,,,,-0.93,3.39,1208 17-1 123-125 U,
,148.43,3327.00,,,,-0.96,3.44,1208 17-1 130-132 U,
,148.54,3330.00,,,,-0.84,3.58,1208 17-1 142-144 U,
,148.83,3339.00,,,,-0.76,3.53,1208 17-2 23-25 U,
,149.58,3370.00,,,,-1.13,3.53,1208 17-2 102-104 U,
,149.84,3377.00,,,,-1.19,3.58,1208 17-2 130-132 U,
