mcd_te,mcd_d18O,age_ka,MgCa,FeCa,AlCa,d13C_uvi,d18O_uvi,Notes,notes
121.82,121.82,2628.00,1.06,32.00,36.00,-0.89,3.39,1208 14-3 30-32 U,1208 14-3 30-32
121.91,121.91,2630.00,1.05,93.00,148.00,-0.90,3.36,1208 14-3 40-42 U,1208_14-3 40-42
122.01,122.01,2632.00,1.01,35.00,36.00,-1.15,3.60,1208 14-3 50-52 U,1208_14-3 50-52
122.13,122.13,2635.00,1.07,13.00,16.00,-1.26,3.67,1208 14-3 63-65 U,1208_14-3 63-65
122.20,122.20,2637.00,0.91,19.00,38.00,-1.13,3.64,1208 14-3 70-72 U,1208_14-3 70-72
,122.29,2640.00,,,,-1.14,3.64,1208 14-3 80-82 U,
122.39,122.39,2642.00,0.95,24.00,5.00,-1.18,3.85,1208 14-3 90-92 U,1208_14-3 90-92
122.39,122.39,2642.00,1.02,11.00,15.00,-1.18,3.85,1208 14-3 90-92 U,1208_14-3 90-92
122.48,122.48,2645.00,1.07,23.00,23.00,-1.44,3.94,1208 14-3 100-102 U,1208_14-3 100-102
,122.58,2647.00,,,,-1.39,3.94,1208 14-3 110-112 U,
,122.70,2650.00,,,,-1.36,3.72,1208 14-3 123-125 U,
,122.76,2652.00,,,,-1.29,3.46,1208 14-3 130-132 U,
122.86,122.86,2654.00,1.03,34.00,67.00,-1.34,3.43,1208 14-3 140-142,1208_14-3 140-142
122.98,122.98,2657.00,0.96,,79.00,-1.02,3.19,1208-14-4 3-5U,1208_14-4 3-5
123.05,,2658.00,1.04,19.00,4.00,-0.92,3.14,,1208_14-4 10-12
123.14,123.14,2661.00,1.21,36.00,98.00,-0.81,3.09,1208-14-4 20-22U,1208_14-4 20-22
123.24,123.24,2663.00,1.20,45.00,67.00,-1.12,3.25,1208-14-4 30-32U,1208_14-4 30-32
123.33,123.33,2665.00,0.99,13.00,39.00,-1.36,2.97,1208-14-4 40-42U,1208_14-4 40-42
123.33,123.33,2665.00,0.99,13.00,39.00,-1.01,3.24,1208 14-4 40-42 U,1208_14-4 40-42
123.43,,2667.00,0.91,18.00,46.00,-1.06,3.26,,1208_14-4 50-52
123.52,123.52,2669.00,1.04,31.00,2.00,-1.11,3.28,1208-14-4 60-62U,1208_14-4 60-62
123.61,123.61,2671.00,1.08,77.00,118.00,-1.06,3.36,1208-14-4 70-72U,1208_14-4 70-72
,123.71,2673.00,,,,-1.07,3.38,1208-14-4 80-82U,
123.80,123.80,2675.00,1.01,25.00,34.00,-0.89,3.28,1208-14-4 90-92U,1208_14-4 90-92
,123.99,2680.00,,,,-1.12,3.43,1208 14-4 110-112 U,
124.12,,2681.00,1.01,27.00,40.00,-1.26,3.72,,1208_14-4 123-125
124.18,124.18,2682.00,1.04,101.00,17.00,-1.39,4.01,1208-14-4 130-132U,1208_14-4 130-132
124.28,,2684.00,0.86,19.00,30.00,-1.41,4.13,,1208_14-4 140-142
124.40,124.40,2686.00,0.80,12.00,7.00,-1.43,4.24,1208 14-5 3-5U,1208_14-5 3-5
124.47,124.47,2687.00,0.88,19.00,25.00,-1.53,4.26,1208 14-5 10-12U,1208_14-5 10-12
124.56,124.56,2688.00,0.91,17.00,116.00,-1.22,4.19,1208 14-5 20-22U,1208_14-5 20-22
124.65,124.65,2690.00,0.95,12.00,6.00,-1.21,4.11,1208 14-5 30-32U,1208_14-5 30-32
124.75,124.75,2693.00,0.97,13.00,15.00,-1.15,4.07,1208 14-5 40-42U,1208_14-5 40-42
124.84,124.84,2696.00,1.01,27.00,33.00,-1.13,3.80,1208-14-5 50-52U,1208_14-5 50-52
,124.94,2699.00,,,,-0.87,3.90,1208-14-5 60-62U,
125.08,125.08,2703.50,1.11,17.00,29.00,-1.17,3.69,1208_14-5 70-82,1208_14-5 70-82
,125.22,2706.00,,,,-1.39,3.84,1208-14-5 90-92U,
,125.22,2706.00,,,,-1.39,3.80,1208 14-5 90-92 U,
125.32,125.32,2708.00,0.92,13.00,9.00,-1.48,3.98,1208-14-5 100-102U,1208_14-5 100-102
,125.41,2709.00,,,,-1.46,3.99,1208 14-5 110-112 U,
125.53,125.53,2712.00,0.76,14.00,3.00,-1.40,4.20,1208-14-5 123-125U,1208_14-5 123-125
125.60,125.60,2713.00,0.77,9.00,4.00,-1.71,4.22,1208-14-5 130-132U,1208_14-5 130-132
,125.67,2714.00,,,,-1.25,4.16,1208 14-5 138-140U,
,125.69,2714.00,,,,-1.11,4.31,1208-14-5 140-142U,
125.82,125.86,2717.00,0.86,18.00,116.00,-1.42,4.19,1208 14-6 8-10 U,1208_14-6 3-5
125.82,125.86,2717.00,0.86,18.00,116.00,-1.42,4.19,1208 14-6 8-10U,1208_14-6 3-5
125.86,125.86,2717.00,0.84,79.00,67.00,-1.45,4.23,1208 14-6 8-10 U,1208_14-6 8-10
125.86,125.86,2717.00,0.84,79.00,67.00,-1.45,4.23,1208 14-6 8-10U,1208_14-6 8-10
,125.88,2718.00,,,,-1.29,4.24,1208 14-6 10-12U,
,125.98,2719.00,,,,-1.29,4.17,1208 14-6 20-22U,
,126.00,2720.00,,,,-1.08,4.05,1208 14-6 22-24U,
,126.05,2721.00,,,,-1.29,3.94,1208 14-6 28-30U,
,126.05,2721.00,,,,-1.12,3.97,1208 14-6 28-30UR,
,126.07,2721.00,,,,-1.14,3.96,1208 14-6 30-32 U,
,126.15,2722.00,,,,-0.96,4.12,1208 14-6 38-40U,
,126.17,2723.00,,,,-1.24,3.85,1208 14-6 40-42 U,
,126.19,2723.00,,,,-1.14,3.98,1208 14-6 42-44U,
,126.26,2724.00,,,,-0.94,3.62,1208 14-6 50-52 U,
,126.28,2725.00,,,,-1.20,3.94,1208 14-6 52-54U,
,126.28,2725.00,,,,-0.86,3.89,1208 14-6 52-54UR,
,126.34,2726.00,,,,-1.07,4.00,1208 14-6 58-60U,
,126.34,2726.00,,,,-0.81,3.78,1208 14-6 58-60UR,
,126.43,2727.00,,,,-0.84,3.78,1208 14-6 68-70U,
,126.43,2727.00,,,,-1.08,3.63,1208 14-6 68-70UR,
126.45,126.45,2728.00,0.93,18.00,29.00,-0.93,3.57,1208 14-6 70-72 U,1208_14-6 70-72
126.45,126.45,2728.00,0.93,18.00,29.00,-0.85,3.44,1208 14-6 70-72 U,1208_14-6 70-72
126.45,126.45,2728.00,0.93,18.00,29.00,-0.98,3.56,1208 14-6 70-72 U R,1208_14-6 70-72
,126.52,2730.00,,,,-0.99,3.44,1208 14-6 78-80UR,
,126.52,2730.00,,,,-0.85,3.31,1208 14-6 78-80U,
126.69,126.69,2734.50,1.01,18.00,46.00,-0.83,3.53,1208_14-6 90-102,1208_14-6 90-102
126.95,126.95,2742.00,0.83,39.00,,-0.67,3.41,1208 14-6 123-125U,1208_14-6 123-125
126.95,126.95,2742.00,0.83,39.00,,-0.79,3.34,1208 14-6 123-125 U,1208_14-6 123-125
126.95,126.95,2742.00,0.83,39.00,,-0.58,3.27,1208 14-6 123-125 U R,1208_14-6 123-125
127.02,127.02,2744.00,1.00,36.00,51.00,-0.89,3.41,1208 14-6 130-132U,1208_14-6 130-132
