,Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Length (cm),Volume (cm3),Request number,Sample name,Location,Comments,Label identifier,age_ka
0,198,1209,A,4,H,3,W,2,4,30.22,30.24,30.139,30.159,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 2/4-FORD,1557.2280000000405
1,198,1209,A,4,H,3,W,10,12,30.3,30.32,30.217,30.237,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 10/12-FORD,1573.7640000000397
2,198,1209,A,4,H,3,W,20,22,30.4,30.42,30.315,30.334,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 20/22-FORD,1594.540000000039
3,198,1209,A,4,H,3,W,32,34,30.52,30.54,30.431,30.451,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 32/34-FORD,1619.1320000000378
4,198,1209,A,4,H,3,W,40,42,30.6,30.62,30.509,30.529,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 40/42-FORD,1635.6680000000367
5,198,1209,A,4,H,3,W,56,58,30.76,30.78,30.665,30.685,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 56/58-FORD,1668.7400000000348
6,198,1209,A,4,H,3,W,60,62,30.8,30.82,30.704,30.723,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 60/62-FORD,1677.0080000000348
7,198,1209,A,4,H,3,W,70,72,30.9,30.92,30.801,30.821,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 70/72-FORD,1697.5720000000333
8,198,1209,A,4,H,3,W,80,82,31.0,31.02,30.899,30.918,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 80/82-FORD,1718.3480000000327
9,198,1209,A,4,H,3,W,92,94,31.12,31.14,31.015,31.035,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 92/94-FORD,1742.9400000000314
10,198,1209,A,4,H,3,W,100,102,31.2,31.22,31.093,31.113,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 100/102-FORD,1759.4760000000304
11,198,1209,A,4,H,3,W,110,112,31.3,31.32,31.191,31.21,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 110/112-FORD,1780.252000000029
12,198,1209,A,4,H,3,W,122,124,31.42,31.44,31.307,31.327,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 122/124-FORD,1804.8440000000278
13,198,1209,A,4,H,3,W,130,132,31.5,31.52,31.385,31.405,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 130/132-FORD,1821.3800000000274
14,198,1209,A,4,H,3,W,140,142,31.6,31.62,31.483,31.502,2,10,75098IODP,FORD,GCR,,198-1209A-4H-3-W 140/142-FORD,1842.1560000000263
15,198,1209,A,4,H,4,W,0,2,31.7,31.72,31.58,31.599,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 0/2-FORD,1862.7200000000248
16,198,1209,A,4,H,4,W,10,12,31.8,31.82,31.677,31.697,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 10/12-FORD,1883.284000000024
17,198,1209,A,4,H,4,W,20,22,31.9,31.92,31.775,31.794,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 20/22-FORD,1904.0600000000227
18,198,1209,A,4,H,4,W,30,32,32.0,32.02,31.872,31.891,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 30/32-FORD,1924.6240000000219
19,198,1209,A,4,H,4,W,40,42,32.1,32.12,31.969,31.989,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 40/42-FORD,1945.188000000021
20,198,1209,A,4,H,4,W,50,52,32.2,32.22,32.067,32.086,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 50/52-FORD,1965.96400000002
21,198,1209,A,4,H,4,W,60,62,32.3,32.32,32.164,32.183,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 60/62-FORD,1986.5280000000191
22,198,1209,A,4,H,4,W,70,72,32.4,32.42,32.261,32.281,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 70/72-FORD,2007.0920000000183
23,198,1209,A,4,H,4,W,80,82,32.5,32.52,32.359,32.378,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 80/82-FORD,2027.868000000017
24,198,1209,A,4,H,4,W,90,92,32.6,32.62,32.456,32.475,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 90/92-FORD,2048.432000000016
25,198,1209,A,4,H,4,W,100,102,32.7,32.72,32.553,32.573,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 100/102-FORD,2068.996000000014
26,198,1209,A,4,H,4,W,110,112,32.8,32.82,32.651,32.67,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 110/112-FORD,2089.7720000000145
27,198,1209,A,4,H,4,W,120,122,32.9,32.92,32.748,32.767,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 120/122-FORD,2110.336000000012
28,198,1209,A,4,H,4,W,130,132,33.0,33.02,32.845,32.865,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 130/132-FORD,2130.900000000011
29,198,1209,A,4,H,4,W,140,142,33.1,33.12,32.943,32.962,2,10,75098IODP,FORD,GCR,,198-1209A-4H-4-W 140/142-FORD,2151.67600000001
30,198,1209,A,4,H,5,W,2,4,33.22,33.24,33.059,33.079,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 2/4-FORD,2176.2680000000087
31,198,1209,A,4,H,5,W,10,12,33.3,33.32,33.137,33.157,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 10/12-FORD,2192.8040000000083
32,198,1209,A,4,H,5,W,20,22,33.4,33.42,33.235,33.254,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 20/22-FORD,2213.580000000007
33,198,1209,A,4,H,5,W,32,34,33.52,33.54,33.352,33.371,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 32/34-FORD,2238.3840000000055
34,198,1209,A,4,H,5,W,41,43,33.61,33.63,33.439,33.459,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 41/43-FORD,2256.828000000005
35,198,1209,A,4,H,5,W,50,52,33.7,33.72,33.527,33.546,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 50/52-FORD,2275.4840000000045
36,198,1209,A,4,H,5,W,62,64,33.82,33.84,33.644,33.663,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 62/64-FORD,2300.2880000000023
37,198,1209,A,4,H,5,W,70,72,33.9,33.92,33.722,33.741,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 70/72-FORD,2316.8240000000023
38,198,1209,A,4,H,5,W,80,82,34.0,34.02,33.819,33.839,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 80/82-FORD,2337.3880000000013
39,198,1209,A,4,H,5,W,92,94,34.12,34.14,33.936,33.956,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 92/94-FORD,2360.048
40,198,1209,A,4,H,5,W,100,102,34.2,34.22,34.014,34.033,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 100/102-FORD,2366.132
41,198,1209,A,4,H,5,W,110,112,34.3,34.32,34.111,34.131,2,10,75098IODP,FORD,GCR,,198-1209A-4H-5-W 110/112-FORD,2374.881
