mcd,age_ka,d18O,d13C
128.75,2903,3.19,0.71
128.9,2907,2.85,0.75
129.05,2910,3.08,0.91
129.2,2913,2.98,0.7
129.35,2917,3.42,0.72
129.57,2922,3.22,0.52
129.65,2924,3.23,0.62
129.73,2925,2.9,0.85
130.1,2934,2.7,0.79
130.23,2937,2.64,0.81
130.4,2941,2.97,1.01
130.7,2948,3,0.81
130.83,2951,2.83,0.82
131.15,2958,2.99,0.83
131.43,2965,3.01,0.66
131.62,2969,2.95,0.9
131.75,2972,3.07,0.97
131.92,2976,2.87,0.92
132.07,2980,3.02,0.71
132.2,2983,3.07,0.76
132.8,2997,2.97,0.51
132.95,3000,3.14,0.51
133.1,3004,2.83,0.79
133.32,3009,2.71,0.77
133.57,3015,2.77,0.81
133.7,3018,2.82,0.72
133.85,3022,2.85,0.87
134.15,3029,2.89,0.96
134.3,3032,2.88,0.87
134.45,3036,2.93,1
134.6,3039,3.07,0.67
134.82,3044,2.66,1.05
134.88,3046,2.69,1.08
135.07,3050,2.77,1.06
135.18,3053,2.62,1
135.35,3057,2.75,1.01
135.48,3060,2.57,1.01
135.65,3064,2.67,1.07
135.8,3067,2.71,1.01
136.1,3074,2.88,1.01
136.32,3080,2.66,0.82
136.43,3082,2.83,0.94
136.57,3086,2.71,0.94
136.7,3089,2.75,0.75
136.85,3093,2.72,0.77
137,3097,2.87,0.91
