Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Length (cm),Volume (cm3),Request number,Sample name,Location,Comments,Label identifier
198,1208,A,13,H,1,W,115,117,110.35,110.37,110.3,110.319,2,10,75098IODP,FORD,GCR,,198-1208A-13H-1-W 115/117-FORD
198,1208,A,13,H,2,W,5,7,110.75,110.77,110.683,110.702,2,10,75098IODP,FORD,GCR,,198-1208A-13H-2-W 5/7-FORD
198,1208,A,13,H,2,W,45,47,111.15,111.17,111.066,111.085,2,10,75098IODP,FORD,GCR,,198-1208A-13H-2-W 45/47-FORD
198,1208,A,13,H,2,W,83,85,111.53,111.55,111.429,111.448,2,10,75098IODP,FORD,GCR,,198-1208A-13H-2-W 83/85-FORD
198,1208,A,13,H,2,W,125,127,111.95,111.97,111.831,111.85,2,10,75098IODP,FORD,GCR,,198-1208A-13H-2-W 125/127-FORD
198,1208,A,13,H,3,W,6,8,112.26,112.28,112.127,112.147,2,10,75098IODP,FORD,GCR,,198-1208A-13H-3-W 6/8-FORD
198,1208,A,13,H,3,W,44,46,112.64,112.66,112.491,112.51,2,10,75098IODP,FORD,GCR,,198-1208A-13H-3-W 44/46-FORD
198,1208,A,13,H,3,W,85,87,113.05,113.07,112.883,112.902,2,10,75098IODP,FORD,GCR,,198-1208A-13H-3-W 85/87-FORD
198,1208,A,13,H,3,W,118,120,113.38,113.4,113.199,113.218,2,10,75098IODP,FORD,GCR,,198-1208A-13H-3-W 118/120-FORD
198,1208,A,13,H,4,W,6,8,113.76,113.78,113.562,113.582,2,10,75098IODP,FORD,GCR,,198-1208A-13H-4-W 6/8-FORD
198,1208,A,13,H,4,W,42,44,114.12,114.14,113.907,113.926,2,10,75098IODP,FORD,GCR,,198-1208A-13H-4-W 42/44-FORD
198,1208,A,13,H,4,W,85,87,114.55,114.57,114.318,114.337,2,10,75098IODP,FORD,GCR,,198-1208A-13H-4-W 85/87-FORD
198,1208,A,13,H,4,W,126,128,114.96,114.98,114.71,114.73,2,10,75098IODP,FORD,GCR,,198-1208A-13H-4-W 126/128-FORD
198,1208,A,13,H,5,W,6,8,115.26,115.28,114.997,115.017,2,10,75098IODP,FORD,GCR,,198-1208A-13H-5-W 6/8-FORD
198,1208,A,13,H,5,W,43,45,115.63,115.65,115.351,115.371,2,10,75098IODP,FORD,GCR,,198-1208A-13H-5-W 43/45-FORD
198,1208,A,13,H,5,W,85,87,116.05,116.07,115.753,115.772,2,10,75098IODP,FORD,GCR,,198-1208A-13H-5-W 85/87-FORD
198,1208,A,13,H,5,W,125,127,116.45,116.47,116.136,116.155,2,10,75098IODP,FORD,GCR,,198-1208A-13H-5-W 125/127-FORD
198,1208,A,13,H,6,W,8,10,116.78,116.8,116.452,116.471,2,10,75098IODP,FORD,GCR,,198-1208A-13H-6-W 8/10-FORD
198,1208,A,13,H,6,W,46,48,117.16,117.18,116.815,116.834,2,10,75098IODP,FORD,GCR,,198-1208A-13H-6-W 46/48-FORD
198,1208,A,13,H,6,W,82,84,117.52,117.54,117.159,117.179,2,10,75098IODP,FORD,GCR,,198-1208A-13H-6-W 82/84-FORD
198,1208,A,13,H,6,W,125,127,117.95,117.97,117.571,117.59,2,10,75098IODP,FORD,GCR,,198-1208A-13H-6-W 125/127-FORD
198,1208,A,13,H,7,W,8,10,118.28,118.3,117.887,117.906,2,10,75098IODP,FORD,GCR,,198-1208A-13H-7-W 8/10-FORD
198,1208,A,13,H,7,W,42,44,118.62,118.64,118.212,118.231,2,10,75098IODP,FORD,GCR,,198-1208A-13H-7-W 42/44-FORD
198,1208,A,14,H,1,W,6,8,118.76,118.78,118.757,118.776,2,10,75098IODP,FORD,GCR,,198-1208A-14H-1-W 6/8-FORD
198,1208,A,14,H,1,W,43,45,119.13,119.15,119.106,119.125,2,10,75098IODP,FORD,GCR,,198-1208A-14H-1-W 43/45-FORD
198,1208,A,14,H,1,W,85,87,119.55,119.57,119.504,119.522,2,10,75098IODP,FORD,GCR,,198-1208A-14H-1-W 85/87-FORD
198,1208,A,14,H,1,W,117,119,119.87,119.89,119.806,119.825,2,10,75098IODP,FORD,GCR,,198-1208A-14H-1-W 117/119-FORD
198,1208,A,14,H,2,W,6,8,120.26,120.28,120.175,120.194,2,10,75098IODP,FORD,GCR,,198-1208A-14H-2-W 6/8-FORD
198,1208,A,14,H,2,W,39,41,120.59,120.61,120.487,120.506,2,10,75098IODP,FORD,GCR,,198-1208A-14H-2-W 39/41-FORD
198,1208,A,14,H,2,W,84,86,121.04,121.06,120.912,120.931,2,10,75098IODP,FORD,GCR,,198-1208A-14H-2-W 84/86-FORD
198,1208,A,14,H,2,W,125,127,121.45,121.47,121.3,121.319,2,10,75098IODP,FORD,GCR,,198-1208A-14H-2-W 125/127-FORD
198,1208,A,14,H,2,W,125,127,121.51,121.53,121.357,121.376,2,10,75098IODP,FORD,GCR,,198-1208A-14H-2-W 6/8-FORD-FORD
198,1208,A,14,H,3,W,5,7,121.75,121.77,121.583,121.602,2,10,75098IODP,FORD,GCR,,198-1208A-14H-3-W 5/7-FORD
198,1208,A,14,H,3,W,43,45,122.13,122.15,121.942,121.961,2,10,75098IODP,FORD,GCR,,198-1208A-14H-3-W 43/45-FORD
198,1208,A,14,H,3,W,82,84,122.52,122.54,122.311,122.33,2,10,75098IODP,FORD,GCR,,198-1208A-14H-3-W 82/84-FORD
198,1208,A,14,H,3,W,125,127,122.95,122.97,122.718,122.737,2,10,75098IODP,FORD,GCR,,198-1208A-14H-3-W 125/127-FORD
198,1208,A,14,H,4,W,6,8,123.26,123.28,123.011,123.03,2,10,75098IODP,FORD,GCR,,198-1208A-14H-4-W 6/8-FORD
198,1208,A,14,H,4,W,42,44,123.62,123.64,123.351,123.37,2,10,75098IODP,FORD,GCR,,198-1208A-14H-4-W 42/44-FORD
198,1208,A,14,H,4,W,82,84,124.02,124.04,123.729,123.748,2,10,75098IODP,FORD,GCR,,198-1208A-14H-4-W 82/84-FORD
198,1208,A,14,H,4,W,126,128,124.46,124.48,124.145,124.164,2,10,75098IODP,FORD,GCR,,198-1208A-14H-4-W 126/128-FORD
198,1208,A,14,H,5,W,6,8,124.76,124.78,124.429,124.448,2,10,75098IODP,FORD,GCR,,198-1208A-14H-5-W 6/8-FORD
198,1208,A,14,H,5,W,43,45,125.13,125.15,124.778,124.797,2,10,75098IODP,FORD,GCR,,198-1208A-14H-5-W 43/45-FORD
198,1208,A,14,H,5,W,82,84,125.52,125.54,125.147,125.166,2,10,75098IODP,FORD,GCR,,198-1208A-14H-5-W 82/84-FORD
198,1208,A,14,H,5,W,118,120,125.88,125.9,125.487,125.506,2,10,75098IODP,FORD,GCR,,198-1208A-14H-5-W 118/120-FORD
198,1208,A,14,H,6,W,8,10,126.28,126.3,125.866,125.885,2,10,75098IODP,FORD,GCR,,198-1208A-14H-6-W 8/10-FORD
198,1208,A,14,H,6,W,42,44,126.62,126.64,126.187,126.206,2,10,75098IODP,FORD,GCR,,198-1208A-14H-6-W 42/44-FORD
198,1208,A,14,H,6,W,85,87,127.05,127.07,126.594,126.612,2,10,75098IODP,FORD,GCR,,198-1208A-14H-6-W 85/87-FORD
198,1208,A,14,H,6,W,118,120,127.38,127.4,126.905,126.924,2,10,75098IODP,FORD,GCR,,198-1208A-14H-6-W 118/120-FORD
198,1208,A,14,H,7,W,6,8,127.76,127.78,127.265,127.284,2,10,75098IODP,FORD,GCR,,198-1208A-14H-7-W 6/8-FORD
198,1208,A,14,H,7,W,44,46,128.14,128.16,127.624,127.643,2,10,75098IODP,FORD,GCR,,198-1208A-14H-7-W 44/46-FORD
198,1208,A,15,H,1,W,8,10,128.28,128.3,128.276,128.295,2,10,75098IODP,FORD,GCR,,198-1208A-15H-1-W 8/10-FORD
198,1208,A,15,H,1,W,42,44,128.62,128.64,128.597,128.616,2,10,75098IODP,FORD,GCR,,198-1208A-15H-1-W 42/44-FORD
198,1208,A,15,H,1,W,76,78,128.96,128.98,128.918,128.937,2,10,75098IODP,FORD,GCR,,198-1208A-15H-1-W 76/78-FORD
198,1208,A,15,H,1,W,121,123,129.41,129.43,129.344,129.363,2,10,75098IODP,FORD,GCR,,198-1208A-15H-1-W 121/123-FORD
198,1208,A,15,H,2,W,4,6,129.74,129.76,129.656,129.675,2,10,75098IODP,FORD,GCR,,198-1208A-15H-2-W 4/6-FORD
198,1208,A,15,H,2,W,40,42,130.1,130.12,129.996,130.015,2,10,75098IODP,FORD,GCR,,198-1208A-15H-2-W 40/42-FORD
198,1208,A,15,H,2,W,83,85,130.53,130.55,130.403,130.422,2,10,75098IODP,FORD,GCR,,198-1208A-15H-2-W 83/85-FORD
198,1208,A,15,H,2,W,125,127,130.95,130.97,130.8,130.819,2,10,75098IODP,FORD,GCR,,198-1208A-15H-2-W 125/127-FORD
198,1208,A,15,H,3,W,6,8,131.26,131.28,131.093,131.112,2,10,75098IODP,FORD,GCR,,198-1208A-15H-3-W 6/8-FORD
198,1208,A,15,H,3,W,43,45,131.63,131.65,131.442,131.461,2,10,75098IODP,FORD,GCR,,198-1208A-15H-3-W 43/45-FORD
198,1208,A,15,H,3,W,83,85,132.03,132.05,131.821,131.84,2,10,75098IODP,FORD,GCR,,198-1208A-15H-3-W 83/85-FORD
198,1208,A,15,H,3,W,118,120,132.38,132.4,132.151,132.17,2,10,75098IODP,FORD,GCR,,198-1208A-15H-3-W 118/120-FORD
198,1208,A,15,H,4,W,5,7,132.75,132.77,132.501,132.52,2,10,75098IODP,FORD,GCR,,198-1208A-15H-4-W 5/7-FORD
198,1208,A,15,H,4,W,36,38,133.06,133.08,132.794,132.813,2,10,75098IODP,FORD,GCR,,198-1208A-15H-4-W 36/38-FORD
198,1208,A,15,H,4,W,83,85,133.53,133.55,133.239,133.258,2,10,75098IODP,FORD,GCR,,198-1208A-15H-4-W 83/85-FORD
198,1208,A,15,H,4,W,129,131,133.99,134.01,133.673,133.692,2,10,75098IODP,FORD,GCR,,198-1208A-15H-4-W 129/131-FORD
198,1208,A,15,H,5,W,0,2,134.2,134.22,133.872,133.891,2,10,75098IODP,FORD,GCR,minimal sediment,198-1208A-15H-5-W 0/2-FORD
198,1208,A,15,H,5,W,45,47,134.65,134.67,134.297,134.316,2,10,75098IODP,FORD,GCR,,198-1208A-15H-5-W 45/47-FORD
198,1208,A,15,H,5,W,83,85,135.03,135.05,134.657,134.676,2,10,75098IODP,FORD,GCR,,198-1208A-15H-5-W 83/85-FORD
198,1208,A,15,H,5,W,118,120,135.38,135.4,134.987,135.006,2,10,75098IODP,FORD,GCR,,198-1208A-15H-5-W 118/120-FORD
198,1208,A,15,H,6,W,5,7,135.75,135.77,135.337,135.356,2,10,75098IODP,FORD,GCR,,198-1208A-15H-6-W 5/7-FORD
198,1208,A,15,H,6,W,42,44,136.12,136.14,135.687,135.706,2,10,75098IODP,FORD,GCR,,198-1208A-15H-6-W 42/44-FORD
198,1208,A,15,H,6,W,85,87,136.55,136.57,136.094,136.112,2,10,75098IODP,FORD,GCR,,198-1208A-15H-6-W 85/87-FORD
198,1208,A,15,H,6,W,125,127,136.95,136.97,136.472,136.491,2,10,75098IODP,FORD,GCR,,198-1208A-15H-6-W 125/127-FORD
198,1208,A,15,H,7,W,5,7,137.25,137.27,136.755,136.774,2,10,75098IODP,FORD,GCR,,198-1208A-15H-7-W 5/7-FORD
198,1208,A,15,H,7,W,42,44,137.62,137.64,137.105,137.124,2,10,75098IODP,FORD,GCR,,198-1208A-15H-7-W 42/44-FORD
198,1208,A,16,H,1,W,6,8,137.76,137.78,137.756,137.775,2,10,75098IODP,FORD,GCR,,198-1208A-16H-1-W 6/8-FORD
198,1208,A,16,H,1,W,44,46,138.14,138.16,138.113,138.132,2,10,75098IODP,FORD,GCR,,198-1208A-16H-1-W 44/46-FORD
198,1208,A,16,H,1,W,84,86,138.54,138.56,138.489,138.507,2,10,75098IODP,FORD,GCR,,198-1208A-16H-1-W 84/86-FORD
198,1208,A,16,H,1,W,120,122,138.9,138.92,138.826,138.845,2,10,75098IODP,FORD,GCR,,198-1208A-16H-1-W 120/122-FORD
198,1208,A,16,H,2,W,7,9,139.27,139.29,139.174,139.192,2,10,75098IODP,FORD,GCR,,198-1208A-16H-2-W 7/9-FORD
198,1208,A,16,H,2,W,47,49,139.67,139.69,139.549,139.568,2,10,75098IODP,FORD,GCR,,198-1208A-16H-2-W 47/49-FORD
198,1208,A,16,H,2,W,83,85,140.03,140.05,139.887,139.906,2,10,75098IODP,FORD,GCR,,198-1208A-16H-2-W 83/85-FORD
198,1208,A,16,H,2,W,124,126,140.44,140.46,140.272,140.291,2,10,75098IODP,FORD,GCR,,198-1208A-16H-2-W 124/126-FORD
198,1208,A,16,H,3,W,7,9,140.77,140.79,140.582,140.6,2,10,75098IODP,FORD,GCR,,198-1208A-16H-3-W 7/9-FORD
198,1208,A,16,H,3,W,47,49,141.17,141.19,140.957,140.976,2,10,75098IODP,FORD,GCR,,198-1208A-16H-3-W 47/49-FORD
198,1208,A,16,H,3,W,86,88,141.56,141.58,141.323,141.342,2,10,75098IODP,FORD,GCR,,198-1208A-16H-3-W 86/88-FORD
198,1208,A,16,H,3,W,126,128,141.96,141.98,141.699,141.718,2,10,75098IODP,FORD,GCR,,198-1208A-16H-3-W 126/128-FORD
198,1208,A,16,H,4,W,7,9,142.27,142.29,141.99,142.008,2,10,75098IODP,FORD,GCR,,198-1208A-16H-4-W 7/9-FORD
198,1208,A,16,H,4,W,46,48,142.66,142.68,142.356,142.375,2,10,75098IODP,FORD,GCR,,198-1208A-16H-4-W 46/48-FORD
198,1208,A,16,H,4,W,85,87,143.05,143.07,142.722,142.741,2,10,75098IODP,FORD,GCR,,198-1208A-16H-4-W 85/87-FORD
198,1208,A,16,H,4,W,123,125,143.43,143.45,143.079,143.097,2,10,75098IODP,FORD,GCR,,198-1208A-16H-4-W 123/125-FORD
198,1208,A,16,H,5,W,4,6,143.74,143.76,143.37,143.388,2,10,75098IODP,FORD,GCR,,198-1208A-16H-5-W 4/6-FORD
198,1208,A,16,H,5,W,43,45,144.13,144.15,143.736,143.754,2,10,75098IODP,FORD,GCR,,198-1208A-16H-5-W 43/45-FORD
198,1208,A,16,H,5,W,85,87,144.55,144.57,144.13,144.149,2,10,75098IODP,FORD,GCR,,198-1208A-16H-5-W 85/87-FORD
198,1208,A,16,H,5,W,127,129,144.97,144.99,144.524,144.543,2,10,75098IODP,FORD,GCR,,198-1208A-16H-5-W 127/129-FORD
198,1208,A,16,H,6,W,5,7,145.25,145.27,144.787,144.806,2,10,75098IODP,FORD,GCR,,198-1208A-16H-6-W 5/7-FORD
198,1208,A,16,H,6,W,46,48,145.66,145.68,145.172,145.191,2,10,75098IODP,FORD,GCR,,198-1208A-16H-6-W 46/48-FORD
198,1208,A,16,H,6,W,82,84,146.02,146.04,145.51,145.529,2,10,75098IODP,FORD,GCR,,198-1208A-16H-6-W 82/84-FORD
198,1208,A,16,H,6,W,127,129,146.47,146.49,145.932,145.951,2,10,75098IODP,FORD,GCR,,198-1208A-16H-6-W 127/129-FORD
198,1208,A,16,H,7,W,5,7,146.75,146.77,146.195,146.214,2,10,75098IODP,FORD,GCR,,198-1208A-16H-7-W 5/7-FORD
198,1208,A,16,H,7,W,42,44,147.12,147.14,146.542,146.561,2,10,75098IODP,FORD,GCR,,198-1208A-16H-7-W 42/44-FORD
198,1208,A,16,H,7,W,79,81,147.49,147.51,146.89,146.908,2,10,75098IODP,FORD,GCR,,198-1208A-16H-7-W 79/81-FORD
