age_ka,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,temp,temp_min1,temp_plus1,temp_min2,temp_plus2
2387.000001,0.407279922,-0.000896369,0.77016263,-0.423286718,1.092734984,34.39733304,32.88556901,35.74134308,31.3211603,36.9360555,1.705294261,-0.049165465,3.250723679,-2.001820213,4.520341397
2396.000393,0.370914359,-0.019787721,0.673824699,-0.42441339,0.989197967,34.26264577,32.81560103,35.38453592,31.31698744,36.55258506,1.525962555,-0.18238175,2.862444157,-2.133174552,4.144066302
2400.000297,0.56760402,0.225661892,0.87321051,-0.161681524,1.12716157,34.991126,33.72467367,36.12300189,32.29006843,37.06356137,2.166458044,0.673096717,3.514780751,-1.163418164,4.592799177
2405.000103,0.749661518,0.457860213,1.015648594,0.105050215,1.265122796,35.66541303,34.58466746,36.65055035,33.27796376,37.57452887,3.776370283,2.147105233,5.06951496,0.145325567,6.064405944
2409.999793,0.722548104,0.395176836,1.002432705,0.078805804,1.258065896,35.56499298,34.3525068,36.60160261,33.18076224,37.54839221,2.998671576,1.219899134,4.538002034,-0.264819672,5.78011798
2412.999749,0.884058031,0.549517416,1.167389321,0.160761963,1.424024572,36.16317789,34.92413858,37.21255304,33.48430357,38.16305397,3.395928712,1.752646092,4.655542324,0.065191152,5.559792857
2415.999532,0.688024087,0.317823175,1.039262394,-0.08137802,1.305392148,35.43712625,34.06601176,36.73800887,32.58748881,37.72367462,2.735351362,1.279404038,4.11993959,-0.431125657,5.171383573
2419.999436,0.509887929,0.180513615,0.81453392,-0.196160965,1.127990789,34.7773627,33.55745784,35.90568118,32.1623668,37.06663255,2.277060385,0.839143157,3.557122475,-0.838732992,4.580660573
2421.999311,0.394904224,0.053935482,0.655518012,-0.362623165,0.928411137,34.35149713,33.08864994,35.31673338,31.54584013,36.32744865,2.235282772,0.768685376,3.492113315,-1.139510225,4.501740043
2423.999231,0.433314038,0.075796365,0.717502822,-0.328579478,0.975070495,34.4937557,33.16961617,35.54630675,31.67192786,36.50026109,1.796718615,0.28103046,3.167656878,-1.778997738,4.227760908
