age_ka,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,temp,temp_min1,temp_plus1,temp_min2,temp_plus2
2010.000006,0.685133236,0.384552424,1.015997925,0.0562703,1.336952989,35.30088824,33.29701616,37.50665283,31.10846866,39.64635326,2.571807735,1.132943572,3.946019709,-0.217027162,5.370807989
2015.999896,0.673895806,0.367003436,1.012982105,0.055700771,1.30998677,35.22597204,33.18002291,37.48654737,31.10467181,39.46657847,2.042158554,0.663618038,3.482998544,-0.538896856,4.919935782
2018.999887,1.41580359,0.623421445,1.846253284,0.185436154,2.179556762,40.17202393,34.8894763,43.04168856,31.96957436,45.26371175,2.716706758,1.161749749,4.210663417,-0.29227065,5.511057772
2025.999798,1.039358119,0.626990691,1.663173394,0.290545977,2.098456652,37.66238746,34.91327127,41.82115596,32.67030651,44.72304435,2.755329653,1.366707715,4.09536821,0.069438963,5.40518778
2043.999474,0.546248916,0.186015693,0.915799241,-0.175414,1.278097443,34.37499277,31.97343795,36.83866161,29.56390666,39.25398295,1.228918352,-0.20611465,2.69849705,-1.682508215,4.213028016
2068.999122,0.565069199,0.239231686,0.906778137,-0.113448412,1.221461395,34.50046133,32.32821124,36.77852091,29.97701059,38.8764093,1.154592991,-0.235075694,2.531226499,-1.657159273,3.991017316
2071.99911,0.414310775,0.072064494,0.750994455,-0.283691842,1.067266421,33.49540517,31.21376329,35.73996304,28.84205439,37.84844281,0.942143366,-0.360692059,2.292458178,-1.843077932,3.533927132
2077.999204,0.743623428,0.315543748,1.167829491,-0.126072239,1.523016647,35.69082286,32.83695832,38.51886328,29.89285174,40.88677765,2.314856725,0.597584859,4.009246197,-1.127717107,5.547504095
2083.99918,0.930173304,0.600425394,1.251759778,0.276594004,1.574129059,36.93448869,34.73616929,39.07839852,32.57729336,41.22752706,2.753744576,1.321936954,4.117013915,0.083626992,5.566025462
2100.999115,0.923922181,0.53519666,1.378597124,0.203170311,1.846117976,36.89281454,34.30131107,39.92398083,32.08780207,43.04078651,2.793171328,0.926632302,4.506859864,-0.79562864,6.073507917
2222.999994,1.267455321,0.729865079,1.683620959,0.33810476,2.00714887,39.18303548,35.59910053,41.95747306,32.98736507,44.1143258,3.822673287,2.201267384,5.256927313,0.751358373,6.697530396
2232.999987,0.931837954,0.505044568,1.463679034,0.18868566,1.925225196,36.94558636,34.10029712,40.49119356,31.99123773,43.56816797,1.698148223,-0.080872057,4.378383441,-1.463954755,6.285937764
2242.000347,0.809258147,0.487143601,1.122434682,0.196864696,1.429647259,36.12838764,33.98095734,38.21623121,32.04576464,40.26431506,2.380074891,0.603071029,3.969772909,-1.001326546,5.400900152
2261.000519,0.735903672,0.421473171,1.059680672,0.070589043,1.397142581,35.63935781,33.54315447,37.79787115,31.20392695,40.04761721,3.089072026,1.764158577,4.369772721,0.471099778,5.733727572
2296.000731,0.682021423,0.39122434,1.000423333,0.052794589,1.312173966,35.28014282,33.3414956,37.40282222,31.08529726,39.48115978,3.089831093,1.761987447,4.35531033,0.481353514,5.808938665
2303.000685,1.075547741,0.66216382,1.443295155,0.273089715,1.787080752,37.90365161,35.1477588,40.35530103,32.55393143,42.64720502,2.701978088,1.131218024,4.183469064,-0.417269948,5.659743457
