age_ka,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2649.5935,1.077607513,0.203096877,2.019740093,-0.488886261,2.902660292,0.068862449,-0.140974299,0.288391423,-0.306785602,0.523158154
2651.720968,0.88709255,0.025957535,1.751793725,-0.760130145,2.673995847,0.139591734,-0.123154219,0.399905511,-0.36148214,0.618878125
2653.319324,0.653784446,-0.264367472,1.565558354,-1.059591992,2.468101367,-0.01136812,-0.283936026,0.338506583,-0.476263532,0.586364852
2654.645239,0.280969801,-0.566456582,1.121872662,-1.362483116,1.872387046,-0.199666502,-0.393051806,0.003329478,-0.579155777,0.232032678
2656.514692,0.012906794,-0.808290649,0.802367318,-1.691127842,1.687051765,-0.192312806,-0.385590808,0.004661114,-0.568914476,0.192361378
2661.304552,1.096097881,0.090616982,2.014946774,-0.926914043,2.983788006,0.186664137,-0.078322314,0.415354559,-0.363251959,0.623113019
2668.104459,1.222809086,0.402324584,2.056224704,-0.499481496,3.008059129,0.21539046,0.015187813,0.42413724,-0.160923964,0.661405122
2669.825302,1.336686067,0.508192269,2.219175276,-0.511625992,3.155495265,0.199891329,-0.003610165,0.403269446,-0.220336615,0.617867191
2671.281059,1.756966754,0.858715277,2.718813888,-0.098666815,3.575178293,0.172212463,-0.047191344,0.398657178,-0.255713529,0.63843089
2672.886376,1.901548376,0.85145689,2.924738802,-0.141712683,3.824272375,0.174037109,-0.066729145,0.4291976,-0.268228071,0.659297199
2673.946425,1.588069864,0.427403619,2.652957787,-0.529715137,3.661551178,0.12342115,-0.11890922,0.366920544,-0.338896288,0.626022385
2674.871849,1.611586544,0.523847174,2.757571043,-0.50969491,3.875586458,0.100282952,-0.129082336,0.390647435,-0.333830239,0.777010845
2675.936108,2.274987673,1.113601051,3.413140743,-0.059989484,4.232043168,0.378976308,-0.005245455,0.686299811,-0.243929922,0.895592989
2677.136985,1.821492071,0.461853973,3.038396668,-0.696477909,4.03043412,0.406155014,0.049834157,0.660590845,-0.236232693,0.872528964
2678.726341,0.785157002,-0.3192128,1.994926284,-1.125512854,3.189467507,0.159463498,-0.116812469,0.484067273,-0.325636655,0.747376358
2679.792364,0.330517573,-0.569562875,1.304134479,-1.425918323,2.182406616,0.105062756,-0.103967803,0.340918764,-0.327741374,0.564069686
2680.992812,0.164149765,-0.752411632,1.080446392,-1.63097139,1.899160483,0.144864288,-0.076965874,0.358158474,-0.293423778,0.557033734
2682.31608,-0.011802209,-0.956013292,0.885865213,-1.848223769,1.742799209,0.110974483,-0.111168925,0.328108628,-0.319488671,0.535848634
2683.381362,-0.029129637,-0.910652968,0.848899698,-1.877841671,1.647346151,0.128474943,-0.087130147,0.329965905,-0.301183708,0.516821122
2684.311202,-0.116393678,-1.030026683,0.762331859,-2.038590185,1.784094115,0.132421338,-0.068209842,0.33471811,-0.280187889,0.53779207
2685.106025,-0.210539521,-1.270871206,0.774113425,-2.252127839,1.866694563,0.132967531,-0.084571286,0.374533505,-0.299602887,0.578656441
2685.769113,0.133925558,-0.953688454,1.149948069,-2.040016048,2.124698375,0.229502823,-0.012554275,0.468620793,-0.224009311,0.687778437
2686.959748,0.462939626,-0.48449503,1.322552549,-1.259702736,2.162463976,0.297116893,0.069402841,0.49781846,-0.116427712,0.70141146
2688.024401,0.669772298,-0.236226646,1.588174295,-1.162055354,2.304025496,0.347505198,0.127128625,0.566462246,-0.094972628,0.750619526
2689.347891,0.101890796,-0.850193512,1.17409659,-1.693919956,2.114044294,0.257137694,0.035387257,0.489255006,-0.155716339,0.716767857
2691.596118,0.060857434,-0.867991556,1.049351741,-1.706328627,2.127589797,0.206281283,-0.002863016,0.413176958,-0.195266061,0.595801007
2693.191267,0.52916654,-0.485101367,1.453346376,-1.428379561,2.481535427,0.227735392,0.010829976,0.431573512,-0.209371642,0.615654888
2694.253494,0.690984838,-0.204146504,1.56645212,-1.055073963,2.678545353,0.142284916,-0.087105115,0.372996381,-0.298236812,0.613435023
2695.440997,0.766041152,-0.164456895,1.808676564,-0.962075223,3.061080042,0.084656821,-0.147706748,0.360504468,-0.353000153,0.656054653
2696.102383,1.207318522,0.060894977,2.542363749,-0.91525398,3.39526037,0.184086946,-0.141633776,0.530662421,-0.358036856,0.735108959
2697.029215,0.776279476,-0.35662847,2.090831113,-1.279769147,3.272278575,0.050699741,-0.24244606,0.433283462,-0.449728555,0.6893149
2698.478778,0.644586965,-0.306407936,1.695623778,-1.234047057,2.538798688,0.049657912,-0.200842451,0.286018651,-0.429240444,0.521048868
2699.80536,0.24451208,-0.768881429,1.310696755,-1.660509106,2.379926604,-0.026541071,-0.256888223,0.219582918,-0.472544036,0.447858827
2701.67063,-0.140735636,-1.12701213,0.701391322,-2.005941946,1.558741837,-0.084952445,-0.324898948,0.119458311,-0.520643306,0.320216178
2703.672521,0.102744848,-0.903324132,0.99250439,-1.892115521,1.815161674,-0.027917439,-0.257778311,0.18209319,-0.485645058,0.385351107
2704.734012,-0.043538787,-0.945998187,0.931179212,-1.834942287,1.8004424,-0.04432191,-0.259893108,0.174456619,-0.444766079,0.379436732
2706.728336,-0.293871793,-1.116814412,0.551088405,-2.036229598,1.379196834,-0.152396985,-0.360432401,0.044641222,-0.569662915,0.258483358
2708.849431,-0.295836699,-1.22608445,0.564987352,-2.096743173,1.488022233,-0.039493105,-0.278093283,0.187679217,-0.517596321,0.424284978
2711.637038,-0.648435714,-1.595126168,0.294054747,-2.502491889,1.292507536,-0.077950632,-0.303171694,0.148782452,-0.513943265,0.387292067
2713.510998,-0.793842994,-1.795411753,0.361237264,-2.663109061,2.799246253,0.078663362,-0.189134455,0.386294488,-0.420458564,0.720238267
2723.631779,-0.590983159,-1.588483468,0.416830639,-2.530513259,2.04066339,0.180267057,-0.071469839,0.419646787,-0.30295192,0.659447514
2726.541329,1.980426313,-0.370247077,3.209652326,-1.477150451,4.091922001,0.520191789,0.229790126,0.783564794,-0.030509651,0.994669787
2729.588695,0.142333709,-1.006082849,2.618712635,-1.979116738,3.886856501,-0.282324185,-0.557470675,0.643607712,-0.757138508,0.931258569
2736.220119,-0.31250259,-1.158486084,0.49384801,-1.990308579,1.388468803,-0.315587952,-0.528135912,-0.125680065,-0.728797046,0.090044079
2744.166913,-0.273926493,-1.187143447,0.607697486,-2.159379641,1.520659365,-0.306852534,-0.515148202,-0.099956308,-0.717340899,0.117933873
2755.17399,-0.125900059,-0.948952996,0.701943983,-1.861452721,1.648816928,-0.306840887,-0.50347848,-0.099654348,-0.687374899,0.108442253
2757.558319,-0.671192461,-1.627701726,0.284528961,-2.625206339,1.23903635,-0.396761115,-0.597945285,-0.196076853,-0.813056921,-0.005797586
2760.34453,-0.909953024,-1.739017108,-0.017773091,-2.613364984,0.821431467,-0.459574799,-0.650342172,-0.254702111,-0.863303889,-0.066157385
2766.189234,-0.446172377,-1.324187173,0.386634461,-2.222454041,1.175735677,-0.559656649,-0.783370995,-0.337611888,-1.007229455,-0.131961429
2771.77533,-0.366114427,-1.239031765,0.463098954,-2.147698881,1.221849389,-0.655594142,-0.895812402,-0.434361983,-1.099142933,-0.226397364
2774.439306,-0.321645598,-1.201926723,0.473254446,-2.018573476,1.242098944,-0.615603704,-0.854649686,-0.374439983,-1.062706339,-0.183563828
2777.079106,-0.616391279,-1.45846318,0.276810481,-2.291085253,1.11911286,-0.499222852,-0.706276475,-0.288480732,-0.893719231,-0.079439148
2785.599949,-0.685242937,-1.534275524,0.200897996,-2.331129747,1.063644569,-0.473818663,-0.683912508,-0.264797278,-0.870333128,-0.062238829
2788.242354,-1.00858264,-1.910072884,-0.088962925,-2.719489931,0.867344171,-0.533423764,-0.745089991,-0.317450029,-0.946313825,-0.077276231
2791.825466,-0.818732564,-1.748648791,0.166908543,-2.572158581,1.080544817,-0.478691252,-0.703765682,-0.253290797,-0.917939095,-0.046772859
2795.012129,-0.402164365,-1.246487693,0.446444042,-2.116147126,1.278824048,-0.226012417,-0.466039574,0.005179775,-0.718535999,0.208766747
2800.98761,-0.630565349,-1.498931848,0.223756557,-2.350909534,1.039630024,-0.156226968,-0.344233974,0.044255086,-0.554855084,0.233767733
2807.898088,-0.562723021,-1.48967164,0.367446663,-2.351708844,1.278012356,-0.344613836,-0.562149541,-0.121122387,-0.771971674,0.104169794
2833.027266,-0.622196391,-1.527583195,0.304241264,-2.427459387,1.121837021,-0.399782035,-0.614141414,-0.201912527,-0.798299959,-0.008354297
2841.178425,-0.849092717,-1.686700026,0.058744375,-2.475463008,0.91668752,-0.433954099,-0.632136504,-0.234140591,-0.822857457,-0.035714485
