,mcd,d13C,d13C_corr,d18O,d18O_corr,type,comment,age_ka
355,144.64,,,2.61,,PMURR,d18O no corr; d13C no corr,4678.599999999999
356,144.74,0.86,0.86,2.3,2.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4682.750000000001
357,144.84,0.85,0.85,2.19,2.83,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4687.125
358,144.94,0.8,0.8,2.37,3.01,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4691.5
359,145.14,0.92,0.92,2.41,3.05,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4700.249999999999
360,145.24,0.78,0.78,1.84,2.48,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4704.631578947368
361,145.44,0.71,0.71,2.13,2.77,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4713.403508771929
362,145.54,,,2.71,2.71,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),4717.78947368421
363,145.64,0.78,0.78,1.98,2.62,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4722.1754385964905
364,145.74,0.85,0.85,2.32,2.96,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4726.561403508772
365,145.84,0.89,0.89,2.23,2.87,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4730.315789473684
366,145.94,0.87,0.87,2.48,3.12,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4734.0
367,146.04,0.79,0.79,,,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4737.684210526316
368,146.14,1.02,1.02,2.28,2.92,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4741.368421052632
369,146.24,1.08,1.08,2.42,3.06,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4745.0526315789475
370,146.34,1.07,1.07,2.24,2.88,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4748.793650793651
371,146.44,1.04,1.04,2.16,2.8,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4752.761904761905
372,146.54,0.96,0.96,2.09,2.73,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4756.730158730159
373,146.74,0.81,0.81,2.38,3.02,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4764.666666666667
374,146.84,,,3.18,,PMURR,d18O no corr; d13C no corr,4768.634920634921
375,146.94,0.64,0.64,2.22,2.86,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4772.603174603175
376,147.04,0.79,0.79,2.33,2.97,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4775.85
377,147.14,0.68,0.68,2.43,3.07,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4779.016666666666
378,147.24,1.01,1.01,2.44,3.08,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4782.183333333333
379,147.34,0.92,0.92,2.24,2.88,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4785.35
380,147.44,0.99,0.99,2.17,2.81,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4788.516666666666
381,147.54,,,2.98,2.98,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4791.6833333333325
382,147.64,,,2.88,2.88,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4794.86956521739
383,147.74,0.95,0.95,2.25,2.89,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4798.057971014493
384,147.84,0.93,0.93,2.45,3.09,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4801.246376811594
385,147.94,0.85,0.85,2.3,2.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4804.434782608695
386,148.04,0.96,0.96,2.54,3.18,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4807.623188405796
387,148.14,0.99,0.99,2.56,3.2,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4810.811594202898
388,148.24,,,3.27,3.27,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4814.0
389,148.34,1.07,1.07,2.41,3.05,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4817.157894736842
390,148.44,1.15,1.15,2.35,2.99,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4820.315789473684
391,148.54,1.16,1.16,2.3,2.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4823.473684210526
392,148.64,1.07,1.07,2.25,2.89,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4826.631578947367
393,148.74,0.94,0.94,2.09,2.73,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4829.789473684211
394,148.84,0.93,0.93,2.11,2.75,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4832.9473684210525
395,148.94,0.76,0.76,2.1,2.74,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4836.105263157895
396,149.04,0.81,0.81,2.27,2.91,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4839.263157894737
397,149.14,0.74,0.74,2.32,2.96,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4842.421052631578
398,149.34,,,3.16,3.16,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4848.736842105263
399,149.44,,,3.54,,PMURR,d18O no corr; d13C no corr,4852.117647058823
400,149.5,,,2.68,2.68,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),4854.235294117647
401,149.6,,,3.38,3.38,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4857.764705882353
402,149.7,,,3.06,3.06,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4861.294117647059
403,149.8,1.27,1.27,2.18,2.82,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4864.823529411765
404,149.9,0.98,0.98,2.18,2.82,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4868.352941176471
405,150.0,,,2.87,2.87,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4871.882352941177
406,150.1,,,2.96,2.96,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4875.411764705882
407,150.2,0.99,0.99,2.36,3.0,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4878.941176470587
408,150.3,,,2.92,,PMURR,d18O no corr; d13C no corr,4882.470588235295
409,150.39,,,3.13,3.13,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4885.647058823529
410,150.5,,,3.51,3.51,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4889.529411764705
411,150.6,,,3.73,,PMURR,d18O no corr; d13C no corr,4893.058823529412
412,150.7,,,3.58,3.58,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4896.588235294117
413,150.8,,,3.51,3.51,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4900.5
414,150.9,0.84,0.84,2.34,2.98,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4904.666666666667
415,151.1,1.07,1.07,2.41,3.05,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),4912.999999999999
416,151.2,1.02,1.02,2.33,2.97,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4917.166666666666
417,151.3,0.97,0.97,2.48,3.12,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4921.333333333334
418,151.4,0.97,0.97,2.21,2.85,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4924.753846153846
419,151.5,,,3.06,3.06,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4927.676923076923
420,151.6,,,3.0,3.0,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4930.599999999999
421,151.7,,,3.09,3.09,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4933.523076923077
422,151.8,0.65,0.65,2.31,2.95,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4936.446153846154
423,151.9,,,2.89,2.89,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4939.369230769231
424,152.01,0.85,0.85,2.16,2.8,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4942.738461538461
425,152.11,0.09,0.99,2.69,2.69,UVIG,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4946.430769230769
426,152.11,0.35,0.35,2.2,2.84,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4946.430769230769
427,152.21,0.92,0.92,2.1,2.74,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),4950.123076923077
428,152.21,-0.11,0.79,2.32,2.32,UVIG,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4950.123076923077
429,152.31,0.11,1.01,2.41,2.41,UVIG,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),4953.815384615385
430,152.41,0.5,0.5,2.25,2.6,NUMB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997),4957.507692307692
431,152.41,0.1,0.6,2.64,2.54,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),4957.507692307692
432,152.51,1.05,1.05,2.22,2.86,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4961.2
433,152.61,0.96,0.96,1.71,2.35,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4964.892307692308
434,152.71,0.9,0.9,1.81,2.45,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4968.776859504133
435,152.81,0.36,0.86,2.86,2.76,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),4972.743801652893
436,152.91,0.88,0.88,2.24,2.88,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4976.710743801653
437,153.01,0.39,0.89,2.39,2.29,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),4980.677685950413
438,153.1,0.84,0.84,1.93,2.57,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4984.247933884298
439,153.2,1.0,1.0,2.12,2.76,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),4988.214876033057
440,153.31,0.45,0.95,2.83,2.73,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),4992.578512396694
441,153.41,0.33,0.83,2.75,2.65,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),4996.545454545455
442,153.5,-0.69,0.31,2.4,2.4,ORID,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton et al 1995),5000.115702479339
443,153.6,0.9,0.9,1.71,2.35,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5004.082644628099
444,153.7,0.86,0.86,2.25,2.89,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5008.0495867768595
445,153.8,0.68,0.68,2.26,2.9,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5012.01652892562
446,153.9,0.82,0.82,2.48,3.12,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5016.444444444445
447,154.0,1.1,1.1,2.17,2.81,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5021.333333333333
448,154.1,0.96,0.96,2.3,2.94,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5026.222222222222
449,154.2,1.07,1.07,2.16,2.8,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5031.11111111111
450,154.3,0.95,0.95,2.06,2.7,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5036.0
451,154.5,0.81,0.81,2.15,2.79,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5042.0
452,154.6,0.79,0.79,1.95,2.59,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5045.0
453,154.7,0.78,0.78,2.15,2.79,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5047.999999999999
454,154.8,0.75,0.75,2.16,2.8,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5051.0
455,154.9,0.22,0.22,2.22,2.86,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5054.0
456,155.0,0.74,0.74,2.35,2.99,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5057.0
457,155.1,0.78,0.78,2.34,2.98,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5062.60975609756
458,155.2,0.78,0.78,2.18,2.82,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5068.219512195122
459,155.21,0.95,0.95,2.24,2.88,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5068.780487804878
460,155.3,0.21,0.71,2.75,2.65,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5073.829268292684
461,155.3,1.13,1.13,2.22,2.86,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5073.829268292684
462,155.31,0.21,0.71,2.84,2.74,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5074.39024390244
463,155.41,1.13,1.13,2.07,2.71,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5080.0
464,155.51,0.27,0.77,2.78,2.68,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5085.11111111111
465,155.61,0.96,0.96,2.29,2.93,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5090.222222222223
466,155.71,0.78,0.78,2.47,3.11,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5095.333333333333
467,155.81,0.92,0.92,2.51,3.15,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5100.444444444444
468,155.91,1.03,1.03,2.65,3.29,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5105.368421052631
469,156.01,0.48,0.98,3.4,3.3,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5110.105263157894
470,156.11,0.32,0.82,2.62,2.52,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5114.842105263158
471,156.21,1.16,1.16,2.45,3.09,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5119.578947368421
472,156.31,0.39,0.89,2.94,2.84,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5124.315789473684
473,156.41,0.36,0.86,2.95,2.85,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5129.052631578947
474,156.41,0.93,0.93,2.4,3.04,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5129.052631578947
475,156.51,0.74,0.74,2.53,3.17,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5133.333333333333
476,156.61,0.34,0.84,2.81,2.71,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5137.5
477,156.71,1.0,1.0,2.28,2.92,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5141.666666666667
478,156.81,0.97,0.97,2.08,2.72,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5145.833333333333
479,156.91,1.06,1.06,2.55,3.19,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5150.0
480,157.01,0.24,0.24,2.08,2.72,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5153.666666666666
481,157.11,-0.42,0.58,2.84,2.84,ORID,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton et al 1995),5157.333333333334
482,157.11,0.85,0.85,1.94,2.58,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5157.333333333334
483,157.21,0.84,0.84,1.92,2.56,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5161.000000000001
484,157.31,0.84,0.84,2.06,2.7,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5164.666666666667
485,157.41,0.63,0.63,2.34,2.98,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5168.333333333334
486,157.51,0.02,0.92,2.81,2.81,UVIG,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),5172.0
487,157.59,0.65,0.65,2.45,3.09,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),5175.555555555556
488,157.61,0.07,0.97,2.84,2.84,UVIG,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995),5176.444444444445
489,157.69,1.14,1.14,1.98,2.62,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5180.0
490,157.71,0.92,0.92,2.02,2.66,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),5180.88888888889
491,157.71,0.96,0.96,2.07,2.71,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),5180.88888888889
492,157.79,0.3,0.8,2.67,2.57,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995),5184.444444444444
